cancer	stage_id	run_id	analysis_version	relation_key	metabolite_key	metabolite_name	gene	mapping_status	status	origins	relationship_types	evidence_ids	source_urls	gene_in_original117	patient_analysis_this_round	functional_analysis_this_round
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C02918|SLC22A2	KEGG:C02918	1-methylnicotinamide	SLC22A2	DIRECT_ACCEPTED	DONE	NEW_REVIEW	transporter	M190E0311	https://www.uniprot.org/uniprotkb/O15244/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C02990|CPT1A	KEGG:C02990	palmitoylcarnitine	CPT1A	DIRECT_ACCEPTED	DONE	LEGACY_V1_REUSED;NEW_REVIEW	enzyme;酶	M190E0151;M190E0313	https://enzyme.expasy.org/EC/2.3.1.21 ; https://www.uniprot.org/uniprotkb/P50416/entry ; https://www.uniprot.org/uniprotkb/P50416/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C02990|CPT1B	KEGG:C02990	palmitoylcarnitine	CPT1B	DIRECT_ACCEPTED	DONE	LEGACY_V1_REUSED	酶	M190E0152	https://enzyme.expasy.org/EC/2.3.1.21 ; https://www.uniprot.org/uniprotkb/Q92523/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C02990|CPT2	KEGG:C02990	palmitoylcarnitine	CPT2	DIRECT_ACCEPTED	DONE	LEGACY_V1_REUSED	酶	M190E0153	https://enzyme.expasy.org/EC/2.3.1.21 ; https://www.uniprot.org/uniprotkb/P23786/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C02990|SLC25A20	KEGG:C02990	palmitoylcarnitine	SLC25A20	DIRECT_ACCEPTED	DONE	NEW_REVIEW	transporter	M190E0314	https://www.uniprot.org/uniprotkb/O43772/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C03017|CRAT	KEGG:C03017	propionylcarnitine	CRAT	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0193	https://www.uniprot.org/uniprotkb/P43155/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C03017|SLC25A20	KEGG:C03017	propionylcarnitine	SLC25A20	DIRECT_ACCEPTED	DONE	NEW_REVIEW	transporter	M190E0194	https://www.uniprot.org/uniprotkb/O43772/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C03916|ABHD12	KEGG:C03916	1-oleoylglycerophosphocholine	ABHD12	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0291	https://www.uniprot.org/uniprotkb/Q8N2K0/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C03916|ENPP2	KEGG:C03916	1-oleoylglycerophosphocholine	ENPP2	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0292	https://www.uniprot.org/uniprotkb/Q13822/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C03916|LPCAT1	KEGG:C03916	1-oleoylglycerophosphocholine	LPCAT1	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0293	https://www.uniprot.org/uniprotkb/Q8NF37/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C03916|LPCAT3	KEGG:C03916	1-oleoylglycerophosphocholine	LPCAT3	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0294;M190E0295;M190E0296;M190E0297	https://www.uniprot.org/uniprotkb/Q6P1A2/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C03916|LPCAT4	KEGG:C03916	1-oleoylglycerophosphocholine	LPCAT4	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0298	https://www.uniprot.org/uniprotkb/Q643R3/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C04006|IMPA1	KEGG:C04006	inositol 1-phosphate (I1P)	IMPA1	DIRECT_ACCEPTED	DONE	LEGACY_V1_REUSED	酶	M190E0154	https://enzyme.expasy.org/EC/3.1.3.25 ; https://www.uniprot.org/uniprotkb/P29218/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C04006|IMPA2	KEGG:C04006	inositol 1-phosphate (I1P)	IMPA2	DIRECT_ACCEPTED	DONE	LEGACY_V1_REUSED	酶	M190E0155	https://enzyme.expasy.org/EC/3.1.3.25 ; https://www.uniprot.org/uniprotkb/O14732/entry	True	NOT_RUN	NOT_RUN
