gene	in_original117	n_direct_relations	metabolite_keys	metabolite_names	relation_keys	scope
MDH1	True	1	KEGG:C00149	malate	KEGG:C00149|MDH1	Direct biochemical candidate; no new patient/function test
MDH2	True	1	KEGG:C00149	malate	KEGG:C00149|MDH2	Direct biochemical candidate; no new patient/function test
MGAM	True	2	KEGG:C00208;KEGG:C01835	maltose ; maltotriose	KEGG:C00208|MGAM;KEGG:C01835|MGAM	Direct biochemical candidate; no new patient/function test
MGLL	False	7	KEGG:C00219;KEGG:C00712;KEGG:C01530;KEGG:C01885;KEGG:C02679;KEGG:C06424;KEGG:D01947	arachidonate (20:4n6) ; oleate (18:1n9) ; stearate (18:0) ; 1-palmitoylglycerol (1-monopalmitin) ; laurate (12:0) ; myristate (14:0) ; 1-stearoylglycerol (18:0)	KEGG:C00219|MGLL;KEGG:C00712|MGLL;KEGG:C01530|MGLL;KEGG:C01885|MGLL;KEGG:C02679|MGLL;KEGG:C06424|MGLL;KEGG:D01947|MGLL	Direct biochemical candidate; no new patient/function test
MPI	True	2	KEGG:C00275;KEGG:C05345	mannose 6-phosphate ; fructose-6-phosphate	KEGG:C00275|MPI;KEGG:C05345|MPI	Direct biochemical candidate; no new patient/function test
NAGK	True	2	KEGG:C00140;KEGG:C00357	N-acetylglucosamine ; N-acetylglucosamine 6-phosphate	KEGG:C00140|NAGK;KEGG:C00357|NAGK	Direct biochemical candidate; no new patient/function test
NAMPT	True	1	KEGG:C00153	nicotinamide	KEGG:C00153|NAMPT	Direct biochemical candidate; no new patient/function test
NNMT	True	3	KEGG:C00021;KEGG:C00153;KEGG:C02918	S-adenosylhomocysteine (SAH) ; nicotinamide ; 1-methylnicotinamide	KEGG:C00021|NNMT;KEGG:C00153|NNMT;KEGG:C02918|NNMT	Direct biochemical candidate; no new patient/function test
NPL	True	1	KEGG:C00270	N-acetylneuraminate	KEGG:C00270|NPL	Direct biochemical candidate; no new patient/function test
NT5C2	False	2	KEGG:C00294;KEGG:C01762	inosine ; xanthosine	KEGG:C00294|NT5C2;KEGG:C01762|NT5C2	Direct biochemical candidate; no new patient/function test
OAT	True	2	KEGG:C00025;KEGG:C00077	glutamate ; ornithine	KEGG:C00025|OAT;KEGG:C00077|OAT	Direct biochemical candidate; no new patient/function test
ODC1	True	2	KEGG:C00077;KEGG:C00134	ornithine ; putrescine	KEGG:C00077|ODC1;KEGG:C00134|ODC1	Direct biochemical candidate; no new patient/function test
OTC	True	2	KEGG:C00077;KEGG:C00327	ornithine ; citrulline	KEGG:C00077|OTC;KEGG:C00327|OTC	Direct biochemical candidate; no new patient/function test
PANK1	True	1	KEGG:C00864	pantothenate	KEGG:C00864|PANK1	Direct biochemical candidate; no new patient/function test
PANK2	True	1	KEGG:C00864	pantothenate	KEGG:C00864|PANK2	Direct biochemical candidate; no new patient/function test
PANK3	True	1	KEGG:C00864	pantothenate	KEGG:C00864|PANK3	Direct biochemical candidate; no new patient/function test
PCYT1A	True	1	KEGG:C00307	cytidine 5'-diphosphocholine	KEGG:C00307|PCYT1A	Direct biochemical candidate; no new patient/function test
PCYT1B	True	1	KEGG:C00307	cytidine 5'-diphosphocholine	KEGG:C00307|PCYT1B	Direct biochemical candidate; no new patient/function test
PCYT2	True	1	KEGG:C00346	phosphoethanolamine	KEGG:C00346|PCYT2	Direct biochemical candidate; no new patient/function test
PEPD	True	3	HMDB:HMDB00721;KEGG:C00037;KEGG:C00148	glycylproline ; glycine ; proline	HMDB:HMDB00721|PEPD;KEGG:C00037|PEPD;KEGG:C00148|PEPD	Direct biochemical candidate; no new patient/function test
PFKL	True	1	KEGG:C05345	fructose-6-phosphate	KEGG:C05345|PFKL	Direct biochemical candidate; no new patient/function test
PFKM	True	1	KEGG:C05345	fructose-6-phosphate	KEGG:C05345|PFKM	Direct biochemical candidate; no new patient/function test
PFKP	True	1	KEGG:C05345	fructose-6-phosphate	KEGG:C05345|PFKP	Direct biochemical candidate; no new patient/function test
PGD	True	1	KEGG:C00345	6-phosphogluconate	KEGG:C00345|PGD	Direct biochemical candidate; no new patient/function test
PGM3	True	1	KEGG:C00357	N-acetylglucosamine 6-phosphate	KEGG:C00357|PGM3	Direct biochemical candidate; no new patient/function test
PMM1	True	1	KEGG:C00275	mannose 6-phosphate	KEGG:C00275|PMM1	Direct biochemical candidate; no new patient/function test
