cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	stable_gene_id	partition	celltype	n_source_labels_total	n_source_labels_eligible	n_cells_total	n_cells_eligible	mean_detection_fraction	median_donor_mean	q25	q75	annotation_origin	normalization
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKL	author_patient	51	NA	donor_equal_mean_log1pCP10k	0.1911869729074283	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P17858	CARE2025_primary	Myeloid	55	51	33051	33034	0.16754172565793807	0.18754449420309902	0.13860885266017298	0.222712475534683	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKL	author_patient	55	NA	donor_equal_mean_log1pCP10k	0.1618188949069529	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P17858	CARE2025_primary	Neoplastic	55	55	133107	133107	0.184238127967135	0.14639994503886056	0.12297817365580511	0.19515032100674307	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKL	author_patient	23	NA	donor_equal_mean_log1pCP10k	0.12882637118244306	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P17858	CARE2025_primary	Neuron	55	23	7482	7352	0.21734189916001354	0.12951726761875207	0.09662242931222002	0.18939935172587288	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKL	author_patient	20	NA	donor_equal_mean_log1pCP10k	0.08588655709995373	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P17858	CARE2025_primary	OPC	55	20	5657	5503	0.09357755854816482	0.09222472103094037	0.06539722820265628	0.11056450530123807	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKL	author_patient	32	NA	donor_equal_mean_log1pCP10k	0.15944509094264955	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P17858	CARE2025_primary	Oligodendrocyte	55	32	13481	13385	0.14536093991943505	0.14921400430813772	0.12091211248427833	0.18576386269326178	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKL	author_patient	32	NA	donor_equal_mean_log1pCP10k	0.20395221074388342	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P17858	CARE2025_primary	Unresolved	55	32	5079	4940	0.16019770357789817	0.18086400234433916	0.12334192257605794	0.24459879880064003	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKL	author_patient	30	NA	donor_equal_mean_log1pCP10k	0.2451932283163641	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P17858	CARE2025_primary	Vascular	55	30	3053	2872	0.24258046920305726	0.22618897152726536	0.15067009418627128	0.33712601581238594	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKM	author_patient	21	NA	donor_equal_mean_log1pCP10k	0.10210914590439601	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P08237	CARE2025_primary	Astrocyte	55	21	2205	2057	0.1268959424151546	0.0984411252724104	0.09083238019240966	0.12628170859999288	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKM	author_patient	24	NA	donor_equal_mean_log1pCP10k	0.026077744263180522	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P08237	CARE2025_primary	Lymphoid	55	24	2765	2575	0.018167309525831603	0.022987920777216994	0.009837489881207816	0.030819670685016717	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKM	author_patient	51	NA	donor_equal_mean_log1pCP10k	0.03467068175094798	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P08237	CARE2025_primary	Myeloid	55	51	33051	33034	0.03402420078028856	0.03555202207477297	0.01909140417746824	0.04526015903800053	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKM	author_patient	55	NA	donor_equal_mean_log1pCP10k	0.09273256488345195	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P08237	CARE2025_primary	Neoplastic	55	55	133107	133107	0.1189631062595769	0.087568175702119	0.06461431360065965	0.10902256273995986	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKM	author_patient	23	NA	donor_equal_mean_log1pCP10k	0.09862519765856206	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P08237	CARE2025_primary	Neuron	55	23	7482	7352	0.18511077776764215	0.09824448152602668	0.05502670456695541	0.13981139597675757	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKM	author_patient	20	NA	donor_equal_mean_log1pCP10k	0.07393537085572217	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P08237	CARE2025_primary	OPC	55	20	5657	5503	0.0855172062164601	0.07897546947054682	0.04146194104942625	0.1041353336324828	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
