study	gene	stable_gene_id	status	reason	top_celltype	runner_celltype	top_gap	bootstrap_top_frequency	bootstrap_valid	rank_tie
CARE2025_primary	CDO1	UniProt:Q16878	DONE	expression_source_only;not_function	Neuron	Astrocyte	0.009398257590640592	0.82	1000	False
CARE2025_primary	CNDP2	hsa:55748	DONE	expression_source_only;not_function	Myeloid	Oligodendrocyte	0.07263254492280485	1.0	1000	False
CARE2025_primary	GCLC	UniProt:P48506	DONE	expression_source_only;not_function	Myeloid	Oligodendrocyte	0.013892584149549358	0.64	1000	False
CARE2025_primary	AASS	UniProt:Q9UDR5	DONE	expression_source_only;not_function	Neoplastic	Astrocyte	0.047895877288128	0.865	1000	False
CARE2025_primary	ACE2	UniProt:Q9BYF1	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False
CARE2025_primary	LARS1	hsa:51520	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	0	False
CARE2025_primary	LARS2	hsa:23395	DONE	expression_source_only;not_function	Neoplastic	Astrocyte	0.02361935226728945	0.821	1000	False
CARE2025_primary	PLBD1	UniProt:Q6P4A8	DONE	expression_source_only;not_function	Myeloid	Neoplastic	0.10996666282414785	1.0	1000	False
CARE2025_primary	PM20D1	UniProt:Q6GTS8	DONE	expression_source_only;not_function	Vascular	Neoplastic	0.006621163389263628	0.663	1000	False
CARE2025_primary	SLC25A44	hsa:9673	DONE	expression_source_only;not_function	Neuron	Vascular	0.014478783723024996	0.795	1000	False
CARE2025_primary	SLC38A10	hsa:124565	DONE	expression_source_only;not_function	Myeloid	Lymphoid	0.06637534579452026	1.0	1000	False
CARE2025_primary	SLC38A2	hsa:54407	DONE	expression_source_only;not_function	Oligodendrocyte	Vascular	0.031111608489822862	0.673	1000	False
CARE2025_primary	SLC38A8	hsa:146167	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.013359538123323494	1.0	1000	False
CARE2025_primary	SLC38A9	hsa:153129	DONE	expression_source_only;not_function	Oligodendrocyte	Myeloid	0.08737774447498159	0.998	1000	False
CARE2025_primary	SLC6A17	hsa:388662	DONE	expression_source_only;not_function	Neuron	Vascular	0.38554610635111697	1.0	1000	False
CARE2025_primary	SLC7A13	hsa:157724	DONE	expression_source_only;not_function	Neuron	Vascular	0.018278184301899675	0.947	1000	False
CARE2025_primary	SLC7A6	hsa:9057	DONE	expression_source_only;not_function	Lymphoid	Myeloid	0.008701292010864725	0.561	1000	False
CARE2025_primary	SLC7A7	hsa:9056	DONE	expression_source_only;not_function	Myeloid	Vascular	0.36626294647843605	1.0	1000	False
CARE2025_primary	SLC7A9	hsa:11136	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.01657868814991978	0.945	1000	False
CARE2025_primary	ABHD12	UniProt:Q8N2K0	DONE	expression_source_only;not_function	Myeloid	Oligodendrocyte	0.32862783314777977	1.0	1000	False
CARE2025_primary	ABHD6	UniProt:Q9BV23	DONE	expression_source_only;not_function	Oligodendrocyte	Neuron	0.17714395222371326	1.0	1000	False
CARE2025_primary	ACSL1	UniProt:P33121	DONE	expression_source_only;not_function	Myeloid	Oligodendrocyte	0.9727688392870723	1.0	1000	False
CARE2025_primary	ACSL5	UniProt:Q9ULC5	DONE	expression_source_only;not_function	Lymphoid	Vascular	0.07726371415405298	0.983	1000	False
CARE2025_primary	LYPLA1	hsa:10434	DONE	expression_source_only;not_function	Myeloid	Vascular	0.0921807459216808	0.998	1000	False
CARE2025_primary	MGLL	UniProt:Q99685	DONE	expression_source_only;not_function	Vascular	OPC	0.01834321977887665	0.556	1000	False
