gene	status
AC096772.1	LOW_EXPRESSION
FZD5	TESTED
PLEKHM3	TESTED
IDH1	TESTED
KANSL1L	TESTED
ACADL	LOW_EXPRESSION
LANCL1	TESTED
ERBB4	LOW_EXPRESSION
IKZF2	TESTED
AC079610.1	LOW_EXPRESSION
BARD1	TESTED
ABCA12	TESTED
FN1	TESTED
LINC00607	LOW_EXPRESSION
AC093382.1	LOW_EXPRESSION
MREG	TESTED
PECR	LOW_EXPRESSION
AC098820.3	LOW_EXPRESSION
IGFBP5	LOW_EXPRESSION
DIRC3	LOW_EXPRESSION
TNS1	LOW_EXPRESSION
CXCR1	LOW_EXPRESSION
AAMP	TESTED
TMBIM1	TESTED
AC021016.3	LOW_EXPRESSION
USP37	TESTED
AC012510.1	LOW_EXPRESSION
ZNF142	TESTED
RNF25	TESTED
FEV	LOW_EXPRESSION
CRYBA2	LOW_EXPRESSION
CFAP65	TESTED
IHH	TESTED
AC097468.3	LOW_EXPRESSION
AC068946.1	LOW_EXPRESSION
CNPPD1	TESTED
ATG9A	LOW_EXPRESSION
GLB1L	TESTED
TUBA4A	TESTED
PTPRN	LOW_EXPRESSION
DNPEP	TESTED
AC053503.1	LOW_EXPRESSION
CHPF	TESTED
OBSL1	LOW_EXPRESSION
EPHA4	TESTED
AC010980.2	LOW_EXPRESSION
AC097461.1	LOW_EXPRESSION
FARSB	TESTED
SCG2	LOW_EXPRESSION
AP1S3	TESTED
WDFY1	TESTED
SERPINE2	TESTED
FAM124B	LOW_EXPRESSION
CUL3	TESTED
DOCK10	LOW_EXPRESSION
IRS1	TESTED
COL4A4	TESTED
AC097662.1	LOW_EXPRESSION
TM4SF20	TESTED
SLC19A3	LOW_EXPRESSION
LINC01807	TESTED
PID1	LOW_EXPRESSION
DNER	LOW_EXPRESSION
TRIP12	TESTED
SLC16A14	LOW_EXPRESSION
SP110	TESTED
AC010149.1	LOW_EXPRESSION
LINC01907	LOW_EXPRESSION
GPR55	LOW_EXPRESSION
SPATA3-AS1	LOW_EXPRESSION
HTR2B	LOW_EXPRESSION
NCL	TESTED
LINC00471	LOW_EXPRESSION
NMUR1	LOW_EXPRESSION
PDE6D	TESTED
NPPC	TESTED
ECEL1	LOW_EXPRESSION
TIGD1	TESTED
AC073254.1	LOW_EXPRESSION
NGEF	TESTED
AC013726.1	LOW_EXPRESSION
USP40	TESTED
HJURP	TESTED
LINC01891	LOW_EXPRESSION
ARL4C	TESTED
GBX2	LOW_EXPRESSION
IQCA1	LOW_EXPRESSION
AC105760.1	LOW_EXPRESSION
AC105760.2	LOW_EXPRESSION
COL6A3	LOW_EXPRESSION
AC112721.1	LOW_EXPRESSION
AC112721.2	LOW_EXPRESSION
RAB17	TESTED
ILKAP	TESTED
HES6	TESTED
PER2	TESTED
AC012485.2	LOW_EXPRESSION
HDAC4	TESTED
NDUFA10	TESTED
COPS9	TESTED
ANKMY1	TESTED
CAPN10-DT	TESTED
KIF1A	LOW_EXPRESSION
C2orf54	TESTED
AC093585.1	LOW_EXPRESSION
AC005237.1	LOW_EXPRESSION
MTERF4	LOW_EXPRESSION
PASK	TESTED
HDLBP	TESTED
AC005104.1	LOW_EXPRESSION
STK25	TESTED
BOK-AS1	TESTED
THAP4	TESTED
DTYMK	TESTED
AC114730.2	LOW_EXPRESSION
AC131097.3	LOW_EXPRESSION
PDCD1	LOW_EXPRESSION
ACP1	TESTED
AC092159.2	LOW_EXPRESSION
SNTG2	LOW_EXPRESSION
TPO	LOW_EXPRESSION
TRAPPC12	TESTED
AC114810.1	LOW_EXPRESSION
AC231981.1	LOW_EXPRESSION
RNASEH1-AS1	TESTED
RPS7	TESTED
COLEC11	TESTED
SOX11	LOW_EXPRESSION
RSAD2	TESTED
RNF144A	LOW_EXPRESSION
LINC01871	LOW_EXPRESSION
ID2	TESTED
AC093904.4	LOW_EXPRESSION
AC093904.3	LOW_EXPRESSION
ASAP2	TESTED
CPSF3	TESTED
IAH1	TESTED
AC073195.1	LOW_EXPRESSION
TAF1B	TESTED
AC010969.2	LOW_EXPRESSION
GRHL1	TESTED
KLF11	TESTED
RRM2	LOW_EXPRESSION
AC007240.1	LOW_EXPRESSION
C2orf48	TESTED
HPCAL1	TESTED
AC007249.2	LOW_EXPRESSION
RN7SL832P	TESTED
ATP6V1C2	TESTED
LINC01954	LOW_EXPRESSION
KCNF1	LOW_EXPRESSION
PQLC3	TESTED
LINC00570	LOW_EXPRESSION
GREB1	LOW_EXPRESSION
LPIN1	TESTED
MIR3681HG	LOW_EXPRESSION
AC009486.1	LOW_EXPRESSION
TRIB2	TESTED
FAM84A	TESTED
DDX1	TESTED
MYCN	TESTED
AC010745.1	LOW_EXPRESSION
VSNL1	TESTED
GEN1	TESTED
LINC00954	LOW_EXPRESSION
AC013400.1	LOW_EXPRESSION
AC098828.2	LOW_EXPRESSION
RHOB	TESTED
AC023137.1	LOW_EXPRESSION
GDF7	LOW_EXPRESSION
TDRD15	LOW_EXPRESSION
KLHL29	LOW_EXPRESSION
UBXN2A	TESTED
FKBP1B	TESTED
FAM228B	LOW_EXPRESSION
NCOA1	TESTED
CENPO	TESTED
AC012073.1	LOW_EXPRESSION
DNAJC27-AS1	LOW_EXPRESSION
EFR3B	LOW_EXPRESSION
AC104699.1	LOW_EXPRESSION
RAB10	TESTED
GAREM2	LOW_EXPRESSION
HADHB	TESTED
SELENOI	TESTED
DRC1	LOW_EXPRESSION
C2orf70	TESTED
KCNK3	LOW_EXPRESSION
SLC35F6	LOW_EXPRESSION
CENPA	LOW_EXPRESSION
MAPRE3	TESTED
TMEM214	TESTED
AGBL5	TESTED
EMILIN1	LOW_EXPRESSION
KHK	TESTED
ABHD1	LOW_EXPRESSION
TCF23	LOW_EXPRESSION
ATRAID	TESTED
CAD	TESTED
TRIM54	TESTED
AC074117.1	LOW_EXPRESSION
SNX17	TESTED
NRBP1	TESTED
KRTCAP3	TESTED
GCKR	LOW_EXPRESSION
ZNF512	TESTED
GPN1	TESTED
SLC4A1AP	TESTED
MRPL33	TESTED
BABAM2	TESTED
FOSL2	TESTED
AC104695.3	TESTED
PLB1	LOW_EXPRESSION
PPP1CB	TESTED
SPDYA	LOW_EXPRESSION
WDR43	TESTED
TOGARAM2	LOW_EXPRESSION
CLIP4	LOW_EXPRESSION
YPEL5	TESTED
LBH	TESTED
LINC01936	LOW_EXPRESSION
LCLAT1	TESTED
EHD3	LOW_EXPRESSION
AL121655.1	LOW_EXPRESSION
SPAST	TESTED
SLC30A6	TESTED
YIPF4	TESTED
AL133245.1	LOW_EXPRESSION
BIRC6	TESTED
TTC27	TESTED
LTBP1	TESTED
RASGRP3	LOW_EXPRESSION
LINC01317	LOW_EXPRESSION
CRIM1	TESTED
VIT	LOW_EXPRESSION
GPATCH11	TESTED
CEBPZOS	TESTED
NDUFAF7	TESTED
QPCT	TESTED
AC006369.1	LOW_EXPRESSION
RMDN2	LOW_EXPRESSION
CYP1B1-AS1	LOW_EXPRESSION
GALM	TESTED
GEMIN6	TESTED
MORN2	TESTED
ARHGEF33	LOW_EXPRESSION
AC007388.1	TESTED
TMEM178A	LOW_EXPRESSION
SLC8A1-AS1	LOW_EXPRESSION
LINC01913	LOW_EXPRESSION
PKDCC	TESTED
EML4	TESTED
MTA3	TESTED
LINC01126	LOW_EXPRESSION
AC010883.1	LOW_EXPRESSION
PLEKHH2	TESTED
DYNC2LI1	TESTED
ABCG8	LOW_EXPRESSION
PPM1B	TESTED
SLC3A1	TESTED
CAMKMT	TESTED
SIX3	LOW_EXPRESSION
PRKCE	TESTED
EPAS1	TESTED
RHOQ	TESTED
CRIPT	TESTED
SOCS5	TESTED
AC016722.3	LOW_EXPRESSION
LINC01119	LOW_EXPRESSION
AC016722.2	LOW_EXPRESSION
TTC7A	TESTED
EPCAM	TESTED
MSH2	TESTED
MSH6	TESTED
AC079807.1	LOW_EXPRESSION
FOXN2	TESTED
PPP1R21	TESTED
AC009975.1	TESTED
CHAC2	TESTED
ERLEC1	TESTED
ACYP2	TESTED
SPTBN1	TESTED
EML6	LOW_EXPRESSION
RPS27A	TESTED
AC012358.3	LOW_EXPRESSION
CFAP36	TESTED
AC015982.1	TESTED
CCDC85A	LOW_EXPRESSION
VRK2	TESTED
AC007250.1	LOW_EXPRESSION
LINC01122	LOW_EXPRESSION
PAPOLG	TESTED
REL	TESTED
PEX13	TESTED
KIAA1841	TESTED
C2orf74	LOW_EXPRESSION
AC016727.1	LOW_EXPRESSION
AC107081.2	LOW_EXPRESSION
COMMD1	TESTED
B3GNT2	TESTED
AC093159.1	LOW_EXPRESSION
EHBP1	TESTED
OTX1	LOW_EXPRESSION
MDH1	TESTED
UGP2	TESTED
AC012368.1	LOW_EXPRESSION
LGALSL	TESTED
AFTPH	TESTED
AC007365.1	LOW_EXPRESSION
SLC1A4	TESTED
LINC02576	LOW_EXPRESSION
CEP68	TESTED
ACTR2	TESTED
AC007389.5	LOW_EXPRESSION
LINC01873	LOW_EXPRESSION
MEIS1	LOW_EXPRESSION
ETAA1	TESTED
PNO1	TESTED
AC017083.2	LOW_EXPRESSION
AC017083.1	TESTED
PLEK	LOW_EXPRESSION
APLF	LOW_EXPRESSION
ARHGAP25	LOW_EXPRESSION
LINC01888	LOW_EXPRESSION
ANTXR1	LOW_EXPRESSION
ANXA4	TESTED
GMCL1	TESTED
SNRNP27	TESTED
MXD1	TESTED
PCBP1	TESTED
AC016700.3	LOW_EXPRESSION
PCYOX1	TESTED
AC022201.2	LOW_EXPRESSION
AC022201.1	LOW_EXPRESSION
ANKRD53	LOW_EXPRESSION
NAGK	TESTED
MPHOSPH10	TESTED
ZNF638	TESTED
DYSF	LOW_EXPRESSION
SPR	TESTED
EMX1	LOW_EXPRESSION
NOTO	LOW_EXPRESSION
SMYD5	TESTED
CCT7	TESTED
ALMS1	TESTED
STAMBP	TESTED
ACTG2	LOW_EXPRESSION
DGUOK	TESTED
AC073046.1	LOW_EXPRESSION
TET3	TESTED
BOLA3-AS1	LOW_EXPRESSION
MTHFD2	TESTED
WDR54	TESTED
TTC31	TESTED
AC005041.3	LOW_EXPRESSION
LBX2-AS1	LOW_EXPRESSION
TLX2	LOW_EXPRESSION
HTRA2	TESTED
DOK1	TESTED
SEMA4F	LOW_EXPRESSION
HK2	TESTED
LINC01291	LOW_EXPRESSION
POLE4	TESTED
AC007681.1	LOW_EXPRESSION
AC007099.1	LOW_EXPRESSION
MRPL19	TESTED
AC005034.4	LOW_EXPRESSION
REG3G	LOW_EXPRESSION
REG1A	TESTED
CTNNA2	LOW_EXPRESSION
DNAH6	LOW_EXPRESSION
TMSB10	TESTED
KCMF1	TESTED
TCF7L1	TESTED
ELMOD3	LOW_EXPRESSION
SH2D6	TESTED
MAT2A	TESTED
VAMP8	TESTED
VAMP5	TESTED
RNF181	TESTED
USP39	TESTED
GNLY	TESTED
ATOH8	LOW_EXPRESSION
ST3GAL5-AS1	LOW_EXPRESSION
AC012511.1	LOW_EXPRESSION
PTCD3	TESTED
AC009309.1	TESTED
MRPL35	TESTED
KDM3A	TESTED
AC015971.1	LOW_EXPRESSION
RMND5A	TESTED
RGPD1	LOW_EXPRESSION
IGKV3OR2-268	LOW_EXPRESSION
CYTOR	TESTED
THNSL2	TESTED
AC104134.1	LOW_EXPRESSION
AC062029.1	TESTED
RPIA	TESTED
IGKV4-1	LOW_EXPRESSION
IGKV5-2	LOW_EXPRESSION
IGKV1D-39	LOW_EXPRESSION
IGKV2D-30	LOW_EXPRESSION
IGKV2D-29	LOW_EXPRESSION
IGKV2D-28	LOW_EXPRESSION
IGKV1D-27	LOW_EXPRESSION
IGKV2D-24	LOW_EXPRESSION
IGKV6D-21	LOW_EXPRESSION
IGKV3D-20	LOW_EXPRESSION
IGKV1D-17	LOW_EXPRESSION
IGKV1D-16	LOW_EXPRESSION
IGKV3D-15	LOW_EXPRESSION
IGKV1D-13	LOW_EXPRESSION
IGKV1D-12	LOW_EXPRESSION
IGKV3D-11	LOW_EXPRESSION
IGKV1D-43	LOW_EXPRESSION
IGKV1D-8	LOW_EXPRESSION
AC233266.2	LOW_EXPRESSION
TEKT4	LOW_EXPRESSION
MAL	LOW_EXPRESSION
ZNF2	LOW_EXPRESSION
AC092835.1	LOW_EXPRESSION
PROM2	TESTED
KCNIP3	LOW_EXPRESSION
FAHD2A	TESTED
AC009237.15	LOW_EXPRESSION
CIAO1	TESTED
ITPRIPL1	LOW_EXPRESSION
NCAPH	TESTED
ARID5A	TESTED
CNNM4	TESTED
CNNM3	TESTED
ANKRD36	TESTED
COX5B	TESTED
C2orf92	LOW_EXPRESSION
ZAP70	LOW_EXPRESSION
VWA3B	LOW_EXPRESSION
CNGA3	LOW_EXPRESSION
INPP4A	TESTED
UNC50	TESTED
AC079447.1	LOW_EXPRESSION
LIPT1	LOW_EXPRESSION
MRPL30	LOW_EXPRESSION
EIF5B	TESTED
AC018690.1	LOW_EXPRESSION
AC092667.1	LOW_EXPRESSION
LINC01104	LOW_EXPRESSION
PDCL3	TESTED
NPAS2	TESTED
RPL31	TESTED
TBC1D8-AS1	LOW_EXPRESSION
CNOT11	TESTED
MAP4K4	TESTED
LINC01127	LOW_EXPRESSION
IL1R2	TESTED
IL1R1	LOW_EXPRESSION
IL1RL2	LOW_EXPRESSION
IL1RL1	LOW_EXPRESSION
IL18R1	LOW_EXPRESSION
IL18RAP	LOW_EXPRESSION
SLC9A2	TESTED
TMEM182	LOW_EXPRESSION
POU3F3	LOW_EXPRESSION
MRPS9	TESTED
AC012360.1	LOW_EXPRESSION
C2orf49	TESTED
NCK2	TESTED
C2orf40	LOW_EXPRESSION
SULT1C3	TESTED
SULT1C2	TESTED
SULT1C4	LOW_EXPRESSION
GCC2	TESTED
LIMS1	TESTED
RANBP2	TESTED
CCDC138	TESTED
SH3RF3	LOW_EXPRESSION
SOWAHC	TESTED
RGPD5	LOW_EXPRESSION
LINC01123	TESTED
ACOXL	LOW_EXPRESSION
BCL2L11	TESTED
MERTK	LOW_EXPRESSION
TMEM87B	TESTED
FBLN7	LOW_EXPRESSION
ZC3H6	TESTED
TTL	TESTED
POLR1B	TESTED
CHCHD5	TESTED
AC012442.1	LOW_EXPRESSION
SLC20A1	TESTED
NT5DC4	LOW_EXPRESSION
IL37	LOW_EXPRESSION
IL1RN	TESTED
PSD4	TESTED
IGKV1OR2-108	LOW_EXPRESSION
AC016745.2	LOW_EXPRESSION
CBWD2	TESTED
FOXD4L1	LOW_EXPRESSION
RABL2A	LOW_EXPRESSION
ACTR3	TESTED
LINC01191	LOW_EXPRESSION
DPP10	LOW_EXPRESSION
DDX18	TESTED
AC009404.1	TESTED
INSIG2	TESTED
MARCO	LOW_EXPRESSION
STEAP3	TESTED
DBI	TESTED
TMEM37	TESTED
TMEM177	LOW_EXPRESSION
PTPN4	TESTED
EPB41L5	TESTED
RALB	TESTED
INHBB	TESTED
GLI2	LOW_EXPRESSION
AC012447.1	LOW_EXPRESSION
NIFK-AS1	LOW_EXPRESSION
TSN	TESTED
GYPC	LOW_EXPRESSION
AC012508.1	LOW_EXPRESSION
AC068282.1	LOW_EXPRESSION
PROC	TESTED
AC010976.1	LOW_EXPRESSION
MYO7B	TESTED
GPR17	LOW_EXPRESSION
SFT2D3	TESTED
AC012306.2	TESTED
UGGT1	TESTED
RAB6C	LOW_EXPRESSION
MZT2B	TESTED
IMP4	TESTED
PTPN18	TESTED
ARHGEF4	TESTED
PLEKHB2	LOW_EXPRESSION
POTEE	LOW_EXPRESSION
AC073869.5	LOW_EXPRESSION
LINC01120	LOW_EXPRESSION
TUBA3D	LOW_EXPRESSION
CCDC74A	LOW_EXPRESSION
LINC01087	LOW_EXPRESSION
GPR39	TESTED
AC010974.1	LOW_EXPRESSION
MGAT5	TESTED
CCNT2	TESTED
RAB3GAP1	TESTED
R3HDM1	TESTED
UBXN4	TESTED
AC011893.1	LOW_EXPRESSION
DARS-AS1	LOW_EXPRESSION
HNMT	TESTED
SPOPL	TESTED
AC092620.1	LOW_EXPRESSION
KYNU	LOW_EXPRESSION
ARHGAP15	LOW_EXPRESSION
ZEB2-AS1	LOW_EXPRESSION
ACVR2A	TESTED
MBD5	LOW_EXPRESSION
EPC2	TESTED
KIF5C	LOW_EXPRESSION
LYPD6B	TESTED
LYPD6	LOW_EXPRESSION
AC007364.1	LOW_EXPRESSION
TNFAIP6	LOW_EXPRESSION
RIF1	TESTED
FMNL2	TESTED
ARL6IP6	TESTED
GALNT13	LOW_EXPRESSION
KCNJ3	TESTED
GPD2	LOW_EXPRESSION
GALNT5	TESTED
PKP4	TESTED
DAPL1	LOW_EXPRESSION
TANC1	TESTED
AC008277.1	LOW_EXPRESSION
AC009506.1	LOW_EXPRESSION
MARCH7	TESTED
TANK	TESTED
LINC01806	TESTED
PSMD14	TESTED
SLC4A10	LOW_EXPRESSION
AC008063.1	LOW_EXPRESSION
AC007750.1	LOW_EXPRESSION
GCA	TESTED
AC019197.1	LOW_EXPRESSION
SCN2A	LOW_EXPRESSION
CSRNP3	TESTED
AC009495.3	LOW_EXPRESSION
AC010127.1	LOW_EXPRESSION
AC073050.1	LOW_EXPRESSION
B3GALT1	LOW_EXPRESSION
CERS6	TESTED
NOSTRIN	TESTED
DHRS9	TESTED
AC007556.1	LOW_EXPRESSION
BBS5	LOW_EXPRESSION
KLHL41	LOW_EXPRESSION
PPIG	TESTED
PHOSPHO2	LOW_EXPRESSION
KLHL23	TESTED
SSB	TESTED
UBR3	TESTED
MYO3B	LOW_EXPRESSION
SP5	TESTED
AC007405.3	TESTED
ERICH2	LOW_EXPRESSION
GAD1	TESTED
GORASP2	TESTED
DCAF17	TESTED
CYBRD1	LOW_EXPRESSION
DYNC1I2	TESTED
HAT1	TESTED
METAP1D	TESTED
DLX1	LOW_EXPRESSION
ITGA6	TESTED
PDK1	TESTED
RAPGEF4	LOW_EXPRESSION
MAP3K20	TESTED
CDCA7	TESTED
AC106900.2	LOW_EXPRESSION
AC016737.1	LOW_EXPRESSION
SP9	LOW_EXPRESSION
SCRN3	TESTED
AC010894.2	LOW_EXPRESSION
AC010894.3	LOW_EXPRESSION
AC093459.1	LOW_EXPRESSION
HOXD13	TESTED
HOXD12	LOW_EXPRESSION
HOXD11	LOW_EXPRESSION
HOXD10	TESTED
HOXD9	TESTED
HOXD8	TESTED
HOXD3	LOW_EXPRESSION
HAGLROS	TESTED
HOXD1	TESTED
MTX2	TESTED
LINC01117	LOW_EXPRESSION
HNRNPA3	TESTED
AC079305.1	LOW_EXPRESSION
AGPS	TESTED
RBM45	TESTED
OSBPL6	LOW_EXPRESSION
AC009948.1	LOW_EXPRESSION
PJVK	LOW_EXPRESSION
PLEKHA3	TESTED
TTN-AS1	LOW_EXPRESSION
UBE2E3	LOW_EXPRESSION
LINC01934	LOW_EXPRESSION
ITGA4	LOW_EXPRESSION
SSFA2	TESTED
DNAJC10	TESTED
DUSP19	LOW_EXPRESSION
NUP35	TESTED
AC021851.1	LOW_EXPRESSION
ZNF804A	LOW_EXPRESSION
FSIP2	TESTED
ZC3H15	TESTED
ITGAV	TESTED
FAM171B	LOW_EXPRESSION
AC007319.1	LOW_EXPRESSION
GULP1	TESTED
COL3A1	TESTED
AC133106.1	LOW_EXPRESSION
WDR75	TESTED
ASNSD1	TESTED
ANKAR	TESTED
OSGEPL1-AS1	LOW_EXPRESSION
PMS1	TESTED
C2orf88	TESTED
INPP1	TESTED
MFSD6	TESTED
AC108047.1	TESTED
NAB1	TESTED
GLS	TESTED
MYO1B	TESTED
NABP1	TESTED
AC104823.1	LOW_EXPRESSION
LINC01825	LOW_EXPRESSION
SLC39A10	TESTED
AC114760.2	LOW_EXPRESSION
AC020571.1	LOW_EXPRESSION
CCDC150	LOW_EXPRESSION
AC013264.1	LOW_EXPRESSION
AC010746.1	LOW_EXPRESSION
COQ10B	TESTED
HSPE1	TESTED
MOB4	TESTED
AC011997.1	LOW_EXPRESSION
PLCL1	LOW_EXPRESSION
AC016746.1	LOW_EXPRESSION
SATB2-AS1	TESTED
C2orf69	LOW_EXPRESSION
MAIP1	LOW_EXPRESSION
SPATS2L	TESTED
SGO2	TESTED
AOX1	LOW_EXPRESSION
BZW1	TESTED
NIF3L1	TESTED
AC005037.1	LOW_EXPRESSION
NDUFB3	TESTED
AC007272.1	LOW_EXPRESSION
CFLAR	TESTED
CASP10	TESTED
CASP8	TESTED
STRADB	TESTED
CDK15	LOW_EXPRESSION
FZD7	TESTED
KIAA2012	LOW_EXPRESSION
NOP58	TESTED
AC064836.2	LOW_EXPRESSION
BMPR2	TESTED
FAM117B	TESTED
CARF	TESTED
NBEAL1	TESTED
CYP20A1	TESTED
ABI2	TESTED
CD28	LOW_EXPRESSION
CTLA4	LOW_EXPRESSION
ICOS	LOW_EXPRESSION
PARD3B	TESTED
NRP2	TESTED
AC007679.1	LOW_EXPRESSION
AC007383.2	LOW_EXPRESSION
AC007383.3	LOW_EXPRESSION
EEF1B2	TESTED
ZDBF2	LOW_EXPRESSION
ADAM23	LOW_EXPRESSION
FASTKD2	TESTED
AC008269.1	LOW_EXPRESSION
CREB1	TESTED
LINC01857	LOW_EXPRESSION
CCNYL1	LOW_EXPRESSION
IDH1-AS1	LOW_EXPRESSION
PIKFYVE	TESTED
MAP2	LOW_EXPRESSION
UNC80	LOW_EXPRESSION
RPE	TESTED
AC007038.2	LOW_EXPRESSION
AC007038.1	LOW_EXPRESSION
CPS1	LOW_EXPRESSION
AC079610.2	LOW_EXPRESSION
SPAG16	LOW_EXPRESSION
AC016708.1	LOW_EXPRESSION
ATIC	TESTED
TMEM169	LOW_EXPRESSION
XRCC5	TESTED
LINC01963	LOW_EXPRESSION
SMARCAL1	TESTED
RPL37A	TESTED
IGFBP2	TESTED
AC007563.2	LOW_EXPRESSION
AC010136.1	LOW_EXPRESSION
RUFY4	LOW_EXPRESSION
CXCR2	LOW_EXPRESSION
ARPC2	TESTED
GPBAR1	LOW_EXPRESSION
PNKD	TESTED
CATIP	LOW_EXPRESSION
SLC11A1	LOW_EXPRESSION
CTDSP1	TESTED
VIL1	TESTED
CNOT9	TESTED
BCS1L	TESTED
STK36	TESTED
TTLL4	TESTED
CYP27A1	TESTED
AC009974.1	LOW_EXPRESSION
WNT6	LOW_EXPRESSION
WNT10A	LOW_EXPRESSION
CDK5R2	LOW_EXPRESSION
AC097468.1	LOW_EXPRESSION
RETREG2	TESTED
ZFAND2B	TESTED
ANKZF1	TESTED
STK16	TESTED
DNAJB2	TESTED
AC053503.2	LOW_EXPRESSION
DES	TESTED
SPEG	TESTED
GMPPA	TESTED
ASIC4	LOW_EXPRESSION
TMEM198	LOW_EXPRESSION
STK11IP	TESTED
SLC4A3	LOW_EXPRESSION
AC009502.1	LOW_EXPRESSION
AC079834.2	LOW_EXPRESSION
SGPP2	TESTED
MOGAT1	LOW_EXPRESSION
ACSL3	TESTED
KCNE4	LOW_EXPRESSION
MRPL44	TESTED
AC073052.2	LOW_EXPRESSION
NYAP2	LOW_EXPRESSION
AC016717.2	LOW_EXPRESSION
RHBDD1	TESTED
COL4A3	LOW_EXPRESSION
MFF	TESTED
AGFG1	TESTED
SCYGR4	LOW_EXPRESSION
CCL20	TESTED
FBXO36	LOW_EXPRESSION
SP140	LOW_EXPRESSION
SP140L	TESTED
SP100	TESTED
CAB39	TESTED
ITM2C	TESTED
AC012507.2	LOW_EXPRESSION
C2orf72	TESTED
PSMD1	TESTED
ARMC9	TESTED
B3GNT7	TESTED
AC017104.3	LOW_EXPRESSION
PTMA	TESTED
COPS7B	TESTED
DIS3L2	TESTED
ALPP	TESTED
ALPG	TESTED
ALPI	LOW_EXPRESSION
PRSS56	TESTED
CHRND	LOW_EXPRESSION
EIF4E2	TESTED
EFHD1	LOW_EXPRESSION
GIGYF2	TESTED
SNORC	TESTED
INPP5D	TESTED
ATG16L1	TESTED
SAG	LOW_EXPRESSION
DGKD	TESTED
UGT1A8	LOW_EXPRESSION
TRPM8	LOW_EXPRESSION
SH3BP4	TESTED
AGAP1	TESTED
AC019068.1	LOW_EXPRESSION
AC093915.1	LOW_EXPRESSION
ACKR3	LOW_EXPRESSION
COPS8	TESTED
AC112715.1	LOW_EXPRESSION
MLPH	TESTED
AC104667.2	LOW_EXPRESSION
LRRFIP1	TESTED
RBM44	LOW_EXPRESSION
RAMP1	TESTED
UBE2F	LOW_EXPRESSION
SCLY	LOW_EXPRESSION
ESPNL	LOW_EXPRESSION
KLHL30	LOW_EXPRESSION
ERFE	LOW_EXPRESSION
AC012485.3	TESTED
TRAF3IP1	TESTED
ASB1	TESTED
TWIST2	LOW_EXPRESSION
AC062017.1	LOW_EXPRESSION
GPC1	TESTED
DUSP28	TESTED
RNPEPL1	TESTED
CAPN10	LOW_EXPRESSION
GPR35	TESTED
AC011298.1	LOW_EXPRESSION
AQP12A	LOW_EXPRESSION
AGXT	LOW_EXPRESSION
SNED1	LOW_EXPRESSION
PPP1R7	TESTED
ANO7	TESTED
SEPT2	TESTED
FARP2	TESTED
BOK	TESTED
AC133528.1	LOW_EXPRESSION
ATG4B	TESTED
ING5	TESTED
D2HGDH	TESTED
GAL3ST2	LOW_EXPRESSION
NEU4	TESTED
AC131097.4	LOW_EXPRESSION
RTP5	LOW_EXPRESSION
C20orf96	TESTED
NRSN2-AS1	TESTED
TBC1D20	TESTED
CSNK2A1	TESTED
TCF15	LOW_EXPRESSION
SLC52A3	TESTED
ANGPT4	LOW_EXPRESSION
AL031665.2	LOW_EXPRESSION
TMEM74B	TESTED
SDCBP2	TESTED
FKBP1A	LOW_EXPRESSION
NSFL1C	TESTED
SIRPG	LOW_EXPRESSION
AL117335.1	LOW_EXPRESSION
SNRPB	TESTED
IDH3B	TESTED
CPXM1	LOW_EXPRESSION
PCED1A	TESTED
UBOX5	TESTED
FASTKD5	LOW_EXPRESSION
LZTS3	TESTED
DDRGK1	TESTED
SLC4A11	TESTED
C20orf194	LOW_EXPRESSION
ADAM33	LOW_EXPRESSION
SIGLEC1	LOW_EXPRESSION
C20orf27	TESTED
SPEF1	LOW_EXPRESSION
CENPB	TESTED
AL353194.1	TESTED
AL031670.1	LOW_EXPRESSION
RNF24	TESTED
ADRA1D	LOW_EXPRESSION
RASSF2	LOW_EXPRESSION
SLC23A2	TESTED
AL121890.2	LOW_EXPRESSION
AL121890.5	LOW_EXPRESSION
AL121890.4	LOW_EXPRESSION
TMEM230	LOW_EXPRESSION
PCNA	TESTED
LINC00654	LOW_EXPRESSION
LINC01729	LOW_EXPRESSION
GPCPD1	TESTED
TRMT6	TESTED
MCM8-AS1	LOW_EXPRESSION
AL118505.1	TESTED
FERMT1	TESTED
TMX4	TESTED
MKKS	TESTED
JAG1	TESTED
AL161938.1	LOW_EXPRESSION
AL035448.1	LOW_EXPRESSION
TASP1	TESTED
ESF1	TESTED
FLRT3	TESTED
KIF16B	TESTED
BFSP1	LOW_EXPRESSION
RRBP1	TESTED
AL035045.1	LOW_EXPRESSION
SNX5	TESTED
OVOL2	LOW_EXPRESSION
DZANK1	LOW_EXPRESSION
RBBP9	TESTED
AL121761.2	LOW_EXPRESSION
CRNKL1	TESTED
RALGAPA2	TESTED
AL117332.1	LOW_EXPRESSION
AL133325.3	LOW_EXPRESSION
NKX2-2	LOW_EXPRESSION
LINC00261	LOW_EXPRESSION
LINC01384	LOW_EXPRESSION
THBD	LOW_EXPRESSION
CD93	LOW_EXPRESSION
AL390037.1	LOW_EXPRESSION
AL096677.1	LOW_EXPRESSION
LINC01431	LOW_EXPRESSION
NAPB	TESTED
CST9	LOW_EXPRESSION
CST3	TESTED
CST1	LOW_EXPRESSION
CST2	LOW_EXPRESSION
APMAP	TESTED
ACSS1	TESTED
AL121772.1	LOW_EXPRESSION
AL121772.2	LOW_EXPRESSION
