gene	status
INSL5	LOW_EXPRESSION
WDR78	TESTED
SLC35D1	TESTED
SERBP1	TESTED
GNG12	TESTED
DIRAS3	LOW_EXPRESSION
WLS	TESTED
DEPDC1	TESTED
LRRC40	TESTED
AL353771.1	LOW_EXPRESSION
ANKRD13C	TESTED
PTGER3	LOW_EXPRESSION
ZRANB2	TESTED
NEGR1	LOW_EXPRESSION
AL583808.1	LOW_EXPRESSION
LRRIQ3	LOW_EXPRESSION
AC135803.1	LOW_EXPRESSION
CRYZ	TESTED
SLC44A5	TESTED
PIGK	TESTED
AC118549.1	TESTED
USP33	TESTED
NEXN-AS1	LOW_EXPRESSION
FUBP1	TESTED
AC103591.3	TESTED
ADGRL4	LOW_EXPRESSION
LINC01361	LOW_EXPRESSION
LINC01725	LOW_EXPRESSION
TTLL7	LOW_EXPRESSION
AL359504.2	LOW_EXPRESSION
GNG5	TESTED
CTBS	TESTED
LINC01555	LOW_EXPRESSION
SSX2IP	TESTED
LPAR3	TESTED
MCOLN2	TESTED
MCOLN3	TESTED
SYDE2	TESTED
C1orf52	TESTED
BCL10	TESTED
DDAH1	TESTED
AC092807.2	LOW_EXPRESSION
ZNHIT6	TESTED
COL24A1	LOW_EXPRESSION
AL136382.1	LOW_EXPRESSION
ODF2L	TESTED
AL356270.1	LOW_EXPRESSION
AL049597.2	LOW_EXPRESSION
SELENOF	TESTED
GTF2B	TESTED
KYAT3	TESTED
RBMXL1	LOW_EXPRESSION
GBP3	TESTED
GBP1	TESTED
GBP2	TESTED
GBP4	TESTED
GBP5	LOW_EXPRESSION
LRRC8C-DT	LOW_EXPRESSION
AC099568.2	LOW_EXPRESSION
AC091614.1	LOW_EXPRESSION
ZNF644	TESTED
HFM1	LOW_EXPRESSION
TGFBR3	TESTED
SETSIP	LOW_EXPRESSION
GLMN	TESTED
GFI1	LOW_EXPRESSION
EVI5	TESTED
FAM69A	LOW_EXPRESSION
TMED5	TESTED
BCAR3	TESTED
DNTTIP2	TESTED
GCLM	TESTED
ABCA4	LOW_EXPRESSION
ARHGAP29	TESTED
F3	TESTED
CNN3	TESTED
ALG14	TESTED
AC092802.1	LOW_EXPRESSION
DPYD	LOW_EXPRESSION
PLPPR5	LOW_EXPRESSION
