pathway_id	pathway	direction	pathway_P	gene	log2FC	gene_P	depth_log2FC	depth_P	donors_high_greater	donors_high_lower
R-HSA-913709	O-linked glycosylation of mucins	lower_in_LYPLA1_high	0.0341054943317262	B3GNT7	-0.550001844594402	0.0199480175579301	-1.11646642336889	0.0541135547718461	3	5
R-HSA-913709	O-linked glycosylation of mucins	lower_in_LYPLA1_high	0.0341054943317262	MUC5AC	-1.26079765336936	0.0013244835265718	0.630878975746746	0.522067607645272	3	4
R-HSA-76005	Response to elevated platelet cytosolic Ca2+	higher_in_LYPLA1_high	0.034475270240054	CD109	0.973946368748414	0.0221609947372771	2.55575057484836	0.0844291298101761	5	2
R-HSA-76005	Response to elevated platelet cytosolic Ca2+	higher_in_LYPLA1_high	0.034475270240054	PPBP	1.40896227156468	0.0012895995895425	2.14840008945387	0.10807351377318	4	0
R-HSA-109582	Hemostasis	higher_in_LYPLA1_high	0.0374231099611171	CD109	0.973946368748414	0.0221609947372771	2.55575057484836	0.0844291298101761	5	2
R-HSA-109582	Hemostasis	higher_in_LYPLA1_high	0.0374231099611171	MMP1	0.609323037634799	0.0078546628476107	-0.224185812027828	0.921595219226887	4	1
R-HSA-109582	Hemostasis	higher_in_LYPLA1_high	0.0374231099611171	PLCG2	0.741685589158526	0.0318963160250333	0.72773418807272	0.550700076118474	8	0
R-HSA-109582	Hemostasis	higher_in_LYPLA1_high	0.0374231099611171	PPBP	1.40896227156468	0.0012895995895425	2.14840008945387	0.10807351377318	4	0
R-HSA-187037	Signaling by NTRK1 (TRKA)	lower_in_LYPLA1_high	0.0411751274485841	EGR2	-0.603922966437717	0.0016153313215464	0.156093601329864	0.749258658158976	2	6
R-HSA-187037	Signaling by NTRK1 (TRKA)	lower_in_LYPLA1_high	0.0411751274485841	REST	-0.588500173417391	0.0474301741550674	-0.807759607224733	0.267709088664094	1	7
R-HSA-187037	Signaling by NTRK1 (TRKA)	lower_in_LYPLA1_high	0.0411751274485841	SHC2	-0.733715514625145	0.0084276960802487	-2.06468239562218	0.000479143910648	2	6
R-HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	lower_in_LYPLA1_high	0.0415794225645279	COL1A2	-1.06656192149041	0.0249637541097621	0.156548966370605	0.942182812853163	1	5
R-HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	lower_in_LYPLA1_high	0.0415794225645279	NPDC1	-0.634909720359233	0.0266134415463823	-0.481381957152733	0.301168011953306	2	6
R-HSA-375276	Peptide ligand-binding receptors	lower_in_LYPLA1_high	0.0475493029308842	EDN3	-0.966046862739148	0.0011675872973539	-1.12540362569222	0.149758464632616	0	8
R-HSA-375276	Peptide ligand-binding receptors	lower_in_LYPLA1_high	0.0475493029308842	NPW	-0.776669221553721	0.0469320256990993	-0.311184789001265	0.772551410608985	2	6
R-HSA-5668914	Diseases of metabolism	lower_in_LYPLA1_high	0.0477394307991852	ALDOB	-0.65639320749599	0.0122401385605438	0.293312864517853	0.377299647094338	3	5
R-HSA-5668914	Diseases of metabolism	lower_in_LYPLA1_high	0.0477394307991852	FMOD	-0.507868902371108	0.0378461002499425	0.226255118510722	0.700466564660411	2	5
R-HSA-5668914	Diseases of metabolism	lower_in_LYPLA1_high	0.0477394307991852	MUC5AC	-1.26079765336936	0.0013244835265718	0.630878975746746	0.522067607645272	3	4
R-HSA-5668914	Diseases of metabolism	lower_in_LYPLA1_high	0.0477394307991852	NAGS	-0.548828561891244	0.0234360751697814	-0.359123614137644	0.52290705945058	1	7
