cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	log2FC	logCPM	QL_F	direction	depth_log2FC	depth_p_value	depth_direction_agrees	n_donors	donors_high_greater	donors_high_lower	selected	depth_selected
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	ANPEP	donor	8	8	edgeR_log2FC_high_vs_low	-0.552550285392448	NA	NA	0.0058946039509499	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.552550285392448	3.90040513460981	8.37304340632828	lower_in_LYPLA1_high	0.127142530694291	0.790497571055101	False	8	2	6	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	EMP3	donor	8	8	edgeR_log2FC_high_vs_low	0.536214096793758	NA	NA	0.006014894951999	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	0.536214096793758	3.746108999031	8.33929279976754	higher_in_LYPLA1_high	-0.409294613805878	0.331600721716476	False	8	7	1	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	MYO9B	donor	8	8	edgeR_log2FC_high_vs_low	-0.588497661184752	NA	NA	0.0062600868387909	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.588497661184752	3.38162790984509	8.24286100470658	lower_in_LYPLA1_high	-1.30721253412793	0.0085757568740629	True	8	0	8	True	True
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	PLCD1	donor	8	8	edgeR_log2FC_high_vs_low	-0.617347988609025	NA	NA	0.0065333016621325	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.617347988609025	3.2019985600897	8.15070931285969	lower_in_LYPLA1_high	0.111867181483578	0.849793392160082	False	8	1	7	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	TTC30B	donor	8	8	edgeR_log2FC_high_vs_low	-0.596586927852677	NA	NA	0.0072694039878374	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.596586927852677	3.30252748346852	7.92147233583094	lower_in_LYPLA1_high	-0.995932353951988	0.0627889550889715	True	8	0	8	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	PRKCG	donor	8	8	edgeR_log2FC_high_vs_low	-1.37536769027995	NA	NA	0.0073899537976585	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-1.37536769027995	1.8458081975509	7.90391861905643	lower_in_LYPLA1_high	-1.03579628836594	0.487858598206714	True	8	2	5	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	TMEM150C	donor	8	8	edgeR_log2FC_high_vs_low	-0.912069523888494	NA	NA	0.0076340489289472	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.912069523888494	2.45063758433173	7.85245653628938	lower_in_LYPLA1_high	-0.703102370292943	0.41225378842867	True	8	1	5	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	MMP1	donor	8	8	edgeR_log2FC_high_vs_low	0.609323037634799	NA	NA	0.0078546628476107	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	0.609323037634799	4.45156737554716	7.88333430988461	higher_in_LYPLA1_high	-0.224185812027828	0.921595219226887	False	8	4	1	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	C11orf96	donor	8	8	edgeR_log2FC_high_vs_low	-1.11251059112076	NA	NA	0.0079042330152903	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-1.11251059112076	2.06159476664449	7.75981521704409	lower_in_LYPLA1_high	-0.720420471907391	0.355302894801471	True	8	0	7	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	NEK1	donor	8	8	edgeR_log2FC_high_vs_low	-0.551484825296346	NA	NA	0.0082151606651215	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.551484825296346	3.51832435864046	7.66074350074011	lower_in_LYPLA1_high	-0.430096694589184	0.349072399023399	True	8	0	8	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	SHC2	donor	8	8	edgeR_log2FC_high_vs_low	-0.733715514625145	NA	NA	0.0084276960802487	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.733715514625145	2.93991699188915	7.61998936910818	lower_in_LYPLA1_high	-2.06468239562218	0.000479143910648	True	8	2	6	True	True
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	DPP4	donor	8	8	edgeR_log2FC_high_vs_low	0.522529958937709	NA	NA	0.0085964329063986	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	0.522529958937709	3.76880483143873	7.56454923732343	higher_in_LYPLA1_high	0.660375309860397	0.0355351393239475	True	8	7	1	True	True
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	RGCC	donor	8	8	edgeR_log2FC_high_vs_low	0.501930578408898	NA	NA	0.0099078010693309	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	0.501930578408898	5.85444271587756	9.26150568244518	higher_in_LYPLA1_high	0.857011429391188	0.008182992772555	True	8	6	2	True	True
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	TFF1	donor	8	8	edgeR_log2FC_high_vs_low	-0.796896925858547	NA	NA	0.0099980227665428	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.796896925858547	8.45059708574143	12.0022492521928	lower_in_LYPLA1_high	-1.01388654100714	0.108821340932937	True	8	1	7	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	LIMCH1	donor	8	8	edgeR_log2FC_high_vs_low	0.611675045793878	NA	NA	0.0106801833258136	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	0.611675045793878	3.00151710076831	7.12279121910475	higher_in_LYPLA1_high	0.322269197599822	0.452315482882975	True	8	7	0	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	REN	donor	8	8	edgeR_log2FC_high_vs_low	0.547138160534551	NA	NA	0.0113539698758678	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	0.547138160534551	4.17696168142479	7.27773641009476	higher_in_LYPLA1_high	-1.01940388896508	0.368849413764074	False	8	3	4	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	STOM	donor	8	8	edgeR_log2FC_high_vs_low	0.695992793143616	NA	NA	0.0116218992970033	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	0.695992793143616	2.72995081506846	6.93231770458442	higher_in_LYPLA1_high	0.429309198817098	0.574468326343149	True	8	7	1	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	WDR81	donor	8	8	edgeR_log2FC_high_vs_low	-0.62443965348858	NA	NA	0.0117837067145847	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.62443965348858	3.01194520604858	6.90362958238109	lower_in_LYPLA1_high	-0.331728550104029	0.517099970878604	True	8	1	7	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	ALDOB	donor	8	8	edgeR_log2FC_high_vs_low	-0.65639320749599	NA	NA	0.0122401385605438	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.65639320749599	4.52909764494811	8.08417187170937	lower_in_LYPLA1_high	0.293312864517853	0.377299647094338	False	8	3	5	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	LRMP	donor	8	8	edgeR_log2FC_high_vs_low	1.78954121277434	NA	NA	0.012271875737319	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	1.78954121277434	5.33380350958921	12.177940546617	higher_in_LYPLA1_high	1.5235513333929	0.541759800895558	True	8	5	2	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	LYPD8	donor	8	8	edgeR_log2FC_high_vs_low	-0.627272789181509	NA	NA	0.0136902935603695	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.627272789181509	3.24372323138764	6.60688719449603	lower_in_LYPLA1_high	-0.462776265176197	0.524695580601236	True	8	2	5	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	AC087623.3	donor	8	8	edgeR_log2FC_high_vs_low	-0.58606362541509	NA	NA	0.0137364826342983	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.58606362541509	3.06076974788558	6.58727327524362	lower_in_LYPLA1_high	-0.438380851275769	0.361378894752252	True	8	1	7	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	SLC29A4	donor	8	8	edgeR_log2FC_high_vs_low	-1.02306180604458	NA	NA	0.0139289658770656	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-1.02306180604458	2.08876005739813	6.57130422842743	lower_in_LYPLA1_high	-1.47010903849002	0.237916459961952	True	8	1	6	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	AL024507.2	donor	8	8	edgeR_log2FC_high_vs_low	-0.779110206054871	NA	NA	0.0142194681059251	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.779110206054871	2.49398762208838	6.51643578300483	lower_in_LYPLA1_high	-0.581638010292879	0.435513432869535	True	8	2	6	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	RTKN2	donor	8	8	edgeR_log2FC_high_vs_low	0.886784612933851	NA	NA	0.0146124878995593	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	0.886784612933851	4.71715618074716	9.12591927880282	higher_in_LYPLA1_high	0.108009305655387	0.938141274232984	True	8	4	3	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	AC022075.1	donor	8	8	edgeR_log2FC_high_vs_low	-0.521573525467969	NA	NA	0.0146818635439406	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.521573525467969	3.37982262488227	6.45098872942349	lower_in_LYPLA1_high	-0.603172633768914	0.140190057700618	True	8	1	7	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	PLXDC2	donor	8	8	edgeR_log2FC_high_vs_low	-0.763094184591999	NA	NA	0.0147057976945272	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.763094184591999	2.8747474405359	6.44766135507176	lower_in_LYPLA1_high	-0.379360981962795	0.548648471266093	True	8	2	6	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T152822Z_lypla1_highlow_nominal_v2	COAD_LYPLA1_highlow_nominal_v2	LYPLA1_high_low	NA	NA	GUCA2B	donor	8	8	edgeR_log2FC_high_vs_low	-1.0911281172347	NA	NA	0.0147227745060289	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-1.0911281172347	2.46390903118813	6.75294721964955	lower_in_LYPLA1_high	1.84164483113816	0.112617411346003	False	8	3	4	True	False
