pathway_id	pathway	direction	background_genes	selected_genes	pathway_tested_genes	overlap	fold_enrichment	p_value	overlap_genes	status	reason	selected
R-HSA-453279	Mitotic G1 phase and G1/S transition	lower_in_LYPLA1_high	11058	92	126	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-4551638	SUMOylation of chromatin organization proteins	higher_in_LYPLA1_high	11058	39	53	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-4551638	SUMOylation of chromatin organization proteins	lower_in_LYPLA1_high	11058	92	53	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-456926	Thrombin signalling through proteinase activated receptors (PARs)	higher_in_LYPLA1_high	11058	39	17	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-456926	Thrombin signalling through proteinase activated receptors (PARs)	lower_in_LYPLA1_high	11058	92	17	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-4570464	SUMOylation of RNA binding proteins	higher_in_LYPLA1_high	11058	39	44	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-4570464	SUMOylation of RNA binding proteins	lower_in_LYPLA1_high	11058	92	44	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-4608870	Asymmetric localization of PCP proteins	higher_in_LYPLA1_high	11058	39	44	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-4608870	Asymmetric localization of PCP proteins	lower_in_LYPLA1_high	11058	92	44	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-4615885	SUMOylation of DNA replication proteins	higher_in_LYPLA1_high	11058	39	44	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-4615885	SUMOylation of DNA replication proteins	lower_in_LYPLA1_high	11058	92	44	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-4641257	Degradation of AXIN	higher_in_LYPLA1_high	11058	39	39	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-4641257	Degradation of AXIN	lower_in_LYPLA1_high	11058	92	39	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-4641258	Degradation of DVL	higher_in_LYPLA1_high	11058	39	40	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-4641258	Degradation of DVL	lower_in_LYPLA1_high	11058	92	40	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-4641262	Disassembly of the destruction complex and recruitment of AXIN to the membrane	higher_in_LYPLA1_high	11058	39	22	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-4641262	Disassembly of the destruction complex and recruitment of AXIN to the membrane	lower_in_LYPLA1_high	11058	92	22	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-4641263	Regulation of FZD by ubiquitination	higher_in_LYPLA1_high	11058	39	15	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-4641263	Regulation of FZD by ubiquitination	lower_in_LYPLA1_high	11058	92	15	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-4791275	Signaling by WNT in cancer	higher_in_LYPLA1_high	11058	39	26	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-4791275	Signaling by WNT in cancer	lower_in_LYPLA1_high	11058	92	26	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
