config	gene	module	module_size	kME	rank	rank_fraction	Pal_kME	Pal_rank_fraction
merge035	NBR1	turquoise	918	0.51002653115358	318	0.34640522875817	0.18126938995728	0.684497816593886
merge035	NPTN	grey	NA	NA	NA	NA	NA	NA
merge035	PHLDA3	grey	NA	NA	NA	NA	NA	NA
merge035	ATP6V1B2	blue	849	0.454123961372475	421	0.495877502944641	0.246523338610343	0.74793875147232
merge035	AP4M1	grey	NA	NA	NA	NA	NA	NA
merge035	ST14	grey	NA	NA	NA	NA	NA	NA
merge035	NAPG	grey	NA	NA	NA	NA	NA	NA
merge035	HIBCH	blue	849	0.324280517675691	757	0.891637220259128	0.436912467360194	0.273262661955241
merge035	TOP2A	yellow	616	0.411284438848802	396	0.642857142857143	0.539138799951712	0.0781758957654723
merge035	OSBPL2	grey	NA	NA	NA	NA	NA	NA
merge035	ABHD2	turquoise	918	0.301179986114281	866	0.943355119825708	0.412834394189821	0.206331877729258
merge035	ATE1	grey	NA	NA	NA	NA	NA	NA
merge035	CBY1	grey	NA	NA	NA	NA	NA	NA
merge035	TRIM4	brown	757	0.409499083790205	538	0.710700132100396	0.371261388961154	0.347424042272127
merge035	DYNC2LI1	grey	NA	NA	NA	NA	NA	NA
merge035	DTX2	grey	NA	NA	NA	NA	NA	NA
merge035	MIF4GD	turquoise	918	0.421670262626561	565	0.615468409586057	0.221136557956789	0.601528384279476
merge035	CDC16	blue	849	0.430560532777506	480	0.565371024734982	0.313307660761408	0.600706713780919
merge035	CLN6	grey	NA	NA	NA	NA	NA	NA
merge035	POLR1C	blue	849	0.465382596302682	395	0.465253239104829	0.337986564840916	0.521790341578327
merge035	DPAGT1	green	227	0.477026215747838	133	0.585903083700441	0.480747039346863	0.127753303964758
merge035	PPP2R5A	brown	757	0.498245781586693	324	0.428005284015852	0.366999750965756	0.364597093791281
merge035	ASAP1	grey	NA	NA	NA	NA	NA	NA
merge035	ORC4	blue	849	0.361031589604807	660	0.777385159010601	0.326984921672797	0.548881036513545
merge035	NBPF1	pink	147	0.408473925804564	100	0.680272108843537	0.0193730366588368	0.780821917808219
merge035	UBTD1	grey	NA	NA	NA	NA	NA	NA
merge035	INF2	grey	NA	NA	NA	NA	NA	NA
merge035	CDK6	yellow	616	0.622868916879491	65	0.105519480519481	0.224393861188091	0.703583061889251
merge035	STX16	turquoise	918	0.430278649955491	543	0.591503267973856	0.286974171947596	0.447598253275109
merge035	FBXL15	grey	NA	NA	NA	NA	NA	NA
merge035	NUMB	grey	NA	NA	NA	NA	NA	NA
merge035	ACTR1B	grey	NA	NA	NA	NA	NA	NA
merge035	IGLV2-14	grey	NA	NA	NA	NA	NA	NA
merge035	OSGEP	grey	NA	NA	NA	NA	NA	NA
merge035	SRGAP1	grey	NA	NA	NA	NA	NA	NA
merge035	FRA10AC1	blue	849	0.352541596471014	686	0.808009422850412	0.185518277203805	0.848056537102474
merge035	WDR6	brown	757	0.556750190365404	192	0.253632760898283	0.34512043933013	0.4332892998679
merge035	LRATD1	grey	NA	NA	NA	NA	NA	NA
merge035	TRNT1	grey	NA	NA	NA	NA	NA	NA
merge035	PNPT1	blue	849	0.399897718002203	558	0.657243816254417	0.204854409563134	0.818610129564193
merge035	HINT3	grey	NA	NA	NA	NA	NA	NA
merge035	ME2	yellow	616	0.474787344750553	283	0.459415584415584	0.176374234363294	0.804560260586319
merge035	ENTPD6	brown	757	0.314966681448868	706	0.932628797886394	0.389380375580917	0.28665785997358
merge035	DNAJC30	grey	NA	NA	NA	NA	NA	NA
merge035	GLIPR1	grey	NA	NA	NA	NA	NA	NA
merge035	SYS1	turquoise	918	0.541871385117048	266	0.289760348583878	0.214626860398084	0.611353711790393
merge035	ENSG00000273149	grey	NA	NA	NA	NA	NA	NA
merge035	TRIP12	grey	NA	NA	NA	NA	NA	NA
merge035	SH3GL1	grey	NA	NA	NA	NA	NA	NA
merge035	PCGF1	pink	147	0.319841520923893	139	0.945578231292517	0.343167146695814	0.226027397260274
merge035	ZNF331	grey	NA	NA	NA	NA	NA	NA
merge035	PAXIP1-DT	turquoise	918	0.455774190212782	456	0.496732026143791	0.159996698589589	0.729257641921397
merge035	IBTK	grey	NA	NA	NA	NA	NA	NA
merge035	CERCAM	turquoise	918	0.289234438135918	883	0.961873638344227	0.185216752433737	0.673580786026201
merge035	TSPAN14	grey	NA	NA	NA	NA	NA	NA
merge035	NEK6	grey	NA	NA	NA	NA	NA	NA
merge035	TSFM	red	213	0.625695296185048	66	0.309859154929577	0.247067738389975	0.570754716981132
merge035	SDHAF1	brown	757	0.265944360784167	738	0.974900924702774	0.0114390811752495	0.963011889035667
merge035	TAPBPL	blue	849	0.294331402939725	798	0.939929328621908	0.233143079720816	0.775029446407538
merge035	SPIN1	grey	NA	NA	NA	NA	NA	NA
merge035	PRR14	grey	NA	NA	NA	NA	NA	NA
merge035	PDE6D	yellow	616	0.405334498656024	409	0.663961038961039	0.0499096456127386	0.95114006514658
merge035	RFC4	yellow	616	0.488172553132463	257	0.417207792207792	0.393521507277553	0.311074918566775
merge035	PGR	turquoise	918	0.530300329385201	279	0.303921568627451	0.574029848246317	0.0491266375545851
