gene	config	module	module_size	kME	rank	rank_fraction	Pal_kME	Pal_rank_fraction	status	reason	baseline_module_jaccard	top10_percent	top20_percent
ENPP2	merge015								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ETNK2	merge015								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT4	merge015								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT2	merge015								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
PCYT1B	merge015								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
SLC22A2	merge015								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ABHD12	merge035	green	227.0	0.525408427560097	90.0	0.39647577092511	0.378114288682362	0.343612334801762	DONE		1.0	False	False
CHKA	merge035	blue	849.0	0.261566511180682	820.0	0.965842167255595	0.207267718191185	0.8150765606596	DONE		0.710247349823322	False	False
CHPT1	merge035	red	213.0	0.527192372868939	107.0	0.502347417840376	0.115198743568649	0.834905660377358	DONE		1.0	False	False
ETNK1	merge035	brown	757.0	0.37515387702671	609.0	0.80449141347424	0.278027614023432	0.631439894319683	DONE		0.398943196829591	False	False
GPCPD1	merge035	brown	757.0	0.478941822768466	360.0	0.47556142668428	0.296039321882992	0.590488771466314	DONE		0.60105680317041	False	False
LPCAT3	merge035	grey							NOT_EVALUABLE	unassigned grey		False	False
LYPLA1	merge035	red	213.0	0.497392237625962	127.0	0.596244131455399	0.498227272240242	0.0377358490566038	DONE		1.0	False	False
LYPLA2	merge035	blue	849.0	0.502662499038178	309.0	0.363957597173145	0.297745208235295	0.633686690223793	DONE		0.710247349823322	False	False
PCYT2	merge035	blue	849.0	0.338703470461895	723.0	0.851590106007067	0.341135718842699	0.513545347467609	DONE		0.710247349823322	False	False
GDPD5	merge035								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
CEPT1	merge035								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT1	merge035								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
CHKB	merge035								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
PCYT1A	merge035								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ENPP2	merge035								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ETNK2	merge035								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT4	merge035								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT2	merge035								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
PCYT1B	merge035								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
SLC22A2	merge035								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ABHD12	min60	red	240.0	0.524571196254625	97.0	0.404166666666667	0.375230413304702	0.35	DONE		0.945833333333333	False	False
CHKA	min60	blue	604.0	0.335449297151143	564.0	0.933774834437086	0.213541505522614	0.834437086092715	DONE		0.998344370860927	False	False
CHPT1	min60	black	220.0	0.52697282206866	107.0	0.486363636363636	0.118940103210554	0.821917808219178	DONE		0.968181818181818	False	False
