config	gene	module	module_size	kME	rank	rank_fraction	Pal_kME	Pal_rank_fraction
split1	AP1S1	blue	627	0.650260327910239	71	0.113237639553429	0.136495702990642	0.920255183413078
split1	ACTR3	green	293	0.586470674599015	84	0.286689419795222	0.59349050305895	0.0824742268041237
split1	MRPL3	green	293	0.610020179766649	67	0.228668941979522	0.588299400101974	0.0927835051546392
split1	PGD	green	293	0.732930799837415	13	0.0443686006825939	0.458233375704175	0.323024054982818
split1	MIR23AHG	yellow	299	0.770067458847345	13	0.0434782608695652	0.638915582654747	0.0535117056856187
split1	PPP2R1A	blue	627	0.629334538797285	94	0.149920255183413	0.520402106463363	0.130781499202552
split1	MRPS7	blue	627	0.666789624760771	61	0.0972886762360447	0.392541692228892	0.422647527910686
split1	SRGN	blue	627	0.463917181977138	318	0.507177033492823	0.0324101183708788	0.972886762360447
split1	PPM1G	green	293	0.548798153324737	117	0.399317406143345	0.432698100279399	0.395189003436426
split1	CDK4	green	293	0.563216137674725	104	0.354948805460751	0.337633053047824	0.611683848797251
split1	NSMCE4A	purple	154	0.581550038612303	57	0.37012987012987	0.229909210793948	0.831168831168831
split1	GTF3C6	blue	627	0.544007948687067	189	0.301435406698565	0.425536305911204	0.325358851674641
split1	HLA-DPA1	salmon	45	0.628376976705259	20	0.444444444444444	0.624204070895866	0.222222222222222
split1	UGP2	tan	127	0.611090735136199	28	0.220472440944882	0.658539126418874	0.118110236220472
split1	AP3S1	pink	187	0.509487625494665	101	0.540106951871658	-0.0735320478320782	0.838709677419355
split1	AUP1	purple	154	0.510500036547168	91	0.590909090909091	0.0668169366050361	0.967532467532468
split1	CA2	turquoise	771	0.364948006124573	629	0.815823605706874	0.037118836873556	0.933766233766234
split1	MRPS26	grey	NA	NA	NA	NA	NA	NA
split1	BUD31	grey	NA	NA	NA	NA	NA	NA
split1	SON	grey	NA	NA	NA	NA	NA	NA
split1	PLK2	yellow	299	0.35827909792562	289	0.966555183946488	0.285017908260144	0.668896321070234
split1	FDFT1	black	272	0.433761255994666	189	0.694852941176471	0.392553003119762	0.389705882352941
split1	RHOV	grey	NA	NA	NA	NA	NA	NA
split1	OCIAD1	turquoise	771	0.666389998971069	91	0.118028534370947	0.277229387881044	0.537662337662338
split1	IL32	grey	NA	NA	NA	NA	NA	NA
split1	DNAJC1	brown	491	0.629787074914677	51	0.103869653767821	0.138971004647718	0.881873727087576
split1	NFIC	yellow	299	0.497810179612762	181	0.605351170568562	0.155475946268513	0.933110367892977
split1	CNN2	greenyellow	145	0.481202660594137	72	0.496551724137931	0.25947055021185	0.354166666666667
split1	NDUFS7	grey	NA	NA	NA	NA	NA	NA
split1	UBXN1	magenta	171	0.388369394025765	136	0.795321637426901	0.310758330189239	0.590643274853801
split1	CHMP4B	black	272	0.484096272878039	151	0.555147058823529	0.136268544624123	0.830882352941177
split1	CMTM6	red	286	0.418093497435084	222	0.776223776223776	0.357554401394628	0.287719298245614
split1	UQCRC2	blue	627	0.322390412795509	595	0.94896331738437	0.42616240356462	0.322169059011164
split1	MRPL36	black	272	0.650313886446376	52	0.191176470588235	0.549383976087124	0.102941176470588
split1	AFDN	brown	491	0.499718752628616	198	0.403258655804481	0.359254813409223	0.427698574338086
split1	PDZK1IP1	grey	NA	NA	NA	NA	NA	NA
split1	NDUFB5	black	272	0.457510550198161	172	0.632352941176471	0.518779263890566	0.139705882352941
split1	RAB1A	red	286	0.544220557897038	119	0.416083916083916	0.604760283349806	0.0105263157894737
split1	EI24	grey	NA	NA	NA	NA	NA	NA
split1	ISCU	pink	187	0.411639053934433	153	0.818181818181818	0.281109171276258	0.327956989247312
split1	IRX3	turquoise	771	0.376491154919189	607	0.787289234760052	0.524909747969213	0.0974025974025974
split1	HLA-DPB1	salmon	45	0.584776332971596	24	0.533333333333333	0.605092030184428	0.244444444444444
split1	RHOC	red	286	0.467433995667712	184	0.643356643356643	0.0503561374577823	0.901754385964912
split1	DDX17	brown	491	0.549158893046756	124	0.252545824847251	0.560330702766413	0.0407331975560081
split1	COL6A1	grey	NA	NA	NA	NA	NA	NA
split1	ARPC5L	blue	627	0.524047286317623	223	0.355661881977671	0.543871691389257	0.0893141945773525
split1	HAX1	grey	NA	NA	NA	NA	NA	NA
split1	TRAM1	black	272	0.525875499494438	117	0.430147058823529	0.154787179819682	0.794117647058823
split1	NDUFV1	grey	NA	NA	NA	NA	NA	NA
split1	ZC3H15	green	293	0.461625893313252	222	0.757679180887372	0.375305019644458	0.536082474226804
split1	PKIB	pink	187	0.672771794015331	22	0.117647058823529	0.393580826068843	0.204301075268817
split1	CA12	turquoise	771	0.890862050215105	1	0.0012970168612192	0.814334352149048	0.0025974025974026
split1	GPAA1	grey	NA	NA	NA	NA	NA	NA
split1	CNIH1	greenyellow	145	0.583917523961507	36	0.248275862068966	0.443078547578944	0.125
split1	RGS10	magenta	171	0.437455755261276	123	0.719298245614035	0.0398998407437205	0.871345029239766
split1	RPA3	purple	154	0.53219373289249	81	0.525974025974026	0.361346013351558	0.668831168831169
split1	SNHG32	magenta	171	0.451426169262455	118	0.690058479532164	0.510547405862169	0.421052631578947
split1	RCN2	grey	NA	NA	NA	NA	NA	NA
split1	MZT2A	pink	187	0.409771836290865	156	0.834224598930481	0.361049521907097	0.231182795698925
split1	C7orf50	black	272	0.35484845854734	245	0.900735294117647	0.364325795954956	0.477941176470588
split1	MRPL24	pink	187	0.51503118345362	96	0.513368983957219	0.436448692966965	0.150537634408602
split1	SBDS	black	272	0.545419892968883	105	0.386029411764706	0.144367463927298	0.808823529411765
split1	GSN	tan	127	0.603925238676583	32	0.251968503937008	0.674584099776882	0.0866141732283465
split1	PYCR1	blue	627	0.37643812466236	516	0.822966507177033	0.419477646355724	0.33652312599681
split1	DNAJC19	turquoise	771	0.386889040231715	579	0.750972762645914	-0.0668252206588338	0.987012987012987
split1	CAPZA2	black	272	0.653151979518606	49	0.180147058823529	0.105036069658825	0.878676470588235
split1	ATP1B3	purple	154	0.667094696542619	32	0.207792207792208	0.524734517838058	0.305194805194805
split1	MRPL33	black	272	0.719113197748611	25	0.0919117647058824	0.2422186112297	0.658088235294118
split1	PSMB8	salmon	45	0.778233918156257	6	0.133333333333333	0.601174791575976	0.266666666666667
split1	FN1	tan	127	0.604220946075057	31	0.244094488188976	0.252508024926584	0.834645669291339
split1	CEP15	brown	491	0.44723523077834	289	0.588594704684318	0.268500288075062	0.670061099796334
split1	COX14	grey	NA	NA	NA	NA	NA	NA
split1	TOP1	grey	NA	NA	NA	NA	NA	NA
split1	PBX1	turquoise	771	0.726516840039009	46	0.059662775616083	0.623829208758433	0.0376623376623377
split1	SRSF9	blue	627	0.475759774248104	296	0.472089314194577	0.31942050179614	0.618819776714514
split1	HNRNPH1	red	286	0.480449575390892	167	0.583916083916084	0.0838224828001636	0.87719298245614
split1	BOLA3	black	272	0.607631696536864	74	0.272058823529412	0.391401231465213	0.397058823529412
split1	RAB10	black	272	0.521521224010815	119	0.4375	0.252407146678615	0.628676470588235
split1	MPG	turquoise	771	0.427032408919152	479	0.621271076523995	0.0961743806969334	0.879220779220779
split1	NORAD	yellow	299	0.602569055130047	84	0.280936454849498	0.265998557169246	0.705685618729097
split1	ATP6AP1	red	286	0.453398382655602	195	0.681818181818182	0.335292172389295	0.347368421052632
split1	ZNF593	grey	NA	NA	NA	NA	NA	NA
split1	SFT2D1	red	286	0.67880349939624	50	0.174825174825175	0.409774511961375	0.178947368421053
split1	MEA1	blue	627	0.433282667820033	383	0.610845295055821	0.368023603912241	0.476874003189793
split1	MTA1	brown	491	0.555769845964864	111	0.226069246435845	0.316768239874746	0.562118126272912
split1	NDUFS2	blue	627	0.458364997920896	331	0.527910685805423	0.316018403947219	0.626794258373206
split1	DGUOK	blue	627	0.535237449186973	200	0.318979266347687	0.437243801971948	0.290271132376396
split1	VPS29	black	272	0.692753631143521	32	0.117647058823529	0.631355991669406	0.0477941176470588
split1	VDAC3	blue	627	0.690706461370023	44	0.0701754385964912	0.520370347460878	0.13237639553429
split1	RAB11FIP1	turquoise	771	0.718516352420788	52	0.0674448767833982	0.531915881026863	0.0922077922077922
split1	MARCKS	purple	154	0.532932943561618	79	0.512987012987013	0.171037287242604	0.896103896103896
split1	SPINT1	grey	NA	NA	NA	NA	NA	NA
split1	PET100	pink	187	0.669428900447266	26	0.13903743315508	0.529702136856293	0.0913978494623656
split1	TM9SF2	red	286	0.37044654283273	261	0.912587412587413	0.465026454253234	0.087719298245614
split1	SCGB3A1	brown	491	0.438821902418047	304	0.619144602851324	0.147818112182715	0.871690427698574
split1	UQCRHL	greenyellow	145	0.51787355316864	57	0.393103448275862	0.175118692347603	0.479166666666667
split1	ZFAND5	yellow	299	0.650949146241563	57	0.190635451505017	0.549067027070572	0.120401337792642
split1	SCOC	pink	187	0.64687725356153	33	0.176470588235294	-0.0923881679927913	0.860215053763441
split1	STARD3	grey	NA	NA	NA	NA	NA	NA
split1	EIF4H	green	293	0.559717199665493	105	0.358361774744027	0.169233317938787	0.914089347079038
