cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	n_pairs_total	n_pairs_used	n_nonzero	n_up	n_down	n_equal	up_fraction	down_fraction	mean_delta	median_delta	rank_biserial	n_both_available	missing_rate_tumor	missing_rate_normal	mask_semantics	p_method	zero_method	tie_method	continuity_correction	B	seed	bootstrap_valid	ci_method	ci_estimand	family_n_planned	direction_discordant	evidence_tier	workpool_entry	n_both_preimputation_available	original_camp_g	original_camp_q	same_input_reused	q_original	p_original	reused_from	statistics_reused	bootstrap_B	marginal_mask_status
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	KEGG:C00668	glucose 6-phosphate	NA	author_confirmed_patient_pair	10	11	paired_mean_tumor_minus_normal_author_processed_scale	0.2687359562270993	-0.3186782311898933	0.848970429961411	0.556640625	0.8130631272810219	METAB_PAIRED_AVAILABLE	193	DONE	Same input/effect/P/CI reused;new min8 gate;BH over evaluable tests;per-tissue mask fractions pending server	CAMP_mapping_plus_GSE62452_author_pair_table	11	10	10.0	7	3	0	0.7	0.3	0.2687359562270993	0.4749537642825494	0.2363636363636363	10	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	3980513629	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOT_SUPPORTED_THIS_TEST	False	10	0.519378934754826	0.359613797134324	False	1.0	0.556640625	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	KEGG:C00025	glutamate	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-0.1545550709403549	-0.4213198552383418	0.1345123558848576	0.2783203125	0.5537713434278351	METAB_PAIRED_AVAILABLE	193	DONE	Same input/effect/P/CI reused;new min8 gate;BH over evaluable tests;per-tissue mask fractions pending server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	11.0	3	8	0	0.2727272727272727	0.7272727272727273	-0.1545550709403549	-0.1234356432575012	-0.3939393939393939	11	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	3759203860	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOT_SUPPORTED_THIS_TEST	False	11	-0.323040306207733	0.236926883237561	True	0.7697687922297297	0.2783203125	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	KEGG:C00064	glutamine	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	0.1463004103626918	-0.2298388025248778	0.4721179885279762	0.2783203125	0.5537713434278351	METAB_PAIRED_AVAILABLE	193	DONE	Same input/effect/P/CI reused;new min8 gate;BH over evaluable tests;per-tissue mask fractions pending server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	11.0	8	3	0	0.7272727272727273	0.2727272727272727	0.1463004103626918	0.274206916235201	0.393939393939394	11	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	1090619133	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOT_SUPPORTED_THIS_TEST	False	11	0.914316082702313	0.0393227498525208	True	0.7697687922297297	0.2783203125	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	KEGG:C00051	glutathione, reduced (GSH)	NA	author_confirmed_patient_pair	3	11	paired_mean_tumor_minus_normal_author_processed_scale	NA	NA	NA	NA	NA	METAB_PAIRED_AVAILABLE	193	NOT_EVALUABLE	N_PAIRS_LT_8;historical P retained in p_original;description and historical mean CI retained	CAMP_mapping_plus_GSE62452_author_pair_table	11	3	NA	2	1	0	0.6666666666666666	0.3333333333333333	NA	NA	NA	3	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	503553913	NA	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	NA	NOT_EVALUABLE	False	3	0.229740059474072	0.981761680041601	False	NA	NA	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	KEGG:C00258	glycerate	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-0.0365446350203267	-0.6420043036865085	0.6248322336542368	0.5771484375	0.8130631272810219	METAB_PAIRED_AVAILABLE	193	DONE	Same input/effect/P/CI reused;new min8 gate;BH over evaluable tests;per-tissue mask fractions pending server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	11.0	5	6	0	0.4545454545454545	0.5454545454545454	-0.0365446350203267	-0.3244149009404005	-0.2121212121212121	11	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	344706182	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOT_SUPPORTED_THIS_TEST	False	11	-0.380059785690162	0.318360004989005	True	1.0	0.5771484375	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	KEGG:C00116	glycerol	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-1.2643868591440273	-2.118978447294964	-0.3696063318439024	0.0419921875	0.3117112379807692	METAB_PAIRED_AVAILABLE	193	DONE	Same input/effect/P/CI reused;new min8 gate;BH over evaluable tests;per-tissue mask fractions pending server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	11.0	3	8	0	0.2727272727272727	0.7272727272727273	-1.2643868591440273	-1.4206401134026976	-0.696969696969697	11	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	94209328	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOMINAL_EXPLORATORY	False	11	-1.1101312740916	0.0494122097019537	True	0.4297200520833333	0.0419921875	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	KEGG:C02979	glycerol 2-phosphate	NA	author_confirmed_patient_pair	7	11	paired_mean_tumor_minus_normal_author_processed_scale	-0.976473910433357	-1.8512103247168932	-0.0391717413490709	NA	NA	METAB_PAIRED_AVAILABLE	193	NOT_EVALUABLE	N_PAIRS_LT_8;historical P retained in p_original;description and historical mean CI retained	CAMP_mapping_plus_GSE62452_author_pair_table	11	7	7.0	2	5	0	0.2857142857142857	0.7142857142857143	-0.976473910433357	-1.6629314075825017	-0.6428571428571428	7	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	2135840557	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOT_EVALUABLE	False	7	-0.797082403672076	0.116421946589957	False	0.614599609375	0.15625	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	KEGG:C00093	glycerol 3-phosphate (G3P)	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-1.4237952181658082	-2.652372348699521	-0.1089965716871279	0.0673828125	0.41951234879032256	METAB_PAIRED_AVAILABLE	193	DONE	Same input/effect/P/CI reused;new min8 gate;BH over evaluable tests;per-tissue mask fractions pending server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	11.0	3	8	0	0.2727272727272727	0.7272727272727273	-1.4237952181658082	-1.6387484110267003	-0.6363636363636364	11	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	1925842935	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOT_SUPPORTED_THIS_TEST	False	11	-1.17494059733115	0.038488432104132	True	0.5590952280405406	0.0673828125	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	KEGG:C00670	glycerophosphorylcholine (GPC)	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-1.229242397986627	-2.252908987680006	-0.3437098758776712	0.0322265625	0.310986328125	METAB_PAIRED_AVAILABLE	193	DONE	Same input/effect/P/CI reused;new min8 gate;BH over evaluable tests;per-tissue mask fractions pending server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	11.0	3	8	0	0.2727272727272727	0.7272727272727273	-1.229242397986627	-1.0212933500888006	-0.7272727272727273	11	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	2123860233	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOMINAL_EXPLORATORY	False	11	-1.00315352416648	0.0429368517077875	True	0.4122314453125	0.0322265625	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	KEGG:C00037	glycine	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	0.0005153237790002	-0.2126371617685735	0.2033916880494971	0.9658203125	1.0	METAB_PAIRED_AVAILABLE	193	DONE	Same input/effect/P/CI reused;new min8 gate;BH over evaluable tests;per-tissue mask fractions pending server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	11.0	7	4	0	0.6363636363636364	0.3636363636363636	0.0005153237790002	0.0338003306362999	0.0303030303030302	11	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	99188648	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOT_SUPPORTED_THIS_TEST	False	11	0.131185812495073	0.976315077893347	True	1.0	0.9658203125	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	KEGG:C05466	glycochenodeoxycholate	NA	author_confirmed_patient_pair	10	11	paired_mean_tumor_minus_normal_author_processed_scale	-0.1022547686960098	-1.1558481440790749	0.7671483578697218	0.76953125	0.9340851022012578	METAB_PAIRED_AVAILABLE	193	DONE	Same input/effect/P/CI reused;new min8 gate;BH over evaluable tests;per-tissue mask fractions pending server	CAMP_mapping_plus_GSE62452_author_pair_table	11	10	10.0	6	4	0	0.6	0.4	-0.1022547686960098	0.0665088450403006	0.1272727272727272	10	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	2117079697	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	True	NOT_SUPPORTED_THIS_TEST	False	10	0.0669083442395065	0.92086827267929	False	1.0	0.76953125	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	KEGG:C01921	glycocholate	NA	author_confirmed_patient_pair	8	11	paired_mean_tumor_minus_normal_author_processed_scale	-0.5967514100757003	-1.931758435969476	0.6745747745688642	0.4609375	0.7475709033613446	METAB_PAIRED_AVAILABLE	193	DONE	Same input/effect/P/CI reused;new min8 gate;BH over evaluable tests;per-tissue mask fractions pending server	CAMP_mapping_plus_GSE62452_author_pair_table	11	8	8.0	3	5	0	0.375	0.625	-0.5967514100757003	-0.5886648220664998	-0.3333333333333333	8	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	3638502735	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOT_SUPPORTED_THIS_TEST	False	8	0.135132402747646	0.898497970966782	False	1.0	0.4609375	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	KEGG:C05464	glycodeoxycholate	NA	author_confirmed_patient_pair	5	11	paired_mean_tumor_minus_normal_author_processed_scale	NA	NA	NA	NA	NA	METAB_PAIRED_AVAILABLE	193	NOT_EVALUABLE	N_PAIRS_LT_8;historical P retained in p_original;description and historical mean CI retained	CAMP_mapping_plus_GSE62452_author_pair_table	11	5	NA	2	3	0	0.4	0.6	NA	NA	NA	5	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	2646622892	NA	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	NA	NOT_EVALUABLE	False	5	-0.0949228571544588	0.475031393304793	False	NA	NA	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	KEGG:C00160	glycolate (hydroxyacetate)	NA	author_confirmed_patient_pair	4	11	paired_mean_tumor_minus_normal_author_processed_scale	NA	NA	NA	NA	NA	METAB_PAIRED_AVAILABLE	193	NOT_EVALUABLE	N_PAIRS_LT_8;historical P retained in p_original;description and historical mean CI retained	CAMP_mapping_plus_GSE62452_author_pair_table	11	4	NA	2	2	0	0.5	0.5	NA	NA	NA	4	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	599700713	NA	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	NA	NOT_EVALUABLE	False	4	-0.150073594081929	0.976315077893347	False	NA	NA	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
