relation_id	metabolite_key	metabolite_name	gene	source_relation_id	source_url	camp_g	camp_q	max_input_raw_missing_rate	mapped_tumor_specimens	n_unit	independent_patient_id	identity_status	interpretation	n_author_data_available	analysis_type	seed	origin	n	rho	ci_lower	ci_upper	p_value	p_asymptotic_descriptive	bootstrap_valid	status	q_value	test_family	family_n_planned	family_n_evaluable
KEGG:C00077|ARG1	KEGG:C00077	ornithine	ARG1	R009	https://enzyme.expasy.org/EC/3.5.3.1	-0.430648438682791	0.0158005290812611	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_processed_primary	3333818532	NEW_CALCULATION	61	-0.2700687466948704	-0.49873339643128717	-0.022190722573321612	0.0349	0.03529526910134771	4000.0	COMPUTED_EXPLORATORY	0.15705	BRCA117_v1|author_processed_primary	174	171
KEGG:C00077|ARG2	KEGG:C00077	ornithine	ARG2	R009	https://enzyme.expasy.org/EC/3.5.3.1	-0.430648438682791	0.0158005290812611	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_processed_primary	2010736095	NEW_CALCULATION	61	0.20565838180856685	-0.08054638530389845	0.4557149182181298	0.1123	0.11182074239698707	4000.0	COMPUTED_EXPLORATORY	0.26671249999999996	BRCA117_v1|author_processed_primary	174	171
KEGG:C00077|OAT	KEGG:C00077	ornithine	OAT	R013	https://enzyme.expasy.org/EC/2.6.1.13	-0.430648438682791	0.0158005290812611	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_processed_primary	3413763558	NEW_CALCULATION	61	-0.0392913802221047	-0.2780302748025948	0.20433258578847488	0.7581	0.7636867299493948	4000.0	COMPUTED_EXPLORATORY	0.8638331125827815	BRCA117_v1|author_processed_primary	174	171
KEGG:C00077|ODC1	KEGG:C00077	ornithine	ODC1	R012	https://enzyme.expasy.org/EC/4.1.1.17	-0.430648438682791	0.0158005290812611	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_processed_primary	3491488619	NEW_CALCULATION	61	0.21221575885774716	-0.03635574769068957	0.4441657197240242	0.1001	0.10060453903867371	4000.0	COMPUTED_EXPLORATORY	0.25547910447761196	BRCA117_v1|author_processed_primary	174	171
KEGG:C00077|OTC	KEGG:C00077	ornithine	OTC	R010	https://enzyme.expasy.org/EC/2.1.3.3	-0.430648438682791	0.0158005290812611	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_processed_primary	1481337353	NEW_CALCULATION	61	0.1190904283447911	-0.14223021773793562	0.3645959867817376	0.3625	0.36064191218148034	4000.0	COMPUTED_EXPLORATORY	0.54705	BRCA117_v1|author_processed_primary	174	171
KEGG:C00079|PAH	KEGG:C00079	phenylalanine	PAH	R022	https://enzyme.expasy.org/EC/1.14.16.1	-0.469142917512108	0.0101221188490363	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_processed_primary	659970802	NEW_CALCULATION	61	0.022210470650449492	-0.2325674035421628	0.2864130920187056	0.8625	0.8650875833828635	4000.0	COMPUTED_EXPLORATORY	0.899314024390244	BRCA117_v1|author_processed_primary	174	171
KEGG:C00082|PAH	KEGG:C00082	tyrosine	PAH	R022	https://enzyme.expasy.org/EC/1.14.16.1	-0.499377969390247	0.0081168406832968	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_processed_primary	2894441153	NEW_CALCULATION	61	0.021417239555790585	-0.26372482286183063	0.28776751843531134	0.8699	0.8698632489834888	4000.0	COMPUTED_EXPLORATORY	0.9015327272727274	BRCA117_v1|author_processed_primary	174	171
KEGG:C00082|TAT	KEGG:C00082	tyrosine	TAT	R023	https://enzyme.expasy.org/EC/2.6.1.5	-0.499377969390247	0.0081168406832968	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_processed_primary	595974817	NEW_CALCULATION	61	0.046589106292966684	-0.2161645317130038	0.2919750723317674	0.7216	0.7214373109602674	4000.0	COMPUTED_EXPLORATORY	0.8569	BRCA117_v1|author_processed_primary	174	171
KEGG:C00095|KHK	KEGG:C00095	fructose	KHK	R042	https://enzyme.expasy.org/EC/2.7.1.3	0.53615495468509	0.0062648991296924	0.638297872340426	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	45.0	author_processed_primary	23777091	NEW_CALCULATION	61	0.16428861088504523	-0.10126788739757352	0.4017292060364244	0.2003	0.20579718677997133	4000.0	COMPUTED_EXPLORATORY	0.3892193181818182	BRCA117_v1|author_processed_primary	174	171
KEGG:C00095|SORD	KEGG:C00095	fructose	SORD	R043	https://enzyme.expasy.org/EC/1.1.1.14	0.53615495468509	0.0062648991296924	0.638297872340426	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	45.0	author_processed_primary	318481501	NEW_CALCULATION	61	0.395404674944938	0.14200307742362717	0.5938098204515392	0.0025	0.0016109093794717964	4000.0	COMPUTED_EXPLORATORY	0.042749999999999996	BRCA117_v1|author_processed_primary	174	171
