gene	stable_gene_id	partition_cancer	top_celltype_cancer	runner_celltype_cancer	top_gap_cancer	bootstrap_top_frequency_cancer	bootstrap_valid_cancer	n_eligible_celltypes_cancer	status_cancer	reason_cancer	partition_adj_benign	top_celltype_adj_benign	runner_celltype_adj_benign	top_gap_adj_benign	bootstrap_top_frequency_adj_benign	bootstrap_valid_adj_benign	n_eligible_celltypes_adj_benign	status_adj_benign	reason_adj_benign	same_study_not_independent
GSS	HGNC:4624	cancer	Epithelial_malignant	Epithelial_altered_benign	0.044635726818267024	0.996	1000	10	DONE	descriptive_only	adj_benign	Epithelial_malignant	Epithelial_altered_benign	0.031066323674860452	0.818	1000	10	DONE	descriptive_only	True
HK1	HGNC:4922	cancer	Epithelial_malignant	Epithelial_normal	0.008827494713021244	0.537	1000	10	DONE	descriptive_only	adj_benign	Epithelial_malignant	Epithelial_altered_benign	0.07594144358521415	0.974	1000	10	DONE	descriptive_only	True
HK2	HGNC:4923	cancer	Myeloid	Epithelial_malignant	0.08911242076360129	1.0	1000	10	DONE	descriptive_only	adj_benign	Myeloid	Epithelial_malignant	0.09224557991893517	1.0	1000	10	DONE	descriptive_only	True
HK3	HGNC:4925	cancer	Myeloid	B-cells	0.07766850961904441	1.0	1000	10	DONE	descriptive_only	adj_benign	Myeloid	Endothelial	0.05157841523565973	1.0	1000	10	DONE	descriptive_only	True
HPRT1	HGNC:5157	cancer	Myeloid	Endothelial	0.07019612789154053	1.0	1000	10	DONE	descriptive_only	adj_benign	Myeloid	Endothelial	0.05963729048768679	0.988	1000	10	DONE	descriptive_only	True
IMPA1	HGNC:6050	cancer	Epithelial_malignant	B-cells	0.017191887966224118	0.638	1000	10	DONE	descriptive_only	adj_benign	CAFs	PNS_glial	0.028783043130086006	0.621	1000	10	DONE	descriptive_only	True
IMPA2	HGNC:6051	cancer	Epithelial_malignant	SMCs	0.06618068768989804	1.0	1000	10	DONE	descriptive_only	adj_benign	SMCs	Epithelial_malignant	0.08034113436227754	0.99	1000	10	DONE	descriptive_only	True
LYPLA1	HGNC:6737	cancer	Epithelial_malignant	Endothelial	0.49496999039661654	1.0	1000	10	DONE	descriptive_only	adj_benign	Epithelial_malignant	Endothelial	0.3033522766260874	0.977	1000	10	DONE	descriptive_only	True
MGAM	HGNC:7043	cancer	Myeloid	Epithelial_normal	0.0055899921571835876	0.964963503649635	685	10	DONE	descriptive_only	adj_benign	Myeloid	Epithelial_malignant	0.0077425540131073264	0.9966442953020134	894	10	DONE	descriptive_only	True
MGLL	HGNC:17038	cancer	SMCs	Endothelial	0.1533002766470114	1.0	1000	10	DONE	descriptive_only	adj_benign	SMCs	Endothelial	0.15306909978389743	1.0	1000	10	DONE	descriptive_only	True
NAGK	HGNC:17174	cancer	Myeloid	PNS_glial	0.10799757987260822	0.999	1000	10	DONE	descriptive_only	adj_benign	Myeloid	Epithelial_malignant	0.14537812343665532	1.0	1000	10	DONE	descriptive_only	True
NAGS	HGNC:17996	cancer	Endothelial	Epithelial_altered_benign	0.024065544366991765	1.0	1000	10	DONE	descriptive_only	adj_benign	Endothelial	Epithelial_normal	0.014428934253131347	0.893	1000	10	DONE	descriptive_only	True
NT5C1A	HGNC:17819	cancer	NA	NA	NA	NA	0	10	NOT_EVALUABLE	max_detection_below1pct	adj_benign	NA	NA	NA	NA	0	10	NOT_EVALUABLE	max_detection_below1pct	True
NT5C2	HGNC:8022	cancer	Epithelial_malignant	Epithelial_altered_benign	0.046635981123237025	0.999	1000	10	DONE	descriptive_only	adj_benign	Epithelial_malignant	Epithelial_altered_benign	0.038820594052473706	0.835	1000	10	DONE	descriptive_only	True
