gene	stable_gene_id	top_celltype	runner_celltype	top_gap	bootstrap_top_frequency	bootstrap_valid	n_eligible_celltypes	status	reason	study
HPRT1	ENSG00000165704	Tcell_CD8	vSMC	0.0174417998734288	0.3729838709677419	992	8	DONE	descriptive_only	GSE159115
IDNK	ENSG00000148057	Peri	vSMC	0.0303798217360557	0.2308467741935483	992	8	DONE	descriptive_only	GSE159115
IMPA1	ENSG00000133731	Tcell_CD8	vSMC	0.0104315237125803	0.3709677419354839	992	8	DONE	descriptive_only	GSE159115
IMPA2	ENSG00000141401	Tumor	Peri	0.4570653745122382	1.0	992	8	DONE	descriptive_only	GSE159115
KHK	ENSG00000138030	Tumor	Peri	0.65902428140273	1.0	992	8	DONE	descriptive_only	GSE159115
KMO	ENSG00000117009	Macro	Tumor	0.0515793058794756	0.7883064516129032	992	8	DONE	descriptive_only	GSE159115
KYNU	ENSG00000115919	Macro	Tumor	0.4061054273843554	1.0	992	8	DONE	descriptive_only	GSE159115
LDHA	ENSG00000134333	Tumor	Endo_ACKR1	0.5662714877672381	1.0	992	8	DONE	descriptive_only	GSE159115
LDHB	ENSG00000111716	vSMC	Tumor	0.0418147217444804	0.6038306451612904	992	8	DONE	descriptive_only	GSE159115
LPCAT1	ENSG00000153395	Tumor	Macro	0.2553999043963554	1.0	992	8	DONE	descriptive_only	GSE159115
LPCAT2	ENSG00000087253	Macro	Endo_PLVAP	0.1161347888188145	0.9838709677419356	992	8	DONE	descriptive_only	GSE159115
LPCAT3	ENSG00000111684	Tumor	Endo_PLVAP	0.1607819507234597	1.0	992	8	DONE	descriptive_only	GSE159115
LPCAT4	ENSG00000176454	Endo_ACKR1	Tcell_CD8	0.0901200617009464	0.5816532258064516	992	8	DONE	descriptive_only	GSE159115
LYPLA1	ENSG00000120992	Peri	Endo_PLVAP	0.0292121964660669	0.1280241935483871	992	8	DONE	descriptive_only	GSE159115
LYPLA2	ENSG00000011009	Endo_PLVAP	Peri	0.0008690771868558	0.4637096774193548	992	8	DONE	descriptive_only	GSE159115
MDH1	ENSG00000014641	Tumor	vSMC	0.0480708841754931	0.7792338709677419	992	8	DONE	descriptive_only	GSE159115
MDH2	ENSG00000146701	vSMC	Peri	0.0021949444516271	0.9112903225806452	992	8	DONE	descriptive_only	GSE159115
MGAM	ENSG00000257335	Tumor	Endo_ACKR1	0.119951718019574	1.0	991	8	DONE	descriptive_only	GSE159115
MGLL	ENSG00000074416	Peri	Tumor	0.1156429082849582	0.2379032258064516	992	8	DONE	descriptive_only	GSE159115
MPI	ENSG00000178802	Tumor	Peri	0.1055224999048393	1.0	992	8	DONE	descriptive_only	GSE159115
NAGK	ENSG00000124357	Macro	Peri	0.2639949023413497	1.0	992	8	DONE	descriptive_only	GSE159115
NAGS	HGNC:17996	Endo_PLVAP	Tumor	0.0001967945637822	0.3217568947906026	979	8	DONE	descriptive_only	GSE159115
NAMPT	ENSG00000105835	Macro	Endo_ACKR1	0.3316428377987179	0.9889112903225806	992	8	DONE	descriptive_only	GSE159115
NNMT	ENSG00000166741	Tumor	Endo_ACKR1	1.2779689490291046	1.0	992	8	DONE	descriptive_only	GSE159115
NPL	ENSG00000135838	Macro	Endo_ACKR1	0.336930703863609	1.0	992	8	DONE	descriptive_only	GSE159115
NT5C2	ENSG00000076685	Peri	Endo_PLVAP	0.0177189673017931	0.25	992	8	DONE	descriptive_only	GSE159115
OAT	ENSG00000065154	vSMC	Peri	0.0002773387100863	0.9122983870967742	992	8	DONE	descriptive_only	GSE159115
ODC1	ENSG00000115758	Tumor	Tcell_CD8	0.039587902792344	0.875	992	8	DONE	descriptive_only	GSE159115
PANK1	ENSG00000152782	Tumor	vSMC	0.0202376562889291	0.84375	992	8	DONE	descriptive_only	GSE159115
PANK2	ENSG00000125779	Tcell_CD8	Endo_PLVAP	0.0247871862310808	0.4526209677419355	992	8	DONE	descriptive_only	GSE159115
PANK3	ENSG00000120137	Peri	Endo_PLVAP	0.0342765728237819	0.2530241935483871	992	8	DONE	descriptive_only	GSE159115
PEPD	ENSG00000124299	Endo_ACKR1	Macro	0.0268211083879787	0.4586693548387097	992	8	DONE	descriptive_only	GSE159115
PGD	ENSG00000142657	Macro	Tcell_CD8	0.0679163065671976	1.0	992	8	DONE	descriptive_only	GSE159115
PGM3	ENSG00000013375	Tumor	Peri	0.0418932590632233	0.9939516129032258	992	8	DONE	descriptive_only	GSE159115
PLA2G4A	HGNC:9035	Macro	vSMC	0.0145414858883873	0.8608870967741935	992	8	DONE	descriptive_only	GSE159115
