pathway_id	pathway	background	direction	background_genes	selected_genes	pathway_tested_genes	overlap	fold_enrichment	p_value	overlap_genes	status	reason	selected
hsa04914	Progesterone-mediated oocyte maturation	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	67	2	1.2010678315738381	0.4998960657246916	ANAPC2;MAD1L1	DONE	NOMINAL_P_ONLY	False
hsa00280	Valine, leucine and isoleucine degradation	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	41	1	1.4543050249779605	0.5015673478796759	EHHADH	DONE	NOMINAL_P_ONLY	False
hsa05131	Shigellosis	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	188	5	1.0701003286628612	0.504218911483024	DOCK1;ITPR2;MAP1LC3A;PLCD1;TRAF2	DONE	NOMINAL_P_ONLY	False
hsa04922	Glucagon signaling pathway	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	68	2	1.183405069344811	0.5078178950720177	CREB3L1;ITPR2	DONE	NOMINAL_P_ONLY	False
hsa00240	Pyrimidine metabolism	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	42	1	1.4196787148594376	0.5099964249224606	TYMS	DONE	NOMINAL_P_ONLY	False
hsa04911	Insulin secretion	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	42	1	1.4196787148594376	0.5099964249224606	SLC2A1	DONE	NOMINAL_P_ONLY	False
hsa05134	Legionellosis	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	42	1	1.4196787148594376	0.5099964249224606	MYD88	DONE	NOMINAL_P_ONLY	False
hsa04210	Apoptosis	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	109	3	1.1074065786529426	0.5126542160623961	BBC3;ITPR2;TRAF2	DONE	NOMINAL_P_ONLY	False
hsa04081	Hormone signaling	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	69	2	1.1662542712383646	0.5156586474354082	GUCA2B;PRKG1	DONE	NOMINAL_P_ONLY	False
hsa04974	Protein digestion and absorption	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	43	1	1.3866629307929392	0.5182846451652635	DPP4	DONE	NOMINAL_P_ONLY	False
hsa04710	Circadian rhythm	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	29	1	1.3874404261283992	0.5190339176634642	NFIL3	DONE	NOMINAL_P_ONLY	False
hsa05030	Cocaine addiction	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	29	1	1.3874404261283992	0.5190339176634642	CREB3L1	DONE	NOMINAL_P_ONLY	False
hsa04670	Leukocyte transendothelial migration	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	70	2	1.1495934959349594	0.5234174338816435	PRKCG;SIPA1	DONE	NOMINAL_P_ONLY	False
hsa04020	Calcium signaling pathway	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	104	2	1.1466635773864688	0.5246491799603406	PLCG2;TNNC1	DONE	NOMINAL_P_ONLY	False
hsa04062	Chemokine signaling pathway	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	104	2	1.1466635773864688	0.5246491799603406	PLCG2;PPBP	DONE	NOMINAL_P_ONLY	False
