pathway	pval	log2err	ES	NES	size	leadingEdge	pathway_id	selected	status	reason
Central carbon metabolism in cancer	0.00620689655172414	0.279865652661932	0.41834110933324	1.63843272552734	48	SLC2A1;LDHB;HK2;LDHA;SLC7A5;IDH1;MET;EGFR;KRAS;KIT;TIGAR;MAP2K1	hsa05230	TRUE	DONE	NOMINAL_P_ONLY
PI3K-Akt signaling pathway	0.00687757909215956	0.291090917251384	0.279663456962274	1.3898889264459	200	KITLG;YWHAG;YWHAH;EIF4EBP1;GNB1;ITGB1;SOS1;AREG;BCL2L1;CDK4;ITGAV;MCL1;YWHAQ;ARTN;GNG4;TGFA;MET;EGFR;RAC1;CDK6;IRS1;KRAS;SGK1;COL6A1;YWHAB;LAMA4;ATF6B;KIT;FGF2;ITGB4;MAP2K1;IKBKB;PPP2R5E;PPP2R3C;JAK2;YWHAE;IFNAR1;MYB;ITGA2;RHEB	hsa04151	TRUE	DONE	NOMINAL_P_ONLY
Cadherin signaling	0.00741758241758242	0.279865652661932	0.283785177569728	1.40753850166145	196	YWHAG;PPP1CC;AMOTL2;YWHAH;SAV1;PKP2;ACTB;ACTR3;KRT7;KRT80;TJP1;CDC42;WWTR1;NCKAP1;KRT6A;YWHAQ;ARPC2;GABRE;MET;EGFR;RAC1;DVL3;KRAS;KRT15;YWHAB;CDH1;PTK2B;LATS2;PSEN1;DSG2;MAP2K1;LHFPL2;IKBKB;RHOA;YWHAE;CDH17;CDH24;WASF1;CSNK1A1;KRT16;CTNNA1;ACTR2;TAOK1;EVL;SHOC2;FZD1;PPP1CA;APH1A;DSC3;PCDH1;FAT1;ERBIN;PCDH19;PSEN2;KRT23;NFKB1;ARHGAP35;LRP6;MAPK1;PCDHB11;VASP;ARPC3;TEAD1;FZD7;AFDN;NRAS;KRT6B;FZD6;PDGFRA;ARPC5L	hsa04519	TRUE	DONE	NOMINAL_P_ONLY
Proteasome	0.00930971843778383	0.22623238004642	0.437544292417575	1.62999488459783	39	PSMD14;PSME3;PSMC6;PSMB2;PSMD11;PSMA3;PSMA4;PSMD6;PSMC5;PSMB1;PSMD2;PSME4;PSMD3;PSMD1;PSMA7;POMP;PSMD12;ADRM1;PSMD9;PSMB4	hsa03050	TRUE	DONE	NOMINAL_P_ONLY
Fat digestion and absorption	0.0122868145974693	0.17632375173773	-0.515144812839297	-1.65269009288113	25	ABCA1;PLPP1;MOGAT3;FABP1;PLA2G12B;PLA2G10;MOGAT2;CEL;PLA2G3;PLPP2;AGPAT2;DGAT2;FABP2;NPC1L1;PLA2G2A	hsa04975	TRUE	DONE	NOMINAL_P_ONLY
Estrogen signaling pathway	0.012550881953867	0.167658528065765	-0.362870834621608	-1.49847881678308	83	JUN;HSPA1B;HSPA1A;ITPR2;TFF1;SHC2;FOS;MAPK3;CREB3L1;HBEGF;HSPA6;MAP2K2;RARA;MMP9;AKT2;PLCB3	hsa04915	TRUE	DONE	NOMINAL_P_ONLY
Graft-versus-host disease	0.0127174116326912	0.175004015942342	-0.58062117382646	-1.67987728630164	17	HLA-A;HLA-E;HLA-C;HLA-F;HLA-B;HLA-DQB1	hsa05332	TRUE	DONE	NOMINAL_P_ONLY
Prion disease	0.0141309467734338	0.151812881287453	-0.296592066518807	-1.3906896044544	192	HSPA1B;CYBA;HSPA1A;ITPR2;SLC25A6;TUBB4B;PSMC3;TUBA1C;NDUFB10;COX6B1;NDUFB7;COX5B;NDUFS7;EGR1;MAPK3;NDUFB8;CREB3L1;DDIT3;NDUFV1;KLC1;HSPA6;NDUFA2;UQCRC1;NDUFA3;COX4I1;ATP5F1D;BAD;KLC4;TUBA1A;PPP3CB;TUBA4A;NDUFB11;NDUFA4L2;UQCR11;NDUFB1;NDUFS6;ATF4;NDUFA11;NDUFC1;COX7C;CACNA1D;NDUFA10	hsa05020	TRUE	DONE	NOMINAL_P_ONLY
Type I diabetes mellitus	0.0148011100832562	0.161159145661682	-0.530101611539841	-1.64489219012932	22	HLA-A;HLA-E;HLA-C;HLA-F;HLA-B;PTPRN2;ICA1;HLA-DQB1	hsa04940	TRUE	DONE	NOMINAL_P_ONLY
PPAR signaling pathway	0.0161004953998585	0.150964206987421	-0.414456543882106	-1.53790066843203	48	UBB;FABP6;UBC;PCK1;CYP27A1;FABP1;ACADM;ACOX2;PPARG;ACAA1;ILK;HMGCS2;SLC27A2	hsa03320	TRUE	DONE	NOMINAL_P_ONLY
Apoptosis	0.0192659026739744	0.133462622481397	-0.33113887265094	-1.42665073138342	109	JUN;NFKBIA;ITPR2;TNFSF10;GADD45B;BBC3;TUBA1C;FOS;TRAF2;MAPK3;DDIT3;MAP2K2;PARP4;TNFRSF1A;BAD;AKT2;TUBA1A;BAK1;CFLAR;TUBA4A;PARP2;CASP6;GADD45A;ATF4;CTSZ;PIDD1;LMNB2;CASP10;CTSS;DAB2IP	hsa04210	TRUE	DONE	NOMINAL_P_ONLY
Adherens junction	0.0203045685279188	0.157220069393743	0.344746948872889	1.4642229406665	72	YES1;ACTB;TJP1;CDC42;MET;EGFR;RAC1;FER;PDCD10;PTPRB;NECTIN4;CDH1;MYL12B;RHOA;WASF1;CTNNA1;WASF2;RAP1B;PTPRF;LMO7;MAPK1;AFDN;CSNK2B;ARHGAP29;CCM2;ACP1;CTNND1;MYL12A;PARD3;SMURF1;IGF1R;RAP1A;FARP2;MYL5	hsa04520	TRUE	DONE	NOMINAL_P_ONLY
Chemical carcinogenesis - reactive oxygen species	0.0204244455082176	0.126949802769892	-0.299367190395576	-1.37033602589603	161	JUN;CYBA;NFKBIA;MGST3;SLC25A6;NDUFB10;COX6B1;FOS;NDUFB7;COX5B;NDUFS7;MGST2;MAPK3;NDUFB8;NDUFV1;MAP2K2;NDUFA2;UQCRC1;NDUFA3;COX4I1;ATP5F1D;BAD;AKT2;NDUFB11;NDUFA4L2;UQCR11;PRKD2;NDUFB1;NDUFS6;ABL1;AKR1A1;NDUFA11;NDUFC1;COX7C;NDUFA10	hsa05208	TRUE	DONE	NOMINAL_P_ONLY
Parathyroid hormone synthesis, secretion and action	0.0208757637474542	0.129547467550097	-0.364955992292558	-1.48203544170138	74	ITPR2;JUND;WNK2;PRKCG;FOS;EGR1;MAPK3;CREB3L1;HBEGF;PLCB3;MAFB;ARHGEF11;NACA;ATF4;AKAP13;CDKN1A;LRP5;ARRB1;BRAF;PLD1	hsa04928	TRUE	DONE	NOMINAL_P_ONLY
Kaposi sarcoma-associated herpesvirus infection	0.0242027800490597	0.117910116623497	-0.31338312012257	-1.38738567656331	129	JUN;UBB;ZFP36;NFKBIA;ITPR2;HLA-A;UBC;HLA-E;UBA52;FOS;TRAF2;MAPK3;STAT1;HLA-C;IKBKE;MAP1LC3A;MAP2K2;HLA-F;TNFRSF1A;RPS27A;HLA-B;AKT2;BAK1;PPP3CB;C3;IRF3	hsa05167	TRUE	DONE	NOMINAL_P_ONLY
