gene	kegg_gene	candidate_ids	status	in_any_pathway
C17orf58	hsa:284018	hsa:284018	PRIMARY_SYMBOL	False
NUP58	hsa:9818	hsa:9818	PRIMARY_SYMBOL	True
PBRM1	hsa:55193	hsa:55193	PRIMARY_SYMBOL	True
NRN1	hsa:51299	hsa:51299	PRIMARY_SYMBOL	False
CAMK2D	hsa:817	hsa:817	PRIMARY_SYMBOL	True
PSPH	hsa:5723	hsa:5723	PRIMARY_SYMBOL	True
GOLGA8A	hsa:23015	hsa:23015	PRIMARY_SYMBOL	False
PAXBP1	hsa:94104	hsa:94104	PRIMARY_SYMBOL	False
STAT5A	hsa:6776	hsa:6776	PRIMARY_SYMBOL	True
MARK3	hsa:4140	hsa:4140	PRIMARY_SYMBOL	False
DSC2	hsa:1824	hsa:1824	PRIMARY_SYMBOL	True
FBRSL1	hsa:57666	hsa:57666	PRIMARY_SYMBOL	True
FAM213A	hsa:84293	hsa:84293	UNIQUE_ALIAS	False
PRIMPOL	hsa:201973	hsa:201973	PRIMARY_SYMBOL	False
MGRN1	hsa:23295	hsa:23295	PRIMARY_SYMBOL	True
GLRX2	hsa:51022	hsa:51022	PRIMARY_SYMBOL	False
SCO1	hsa:6341	hsa:6341	PRIMARY_SYMBOL	False
ZFPL1	hsa:7542	hsa:7542	PRIMARY_SYMBOL	False
TENT4A	hsa:11044	hsa:11044	PRIMARY_SYMBOL	True
UBE2D1	hsa:7321	hsa:7321	PRIMARY_SYMBOL	True
ORMDL1	hsa:94101	hsa:94101	PRIMARY_SYMBOL	True
YME1L1	hsa:10730	hsa:10730	PRIMARY_SYMBOL	False
KLHL36	hsa:79786	hsa:79786	PRIMARY_SYMBOL	False
XIST	hsa:7503	hsa:7503	PRIMARY_SYMBOL	False
URB1-AS1			UNMAPPED	False
GNL3	hsa:26354	hsa:26354	PRIMARY_SYMBOL	True
SFMBT1	hsa:51460	hsa:51460	PRIMARY_SYMBOL	True
MFF	hsa:56947	hsa:56947	PRIMARY_SYMBOL	False
PRRC2C	hsa:23215	hsa:23215	PRIMARY_SYMBOL	False
SPOPL	hsa:339745	hsa:339745	PRIMARY_SYMBOL	True
KRT20	hsa:54474	hsa:54474	PRIMARY_SYMBOL	True
TTPAL	hsa:79183	hsa:79183	PRIMARY_SYMBOL	False
HIKESHI	hsa:51501	hsa:51501	PRIMARY_SYMBOL	False
TEX2	hsa:55852	hsa:55852	PRIMARY_SYMBOL	False
AGAP3	hsa:116988	hsa:116988	PRIMARY_SYMBOL	True
ZNF407	hsa:55628	hsa:55628	PRIMARY_SYMBOL	False
ZNF485	hsa:220992	hsa:220992	PRIMARY_SYMBOL	False
BMT2	hsa:154743	hsa:154743	UNIQUE_ALIAS	False
CTDSP2	hsa:10106	hsa:10106	PRIMARY_SYMBOL	False
