cohort	gene	mean	sd	weight
Pal2021_reprocessed	LPCAT2	0.055795108963200835	0.061364405010511984	0.041666666666666664
Pal2021_reprocessed	LPCAT3	0.19181486205199466	0.07248600068118648	0.041666666666666664
Pal2021_reprocessed	MBOAT2	0.26854507621294865	0.1577644341355253	0.041666666666666664
Pal2021_reprocessed	PLA2G10	0.034800491469045264	0.05308513627812935	0.041666666666666664
Pal2021_reprocessed	PLA2G12A	0.2616523044556482	0.10521327180250319	0.041666666666666664
Pal2021_reprocessed	PLA2G1B	0.0019827179429962516	0.0029440097757496195	0.041666666666666664
Pal2021_reprocessed	PLA2G2A	0.09192085624070291	0.18300143497726387	0.041666666666666664
Pal2021_reprocessed	PLA2G2D	0.0008206844888996	0.0011437801628726143	0.041666666666666664
Pal2021_reprocessed	PLA2G2F	0.0006279877841798425	0.001640208521314572	0.041666666666666664
Pal2021_reprocessed	PLA2G3	0.004461562677196203	0.011302715241873184	0.041666666666666664
Pal2021_reprocessed	PLA2G4A	0.008528594779760538	0.0186681954763242	0.041666666666666664
Pal2021_reprocessed	PLA2G4C	0.05681716910813827	0.05396834635525218	0.041666666666666664
Pal2021_reprocessed	PLA2G4D	0.0010920015652214094	0.002116995337740532	0.041666666666666664
Pal2021_reprocessed	PLA2G4E	0.000709280850925409	0.0029559980997569376	0.041666666666666664
Pal2021_reprocessed	PLA2G4F	0.01020180267060428	0.009753094447712059	0.041666666666666664
Pal2021_reprocessed	PLA2G5	0.0006515126670510727	0.0010981902655034645	0.041666666666666664
Pal2021_reprocessed	PLA2G6	0.04697776278015301	0.030358188716978703	0.041666666666666664
Pal2021_reprocessed	PLA2R1	0.09363207503454124	0.06750300451892302	0.041666666666666664
Pal2021_reprocessed	PLAAT3	0.8949542823078654	0.48847023197826833	0.041666666666666664
Pal2021_reprocessed	PLB1	0.015470656048882167	0.06683154019696941	0.041666666666666664
Pal2021_reprocessed	PLBD1	0.11241526013283434	0.11645204429089365	0.041666666666666664
Pal2021_reprocessed	PNPLA8	0.19945757133027317	0.08784343789074035	0.041666666666666664
Pal2021_reprocessed	TMEM86B	0.01832552712589652	0.01878990808540993	0.041666666666666664
CAMP	LPCAT1	8.640952967026235	0.45451953330297695	0.041666666666666664
CAMP	LPCAT2	8.51068847176173	0.6381813097017804	0.041666666666666664
CAMP	LPCAT3	9.98376103908015	0.5258445368940443	0.041666666666666664
CAMP	MBOAT2	8.437911802664162	0.7569875263056697	0.041666666666666664
CAMP	PLA2G10	4.276594119672408	0.6019662668165597	0.041666666666666664
CAMP	PLA2G12A	7.741668376895306	0.4089794212329858	0.041666666666666664
CAMP	PLA2G1B	5.674185269281042	0.41410849531532057	0.041666666666666664
CAMP	PLA2G2A	7.759378472750332	1.3942311357374717	0.041666666666666664
CAMP	PLA2G2D	7.667478289444233	0.5969897106748223	0.041666666666666664
CAMP	PLA2G2F	6.433398001017136	0.255782577984051	0.041666666666666664
CAMP	PLA2G3	6.264754045620389	0.2417835958391594	0.041666666666666664
CAMP	PLA2G4A	5.352786182915035	0.8362377381142533	0.041666666666666664
CAMP	PLA2G4C	6.282208127171292	0.45003992699069145	0.041666666666666664
CAMP	PLA2G4D	5.952187158811546	0.18082183024824586	0.041666666666666664
CAMP	PLA2G4E	5.3299706251578005	0.1998319141128389	0.041666666666666664
CAMP	PLA2G4F	6.249436033067166	0.33850748237900374	0.041666666666666664
CAMP	PLA2G5	6.80868507182006	0.5785706309008816	0.041666666666666664
CAMP	PLA2G6	6.936547199046824	0.3182269772530641	0.041666666666666664
CAMP	PLA2R1	8.430233398756382	0.6405062916252985	0.041666666666666664
CAMP	PLAAT3	7.329776516673231	0.6732012225137657	0.041666666666666664
CAMP	PLB1	6.292133836629868	0.2306727241791055	0.041666666666666664
CAMP	PLBD1	7.999513735977936	0.5870455628616584	0.041666666666666664
CAMP	PNPLA8	7.2379551597628495	0.39555674115754	0.041666666666666664
CAMP	TMEM86B	6.725009382042507	0.1662273371808154	0.041666666666666664
