relation_id	gene	metabolite	primary_er_n	primary_er_rho	primary_er_p	primary_er_q	original_q	n	n_er_positive	n_er_negative	n_excluded	status	origin	partial_rank_rho	p_value	seed	q_value	family_n_evaluable
KEGG:C00077|ODC1	ODC1	ornithine	61.0	0.1917539392901137	0.142	0.3916714285714286	0.2554791044776119	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.19175393929011375	0.142	3361227199.0	0.4201293103448276	171
KEGG:C00077|OTC	OTC	ornithine	61.0	0.1185724379111803	0.3671	0.5922084905660377	0.54705	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.11857243791118031	0.3671	3996471917.0	0.609457281553398	171
KEGG:C00079|PAH	PAH	phenylalanine	61.0	-0.0717549049045778	0.5829	0.73834	0.899314024390244	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.07175490490457788	0.5829	3019543842.0	0.74385	171
KEGG:C00082|PAH	PAH	tyrosine	61.0	-0.0653932910867521	0.6266	0.7685228571428572	0.9015327272727274	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.0653932910867521	0.6266	154558771.0	0.7764391304347827	171
KEGG:C00082|TAT	TAT	tyrosine	61.0	-0.0896738363017926	0.4926	0.6660921259842519	0.8569	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.08967383630179267	0.4926	3896914073.0	0.701955	171
KEGG:C00095|KHK	KHK	fructose	61.0	0.1678637480403059	0.1971	0.4279275	0.3892193181818182	45.0	24.0	21.0	16.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	0.18519592737095603	0.2375	497889297.0	0.49527439024390246	171
KEGG:C00095|SORD	SORD	fructose	61.0	0.3955977091460757	0.0018	0.0534375	0.0427499999999999	45.0	24.0	21.0	16.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	0.2596232957189232	0.0875	3327594741.0	0.33799787234042555	171
KEGG:C00097|CDO1	CDO1	cysteine	61.0	-0.3089291755528227	0.0176	0.1382869565217391	0.1056535714285714	60.0	30.0	30.0	1.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	-0.27910751927093275	0.0371	3840132581.0	0.23496666666666668	171
KEGG:C00097|GCLC	GCLC	cysteine	61.0	0.1539093353911301	0.2355	0.4601454545454546	0.4405548387096774	60.0	30.0	30.0	1.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	0.147195258084722	0.2624	1484746506.0	0.5098909090909092	171
KEGG:C00099|UPB1	UPB1	beta-alanine	61.0	-0.2115889079533599	0.1141	0.3594109090909091	0.218655737704918	48.0	23.0	25.0	13.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	-0.2697437407129414	0.0804	1900501472.0	0.33799787234042555	171
KEGG:C00106|DPYD	DPYD	uracil	61.0	-0.2933064870423505	0.023	0.1512692307692307	0.1611675	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.29330648704235057	0.023	2560494826.0	0.19665000000000002	171
KEGG:C00106|UPP1	UPP1	uracil	61.0	-0.0011153041401877	0.9937	0.9959	0.5494112068965517	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.001115304140187707	0.9937	3647047870.0	0.9937	171
KEGG:C00106|UPP2	UPP2	uracil	61.0	-0.2565960999252752	0.0511	0.24966	0.0800590909090909	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.2565960999252752	0.0511	3601921367.0	0.29127000000000003	171
KEGG:C00114|CHKA	CHKA	choline	61.0	0.0732789867352418	0.575	0.73834	0.8350300699300699	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.07327898673524183	0.575	4024533895.0	0.7394142857142856	171
KEGG:C00114|CHKB	CHKB	choline										NOT_EVALUABLE_PREVIOUS	NOT_COMPUTED					171
KEGG:C00114|GDPD5	GDPD5	choline	61.0	0.1489931747363703	0.2569	0.4827461538461539	0.4955679611650485	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.1489931747363703	0.2569	1170167643.0	0.5098909090909092	171
KEGG:C00114|GPCPD1	GPCPD1	choline	61.0	0.0371142082964596	0.7734	0.8601077922077922	0.899314024390244	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.03711420829645969	0.7734	167320395.0	0.8704235294117647	171
KEGG:C00121|RBKS	RBKS	ribose	61.0	-0.0919668480870017	0.4947	0.6660921259842519	0.4895090909090909	58.0	28.0	30.0	3.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	-0.1283546897738989	0.3407	1201905543.0	0.5944867346938776	171
KEGG:C00134|ODC1	ODC1	putrescine	61.0	0.123463199347278	0.3492	0.5814	0.54705	48.0	25.0	23.0	13.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	0.09778713063312587	0.5212	3108669668.0	0.7245951219512194	171
KEGG:C00135|HAL	HAL	histidine	61.0	-0.0899948679581362	0.4877	0.6660921259842519	0.7550211678832117	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.08999486795813626	0.4877	2201886125.0	0.7008126050420168	171
KEGG:C00140|NAGK	NAGK	N-acetylglucosamine	61.0	0.1087246280607637	0.4006	0.6124221238938053	0.2960148648648648	43.0	18.0	25.0	18.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	-0.11309472726904855	0.4809	2110414435.0	0.7008126050420168	171
KEGG:C00148|PEPD	PEPD	proline	61.0	-0.0133297702335786	0.9235	0.957081818181818	0.8839384615384615	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.013329770233578654	0.9235	38197118.0	0.945619760479042	171
KEGG:C00148|PRODH	PRODH	proline	61.0	-0.0402924777627401	0.765	0.8601077922077922	0.8987240506329114	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.04029247776274019	0.765	67070728.0	0.8704235294117647	171
KEGG:C00148|PYCR1	PYCR1	proline	61.0	0.2933570167640607	0.0222	0.1512692307692307	0.0966807692307692	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.2933570167640607	0.0222	4060367423.0	0.19665000000000002	171
KEGG:C00148|PYCR2	PYCR2	proline	61.0	-0.068545897416641	0.5961	0.7440372262773722	0.8288042553191489	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.06854589741664102	0.5961	1055333609.0	0.75506	171
KEGG:C00148|PYCR3	PYCR3	proline	61.0	0.2034111972910961	0.1181	0.3606267857142857	0.263725352112676	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.2034111972910961	0.1181	1607579418.0	0.3959823529411765	171
KEGG:C00149|FH	FH	malate	61.0	0.2312561047150138	0.0905	0.3074711538461538	0.1056535714285714	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.23125610471501387	0.0905	1235930182.0	0.33799787234042555	171
KEGG:C00149|MDH1	MDH1	malate	61.0	0.1168887660345078	0.3618	0.5892171428571429	0.2100857142857142	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.11688876603450786	0.3618	4214073821.0	0.6065470588235294	171
KEGG:C00149|MDH2	MDH2	malate	61.0	0.1884641169872589	0.1534	0.3920957746478873	0.1622414634146341	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.1884641169872589	0.1534	1602687982.0	0.43498125000000004	171
KEGG:C00152|ASNS	ASNS	asparagine	61.0	-0.1019740066417065	0.424	0.6304695652173913	0.4764351063829787	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.10197400664170654	0.424	401880549.0	0.6651743119266055	171
KEGG:C00153|NAMPT	NAMPT	nicotinamide	61.0	-0.0935437819311081	0.4678	0.6550829268292683	0.7798821428571429	58.0	30.0	28.0	3.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	-0.05197535906064701	0.7028	99591934.0	0.83469375	171
KEGG:C00153|NNMT	NNMT	nicotinamide	61.0	-0.3364419254042824	0.0082	0.09918	0.0693	58.0	30.0	28.0	3.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	-0.35334956388284744	0.0068	4058828440.0	0.10917692307692309	171
KEGG:C00158|ACLY	ACLY	citrate	61.0	-0.3491667014452259	0.0063	0.0979363636363636	0.0693	55.0	27.0	28.0	6.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	-0.3033289315712026	0.0292	4292309837.0	0.21709565217391305	171
KEGG:C00158|CS	CS	citrate	61.0	-0.1896653551135221	0.1517	0.3920957746478873	0.318288	55.0	27.0	28.0	6.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	-0.08361252426147031	0.5649	2817513802.0	0.7394142857142856	171
KEGG:C00186|LDHA	LDHA	lactate	61.0	0.0970734743511308	0.455	0.6538235294117647	0.5252603773584905	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.09707347435113085	0.455	3479137674.0	0.6912637168141592	171
KEGG:C00186|LDHB	LDHB	lactate	61.0	-0.1875700949420569	0.1546	0.3920957746478873	0.54705	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.1875700949420569	0.1546	3256839655.0	0.43498125000000004	171
KEGG:C00187|SOAT1	SOAT1	cholesterol	61.0	0.117617780705295	0.3759	0.6007373831775701	0.48556875	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.117617780705295	0.3759	275891979.0	0.61218	171
KEGG:C00187|SOAT2	SOAT2	cholesterol	61.0	-0.3025137607792271	0.0155	0.1382869565217391	0.09234	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.30251376077922715	0.0155	3826787783.0	0.1767	171
KEGG:C00189|CHKA	CHKA	ethanolamine	61.0	0.2263985001709722	0.0806	0.3074711538461538	0.21717	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.22639850017097227	0.0806	3267464447.0	0.33799787234042555	171
KEGG:C00189|CHKB	CHKB	ethanolamine										NOT_EVALUABLE_PREVIOUS	NOT_COMPUTED					171
KEGG:C00189|ETNK1	ETNK1	ethanolamine	61.0	0.3853669504047172	0.0021	0.0534375	0.0418	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.3853669504047172	0.0021	2405634759.0	0.053437500000000006	171
KEGG:C00189|ETNK2	ETNK2	ethanolamine	61.0	0.1824237047725828	0.1615	0.3920957746478873	0.3830793103448275	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.1824237047725828	0.1615	2295082704.0	0.43498125000000004	171
KEGG:C00208|MGAM	MGAM	maltose	61.0	-0.0233847294622422	0.8576	0.9108670807453416	0.9937	51.0	27.0	24.0	10.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	0.13337883839850107	0.3505	4279800543.0	0.5986693069306931	171
KEGG:C00212|ADA	ADA	adenosine	61.0	-0.072531170331817	0.5802	0.73834	0.8626775510204082	60.0	31.0	29.0	1.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	-0.05996468687217866	0.6341	1626383848.0	0.7800798561151079	171
KEGG:C00212|ADA2	ADA2	adenosine	61.0	-0.0260026047147598	0.849	0.90736875	0.9540585798816568	60.0	31.0	29.0	1.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	-0.008680977579904792	0.951	1740082896.0	0.9622544378698225	171
KEGG:C00212|AHCY	AHCY	adenosine	61.0	-0.101808437487906	0.423	0.6304695652173913	0.6893023255813954	60.0	31.0	29.0	1.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	-0.13846240036659396	0.2842	2286450046.0	0.5210999999999999	171
KEGG:C00242|GDA	GDA	guanine	61.0	-0.1892103729391562	0.1506	0.3920957746478873	0.50388	60.0	30.0	30.0	1.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	-0.16044162286939254	0.2304	3035092735.0	0.49527439024390246	171
KEGG:C00242|HPRT1	HPRT1	guanine	61.0	0.3295369388020237	0.0113	0.1136647058823529	0.0693	60.0	30.0	30.0	1.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	0.3474741612049995	0.008	1479197963.0	0.10917692307692309	171
KEGG:C00242|PNP	PNP	guanine	61.0	0.3921112194390904	0.0032	0.0608	0.0171	60.0	30.0	30.0	1.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	0.46382394341007765	0.0004	366815122.0	0.0285	171
KEGG:C00245|SLC6A6	SLC6A6	taurine	61.0	0.167240827448844	0.2061	0.4351	0.3813697674418605	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.167240827448844	0.2061	3543227943.0	0.48278219178082193	171
