gene	stable_gene_id	current_pool	source_runs	history_only
NAGS	HGNC:17996	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
NAMPT	ENSG00000105835	True	20260925T143000Z_discovery_v1	False
NNMT	ENSG00000166741	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
NPL	ENSG00000135838	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
NT5C1A	HGNC:17819	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
NT5C2	ENSG00000076685	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
OAT	ENSG00000065154	True	20260925T151000Z_ccrcc3_v1	False
ODC1	ENSG00000115758	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
OTC	ENSG00000036473	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
PANK1	ENSG00000152782	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
PANK2	ENSG00000125779	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
PANK3	ENSG00000120137	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
PEPD	ENSG00000124299	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
PGD	ENSG00000142657	True	20260925T143000Z_discovery_v1	False
PGM3	ENSG00000013375	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
PLA2G4A	HGNC:9035	True	20260925T151000Z_ccrcc3_v1	False
PMM1	ENSG00000100417	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
PMM2	ENSG00000140650	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
PNP	ENSG00000198805	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
PRODH	ENSG00000100033	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
PRODH2	ENSG00000250799	True	20260925T151000Z_ccrcc3_v1	False
PTGS1	ENSG00000095303	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
PTGS2	ENSG00000073756	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
PUDP	ENSG00000130021	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
PYCR1	ENSG00000183010	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
PYCR2	ENSG00000143811	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
PYCR3	ENSG00000104524	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
RFK	ENSG00000135002	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
SDHA	ENSG00000073578	True	20260925T151000Z_ccrcc3_v1	False
SDHB	ENSG00000117118	True	20260925T151000Z_ccrcc3_v1	False
SDHC	ENSG00000143252	True	20260925T151000Z_ccrcc3_v1	False
SDHD	ENSG00000204370	True	20260925T151000Z_ccrcc3_v1	False
SDS	HGNC:10691	True	20260925T151000Z_ccrcc3_v1	False
SDSL	HGNC:30404	True	20260925T151000Z_ccrcc3_v1	False
SHMT1	ENSG00000176974	True	20260925T151000Z_ccrcc3_v1	False
SHMT2	ENSG00000182199	True	20260925T151000Z_ccrcc3_v1	False
SLC13A3	ENSG00000158296	True	20260925T151000Z_ccrcc3_v1	False
SLC22A2	ENSG00000112499	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
SLC22A4	ENSG00000197208	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
SLC25A10	ENSG00000183048	True	20260925T151000Z_ccrcc3_v1	False
SLC25A20	ENSG00000178537	True	20260925T151000Z_ccrcc3_v1	False
SLC29A2	ENSG00000174669	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
SLC2A1	HGNC:11005	True	20260925T151000Z_ccrcc3_v1	False
SLC2A3	HGNC:11007	True	20260925T151000Z_ccrcc3_v1	False
SLC47A1	ENSG00000142494	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
SLC47A2	ENSG00000180638	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
SLC6A8	ENSG00000130821	True	20260925T151000Z_ccrcc3_v1	False
SLC7A11	ENSG00000151012	True	20260925T151000Z_ccrcc3_v1	False
SOAT1	ENSG00000057252	True	20260925T143000Z_discovery_v1	False
SOAT2	ENSG00000167780	True	20260925T143000Z_discovery_v1	False
SORD	ENSG00000140263	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
SPHK1	ENSG00000176170	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
SPHK2	ENSG00000063176	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
STS	HGNC:11425	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
SUCLA2	ENSG00000136143	True	20260925T151000Z_ccrcc3_v1	False
SUCLG1	ENSG00000163541	True	20260925T151000Z_ccrcc3_v1	False
SUCLG2	ENSG00000172340	True	20260925T151000Z_ccrcc3_v1	False
SULT2A1	HGNC:11458	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
TAT	ENSG00000198650	True	20260925T151000Z_ccrcc3_v1	False
UPB1	ENSG00000100024	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
UPP1	ENSG00000183696	True	20260925T151000Z_ccrcc3_v1	False
UPP2	ENSG00000007001	True	20260925T151000Z_ccrcc3_v1	False
XDH	HGNC:12805	True	20260925T143000Z_discovery_v1	False
