cohort	contrast	direction	library	term	universe_n	selected_n	term_n	overlap_n	p_value	genes	q_contrast	q_joint4
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Inositol Phosphate Metabolic Process (GO:0043647)	13204	1491	19	4	0.1594812465	INPP4B;NUDT3;NUDT4;PPIP5K2	0.7059764902	0.7025349064
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Insulin Receptor Signaling Pathway (GO:0008286)	13204	1491	41	5	0.4995324714	AP3S1;GRB14;GRB2;GRB7;GSK3B	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Integrated Stress Response Signaling (GO:0140467)	13204	1491	25	2	0.7911148777	EIF2AK2;MAFB	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Integrin-Mediated Signaling Pathway (GO:0007229)	13204	1491	56	4	0.8905047726	ADAM9;APOA1;CUL3;PTK2	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Interferon-Mediated Signaling Pathway (GO:0140888)	13204	1491	27	3	0.6017818707	IFI27;JAK1;STAT1	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Interleukin-1-Mediated Signaling Pathway (GO:0070498)	13204	1491	17	2	0.587486527	MAPK3;PLCB1	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Intermediate Filament Organization (GO:0045109)	13204	1491	24	6	0.04634787301	DNAJB6;DSP;KRT6A;KRT7;KRT81;TCHH	0.4103367567	0.4196511398
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Internal Peptidyl-Lysine Acetylation (GO:0018393)	13204	1491	36	1	0.9866950933	PHF20L1	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Interstrand Cross-Link Repair (GO:0036297)	13204	1491	33	1	0.9809211504	ERCC4	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	intra-Golgi Vesicle-Mediated Transport (GO:0006891)	13204	1491	28	4	0.3909462675	COG2;COPB2;NAPA;RAB6A	0.9851047619	0.9696127477
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Intracellular Calcium Ion Homeostasis (GO:0006874)	13204	1491	75	11	0.222236436	ATP2A2;ATP2A3;ATP2B1;CCDC47;HERPUD1;MICU2;TMCO1;TMEM165;TMEM203;TMEM64;VAPB	0.8518531135	0.801770536
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Intracellular Glucose Homeostasis (GO:0001678)	13204	1491	31	6	0.1299368624	CARTPT;HIF1A;HK2;SOX4;UCP2;XBP1	0.6344457207	0.6474008218
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Intracellular Iron Ion Homeostasis (GO:0006879)	13204	1491	38	5	0.4311244504	ATP6V1A;ATP6V1G1;FBXL5;NDFIP1;SLC40A1	1	0.9908873712
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Intracellular Monoatomic Cation Homeostasis (GO:0030003)	13204	1491	115	14	0.4251049902	ATP2A2;ATP2A3;ATP6V1A;ATP6V1G1;FBXL5;NDFIP1;SCNN1B;SLC30A9;SLC39A6;SLC39A9;SLC40A1;TMEM165;TMEM203;VAPB	1	0.9896691836
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Intracellular pH Reduction (GO:0051452)	13204	1491	28	6	0.08836083527	ATP6AP2;ATP6V0E2;ATP6V1A;ATP6V1H;RAB20;RAB7A	0.549440464	0.5527689283
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Intracellular Protein Transmembrane Transport (GO:0065002)	13204	1491	45	8	0.1289368827	GRPEL1;HSPA5;HSPD1;PEX2;PEX7;SEC63;TIMM17A;TOMM20	0.6344457207	0.6452243287
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Intracellular Protein Transport (GO:0006886)	13204	1491	287	43	0.03212517176	ARFIP1;ARFRP1;CLTC;COPB2;CSE1L;CTSA;GRPEL1;HSPA9;KIF13A;KPNA2;KPNA3;KPNA4;KPNB1;NAPA;NUP153;PDCD6;RAB14;RAB20;RAB22A;RAB3GAP2;RAB5A;RAB6A;RAB7A;RABL3;SAR1B;SEC16A;SEPTIN9;SLU7;SNX6;STK3;STX11;STX16;TIMM17A;TLK1;TNPO1;TRAK2;USO1;VPS26A;VPS29;VPS35;VPS36;XPO6;YWHAH	0.3681420286	0.3649675466
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0030518)	13204	1491	36	8	0.04409408625	ARID1A;DAXX;ESR1;MAPK1;MED1;NCOA4;PMEPA1;ZMIZ1	0.4102310375	0.4192112673
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Intrinsic Apoptotic Signaling Pathway (GO:0097193)	13204	1491	90	13	0.2123194331	ATP2A3;BNIP3;BOK;CASP3;CD24;CUL3;CUL4A;DDX3X;GSKIP;HIPK2;ITPR1;PRKDC;STK24	0.8281000907	0.7924629001
