cohort	contrast	gene	n_high	n_reference	mean_log_high	mean_log_reference	mean_log_difference	mean_CP10k_high	mean_CP10k_reference	descriptive_log2ratio	detection_high	detection_reference	welch_t	welch_df	p_value	q_contrast	q_joint4
Wu2021	high_vs_zero	MAPDA	7222	10045	0.05878108782	0.04878369624	0.009997391582	0.08991743669	0.09582663355	-0.04420462493	0.1208806425	0.05734196117	3.097006743	16702.32741	0.001958093514	0.003443992435	0.002759280856
Wu2021	high_vs_zero	ZSCAN29	7222	10045	0.02971143378	0.02476126602	0.004950167761	0.0455329318	0.04548283294	0.0004967248582	0.05857103295	0.03046291687	2.138930384	16243.8229	0.03245617322	0.04713656921	0.04086850123
Wu2021	high_vs_zero	TUBGCP4	7222	10045	0.0616948283	0.05220346559	0.009491362701	0.09388563391	0.09730168689	-0.02519738099	0.1262808086	0.06182180189	2.899746215	16610.66651	0.003739542657	0.00631704131	0.005146343293
Wu2021	high_vs_zero	TP53BP1	7222	10045	0.1227240216	0.145502007	-0.02277798537	0.2072391097	0.289427279	-0.3419920724	0.1931597895	0.1522150324	-4.335361935	17077.92928	1.463534031e-05	3.263306544e-05	2.389404674e-05
Wu2021	high_vs_zero	MAP1A	7222	10045	0.03459295966	0.02694733829	0.007645621377	0.06968746488	0.07126378317	-0.01334010536	0.04901689283	0.02220009955	2.512259773	15813.02911	0.01200594868	0.01873339773	0.01578728939
Wu2021	high_vs_zero	PPIP5K1	7222	10045	0.0236965227	0.02293090188	0.0007656208255	0.03699524329	0.0428923904	-0.06080328797	0.04597064525	0.02618218019	0.3485399197	16762.08826	0.7274391167	0.7680634364	0.7534525252
Wu2021	high_vs_zero	CKMT1B	7222	10045	0.04437724073	0.02623669008	0.01814055065	0.07497578086	0.05896119099	0.1384806594	0.07532539463	0.02578397213	6.244782421	15134.07512	4.357226205e-10	1.39719161e-09	8.907935778e-10
Wu2021	high_vs_zero	CATSPER2	7222	10045	0.02382935432	0.01985545904	0.003973895277	0.03515298447	0.04048406584	-0.0558131345	0.05483245638	0.02150323544	1.901695552	17003.58457	0.05722785247	0.07965609295	0.07026023837
Wu2021	high_vs_zero	CKMT1A	7222	10045	0.05434868701	0.03234546994	0.02200321707	0.09500155803	0.07544667743	0.1524530244	0.08681805594	0.03066202091	6.683967113	15122.71891	2.406960758e-11	8.400991299e-11	5.189658632e-11
Wu2021	high_vs_zero	PDIA3	7222	10045	1.043913196	1.052394327	-0.00848113151	2.912130264	3.400797224	-0.2168993365	0.7430074772	0.637630662	-0.6491758061	16788.44148	0.5162336284	0.5731642131	0.5512289849
Wu2021	high_vs_zero	ELL3	7222	10045	0.0361217231	0.04293053388	-0.00680881078	0.05980312567	0.08116482915	-0.1810072747	0.05455552479	0.04758586361	-2.320257626	16972.48358	0.02033874113	0.03054062851	0.02615303989
Wu2021	high_vs_zero	SERF2	7222	10045	2.967469845	3.041957138	-0.07448729208	22.11405584	25.02833825	-0.1778424445	0.9904458599	0.9732205077	-6.953689786	16963.20586	3.688253036e-12	1.357612837e-11	8.217759293e-12
Wu2021	high_vs_zero	HYPK	7222	10045	0.06611121748	0.05717951504	0.008931702448	0.125110438	0.1175084436	0.04956154696	0.1080033232	0.05913389746	2.317864097	15899.01034	0.02046933599	0.03071771913	0.02631304636
Wu2021	high_vs_zero	MFAP1	7222	10045	0.1653035761	0.1414483514	0.02385522475	0.2736656077	0.293291481	-0.07385115323	0.2690390474	0.1465405674	4.328225197	16699.54028	1.511901073e-05	3.369088598e-05	2.466701785e-05
Wu2021	high_vs_zero	WDR76	7222	10045	0.03137714127	0.03564969182	-0.004272550551	0.0519152101	0.06995639661	-0.1618983383	0.05801716976	0.04021901444	-1.576517153	17057.28526	0.1149252136	0.1501059806	0.1359968364
Wu2021	high_vs_zero	FRMD5	7222	10045	0.004452225861	0.003816217072	0.0006360087883	0.006473222825	0.008366262531	-0.02542502535	0.01010800332	0.004579392733	0.6884730737	17135.94968	0.4911642411	0.5484252969	0.5263530325
Wu2021	high_vs_zero	GOLM2	7222	10045	0.1931182715	0.1419543996	0.05116387192	0.3205711428	0.2950358627	0.09036623193	0.2978399335	0.143554007	8.911341571	16253.5235	5.567155415e-19	2.917445952e-18	1.574605151e-18
Wu2021	high_vs_zero	CTDSPL2	7222	10045	0.08251329818	0.07324566382	0.009267634364	0.1382955901	0.1484091186	-0.05996587962	0.1434505677	0.07924340468	2.259920861	16478.1162	0.02383916231	0.03543139612	0.03045874424
Wu2021	high_vs_zero	EIF3J-DT	7222	10045	0.1048675524	0.08452867992	0.02033887252	0.1624917228	0.1697710843	-0.03946378911	0.1919135973	0.08969636635	4.725414992	16693.1084	2.315177512e-06	5.573731474e-06	3.957634192e-06
Wu2021	high_vs_zero	EIF3J	7222	10045	0.3500548199	0.2829211525	0.06713366736	0.6384882422	0.6295102593	0.01764668421	0.4353364719	0.2628173221	8.598205616	16470.64321	8.815015343e-18	4.39482854e-17	2.40300919e-17
Wu2021	high_vs_zero	SPG11	7222	10045	0.1121831344	0.1014696357	0.01071349862	0.1893808699	0.2082181047	-0.0909820556	0.1856826364	0.1038327526	2.236983071	16587.47432	0.02530067822	0.03743924309	0.03224817174
Wu2021	high_vs_zero	PATL2	7222	10045	0.003862639601	0.006271922156	-0.002409282556	0.005603641712	0.0117974362	-0.08222751743	0.008446413736	0.007267297163	-2.38759465	16887.06783	0.01696996413	0.02576913923	0.02198106397
Wu2021	high_vs_zero	B2M	7222	10045	2.763550766	2.762308779	0.001241986917	27.88921279	30.71105175	-0.1385770191	0.9671836056	0.937680438	0.06933271412	16363.60842	0.9447256335	0.9557550919	0.9512702853
Wu2021	high_vs_zero	TRIM69	7222	10045	0.08099435335	0.09499516689	-0.01400081354	0.1343428233	0.1924748664	-0.3196920401	0.1438659651	0.1010452962	-3.241807479	17181.28169	0.001190006082	0.00215259798	0.001705881231
Wu2021	high_vs_zero	SORD	7222	10045	0.2978161601	0.1722913773	0.1255247828	0.5891803926	0.3823696207	0.514742607	0.3673497646	0.1635639622	17.38781308	14599.39051	4.828545766e-67	1.159966489e-65	3.850354375e-66
