cohort	contrast	gene	n_high	n_reference	mean_log_high	mean_log_reference	mean_log_difference	mean_CP10k_high	mean_CP10k_reference	descriptive_log2ratio	detection_high	detection_reference	welch_t	welch_df	p_value	q_contrast	q_joint4
Wu2021	high_vs_low_detected	HSD17B7	7222	7222	0.1731878732	0.1887517392	-0.01556386595	0.2876726359	0.2782265764	0.03558816626	0.2705621711	0.3454721684	-2.849724199	14260.58432	0.004381985915	0.006759159881	0.005997470567
Wu2021	high_vs_low_detected	RGS4	7222	7222	0.005975347989	0.01366221542	-0.007686867427	0.01080613914	0.02020551926	-0.117465324	0.009277208529	0.02866242038	-5.396500691	13754.1039	6.907933133e-08	1.669140092e-07	1.275798561e-07
Wu2021	high_vs_low_detected	NUF2	7222	7222	0.06701020889	0.09687220484	-0.02986199595	0.1411396295	0.1667637262	-0.1456937397	0.07781777901	0.1474660759	-6.453759299	14439.55301	1.125898596e-10	3.305936216e-10	2.357965964e-10
Wu2021	high_vs_low_detected	PBX1	7222	7222	0.7165487879	0.5200614643	0.1964873236	1.660295187	0.9960996602	0.6834383993	0.6214345057	0.6071725284	18.93457131	13704.17688	6.009119732e-79	2.916025502e-77	5.732824124e-78
Wu2021	high_vs_low_detected	MGST3	7222	7222	1.19371738	1.293942953	-0.1002255729	3.338007924	3.439949062	-0.04215573107	0.8145942952	0.920105234	-8.538438834	14068.53063	1.498593519e-17	6.591095e-17	4.052793656e-17
Wu2021	high_vs_low_detected	ALDH9A1	7222	7222	0.4526685955	0.4821693623	-0.02950076679	0.8740331391	0.823626539	0.07666122989	0.5270008308	0.6542509	-3.533701976	14103.7322	0.0004110938803	0.0007143357256	0.0006100485517
Wu2021	high_vs_low_detected	TMCO1	7222	7222	0.833626859	0.8656735591	-0.03204670008	1.863934592	1.694576438	0.1301035074	0.71489892	0.8535031847	-3.281043076	13604.33424	0.001036842616	0.001722604972	0.001493298646
Wu2021	high_vs_low_detected	UCK2	7222	7222	0.1390321517	0.2654719694	-0.1264398178	0.2394927509	0.4020879374	-0.5645592953	0.2057601772	0.4365826641	-22.17756034	14344.12572	3.549084498e-107	4.166739687e-105	5.098560612e-106
Wu2021	high_vs_low_detected	POGK	7222	7222	0.1584409532	0.1588464941	-0.0004055408734	0.271927048	0.2255291078	0.1922331196	0.2400996954	0.3273331487	-0.07822098425	13705.31077	0.937653412	0.9460363416	0.9448516007
Wu2021	high_vs_low_detected	TADA1	7222	7222	0.05966132152	0.05826771477	0.001393606745	0.102550208	0.07903993041	0.1779981858	0.1023262254	0.1373580726	0.4262689542	13577.9698	0.6699186348	0.708615526	0.6991177949
Wu2021	high_vs_low_detected	POU2F1	7222	7222	0.06302755842	0.06632912981	-0.003301571388	0.1006561973	0.08980063013	0.08024093255	0.1182497923	0.1546662974	-1.006326597	14034.85257	0.3142758395	0.3619355804	0.3486135594
Wu2021	high_vs_low_detected	CREG1	7222	7222	0.3871647239	0.4819867777	-0.09482205381	0.7304046554	0.8377447792	-0.1753807941	0.4634450291	0.6298809194	-11.51433273	14354.05555	1.521479233e-30	1.245764605e-29	5.884141042e-30
Wu2021	high_vs_low_detected	RCSD1	7222	7222	0.01140969967	0.02291947333	-0.01150977367	0.02056314613	0.03454693642	-0.1583205717	0.01675436167	0.04389365827	-5.979014677	13980.87343	2.29961633e-09	6.209945193e-09	4.554933544e-09
