cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	stable_gene_id	same_cohort_postselection	normal_source_confounding	degrees_freedom	p_method	ci_method	bootstrap_mean_lower	bootstrap_mean_upper	bootstrap_valid	seed	family_n_planned
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_AGE_SEX	NA	NA	SLC5A11	unpaired_unique_author_case	74.0	6.0	age_sex_adjusted_log2TPM1_difference	-0.5206620643255986	-1.5645406888169573	0.5232165601657601	0.32366772694723533	0.38452832517663	RNA_UNPAIRED_AGE_SEX	139.0	DONE	NA	CAMP_GBM_TPM	hsa:115584	True	True	76.0	OLS_HC3_t	HC3_t95	NA	NA	NA	NA	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_CURRENT	NA	NA	SLC5A2	unpaired_unique_author_case	74.0	6.0	mean_log2TPM1_difference	0.08347848448532719	-0.13604860883955613	0.30300557781021054	0.3824919264823479	0.4344976331944405	RNA_UNPAIRED_CURRENT	139.0	DONE	NA	CAMP_GBM_TPM	hsa:6524	True	True	5.580427481222009	Welch_t	analytic_Welch_t95	-0.07370504799442554	0.24094486423576292	4000.0	1812303118.0	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_AGE_SEX	NA	NA	SLC5A2	unpaired_unique_author_case	74.0	6.0	age_sex_adjusted_log2TPM1_difference	0.08586917812511735	-0.11611377217653251	0.2878521284267672	0.399808782606233	0.4555198424775933	RNA_UNPAIRED_AGE_SEX	139.0	DONE	NA	CAMP_GBM_TPM	hsa:6524	True	True	76.0	OLS_HC3_t	HC3_t95	NA	NA	NA	NA	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_CURRENT	NA	NA	SLC60A2	unpaired_unique_author_case	NA	NA	mean_log2TPM1_difference	NA	NA	NA	NA	NA	RNA_UNPAIRED_CURRENT	139.0	NOT_EVALUABLE	exact_symbol_missing	CAMP_GBM_TPM	hsa:91749	True	True	NA	NA	NA	NA	NA	NA	NA	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_AGE_SEX	NA	NA	SLC60A2	unpaired_unique_author_case	NA	NA	mean_log2TPM1_difference	NA	NA	NA	NA	NA	RNA_UNPAIRED_AGE_SEX	139.0	NOT_EVALUABLE	exact_symbol_missing	CAMP_GBM_TPM	hsa:91749	True	True	NA	NA	NA	NA	NA	NA	NA	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_CURRENT	NA	NA	ASNS	unpaired_unique_author_case	74.0	6.0	mean_log2TPM1_difference	-0.55650497311033	-1.1928339937786858	0.07982404755802575	0.07565432828877791	0.11555990804549593	RNA_UNPAIRED_CURRENT	139.0	DONE	NA	CAMP_GBM_TPM	hsa:440	True	True	5.674749423433341	Welch_t	analytic_Welch_t95	-0.9310266704399053	-0.038238678853979656	4000.0	3106696887.0	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_AGE_SEX	NA	NA	ASNS	unpaired_unique_author_case	74.0	6.0	age_sex_adjusted_log2TPM1_difference	-0.5420043050509853	-1.0875839830610579	0.003575372959087164	0.05148230041658258	0.08131863361255659	RNA_UNPAIRED_AGE_SEX	139.0	DONE	NA	CAMP_GBM_TPM	hsa:440	True	True	76.0	OLS_HC3_t	HC3_t95	NA	NA	NA	NA	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_CURRENT	NA	NA	ASS1	unpaired_unique_author_case	74.0	6.0	mean_log2TPM1_difference	-0.6949287113511005	-1.1101982386499005	-0.27965918405230045	0.0052410820801635435	0.012141840152378876	RNA_UNPAIRED_CURRENT	139.0	DONE	NA	CAMP_GBM_TPM	UniProt:P00966	True	True	7.3287687477419325	Welch_t	analytic_Welch_t95	-1.0333784563787223	-0.39177990453661604	4000.0	2427406535.0	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_AGE_SEX	NA	NA	ASS1	unpaired_unique_author_case	74.0	6.0	age_sex_adjusted_log2TPM1_difference	-0.6984330937105017	-1.0674583652690468	-0.32940782215195663	0.0003212636381681228	0.0007699249259546391	RNA_UNPAIRED_AGE_SEX	139.0	DONE	NA	CAMP_GBM_TPM	UniProt:P00966	True	True	76.0	OLS_HC3_t	HC3_t95	NA	NA	NA	NA	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_CURRENT	NA	NA	GOT1	unpaired_unique_author_case	74.0	6.0	mean_log2TPM1_difference	-2.676777361743808	-3.6061714739775073	-1.7473832495101091	0.0006181529742236404	0.0022611385109759475	RNA_UNPAIRED_CURRENT	139.0	DONE	NA	CAMP_GBM_TPM	UniProt:P17174	True	True	5.233952431184338	Welch_t	analytic_Welch_t95	-3.2294297367226106	-1.9370435335940301	4000.0	2678954428.0	142.0
