module	GO	description	overlap	module_annotated_genes	term_universe_genes	universe_genes	p	genes	q_all_module_terms
pink	GO:0071900	regulation of protein serine/threonine kinase activity	2	199	104	5553	0.892910241838281	MAP2K1;HYAL2	1
pink	GO:0071901	negative regulation of protein serine/threonine kinase activity	1	199	36	5553	0.732338677106021	HYAL2	1
pink	GO:0071902	positive regulation of protein serine/threonine kinase activity	1	199	45	5553	0.807740589772227	MAP2K1	1
pink	GO:0072001	renal system development	4	199	87	5553	0.379739097993226	HES1;ACAT1;ZNG1A;HYAL2	1
pink	GO:0072006	nephron development	2	199	40	5553	0.422860770366609	HES1;ACAT1	1
pink	GO:0072009	nephron epithelium development	2	199	30	5553	0.292350280083636	HES1;ACAT1	1
pink	GO:0072028	nephron morphogenesis	1	199	20	5553	0.518650822126328	HES1	1
pink	GO:0072073	kidney epithelium development	2	199	39	5553	0.410293412936393	HES1;ACAT1	1
pink	GO:0072078	nephron tubule morphogenesis	1	199	18	5553	0.482075125187993	HES1	1
pink	GO:0072080	nephron tubule development	2	199	26	5553	0.238555995456582	HES1;ACAT1	1
pink	GO:0072088	nephron epithelium morphogenesis	1	199	19	5553	0.50069609178015	HES1	1
pink	GO:0072089	stem cell proliferation	1	199	37	5553	0.741993308836291	BABAM1	1
pink	GO:0072091	regulation of stem cell proliferation	0	199	29	5553	1		1
pink	GO:0072132	mesenchyme morphogenesis	0	199	12	5553	1		1
pink	GO:0072163	mesonephric epithelium development	1	199	25	5553	0.599232366265256	HES1	1
pink	GO:0072164	mesonephric tubule development	1	199	25	5553	0.599232366265256	HES1	1
pink	GO:0072171	mesonephric tubule morphogenesis	1	199	15	5553	0.421964338148537	HES1	1
pink	GO:0072175	epithelial tube formation	1	199	47	5553	0.821383227683246	FOLR1	1
pink	GO:0072330	monocarboxylic acid biosynthetic process	2	199	71	5553	0.729266173765477	SCP2;CHST12	1
pink	GO:0072331	signal transduction by p53 class mediator	3	199	94	5553	0.66130797608815	RPS20;NDRG1;EEF1E1	1
pink	GO:0072332	intrinsic apoptotic signaling pathway by p53 class mediator	0	199	47	5553	1		1
pink	GO:0072337	modified amino acid transport	1	199	12	5553	0.354916112710665	FOLR1	1
pink	GO:0072344	rescue of stalled ribosome	0	199	20	5553	1		1
pink	GO:0072348	sulfur compound transport	0	199	11	5553	1		1
pink	GO:0072350	tricarboxylic acid metabolic process	0	199	10	5553	1		1
pink	GO:0072359	circulatory system development	9	199	348	5553	0.885830345056967	HES1;ACADM;CXCL17;AIMP1;CPE;RAP1A;FOLR1;MAP2K1;MAPK3	1
pink	GO:0072384	organelle transport along microtubule	2	199	43	5553	0.459708374224202	RAB1A;BLOC1S1	1
pink	GO:0072523	purine-containing compound catabolic process	1	199	19	5553	0.50069609178015	ACAT1	1
