gene	module	kME	rank_in_module	Pal_kME
SRRM1	grey	NA	NA	NA
EPHX1	black	0.482438152310358	125	0.311865908094904
SMDT1	magenta	0.529105241500599	80	0.310577206326712
COPS6	blue	0.677879667230931	50	0.241560222566206
NAA38	magenta	0.631042944652523	40	0.509789887087191
LSM2	green	0.607381873272721	69	0.394900553446351
PSMB7	blue	0.711853034048623	31	0.405840595266308
SELENOS	black	0.557147316371252	70	0.28243420356828
H1-2	brown	0.390695201533006	372	-0.180400706088352
IMPDH2	purple	0.490233126524383	104	0.376303441574423
TBCB	blue	0.5899526083756	127	0.346841281573866
PNISR	grey	NA	NA	NA
CDK2AP2	brown	0.586693157754022	82	-0.00207349857061832
