gene	module	kME	rank_in_module
AP1M2	grey	NA	NA
ARL3	black	0.455303164012228	150
SLC39A4	grey	NA	NA
PAICS	green	0.515649110871359	150
SS18L2	magenta	0.520463135002985	85
FBXO32	yellow	0.547716115880382	133
AFF4	yellow	0.75541891595522	15
REL	yellow	0.629383728536113	69
NUDT1	greenyellow	0.60978003508749	47
TEX264	turquoise	0.365279161895814	607
ERI3	blue	0.698481294105863	39
MAP3K8	yellow	0.699618949180798	34
BRIX1	blue	0.768617111723587	13
LAP3	blue	0.455020714817291	334
TIPRL	blue	0.458338793141852	324
NAT1	brown	0.361814014882136	405
PSMD12	blue	0.614132633706081	107
SAT2	turquoise	0.303719844488136	735
RABGGTB	purple	0.44206677021083	121
DGCR6L	grey	NA	NA
RAP1B	tan	0.513266658385695	59
PDXDC1	brown	0.613740520711521	56
CYB561	turquoise	0.358334756330858	623
DNAJB9	magenta	0.562477791879017	68
CISD2	red	0.487541981708653	139
SINHCAF	green	0.468259584676656	215
PCMTD1	turquoise	0.496540066675116	314
PLEKHF2	turquoise	0.58806683229399	203
FSIP1	turquoise	0.606536174849271	172
NAA10	pink	0.735898624699808	33
CRELD2	red	0.373978842039884	210
TMEM50B	magenta	0.606803154149409	50
SMARCE1	red	0.462347371516255	158
ELAPOR1	turquoise	0.6225628241526	155
NMRAL1	grey	NA	NA
ANXA4	blue	0.375712102960808	507
TNNT1	turquoise	0.690394970793758	64
HDAC1	blue	0.623434430257072	101
IGKV1-5	grey	NA	NA
CYTOR	salmon	0.44134710976181	94
GORASP2	blue	0.569288513199276	154
COMMD1	red	0.375104307999303	208
MTX1	red	0.521996882351066	112
SLC52A2	grey	NA	NA
SNRPA	grey	NA	NA
HPD	grey	NA	NA
FAM174A	turquoise	0.73938409984264	34
PTOV1	tan	0.39914935108973	104
AAMP	blue	0.360705725944741	529
SMIM15	turquoise	0.325996073921164	688
NARS1	blue	0.605046397776912	114
WARS1	lightcyan	0.557628154789073	7
SUMF2	grey	NA	NA
STOM	grey	NA	NA
NCOA7	salmon	0.519280243222943	69
HNRNPUL1	grey	NA	NA
DERL1	black	0.388221910864299	198
RNF187	tan	0.503088700009541	64
PLEKHJ1	grey	NA	NA
UBE2T	greenyellow	0.748322327637545	17
TXNDC12	blue	0.39644203638364	460
VAT1	tan	0.496235906775949	66
ERCC1	grey	NA	NA
OXR1	turquoise	0.419020345729108	495
BGN	grey	NA	NA
IGKV3-20	grey	NA	NA
FXR1	grey	NA	NA
EIF4E2	greenyellow	0.569846759846179	64
PMEPA1	brown	0.540669544407894	140
DCAF13	blue	0.740684288268712	20
CYP4X1	brown	0.469372299291801	235
POLR3K	red	0.4933857624138	134
SMARCA4	grey	NA	NA
HSPA4	turquoise	0.308621829254274	725
UPF3A	grey	NA	NA
TFPI	red	0.560713333176603	93
GPS1	blue	0.630836182493864	92
DDR1	turquoise	0.570748162595786	220
TMUB1	brown	0.406915559337987	350
SLBP	blue	0.424433108247405	400
DEDD	grey	NA	NA
CYP4Z1	brown	0.548962990316142	123
LAPTM4B	blue	0.570995668688535	152
MRPL22	pink	0.521149170339583	110
ARFIP2	turquoise	0.434133946312311	448
HIKESHI	blue	0.398736743213748	457
SERPINE1	grey	NA	NA
ACBD6	tan	0.478986287572434	74
ICAM1	yellow	0.543018836588176	137
PSMD13	blue	0.557989730083001	171
TMEM106B	turquoise	0.470411187366887	386
NIFK	blue	0.499367124950137	265
EIF3J	pink	0.513155650927486	115
ARL16	red	0.493155762208113	135
VPS25	magenta	0.405449588761016	150
USP1	green	0.481455390357159	198
RPL7L1	blue	0.576445942696001	142
JMJD1C	yellow	0.588293025784965	100
SLC66A3	magenta	0.481996055627907	109
ADAR	yellow	0.447995432186886	230
RO60	grey	NA	NA
SMC3	greenyellow	0.49236208161815	103
RBM42	blue	0.540209562481748	193
MRPL28	blue	0.619351153787034	106
DDIT3	yellow	0.436033572098728	246
NCBP2	grey	NA	NA
PFKL	green	0.535860498407579	126
SURF4	black	0.397302994641365	192
MTIF3	magenta	0.430509809664867	139
SEC63	blue	0.424591339758603	399
RUSC1	brown	0.419001238371565	332
CLN3	black	0.542894188759417	80
IGLC2	red	0.679693472802539	36
BIRC5	greenyellow	0.875014870151661	1
TGOLN2	black	0.558098300703417	67
ADH5	blue	0.300637902848315	600
KLHDC2	turquoise	0.492419104156198	329
KCNQ1OT1	yellow	0.615930981885365	75
MPST	green	0.406120542838495	265
PHF5A	green	0.45130680022921	231
MPC1	grey	NA	NA
SIGIRR	turquoise	0.527459280602899	276
RNASEH2C	turquoise	0.451824716761902	419
MCFD2	greenyellow	0.451709000250761	120
NUDCD2	magenta	0.533723434910117	77
RNMT	brown	0.371347267523362	396
SLC39A7	black	0.563398907967257	64
CCDC74A	turquoise	0.683320892033745	68
SRSF4	grey	NA	NA
DENR	grey	NA	NA
C19orf33	magenta	0.396340357141859	157
YPEL2	brown	0.720756449918889	12
HNRNPD	grey	NA	NA
STAT1	midnightblue	0.801713143207066	4
NRDC	grey	NA	NA
RDX	lightcyan	0.555951649978258	8
LYPD3	turquoise	0.385942304466284	564
SNF8	pink	0.445897050864465	154
MAD2L2	green	0.519011728773467	146
VTI1B	grey	NA	NA
ACAA1	brown	0.357484907821929	412
DNAJA2	grey	NA	NA
SMIM29	turquoise	0.452431931047048	414
TIPARP	yellow	0.779845489509707	10
CHCHD3	green	0.565208792637292	102
EMC10	black	0.497757627795075	115
DNMT1	grey	NA	NA
KRT10-AS1	turquoise	0.434923324590031	447
PLAUR	salmon	0.527707610472633	66
FAM204A	grey	NA	NA
PCLAF	greenyellow	0.651552563282207	38
BEX4	cyan	0.406294809220671	46
UBE3A	brown	0.549632311998561	120
NKTR	brown	0.49169843149148	201
SKIC8	black	0.484208171504448	122
RNF11	grey	NA	NA
MAPRE1	pink	0.495497581690086	130
NFE2L2	blue	0.368079226145548	523
CDK16	blue	0.427715619116509	392
VPS72	blue	0.528706991858089	212
RNF10	grey	NA	NA
MRPS18B	blue	0.463084425010912	314
EBP	pink	0.595589878707141	81
MGST2	pink	0.503314677461229	122
NDUFAF6	black	0.471542947587057	136
ELOVL1	green	0.491010992007448	189
DDX39A	blue	0.409937103229453	432
TTC39A	turquoise	0.631879066998528	143
PFDN6	pink	0.458730397736968	149
VGLL4	grey	NA	NA
PRPF38B	grey	NA	NA
MKRN1	grey	NA	NA
RNF167	tan	0.486147050141315	73
MYL6B	purple	0.368345621313576	139
PSMD1	blue	0.779223968078143	9
MORN2	grey	NA	NA
MRPS10	red	0.697428192455043	31
MALSU1	greenyellow	0.408681357493925	142
LYPLA2	blue	0.501517077762915	261
POLR2J3	pink	0.544142786122762	100
FBP1	turquoise	0.799585779392286	10
UHMK1	turquoise	0.380066289669453	578
PRKRA	blue	0.436564092317296	368
GMPS	green	0.707881070136281	19
LDLR	yellow	0.694165666670445	37
ANKRD12	turquoise	0.49974653502656	311
TUSC2	brown	0.496889834983669	198
BLVRA	magenta	0.375972217255147	162
TADA3	grey	NA	NA
ITPA	grey	NA	NA
MAPT	turquoise	0.621723500026518	157
GIPC1	grey	NA	NA
GAMT	turquoise	0.603818713425973	177
IARS2	brown	0.503709546576649	192
IGBP1	grey	NA	NA
SEC31A	brown	0.470194523638365	234
AARD	salmon	0.353245271729618	120
SNAPIN	magenta	0.515112312664448	93
ORMDL2	black	0.478723620956278	131
YIPF6	pink	0.636386326949437	62
UBA2	green	0.524425361984147	141
OTUD6B-AS1	pink	0.478608756429907	139
DARS1	blue	0.442518207907271	355
CYBRD1	brown	0.578978270724486	86
APPL1	grey	NA	NA
BAZ1B	grey	NA	NA
IMP4	blue	0.429955101318418	387
NXT1	grey	NA	NA
SCARB2	brown	0.479131961321401	223
CETN2	pink	0.540432300955283	103
SUDS3	grey	NA	NA
GFRA1	turquoise	0.673016062805077	83
NSFL1C	blue	0.548311987273626	179
FLAD1	blue	0.538772798575131	194
RNF5	pink	0.560590752183377	92
TRAPPC2L	blue	0.335883267803561	562
RHOD	grey	NA	NA
TOX4	turquoise	0.492659914659275	328
AKIRIN1	grey	NA	NA
METAP2	blue	0.471098467762231	300
PSMC6	grey	NA	NA
AGPAT2	grey	NA	NA
MAT2A	grey	NA	NA
PTPRK	yellow	0.48768543667607	195
CMBL	turquoise	0.645557341658171	119
SCAF11	turquoise	0.387387387500378	560
CHMP3	pink	0.698131125787658	40
SMIM10L1	green	0.50455245966007	165
PIH1D1	grey	NA	NA
ODF2L	grey	NA	NA
CTSH	grey	NA	NA
HAGH	magenta	0.419552188604255	144
MCCC2	turquoise	0.652362871576932	110
CDK5RAP3	turquoise	0.614724044961592	165
ARPP19	turquoise	0.415587027828616	504
IFT22	turquoise	0.359609076947022	619
RERG	turquoise	0.591296796904664	198
TPBG	black	0.623723056812943	41
DNPEP	blue	0.466281343328605	310
GOLM1	brown	0.683728951800666	20
IRF7	turquoise	0.670822276712023	85
ILK	grey	NA	NA
PHGR1	grey	NA	NA
PIGP	turquoise	0.52004974058665	285
MRPL19	green	0.477025171763298	201
ISYNA1	tan	0.43265415472717	91
ZFYVE21	grey	NA	NA
ARL4A	salmon	0.376859381416123	110
RAB14	black	0.434693273925098	169
NOC2L	blue	0.561796560755413	166
SNCG	grey	NA	NA
FAM50A	grey	NA	NA
NNMT	grey	NA	NA
LSM6	blue	0.334308912240293	565
DYNC1I2	black	0.702328291398332	12
H2AX	yellow	0.332608703174322	299
CHID1	turquoise	0.356205805526568	627
PSMD6	blue	0.436416756697218	370
RSBN1L	brown	0.436322253521524	305
SDHA	blue	0.620478229049901	105
TYMS	greenyellow	0.786028175277934	11
NUDT16L1	grey	NA	NA
DKC1	blue	0.656589736376797	66
ACTL6A	blue	0.528917628721805	210
NPEPPS	yellow	0.501066708854614	177
ARMCX3	turquoise	0.473192723769048	378
TMEM120A	grey	NA	NA
JPT2	brown	0.362523654905013	403
G6PD	green	0.588784892810437	81
NAP1L4	grey	NA	NA
CASC3	brown	0.462105793124072	248
BAZ1A	grey	NA	NA
PAPSS1	grey	NA	NA
JAGN1	blue	0.358994361530635	531
GGPS1	pink	0.344356640556004	205
LCMT1	grey	NA	NA
KRT5	lightcyan	0.42902817772183	17
ORMDL1	blue	0.385911643026467	484
ZNF24	turquoise	0.394792995374746	543
COPS8	red	0.61216479692077	71
CSRNP1	yellow	0.643126178798892	60
POSTN	grey	NA	NA
TSG101	black	0.586043104832546	53
TMEM248	grey	NA	NA
PSIP1	blue	0.578660609401018	139
WDR45B	red	0.357218112872067	220
TBL1XR1	brown	0.485249876092765	214
ZRANB2	grey	NA	NA
UBE2S	greenyellow	0.512590730735984	89
FKBP10	grey	NA	NA
WWP1	turquoise	0.760773919963785	26
SLC1A5	tan	0.437413717277669	88
ZMAT2	grey	NA	NA
VBP1	blue	0.641239266382707	81
