cohort	annotation_level	gene	celltype	n_units_total	n_units_ge20cells	n_units_detected	n_cells_total	mean_unit_log1p_cpm	median_unit_log1p_cpm	mean_unit_positive_fraction	status	source_rank
GSE278688	author	ABHD6	CAF	13	13	13	2423	2.167419581657486	2.1364809365853015	0.05354942224678147	EVALUABLE	6.0
GSE278688	author	ABHD6	CD4T	13	13	13	16271	2.5924562018478077	2.4999352916493	0.04509395185414617	EVALUABLE	4.0
GSE278688	author	ABHD6	CD8T	13	13	13	22606	2.53831897371004	2.573994264487898	0.03902019698218217	EVALUABLE	5.0
GSE278688	author	ABHD6	Ductal	13	12	11	8370	1.6084901136661014	1.4756616460470413	0.02657204701840166	EVALUABLE	9.0
GSE278688	author	ABHD6	Endocrine	12	0	0	37	NA	NA	NA	INSUFFICIENT_UNITS	NA
GSE278688	author	ABHD6	Endothelial	13	13	13	2011	2.64609374846345	2.697711417829212	0.082022408874304	EVALUABLE	3.0
GSE278688	author	ABHD6	Myeloid	13	13	13	5654	3.01509344725614	3.049383025567935	0.11355455145830287	EVALUABLE	2.0
GSE278688	author	ABHD6	NK	13	13	12	3291	2.1588274239453367	2.2895920994697003	0.03743025613311535	EVALUABLE	7.0
GSE278688	author	ABHD6	Plasma	12	6	2	325	0.30978124135273194	0.0	0.007407407407407408	LOW_DETECTION	NA
GSE278688	author	ABHD6	Schwann	12	2	2	221	4.230821620494084	4.230821620494084	0.28897849462365593	INSUFFICIENT_UNITS	NA
GSE278688	author	ABHD6	Stellate	13	13	12	2525	1.9245698440947026	2.1192486719587973	0.04312181258122781	EVALUABLE	8.0
GSE278688	author	ACE2	Acinar	7	2	1	284	0.6329256215013006	0.6329256215013006	0.01282051282051282	INSUFFICIENT_UNITS	NA
GSE278688	author	ACE2	B	13	11	0	7396	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	ACE2	CAF	13	13	5	2423	0.30627383565438115	0.0	0.0037479104070789054	EVALUABLE	3.0
GSE278688	author	ACE2	CD4T	13	13	0	16271	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	ACE2	CD8T	13	13	1	22606	0.01635809870015514	0.0	5.2399916160134143e-05	LOW_DETECTION	NA
GSE278688	author	ACE2	Ductal	13	12	10	8370	1.2957285657547852	1.4978080924610642	0.014409088900680678	EVALUABLE	1.0
GSE278688	author	ACE2	Endocrine	12	0	0	37	NA	NA	NA	INSUFFICIENT_UNITS	NA
GSE278688	author	ACE2	Endothelial	13	13	1	2011	0.06651945427923443	0.0	0.0005719187875321704	LOW_DETECTION	NA
GSE278688	author	ACE2	Myeloid	13	13	0	5654	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	ACE2	NK	13	13	0	3291	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	ACE2	Plasma	12	6	0	325	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	ACE2	Schwann	12	2	0	221	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE278688	author	ACE2	Stellate	13	13	7	2525	1.2127643031756608	1.6908219426297313	0.025107190579742387	EVALUABLE	2.0
GSE278688	author	ACOT8	Acinar	7	2	2	284	1.864875726659927	1.864875726659927	0.055451829723674385	INSUFFICIENT_UNITS	NA
GSE278688	author	ACOT8	B	13	11	11	7396	3.062250246570888	3.073330850090097	0.06311435131309417	EVALUABLE	4.0
GSE278688	author	ACOT8	CAF	13	13	13	2423	2.77278196357987	2.8413916394810306	0.1030182206591309	EVALUABLE	8.0
GSE278688	author	ACOT8	CD4T	13	13	13	16271	3.0662492054266406	3.1246491756741306	0.07724686985102114	EVALUABLE	3.0
