cohort	annotation_level	gene	celltype	n_units_total	n_units_ge20cells	n_units_detected	n_cells_total	mean_unit_log1p_cpm	median_unit_log1p_cpm	mean_unit_positive_fraction	status	source_rank
GSE242230	author	ABHD12	Malignant	25	24	24	11133	3.677322857279082	3.7558805636125014	0.292156305339185	EVALUABLE	2.0
GSE242230	author	ABHD12	Mast	11	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD12	Monocyte/DC	25	20	20	6246	3.943379296217521	4.029039380447122	0.22334424471550696	EVALUABLE	1.0
GSE242230	author	ABHD12	NK/T cell	25	21	21	9408	3.0299239637592463	3.1513154270094996	0.07562932011872533	EVALUABLE	4.0
GSE242230	author	ABHD12	Plasma	17	3	3	154	2.4373976417345324	2.546109521119419	0.032173265219242235	EVALUABLE	6.0
GSE242230	author	ABHD12	Platelets	13	2	0	122	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD12	Stellate	18	2	2	264	3.1828302834308504	3.1828302834308504	0.17273889421540428	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD16A	Acinar	17	1	1	91	4.061902034108719	4.061902034108719	0.15	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD16A	B cell	21	14	13	1586	2.8102784715193736	2.920183155647208	0.06652765729534552	EVALUABLE	5.0
GSE242230	author	ABHD16A	Endothelial	18	3	3	274	2.644628859391315	2.476929058477062	0.06125244115530887	EVALUABLE	6.0
GSE242230	author	ABHD16A	Erythrocyte	12	3	2	1199	1.3416389771958148	1.8994142912051566	0.031234158705400663	LOW_DETECTION	NA
GSE242230	author	ABHD16A	Fibroblast	18	7	7	647	2.982594648785203	2.827830017985482	0.1908852119792004	EVALUABLE	3.0
GSE242230	author	ABHD16A	Malignant	25	24	24	11133	2.9251213233625246	2.847125267821507	0.17646854448393437	EVALUABLE	4.0
GSE242230	author	ABHD16A	Mast	11	1	1	91	3.6292388437990133	3.6292388437990133	0.13043478260869565	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD16A	Monocyte/DC	25	20	20	6246	3.2584135241669707	3.2372946015573887	0.1364793204173346	EVALUABLE	1.0
GSE242230	author	ABHD16A	NK/T cell	25	21	20	9408	3.083336664172504	3.282220395490375	0.08647966682485236	EVALUABLE	2.0
GSE242230	author	ABHD16A	Plasma	17	3	3	154	2.2696994886645223	2.478368649619287	0.040506598552575566	EVALUABLE	7.0
GSE242230	author	ABHD16A	Platelets	13	2	2	122	5.9447884922522265	5.9447884922522265	0.19990224828934505	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD16A	Stellate	18	2	2	264	3.4195480246362093	3.4195480246362093	0.17945030361137743	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD16B	Acinar	17	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD16B	B cell	21	14	0	1586	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	ABHD16B	Endothelial	18	3	0	274	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	ABHD16B	Erythrocyte	12	3	0	1199	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	ABHD16B	Fibroblast	18	7	0	647	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	ABHD16B	Malignant	25	24	2	11133	0.012777585357816616	0.0	0.00016206766053276355	LOW_DETECTION	NA
GSE242230	author	ABHD16B	Mast	11	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD16B	Monocyte/DC	25	20	2	6246	0.06452913161750347	0.0	0.0010063319764812301	LOW_DETECTION	NA
GSE242230	author	ABHD16B	NK/T cell	25	21	2	9408	0.03566508145537994	0.0	0.00014977778869054926	LOW_DETECTION	NA
GSE242230	author	ABHD16B	Plasma	17	3	0	154	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	ABHD16B	Platelets	13	2	0	122	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD16B	Stellate	18	2	0	264	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD2	Acinar	17	1	1	91	3.665008208420246	3.665008208420246	0.2	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD2	B cell	21	14	11	1586	2.12418922717034	2.5214677328201187	0.048401272772856614	EVALUABLE	6.0
GSE242230	author	ABHD2	Endothelial	18	3	3	274	3.335912689799912	3.114055676163262	0.12251773049645391	EVALUABLE	4.0
GSE242230	author	ABHD2	Erythrocyte	12	3	2	1199	0.709869870282345	0.23019531964187837	0.01509066094755313	LOW_DETECTION	NA
GSE242230	author	ABHD2	Fibroblast	18	7	7	647	3.5482056287123873	3.459886139799877	0.27119323540593	EVALUABLE	3.0
GSE242230	author	ABHD2	Malignant	25	24	24	11133	5.031453747841411	5.216994556834093	0.4863602670790102	EVALUABLE	1.0
GSE242230	author	ABHD2	Mast	11	1	1	91	4.862865318402624	4.862865318402624	0.43478260869565216	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD2	Monocyte/DC	25	20	20	6246	4.026997214893241	3.9919733546189367	0.24794631082032423	EVALUABLE	2.0
GSE242230	author	ABHD2	NK/T cell	25	21	20	9408	3.144619314287895	3.2562714149914904	0.08944667396821611	EVALUABLE	5.0
GSE242230	author	ABHD2	Plasma	17	3	2	154	1.64540468989155	2.3901045485552306	0.03734567901234568	LOW_DETECTION	NA
GSE242230	author	ABHD2	Platelets	13	2	0	122	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD2	Stellate	18	2	2	264	3.312850852327684	3.312850852327684	0.15164589325663153	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD6	Acinar	17	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD6	B cell	21	14	11	1586	1.7281085386717547	1.876665515206713	0.029311089314499928	EVALUABLE	2.0
GSE242230	author	ABHD6	Endothelial	18	3	2	274	1.633013349624252	2.3251860333717307	0.030280604378661733	LOW_DETECTION	NA
GSE242230	author	ABHD6	Erythrocyte	12	3	1	1199	0.04056894076711789	0.0	0.00029895366218236175	LOW_DETECTION	NA
GSE242230	author	ABHD6	Fibroblast	18	7	6	647	1.4020006977164716	1.2947723645920566	0.045510106057100264	EVALUABLE	3.0
GSE242230	author	ABHD6	Malignant	25	24	20	11133	1.3131685656682648	1.5506685603344776	0.04572080582534619	EVALUABLE	4.0
GSE242230	author	ABHD6	Mast	11	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD6	Monocyte/DC	25	20	19	6246	2.3632667228491098	2.4690021682691237	0.07101399771329218	EVALUABLE	1.0
GSE242230	author	ABHD6	NK/T cell	25	21	16	9408	1.2076084705282903	1.264601116056496	0.014011418088083477	EVALUABLE	5.0
GSE242230	author	ABHD6	Plasma	17	3	0	154	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	ABHD6	Platelets	13	2	0	122	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ABHD6	Stellate	18	2	2	264	1.9277008908635769	1.9277008908635769	0.074784276126558	INSUFFICIENT_UNITS	NA
GSE242230	author	ACE2	Acinar	17	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ACE2	B cell	21	14	0	1586	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	ACE2	Endothelial	18	3	1	274	0.41019733280404713	0.0	0.005797101449275362	LOW_DETECTION	NA
GSE242230	author	ACE2	Erythrocyte	12	3	0	1199	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	ACE2	Fibroblast	18	7	1	647	0.16937255472337207	0.0	0.0035714285714285718	LOW_DETECTION	NA
GSE242230	author	ACE2	Malignant	25	24	19	11133	1.438364580059065	1.0169160094567762	0.07586344900661636	EVALUABLE	1.0
GSE242230	author	ACE2	Mast	11	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ACE2	Monocyte/DC	25	20	2	6246	0.05879959564117274	0.0	0.000890554480980013	LOW_DETECTION	NA
GSE242230	author	ACE2	NK/T cell	25	21	2	9408	0.029373780576130142	0.0	0.00011385141647093732	LOW_DETECTION	NA
GSE242230	author	ACE2	Plasma	17	3	0	154	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	ACE2	Platelets	13	2	0	122	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ACE2	Stellate	18	2	0	264	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ACOT8	Acinar	17	1	1	91	4.565817339699055	4.565817339699055	0.2	INSUFFICIENT_UNITS	NA
GSE242230	author	ACOT8	B cell	21	14	14	1586	3.046974472571294	3.0282113346980877	0.0772510377531596	EVALUABLE	5.0
GSE242230	author	ACOT8	Endothelial	18	3	3	274	3.109042910354867	2.7433872923772684	0.07933497790112036	EVALUABLE	4.0
GSE242230	author	ACOT8	Erythrocyte	12	3	1	1199	0.21499536406260558	0.0	0.002092675635276532	LOW_DETECTION	NA
GSE242230	author	ACOT8	Fibroblast	18	7	7	647	2.764143221229699	2.6568147902216768	0.1526559214345299	EVALUABLE	6.0
GSE242230	author	ACOT8	Malignant	25	24	24	11133	3.490019563016879	3.5102938131577153	0.254292839686776	EVALUABLE	1.0
GSE242230	author	ACOT8	Mast	11	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ACOT8	Monocyte/DC	25	20	20	6246	3.215747904596366	3.1963045288853698	0.14348501571431516	EVALUABLE	3.0
GSE242230	author	ACOT8	NK/T cell	25	21	21	9408	3.30385736468103	3.2446103524631495	0.08847833263938604	EVALUABLE	2.0
GSE242230	author	ACOT8	Plasma	17	3	2	154	2.3207395158700312	2.7645535571578144	0.06465517241379311	LOW_DETECTION	NA
GSE242230	author	ACOT8	Platelets	13	2	0	122	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ACOT8	Stellate	18	2	2	264	2.868334017084013	2.868334017084013	0.11473314157877916	INSUFFICIENT_UNITS	NA
GSE242230	author	ACY3	Acinar	17	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ACY3	B cell	21	14	4	1586	0.456941103292622	0.0	0.005379872796708997	EVALUABLE	3.0
GSE242230	author	ACY3	Endothelial	18	3	0	274	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	ACY3	Erythrocyte	12	3	1	1199	0.04056894076711789	0.0	0.00029895366218236175	LOW_DETECTION	NA
GSE242230	author	ACY3	Fibroblast	18	7	0	647	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	ACY3	Malignant	25	24	23	11133	2.152862507793298	2.1843158030674252	0.10512257304579337	EVALUABLE	1.0
GSE242230	author	ACY3	Mast	11	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ACY3	Monocyte/DC	25	20	12	6246	0.5209162825671655	0.3217759016494921	0.003913701654566327	EVALUABLE	2.0
GSE242230	author	ACY3	NK/T cell	25	21	4	9408	0.1382892157055602	0.0	0.001000691130672848	EVALUABLE	4.0
GSE242230	author	ACY3	Plasma	17	3	2	154	1.2416718173077328	1.2466468023039117	0.019827586206896553	LOW_DETECTION	NA
GSE242230	author	ACY3	Platelets	13	2	1	122	1.6915446736660202	1.6915446736660202	0.016129032258064516	INSUFFICIENT_UNITS	NA
GSE242230	author	ACY3	Stellate	18	2	0	264	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ADA	Acinar	17	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ADA	B cell	21	14	7	1586	0.9531444266227316	0.668199601821724	0.009187400692255774	EVALUABLE	5.0
GSE242230	author	ADA	Endothelial	18	3	2	274	2.069679357213634	2.8184675537437434	0.08743961352657004	LOW_DETECTION	NA
GSE242230	author	ADA	Erythrocyte	12	3	1	1199	0.04056894076711789	0.0	0.00029895366218236175	LOW_DETECTION	NA
GSE242230	author	ADA	Fibroblast	18	7	7	647	1.8301357638464222	1.8316140103670138	0.051466985915414355	EVALUABLE	3.0
GSE242230	author	ADA	Malignant	25	24	22	11133	1.5468053463518743	1.6082916325854142	0.05206654189911733	EVALUABLE	4.0
GSE242230	author	ADA	Mast	11	1	1	91	2.3195435371491993	2.3195435371491993	0.043478260869565216	INSUFFICIENT_UNITS	NA
GSE242230	author	ADA	Monocyte/DC	25	20	19	6246	2.2216166407185076	2.3385330958223074	0.049800287788472494	EVALUABLE	2.0
GSE242230	author	ADA	NK/T cell	25	21	20	9408	3.1870177873017242	3.4171850591772306	0.09732022681673826	EVALUABLE	1.0
GSE242230	author	ADA	Plasma	17	3	2	154	1.4209963149580493	1.784620295254861	0.028160919540229885	LOW_DETECTION	NA
GSE242230	author	ADA	Platelets	13	2	0	122	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	ADA	Stellate	18	2	2	264	2.3589904403250705	2.3589904403250705	0.06072227548737616	INSUFFICIENT_UNITS	NA
GSE242230	author	AGMAT	Acinar	17	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	AGMAT	B cell	21	14	13	1586	1.6555163063404923	1.8015262514685837	0.01949338637761689	EVALUABLE	1.0
GSE242230	author	AGMAT	Endothelial	18	3	0	274	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	AGMAT	Erythrocyte	12	3	0	1199	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	AGMAT	Fibroblast	18	7	1	647	0.07987461517418412	0.0	0.0012642225031605561	LOW_DETECTION	NA
GSE242230	author	AGMAT	Malignant	25	24	18	11133	1.1947306260946813	1.009175636715502	0.04776383665075915	EVALUABLE	3.0
GSE242230	author	AGMAT	Mast	11	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	AGMAT	Monocyte/DC	25	20	7	6246	0.2004501980554471	0.0	0.0020678296768332277	EVALUABLE	4.0
GSE242230	author	AGMAT	NK/T cell	25	21	17	9408	1.6529452241773983	1.8127002389733593	0.024474325198384217	EVALUABLE	2.0
GSE242230	author	AGMAT	Plasma	17	3	1	154	0.8487031737064731	0.0	0.012345679012345678	LOW_DETECTION	NA
GSE242230	author	AGMAT	Platelets	13	2	0	122	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	AGMAT	Stellate	18	2	0	264	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	AGXT2	Acinar	17	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	AGXT2	B cell	21	14	0	1586	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	AGXT2	Endothelial	18	3	0	274	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	AGXT2	Erythrocyte	12	3	0	1199	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	AGXT2	Fibroblast	18	7	0	647	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	AGXT2	Malignant	25	24	1	11133	0.007077331802244981	0.0	0.00010575296108291032	LOW_DETECTION	NA
GSE242230	author	AGXT2	Mast	11	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	AGXT2	Monocyte/DC	25	20	0	6246	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	AGXT2	NK/T cell	25	21	0	9408	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	AGXT2	Plasma	17	3	0	154	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	AGXT2	Platelets	13	2	0	122	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	AGXT2	Stellate	18	2	1	264	0.9245112355952038	0.9245112355952038	0.023809523809523808	INSUFFICIENT_UNITS	NA
GSE242230	author	AK4	Acinar	17	1	1	91	4.4616118649773675	4.4616118649773675	0.2	INSUFFICIENT_UNITS	NA
GSE242230	author	AK4	B cell	21	14	3	1586	0.3470453153567575	0.0	0.002873684581001654	EVALUABLE	5.0
GSE242230	author	AK4	Endothelial	18	3	2	274	1.3636770352923413	1.7658450725052932	0.015787850755473325	LOW_DETECTION	NA
GSE242230	author	AK4	Erythrocyte	12	3	0	1199	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	AK4	Fibroblast	18	7	7	647	2.9105281042533444	2.6568147902216768	0.17482062861220626	EVALUABLE	2.0
GSE242230	author	AK4	Malignant	25	24	24	11133	3.616627042848428	3.765919014539544	0.2608117482035695	EVALUABLE	1.0
GSE242230	author	AK4	Mast	11	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	AK4	Monocyte/DC	25	20	20	6246	2.737966666878971	2.7052619871148806	0.08351153163319386	EVALUABLE	3.0
GSE242230	author	AK4	NK/T cell	25	21	16	9408	1.1912441178652937	0.8739781358154008	0.01174314019916986	EVALUABLE	4.0
GSE242230	author	AK4	Plasma	17	3	1	154	0.4155489341013039	0.0	0.008333333333333333	LOW_DETECTION	NA
GSE242230	author	AK4	Platelets	13	2	1	122	1.6885708883348212	1.6885708883348212	0.015151515151515152	INSUFFICIENT_UNITS	NA
GSE242230	author	AK4	Stellate	18	2	2	264	2.8290804454259257	2.8290804454259257	0.15963566634707574	INSUFFICIENT_UNITS	NA
GSE242230	author	AK9	Acinar	17	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	AK9	B cell	21	14	10	1586	1.6660963355988432	2.0619612192041887	0.027678831396600764	EVALUABLE	2.0
GSE242230	author	AK9	Endothelial	18	3	1	274	0.5112036697969936	0.0	0.008695652173913044	LOW_DETECTION	NA
GSE242230	author	AK9	Erythrocyte	12	3	1	1199	0.10935249985896787	0.0	0.0008968609865470852	LOW_DETECTION	NA
GSE242230	author	AK9	Fibroblast	18	7	4	647	0.8436314265561023	0.9155997892645951	0.018077760555636663	EVALUABLE	5.0
GSE242230	author	AK9	Malignant	25	24	21	11133	1.6380679609608597	1.7600258203789916	0.058800199436310686	EVALUABLE	3.0
GSE242230	author	AK9	Mast	11	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	AK9	Monocyte/DC	25	20	19	6246	1.3587599576714298	1.4775024310385185	0.02348258492112599	EVALUABLE	4.0
GSE242230	author	AK9	NK/T cell	25	21	19	9408	2.0012047355703513	1.9952631984342168	0.032863627507776286	EVALUABLE	1.0
GSE242230	author	AK9	Plasma	17	3	1	154	0.7108351488831256	0.0	0.024999999999999998	LOW_DETECTION	NA
GSE242230	author	AK9	Platelets	13	2	0	122	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	AK9	Stellate	18	2	1	264	1.0848338054200775	1.0848338054200775	0.02348993288590604	INSUFFICIENT_UNITS	NA
GSE242230	author	AKR1A1	Acinar	17	1	1	91	4.34527075690994	4.34527075690994	0.1	INSUFFICIENT_UNITS	NA
GSE242230	author	AKR1A1	B cell	21	14	14	1586	4.229933161852105	4.2626708024247195	0.21072297820352315	EVALUABLE	6.0
GSE242230	author	AKR1A1	Endothelial	18	3	3	274	4.625794272585838	4.795386721667137	0.345647034638709	EVALUABLE	4.0
GSE242230	author	AKR1A1	Erythrocyte	12	3	1	1199	0.21499536406260558	0.0	0.0014947683109118087	LOW_DETECTION	NA
GSE242230	author	AKR1A1	Fibroblast	18	7	7	647	4.944782197959919	4.930689545026538	0.5344822766931403	EVALUABLE	2.0
GSE242230	author	AKR1A1	Malignant	25	24	24	11133	4.607462813178155	4.6210673902359725	0.4338434337630826	EVALUABLE	5.0
GSE242230	author	AKR1A1	Mast	11	1	1	91	5.1124608684645105	5.1124608684645105	0.43478260869565216	INSUFFICIENT_UNITS	NA
GSE242230	author	AKR1A1	Monocyte/DC	25	20	20	6246	5.213455535973546	5.213143718281028	0.4796648197826433	EVALUABLE	1.0
GSE242230	author	AKR1A1	NK/T cell	25	21	20	9408	3.929783910038027	4.156474385849519	0.18716141791056	EVALUABLE	7.0
GSE242230	author	AKR1A1	Plasma	17	3	3	154	4.654801474777405	4.606632615388017	0.290485312899106	EVALUABLE	3.0
GSE242230	author	AKR1A1	Platelets	13	2	0	122	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	AKR1A1	Stellate	18	2	2	264	4.637564335383546	4.637564335383546	0.39517417705337166	INSUFFICIENT_UNITS	NA
GSE242230	author	AKR1B1	Acinar	17	1	1	91	4.967809298642764	4.967809298642764	0.2	INSUFFICIENT_UNITS	NA
GSE242230	author	AKR1B1	B cell	21	14	14	1586	3.7279687033292133	3.8978688823968115	0.14683632948731268	EVALUABLE	5.0
GSE242230	author	AKR1B1	Endothelial	18	3	3	274	3.755129766642758	3.44332072840287	0.1337907287491006	EVALUABLE	4.0
GSE242230	author	AKR1B1	Erythrocyte	12	3	1	1199	0.04056894076711789	0.0	0.00029895366218236175	LOW_DETECTION	NA
GSE242230	author	AKR1B1	Fibroblast	18	7	7	647	3.9244418164374872	3.9355862691888426	0.33212520715572286	EVALUABLE	3.0
GSE242230	author	AKR1B1	Malignant	25	24	24	11133	3.0604781467982094	3.08735695608219	0.1887662811607397	EVALUABLE	7.0
GSE242230	author	AKR1B1	Mast	11	1	1	91	4.6238087638428045	4.6238087638428045	0.34782608695652173	INSUFFICIENT_UNITS	NA
GSE242230	author	AKR1B1	Monocyte/DC	25	20	20	6246	4.447927608563449	4.438803087197907	0.2857178389577536	EVALUABLE	1.0
GSE242230	author	AKR1B1	NK/T cell	25	21	20	9408	3.978969434194998	4.136599582375969	0.20196081221315104	EVALUABLE	2.0
GSE242230	author	AKR1B1	Plasma	17	3	3	154	3.5473776201419978	3.5194366017802663	0.14767986377181777	EVALUABLE	6.0
GSE242230	author	AKR1B1	Platelets	13	2	0	122	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	AKR1B1	Stellate	18	2	2	264	3.8778187930580224	3.8778187930580224	0.2337807606263982	INSUFFICIENT_UNITS	NA
GSE242230	author	AQP1	Acinar	17	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	AQP1	B cell	21	14	3	1586	0.36573805424667327	0.0	0.0029146024043983226	EVALUABLE	4.0
GSE242230	author	AQP1	Endothelial	18	3	3	274	7.1956902852090705	7.070722547612117	0.8232346592661116	EVALUABLE	1.0
GSE242230	author	AQP1	Erythrocyte	12	3	2	1199	1.2055333711080254	1.3804592266079179	0.020852017937219733	LOW_DETECTION	NA
GSE242230	author	AQP1	Fibroblast	18	7	7	647	3.5857756086237496	3.989045145723444	0.14765555083299972	EVALUABLE	2.0
GSE242230	author	AQP1	Malignant	25	24	21	11133	2.3730118624157943	1.630373163899088	0.12891041431082964	EVALUABLE	3.0
GSE242230	author	AQP1	Mast	11	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	AQP1	Monocyte/DC	25	20	5	6246	0.16228286482188098	0.0	0.0010352896898695556	EVALUABLE	5.0
GSE242230	author	AQP1	NK/T cell	25	21	1	9408	0.09561854068514548	0.0	0.001443001443001443	LOW_DETECTION	NA
GSE242230	author	AQP1	Plasma	17	3	0	154	0.0	0.0	0.0	LOW_DETECTION	NA
GSE242230	author	AQP1	Platelets	13	2	0	122	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	AQP1	Stellate	18	2	2	264	2.8945029110713554	2.8945029110713554	0.1153723234260147	INSUFFICIENT_UNITS	NA
GSE242230	author	AQP10	Acinar	17	1	0	91	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE242230	author	AQP10	B cell	21	14	2	1586	0.16334388506399874	0.0	0.0011802522451783875	LOW_DETECTION	NA
GSE242230	author	AQP10	Endothelial	18	3	0	274	0.0	0.0	0.0	LOW_DETECTION	NA
