cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	stable_gene_id	feature_id	relation_id	same_cohort_postselection	discovery_gate	seed	bootstrap_valid	p_method	ci_method	rho	model_formula	degrees_freedom	family_n_planned
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PRIMARY	KEGG:C06429	docosahexaenoate (DHA; 22:6n3)	ACSL3	unique_explicit_author_case	74.0	NA	Spearman_rho	-0.01731235470948653	-0.24758605006859905	0.21996305895833895	0.8842	0.9522153846153846	REL_TUMOR_PRIMARY	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:O95573	GBM_FEATURE:10511d2fb2642333	GBM_FEATURE:10511d2fb2642333|UniProt:O95573	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	92606226.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	-0.01731235470948653	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_AVAILABLE	KEGG:C06429	docosahexaenoate (DHA; 22:6n3)	ACSL3	unique_explicit_author_case	16.0	NA	Spearman_rho	-0.06764705882352941	-0.6486932735343752	0.5052833538654151	0.8067	0.9282575342465753	REL_TUMOR_AVAILABLE	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:O95573	GBM_FEATURE:10511d2fb2642333	GBM_FEATURE:10511d2fb2642333|UniProt:O95573	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	3020718021.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	-0.06764705882352941	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PATH_PASS	KEGG:C06429	docosahexaenoate (DHA; 22:6n3)	ACSL3	unique_explicit_author_case	68.0	NA	Spearman_rho	-0.016201830488005383	-0.2568694421068602	0.2300797653841752	0.8923	0.9666782608695652	REL_TUMOR_PATH_PASS	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:O95573	GBM_FEATURE:10511d2fb2642333	GBM_FEATURE:10511d2fb2642333|UniProt:O95573	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	298511305.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	-0.016201830488005383	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_AGE_SEX	KEGG:C06429	docosahexaenoate (DHA; 22:6n3)	ACSL3	unique_explicit_author_case	74.0	NA	partial_rank_rho_age_sex	-0.011894037608203357	NA	NA	0.9210101116268233	0.9485097748405421	REL_TUMOR_AGE_SEX	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:O95573	GBM_FEATURE:10511d2fb2642333	GBM_FEATURE:10511d2fb2642333|UniProt:O95573	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	778824130.0	0.0	approximate_partial_rank_t_df_n_minus4	NOT_COMPUTED_covariate_sensitivity	-0.011894037608203357	rank(metabolite) ~ rank(age)+sex;rank(TPM) ~ rank(age)+sex	70.0	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PRIMARY	KEGG:C06429	docosahexaenoate (DHA; 22:6n3)	ACSL4	unique_explicit_author_case	74.0	NA	Spearman_rho	0.12401212916746684	-0.06354322566967763	0.31310706225994184	0.2929	0.7603726027397261	REL_TUMOR_PRIMARY	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:O60488	GBM_FEATURE:10511d2fb2642333	GBM_FEATURE:10511d2fb2642333|UniProt:O60488	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	1109697244.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	0.12401212916746684	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_AVAILABLE	KEGG:C06429	docosahexaenoate (DHA; 22:6n3)	ACSL4	unique_explicit_author_case	16.0	NA	Spearman_rho	-0.058823529411764705	-0.625257125901335	0.4871833084947839	0.8364	0.943055033557047	REL_TUMOR_AVAILABLE	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:O60488	GBM_FEATURE:10511d2fb2642333	GBM_FEATURE:10511d2fb2642333|UniProt:O60488	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	2616956957.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	-0.058823529411764705	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PATH_PASS	KEGG:C06429	docosahexaenoate (DHA; 22:6n3)	ACSL4	unique_explicit_author_case	68.0	NA	Spearman_rho	0.12919381713812084	-0.078467406130376	0.31859888143025983	0.2915	0.7534153846153845	REL_TUMOR_PATH_PASS	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:O60488	GBM_FEATURE:10511d2fb2642333	GBM_FEATURE:10511d2fb2642333|UniProt:O60488	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	3140862756.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	0.12919381713812084	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_AGE_SEX	KEGG:C06429	docosahexaenoate (DHA; 22:6n3)	ACSL4	unique_explicit_author_case	74.0	NA	partial_rank_rho_age_sex	0.1400181402174775	NA	NA	0.24075997578111308	0.7486145767667953	REL_TUMOR_AGE_SEX	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:O60488	GBM_FEATURE:10511d2fb2642333	GBM_FEATURE:10511d2fb2642333|UniProt:O60488	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	1034534378.0	0.0	approximate_partial_rank_t_df_n_minus4	NOT_COMPUTED_covariate_sensitivity	0.1400181402174775	rank(metabolite) ~ rank(age)+sex;rank(TPM) ~ rank(age)+sex	70.0	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PRIMARY	KEGG:C06429	docosahexaenoate (DHA; 22:6n3)	ALOX15	unique_explicit_author_case	74.0	NA	Spearman_rho	0.13902703992705717	-0.08567769485503364	0.3492021088307856	0.2337	0.7011000000000001	REL_TUMOR_PRIMARY	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P16050	GBM_FEATURE:10511d2fb2642333	GBM_FEATURE:10511d2fb2642333|UniProt:P16050	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	2766137855.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	0.13902703992705717	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_AVAILABLE	KEGG:C06429	docosahexaenoate (DHA; 22:6n3)	ALOX15	unique_explicit_author_case	16.0	NA	Spearman_rho	0.16470588235294117	-0.37519155927227676	0.6752737959751428	0.5415	0.8342328358208955	REL_TUMOR_AVAILABLE	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P16050	GBM_FEATURE:10511d2fb2642333	GBM_FEATURE:10511d2fb2642333|UniProt:P16050	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	426440469.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	0.16470588235294117	NA	NA	171.0
