gene	cohort	source_status	reason	display_top	mechanical_top	top_n	top_detection	bootstrap
PCK1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3035081897554115	1.0
PCK2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.29427936623215056	1.0
PCYT1A	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.20831568178363222	0.997
PCYT1B	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.002263806482029769	0.991
PEMT	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3219333525599191	0.923
PFAS	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.05579883453402572	0.869
PFKL	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.5867203474362643	0.694
PFKM	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.1869409313899142	1.0
PFKP	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.39552994239309114	1.0
PGAM1	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.7538857621911361	1.0
PGAM2	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.002551603805391554	0.464
PGAM4	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	T cells	23	8.609556607834697e-05	0.5637999999999997
PGD	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.30999552522328155	0.986
PGK1	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.7217529030363458	0.554
PGK2	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0	0.19999999999999718
PGLS	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.7315836279595647	0.548
PGM2L1	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.30747522471033506	1.0
PGM3	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.23575186829595945	0.941
PGS1	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.14717128010243644	0.999
PHGDH	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.2553238789038479	1.0
PKLR	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.002928709254066016	1.0
PKM	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.8559106544079769	0.912
PLA2G15	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.08571807550586583	1.0
PLB1	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.02683858799191136	1.0
PLOD1	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.49734826557819956	1.0
PLOD2	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.5071253047174138	1.0
PLOD3	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.48299697459828755	0.925
PNMT	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.008273213969630055	0.871
PNP	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.28843169291221027	0.673
PNPLA6	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.16970627688689371	1.0
PNPLA7	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.02084298340580731	0.863
POMGNT2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.09701665262490076	0.772
PPAT	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.1818257910770197	1.0
PRDM16	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.022400880435233254	0.994
PRDM2	Lee	DONE	DESCRIPTIVE_ONLY	B cells	B cells	22	0.23516844300465473	0.999
PRDM6	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.0367863547943108	1.0
PRDM7	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.00038102758639431585	0.9760000000000004
PRDM9	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0	0.19999999999999718
PRDX6	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.7675504096740107	0.973
PRMT1	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.5598435575380241	0.657
PRMT2	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.415649679872688	1.0
PRMT3	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.16433190703024086	1.0
PRMT5	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.30427712286902214	1.0
PRMT6	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.08940506139713214	0.93
PRMT7	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.18047592672068002	0.993
PRMT8	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.0010489805006181575	0.609
PRMT9	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.18326823118300506	1.0
PRODH	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.0047254596092562795	1.0
PSAT1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.2936150333765459	1.0
PSPH	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.23990533835033234	1.0
PTDSS1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3793895874888918	0.926
PTDSS2	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.16499696345566855	1.0
PYCR1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.581946600253487	1.0
PYCR2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.307378692328203	0.813
PYCR3	Lee	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
QARS1	Lee	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
QRSL1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.23073842532693095	0.98
QTRT1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.5912574785123583	1.0
RAB10	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.45597593147242205	0.589
RAB11A	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.7607033053707991	0.701
RAB11B	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.5466882490886565	1.0
RAB12	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.04342448346622666	0.96
RAB13	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.7954081835878566	1.0
RAB14	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.3685756463634256	0.782
RAB15	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.2169660475991476	1.0
RAB17	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.2796873150810313	1.0
RAB18	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.4594894947951785	1.0
RAB1A	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.6740403496836039	0.646
