gene	human_gene_id	current_direct	current_conditional	current_unresolved	historical_retained	identity_status	RNA_effect	RNA_p_value	RNA_q_value	RNA_status	Lee_display_top	Uhlitz_display_top	Lee_shared_top	Uhlitz_shared_top	descriptive_stable_concordance	counterevidence_or_limit_cn	Lee__source_status	Lee__reason	Lee__display_top	Lee__mechanical_top	Lee__top_n	Lee__top_detection	Lee__bootstrap	Uhlitz__source_status	Uhlitz__reason	Uhlitz__display_top	Uhlitz__mechanical_top	Uhlitz__top_n	Uhlitz__top_detection	Uhlitz__bootstrap
GANAB	hsa:23193	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Endothelial	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.4458390288198761	1.0	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.5425736545976301	0.958
GANC	hsa:2595	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Epithelial	Stromal	Epithelial	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.05685876083623969	0.64	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.02767576965025385	0.827
GATB	hsa:5188	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Fibroblast	Stromal	Myeloid	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.06877202453176637	0.851	DONE	DESCRIPTIVE_ONLY	Fibroblast	Fibroblast	10	0.06014383998857629	0.594
GATC	hsa:283459	False	True	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Endothelial	Epithelial	Epithelial	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.21404397222050242	0.997	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.24834287308392783	0.962
GATM	hsa:2628	True	False	False	True	DONE	-1.2003527273544348	3.928998607778893e-05	0.00011179194933735524	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.11647677166431128	1.0	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.21584203038737673	1.0
GBA1	hsa:2629	True	False	False	True	DONE	-0.6072562893133726	2.753403261334915e-06	9.84724083046862e-06	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
GBA2	hsa:57704	True	False	False	True	DONE	-0.9400387033936198	1.4729740105491092e-09	1.5803783654849818e-08	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.21924905725179816	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.22984638411199174	1.0
GBA3	hsa:57733	True	False	False	True	DONE	-4.370153962700628	2.023128037793386e-11	4.196154321978745e-10	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
GCK	hsa:2645	True	False	False	True	DONE	-0.31972176927980156	0.0026742786135220036	0.005100938836903081	DONE	暂不可定位	Pericytes	暂不可定位	Stromal	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.00947166425440786	0.997	DONE	DESCRIPTIVE_ONLY	Pericytes	Pericytes	5	0.020903225806451615	0.581
GCLC	hsa:2729	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Monocyte	Epithelial	Myeloid	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.2642889023888719	0.999	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.23204548077606238	0.997
GCLM	hsa:2730	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Fibroblast	Epithelial	Stromal	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3045192234779181	0.567	DONE	DESCRIPTIVE_ONLY	Fibroblast	Fibroblast	10	0.24285677146017925	0.515
GDA	hsa:9615	True	False	False	True	DONE	-0.7737331955071622	0.00433332986908745	0.007775835827805007	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.16876909143969743	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.023565027095189626	1.0
GDPD5	hsa:81544	True	False	False	True	DONE	-1.2563902063517802	5.192539774457032e-12	1.7827719892302477e-10	DONE	Epithelial cells	Endothelial	Epithelial	Epithelial	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.1210641418559057	0.559	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.1501166162819607	0.998
GFPT1	hsa:2673	True	True	False	True	DONE	-0.030995237924260514	0.8340444062073518	0.8522477563428297	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.5955249350630104	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.5386742840183435	1.0
GFPT2	hsa:9945	True	True	False	True	DONE	-0.3960437313332956	0.27696440633138086	0.3219789373829822	DONE	Stromal cells	Fibroblast	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.184736357120905	1.0	DONE	DESCRIPTIVE_ONLY	Fibroblast	Fibroblast	10	0.20413557665426246	1.0
GGCT	hsa:79017	True	False	False	False	DONE	1.4808433491015909	1.1935902735504579e-11	3.037133168479516e-10	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.6925557979892611	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.3330329743186519	0.954
GGH	hsa:8836	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.6222758856482697	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.2695084790748499	1.0
GGT1	hsa:2678	True	True	True	True	DONE	-0.3535291804844361	0.00040162595164231445	0.0009316998427738376	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.057569478624161514	0.842	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.05785040521419801	0.863
GGT5	hsa:2687	True	True	True	True	DONE	-0.01987624902290186	0.938894620815843	0.9443959564846858	DONE	Stromal cells	Pericytes	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.4187300796275353	1.0	DONE	DESCRIPTIVE_ONLY	Pericytes	Pericytes	5	0.7093894216797444	0.999
GGT6	hsa:124975	True	True	True	True	DONE	-1.7633244337738336	1.7073694932031761e-09	1.6590477150936525e-08	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.22996151835050582	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.32069331057882094	1.0
GGT7	hsa:2686	True	True	True	True	DONE	0.030851356969917	0.7941251477619583	0.81958807835152	DONE	Epithelial cells	Pericytes	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.14711088212795184	0.97	DONE	DESCRIPTIVE_ONLY	Pericytes	Pericytes	5	0.109240046498111	0.603
GLA	hsa:2717	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Myeloids	Monocyte	Myeloid	Myeloid	True	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.35628346638380703	1.0	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.5397634399731547	1.0
GLO1	hsa:2739	True	False	False	True	DONE	0.9327856396875154	3.3118828501195276e-08	1.9604823767948927e-07	DONE	Epithelial cells	Endothelial	Epithelial	Stromal	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.6423965705845824	1.0	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.493645675228227	0.745
GLS	hsa:2744	True	True	False	True	DONE	-0.3685462930500387	0.10332940152957898	0.13303660446933294	DONE	Stromal cells	Tcells	Stromal	Tcells	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.3732777058469474	0.968	DONE	DESCRIPTIVE_ONLY	Tcells	Tcells	12	0.29835973336809046	0.998
GLS2	hsa:27165	True	True	False	True	DONE	1.456940633287852	7.859982302361753e-06	2.529931803572689e-05	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.03697535105338837	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.011904453601514162	0.856
GLUD1	hsa:2746	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Pericytes	Stromal	Myeloid	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.398717678586702	1.0	DONE	DESCRIPTIVE_ONLY	Pericytes	Pericytes	5	0.4358372566114501	0.478
GLUD2	hsa:2747	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	T cells	23	0.0006493318514487258	0.336	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Endothelial	7	0.003993211540381352	0.791
GLUL	hsa:2752	True	True	False	True	DONE	-0.196282015183824	0.3183637162060724	0.3651610553365864	DONE	Myeloids	Mast	Myeloid	Myeloid	True	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.7948247784776533	1.0	DONE	DESCRIPTIVE_ONLY	Mast	Mast	8	0.8614259306707202	0.994
GLYCTK	hsa:132158	True	False	True	True	DONE	-0.5434695029495177	0.011441273074566596	0.018413298854380616	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.1622962090988562	0.971	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.05938618153855558	0.996
GMPR	hsa:2766	True	False	False	True	DONE	0.9123259882783683	0.0031946490466181576	0.005955801326131326	DONE	Epithelial cells	Mast	Epithelial	Epithelial	False	GMPR2、GMPS或其他癌种研究不能直接替代	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.13278096249717286	0.987	DONE	DESCRIPTIVE_ONLY	Mast	Mast	8	0.24956182422818057	1.0
GMPR2	hsa:51292	True	False	False	True	DONE	-0.4142880214905271	8.461587987431561e-07	3.476042333311994e-06	DONE	Stromal cells	Endothelial	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.22043837602712973	0.9	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.24343101068266756	0.909
GMPS	hsa:8833	True	True	False	True	DONE	1.2610592921040942	4.7290086120832135e-12	1.7395995965877535e-10	DONE	Epithelial cells	Pericytes	Epithelial	Stromal	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.35532923430153596	0.974	DONE	DESCRIPTIVE_ONLY	Pericytes	Pericytes	5	0.2728079046788724	0.492
GNAI1	hsa:2770	False	True	False	False	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Pericytes	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.24392683127749723	1.0	DONE	DESCRIPTIVE_ONLY	Pericytes	Pericytes	5	0.37413339145597213	0.963
GNE	hsa:10020	True	False	False	True	DONE	-0.7360103640471907	0.0023010686611979964	0.004421829703421523	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.15910375437663452	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.18656747023833686	1.0
GNMT	hsa:27232	True	False	False	True	DONE	-0.3929478847799931	0.054046403770657926	0.07382996801562025	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.00383467609189129	0.683	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Mast	8	0.007356875334403424	0.513
GNPAT	hsa:8443	True	False	False	True	DONE	0.5378961393539211	2.6145585146403683e-06	9.482377711547815e-06	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	不能用AGPS或其他醚脂酶的作用替代GNPAT	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3413769379196894	0.901	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.2192230345749928	0.664
GNPNAT1	hsa:64841	True	False	False	True	DONE	0.7836020011709244	4.6055767611891e-06	1.602616237846207e-05	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3579940495425278	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.23634589217546365	0.725
GOT1	hsa:2805	False	True	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3130869118591724	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.22459887953374638	0.969
GOT1L1	hsa:137362	False	True	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	2.631994525451387e-05	0.7144000000000019	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
GOT2	hsa:2806	True	True	True	True	DONE	0.2882730956352031	0.01976842885778429	0.02985554504914636	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.44929664930021923	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.2745102160093692	0.865
GPCPD1	hsa:56261	True	False	False	True	DONE	0.7546288809493079	0.00018101602306424793	0.0004525400576606198	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.3306088450525983	1.0	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.5865556304163495	1.0
GPD1	hsa:2819	True	False	False	True	DONE	-0.39948558139010404	0.247686437674747	0.29323796644251654	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.04725396159035784	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.03851065128286036	1.0
GPD1L	hsa:23171	True	False	False	True	DONE	-1.2204459781133121	7.32729130321473e-09	5.314866226979699e-08	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.13934423951578742	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.11650885260875903	0.806
GPD2	hsa:2820	True	False	False	True	DONE	-0.6701109965249403	5.902115152288962e-05	0.00016254488253630029	DONE	Epithelial cells	Epithelial	Epithelial	Stromal	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.2089299862490811	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.017287961892717515	0.764
GPT	hsa:2875	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.02860725125051339	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.16121748312506243	1.0
GPT2	hsa:84706	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3041634443176126	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.12610652219961221	1.0
GPX1	hsa:2876	True	False	False	True	DONE	0.6256790312507211	4.4422401885712334e-07	1.9893510409688564e-06	DONE	Myeloids	暂不可定位	Myeloid	暂不可定位	False	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.9266575701458251	1.0	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
GPX2	hsa:2877	True	False	False	True	DONE	1.46145540185217	7.48933009440099e-08	4.017713540225531e-07	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.8461740970593105	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.654692084326754	1.0
GPX3	hsa:2878	True	False	False	True	DONE	-1.9146414666325493	8.619977480103292e-09	5.9190512030042605e-08	DONE	Myeloids	Pericytes	Myeloid	Stromal	False	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.1990833414462434	0.612	DONE	DESCRIPTIVE_ONLY	Pericytes	Pericytes	5	0.1976646323743098	0.863
GPX4	hsa:2879	True	False	False	True	DONE	0.14489305167813027	0.1679829445584689	0.20696463264978826	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.8459164870425364	1.0	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.7055179077930789	0.575
GPX5	hsa:2880	True	False	False	True	DONE	-0.2802140790412111	0.01630821994848244	0.02492205719130106	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0	0.19999999999999718	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
GPX6	hsa:257202	True	False	False	True	DONE	-0.5694561473428442	0.0037064293645907675	0.006817182581300876	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0	0.19999999999999718	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
GPX7	hsa:2882	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Fibroblast	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.3014293691693055	1.0	DONE	DESCRIPTIVE_ONLY	Fibroblast	Fibroblast	10	0.27876317121645805	0.791
GPX8	hsa:493869	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Fibroblast	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.43684359156195696	1.0	DONE	DESCRIPTIVE_ONLY	Fibroblast	Fibroblast	10	0.37340401649849475	1.0
GSR	hsa:2936	True	False	False	True	DONE	-0.36481361739039375	0.01302659507564471	0.020453342877917762	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.2472294650884649	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.26384892412856603	0.999
GSS	hsa:2937	True	True	False	True	DONE	0.47486648117489705	0.00021150989597139356	0.0005187028401203223	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.4981600555104438	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.3109533716694976	1.0
GSTA1	hsa:2938	True	False	False	True	DONE	NA	NA	NA	NOT_EVALUABLE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.017452310169151837	0.994	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.031589270848925675	0.998
GSTA2	hsa:2939	True	False	False	True	DONE	-1.070361423309242	0.0008453057991045758	0.0018138853605785688	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.0005411336675023025	0.49	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial	12	0.0008647262166167554	0.9991111111111111
GSTA3	hsa:2940	True	False	False	True	DONE	-0.4896090780905931	0.005424904570855627	0.00940682105720757	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.0006341154090044388	0.6154000000000001	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
GSTA4	hsa:2941	True	False	False	True	DONE	0.3138517426915877	0.08949908673591274	0.11698440324345812	DONE	Stromal cells	Fibroblast	Stromal	Stromal	True	肿瘤上皮和正常巨噬细胞作用不能混写，部分宿主背景炎症反而更重	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.2220370995525312	1.0	DONE	DESCRIPTIVE_ONLY	Fibroblast	Fibroblast	10	0.22584173106612707	0.597
GSTA5	hsa:221357	True	False	False	True	DONE	-2.3948936339721256	1.936182749989596e-05	5.763781018755155e-05	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0	0.19999999999999718	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
GSTK1	hsa:373156	True	False	False	True	DONE	-0.04174300715686364	0.6129965380967217	0.6646172991996036	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.7737233268289436	0.563	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.27673677521943635	0.801
GSTM1	hsa:2944	True	False	False	True	DONE	-0.3469239336105706	0.012702139520121593	0.020231331310655114	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Myeloids	23	0.0016192101350540659	0.535	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
GSTM2	hsa:2946	True	False	False	True	DONE	-1.4786090406695467	8.152300720204588e-12	2.3472871778722316e-10	DONE	B cells	暂不可定位	B_lineage	暂不可定位	False	NA	DONE	DESCRIPTIVE_ONLY	B cells	B cells	22	0.012691562353848945	0.791	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Pericytes	5	0.009154315605928508	0.494
GSTM3	hsa:2947	True	False	False	True	DONE	0.3255684853186453	0.17288125546817695	0.21198534896693128	DONE	Stromal cells	Fibroblast	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.36577270736511136	1.0	DONE	DESCRIPTIVE_ONLY	Fibroblast	Fibroblast	10	0.4683130674399699	0.94
GSTM4	hsa:2948	True	False	False	True	DONE	-0.8069636281073485	4.7121667877460774e-07	2.0920395652493363e-06	DONE	Epithelial cells	Pericytes	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.26404766480772185	0.864	DONE	DESCRIPTIVE_ONLY	Pericytes	Pericytes	5	0.011036036036036036	0.524
GSTM5	hsa:2949	True	False	False	True	DONE	-1.201489085699018	6.9187003957357626e-09	5.090186719719882e-08	DONE	Stromal cells	暂不可定位	Stromal	暂不可定位	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.05847359595783038	1.0	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
GSTO1	hsa:9446	True	False	False	True	DONE	0.5036839224843516	1.988441332580739e-05	5.885329231488968e-05	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.7364373030237238	1.0	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.7415454990519276	0.999
GSTO2	hsa:119391	True	False	False	True	DONE	0.5483032835641939	0.03317004744515674	0.047320150787411974	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	体外范围有限；主要使用筛选后siRNA，救援和动物支持本轮未确认	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3508213110719008	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.16498470976357313	1.0
GSTP1	hsa:2950	True	False	False	True	DONE	1.1452870405469338	4.775557997512958e-09	3.9038291566971005e-08	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.9405576779146969	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.8135804118676222	0.966
