gene	human_gene_id	current_direct	current_conditional	current_unresolved	historical_retained	identity_status	RNA_effect	RNA_p_value	RNA_q_value	RNA_status	Lee_display_top	Uhlitz_display_top	Lee_shared_top	Uhlitz_shared_top	descriptive_stable_concordance	counterevidence_or_limit_cn	Lee__source_status	Lee__reason	Lee__display_top	Lee__mechanical_top	Lee__top_n	Lee__top_detection	Lee__bootstrap	Uhlitz__source_status	Uhlitz__reason	Uhlitz__display_top	Uhlitz__mechanical_top	Uhlitz__top_n	Uhlitz__top_detection	Uhlitz__bootstrap
SLC2A1	hsa:6513	True	False	False	True	DONE	0.8556509251495417	0.0032149762498339973	0.005955801326131326	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.5162566182209405	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.23766030523884182	0.988
SLC2A10	hsa:81031	True	False	False	True	DONE	-0.5053339443417197	0.030175703994051957	0.043288266175311306	DONE	Stromal cells	Fibroblast	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.14045777651841845	1.0	DONE	DESCRIPTIVE_ONLY	Fibroblast	Fibroblast	10	0.18439861669404134	1.0
SLC2A11	hsa:66035	True	False	False	True	DONE	0.32708801499009366	0.05190174328962209	0.07127839411774767	DONE	B cells	Plasma	B_lineage	B_lineage	False	NA	DONE	DESCRIPTIVE_ONLY	B cells	B cells	22	0.06028986950445397	0.601	DONE	DESCRIPTIVE_ONLY	Plasma	Plasma	11	0.03103175322940876	0.306
SLC2A12	hsa:154091	True	False	False	True	DONE	0.3388066659100494	0.1371447116821928	0.171430889602741	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.040867479878828356	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.037334976313075106	0.981
SLC2A14	hsa:144195	True	False	False	True	DONE	0.2688173860041024	0.2810817646129846	0.3260295242695655	DONE	Stromal cells	暂不可定位	Stromal	暂不可定位	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.019546137928829668	0.693	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Monocyte	12	0.009820977110723888	0.642
SLC2A2	hsa:6514	True	False	False	True	DONE	-0.5209858935887671	0.0478740603703576	0.06645590590494384	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.0016860599196017697	0.9648000000000007	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial	12	0.0010139777417631473	1.0
SLC2A3	hsa:6515	True	False	False	True	DONE	0.4123413091361399	0.18306554007958484	0.22394003121374392	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.6004844836336634	1.0	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.7034248819537189	0.891
SLC2A4	hsa:6517	True	False	False	True	DONE	-0.9101252742073241	0.019954348226097342	0.03004821443403547	DONE	Stromal cells	Pericytes	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.013084315940391987	0.97	DONE	DESCRIPTIVE_ONLY	Pericytes	Pericytes	5	0.0904641092705609	0.981
SLC2A7	hsa:155184	True	False	False	True	DONE	-0.2525376655210197	0.22967652942570968	0.27443947251563916	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Stromal cells	19	0.00014072614691809738	0.7272000000000017	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
SLC2A8	hsa:29988	True	False	False	True	DONE	0.7026564852601997	1.1705988301468392e-05	3.609930524105522e-05	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3563758992428185	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.027330192948816712	0.678
