gene	source_symbol	mapping_status	source_feature_index_0based
SLC23A1	SLC23A1	EXACT_SOURCE_SYMBOL	28794.0
SLC25A1	SLC25A1	EXACT_SOURCE_SYMBOL	28802.0
SLC25A10	SLC25A10	EXACT_SOURCE_SYMBOL	28803.0
SLC25A11	SLC25A11	EXACT_SOURCE_SYMBOL	28804.0
SLC25A12	SLC25A12	EXACT_SOURCE_SYMBOL	28805.0
SLC25A13	SLC25A13	EXACT_SOURCE_SYMBOL	28806.0
SLC25A14	SLC25A14	EXACT_SOURCE_SYMBOL	28807.0
SLC25A18	SLC25A18	EXACT_SOURCE_SYMBOL	28811.0
SLC25A21	SLC25A21	EXACT_SOURCE_SYMBOL	28815.0
SLC25A22	SLC25A22	EXACT_SOURCE_SYMBOL	28817.0
SLC25A26	SLC25A26	EXACT_SOURCE_SYMBOL	28822.0
SLC25A30	SLC25A30	EXACT_SOURCE_SYMBOL	28827.0
SLC25A33	SLC25A33	EXACT_SOURCE_SYMBOL	28831.0
SLC25A35	SLC25A35	EXACT_SOURCE_SYMBOL	28833.0
SLC25A36	SLC25A36	EXACT_SOURCE_SYMBOL	28834.0
SLC25A39	SLC25A39	EXACT_SOURCE_SYMBOL	28837.0
SLC25A40	SLC25A40	EXACT_SOURCE_SYMBOL	28839.0
SLC25A44	SLC25A44	EXACT_SOURCE_SYMBOL	28843.0
SLC26A7	SLC26A7	EXACT_SOURCE_SYMBOL	28862.0
SLC28A1	SLC28A1	EXACT_SOURCE_SYMBOL	28871.0
SLC28A2	SLC28A2	EXACT_SOURCE_SYMBOL	28872.0
SLC28A3	SLC28A3	EXACT_SOURCE_SYMBOL	28873.0
SLC29A1	SLC29A1	EXACT_SOURCE_SYMBOL	28874.0
SLC29A2	SLC29A2	EXACT_SOURCE_SYMBOL	28875.0
SLC29A3	SLC29A3	EXACT_SOURCE_SYMBOL	28876.0
SLC29A4	SLC29A4	EXACT_SOURCE_SYMBOL	28877.0
SLC2A1	SLC2A1	EXACT_SOURCE_SYMBOL	28878.0
SLC2A10	SLC2A10	EXACT_SOURCE_SYMBOL	28880.0
SLC2A11	SLC2A11	EXACT_SOURCE_SYMBOL	28881.0
SLC2A12	SLC2A12	EXACT_SOURCE_SYMBOL	28882.0
SLC2A14	SLC2A14	EXACT_SOURCE_SYMBOL	28884.0
SLC2A2	SLC2A2	EXACT_SOURCE_SYMBOL	28885.0
SLC2A3	SLC2A3	EXACT_SOURCE_SYMBOL	28886.0
SLC2A4	SLC2A4	EXACT_SOURCE_SYMBOL	28887.0
SLC2A7	SLC2A7	EXACT_SOURCE_SYMBOL	28891.0
SLC2A8	SLC2A8	EXACT_SOURCE_SYMBOL	28892.0
SLC32A1	SLC32A1	EXACT_SOURCE_SYMBOL	28906.0
SLC35A1	SLC35A1	EXACT_SOURCE_SYMBOL	28911.0
SLC35A2	SLC35A2	EXACT_SOURCE_SYMBOL	28912.0
SLC35A3	SLC35A3	EXACT_SOURCE_SYMBOL	28913.0
SLC35A5	SLC35A5	EXACT_SOURCE_SYMBOL	28915.0
SLC35B1	SLC35B1	EXACT_SOURCE_SYMBOL	28916.0
SLC35B4	SLC35B4	EXACT_SOURCE_SYMBOL	28919.0
SLC35D1	SLC35D1	EXACT_SOURCE_SYMBOL	28922.0
SLC35D2	SLC35D2	EXACT_SOURCE_SYMBOL	28923.0
SLC35D3	SLC35D3	EXACT_SOURCE_SYMBOL	28924.0
SLC35D4	NA	SOURCE_GENE_NOT_FOUND	NA
SLC36A1	SLC36A1	EXACT_SOURCE_SYMBOL	28941.0
SLC36A2	SLC36A2	EXACT_SOURCE_SYMBOL	28942.0
SLC36A4	SLC36A4	EXACT_SOURCE_SYMBOL	28944.0
SLC38A1	SLC38A1	EXACT_SOURCE_SYMBOL	28949.0
SLC38A10	SLC38A10	EXACT_SOURCE_SYMBOL	28950.0
SLC38A2	SLC38A2	EXACT_SOURCE_SYMBOL	28952.0
SLC38A3	SLC38A3	EXACT_SOURCE_SYMBOL	28953.0
SLC38A4	SLC38A4	EXACT_SOURCE_SYMBOL	28954.0
SLC38A6	SLC38A6	EXACT_SOURCE_SYMBOL	28956.0
SLC38A7	SLC38A7	EXACT_SOURCE_SYMBOL	28957.0
SLC38A8	SLC38A8	EXACT_SOURCE_SYMBOL	28958.0
SLC38A9	SLC38A9	EXACT_SOURCE_SYMBOL	28959.0
SLC43A1	SLC43A1	EXACT_SOURCE_SYMBOL	28981.0
SLC43A2	SLC43A2	EXACT_SOURCE_SYMBOL	28982.0
SLC43A3	SLC43A3	EXACT_SOURCE_SYMBOL	28983.0
