gene	source_symbol	mapping_status	source_feature_index_0based
AADAT	AADAT	EXACT_SOURCE_SYMBOL	18.0
AANAT	AANAT	EXACT_SOURCE_SYMBOL	24.0
AASS	AASS	EXACT_SOURCE_SYMBOL	32.0
ABAT	ABAT	EXACT_SOURCE_SYMBOL	40.0
ABCC1	ABCC1	EXACT_SOURCE_SYMBOL	67.0
ABCC4	ABCC4	EXACT_SOURCE_SYMBOL	73.0
ABCC5	ABCC5	EXACT_SOURCE_SYMBOL	74.0
ABCG2	ABCG2	EXACT_SOURCE_SYMBOL	88.0
ABHD3	ABHD3	EXACT_SOURCE_SYMBOL	111.0
ACHE	ACHE	EXACT_SOURCE_SYMBOL	1729.0
ACLY	ACLY	EXACT_SOURCE_SYMBOL	1735.0
ACO1	ACO1	EXACT_SOURCE_SYMBOL	1737.0
ACO2	ACO2	EXACT_SOURCE_SYMBOL	1738.0
ACOD1	NA	SOURCE_GENE_NOT_FOUND	NA
ACOT8	ACOT8	EXACT_SOURCE_SYMBOL	1747.0
ACSF3	ACSF3	EXACT_SOURCE_SYMBOL	1767.0
ACYP1	ACYP1	EXACT_SOURCE_SYMBOL	1825.0
ACYP2	ACYP2	EXACT_SOURCE_SYMBOL	1826.0
ADA	ADA	EXACT_SOURCE_SYMBOL	1830.0
ADA2	NA	SOURCE_GENE_NOT_FOUND	NA
ADHFE1	ADHFE1	EXACT_SOURCE_SYMBOL	1951.0
ADK	ADK	EXACT_SOURCE_SYMBOL	1959.0
ADO	ADO	EXACT_SOURCE_SYMBOL	1966.0
ADPGK	ADPGK	EXACT_SOURCE_SYMBOL	1972.0
ADPRM	ADPRM	EXACT_SOURCE_SYMBOL	1977.0
ADSL	ADSL	EXACT_SOURCE_SYMBOL	1990.0
ADSS1	NA	SOURCE_GENE_NOT_FOUND	NA
ADSS2	ADSS	HGNC_CONFIRMED_PREVIOUS_SYMBOL	1991.0
AFMID	AFMID	EXACT_SOURCE_SYMBOL	2065.0
AGMAT	AGMAT	EXACT_SOURCE_SYMBOL	2091.0
AGXT	AGXT	EXACT_SOURCE_SYMBOL	2112.0
AGXT2	AGXT2	EXACT_SOURCE_SYMBOL	2113.0
AHCY	AHCY	EXACT_SOURCE_SYMBOL	2115.0
AHCYL1	AHCYL1	EXACT_SOURCE_SYMBOL	2116.0
AHCYL2	AHCYL2	EXACT_SOURCE_SYMBOL	2117.0
AK3	AK3	EXACT_SOURCE_SYMBOL	2158.0
AK4	AK4	EXACT_SOURCE_SYMBOL	2159.0
AK9	AK9	EXACT_SOURCE_SYMBOL	2164.0
AKR1A1	AKR1A1	EXACT_SOURCE_SYMBOL	2186.0
ALDH18A1	ALDH18A1	EXACT_SOURCE_SYMBOL	2287.0
ALDH1B1	ALDH1B1	EXACT_SOURCE_SYMBOL	2291.0
ALDH2	ALDH2	EXACT_SOURCE_SYMBOL	2296.0
ALDH3A1	ALDH3A1	EXACT_SOURCE_SYMBOL	2297.0
ALDH3A2	ALDH3A2	EXACT_SOURCE_SYMBOL	2298.0
ALDH3B1	ALDH3B1	EXACT_SOURCE_SYMBOL	2299.0
ALDH3B2	ALDH3B2	EXACT_SOURCE_SYMBOL	2300.0
ALDH4A1	ALDH4A1	EXACT_SOURCE_SYMBOL	2301.0
ALDH5A1	ALDH5A1	EXACT_SOURCE_SYMBOL	2302.0
ALDH7A1	ALDH7A1	EXACT_SOURCE_SYMBOL	2304.0
ALDH9A1	ALDH9A1	EXACT_SOURCE_SYMBOL	2306.0
ALDOA	ALDOA	EXACT_SOURCE_SYMBOL	2307.0
ALDOB	ALDOB	EXACT_SOURCE_SYMBOL	2308.0
ALDOC	ALDOC	EXACT_SOURCE_SYMBOL	2309.0
ALG5	ALG5	EXACT_SOURCE_SYMBOL	2322.0
ALLC	ALLC	EXACT_SOURCE_SYMBOL	2336.0
AMD1	AMD1	EXACT_SOURCE_SYMBOL	2365.0
AMDHD2	AMDHD2	EXACT_SOURCE_SYMBOL	2367.0
AMPD1	AMPD1	EXACT_SOURCE_SYMBOL	2386.0
AMPD2	AMPD2	EXACT_SOURCE_SYMBOL	2387.0
AMPD3	AMPD3	EXACT_SOURCE_SYMBOL	2388.0
ANKH	ANKH	EXACT_SOURCE_SYMBOL	2433.0
AOC1	AOC1	EXACT_SOURCE_SYMBOL	2548.0
AOX1	AOX1	EXACT_SOURCE_SYMBOL	2551.0
APRT	APRT	EXACT_SOURCE_SYMBOL	2856.0
AQP10	AQP10	EXACT_SOURCE_SYMBOL	2860.0
AQP3	AQP3	EXACT_SOURCE_SYMBOL	2865.0
AQP7	AQP7	EXACT_SOURCE_SYMBOL	2870.0
AQP9	AQP9	EXACT_SOURCE_SYMBOL	2872.0
ARF1	ARF1	EXACT_SOURCE_SYMBOL	2885.0
ARF6	ARF6	EXACT_SOURCE_SYMBOL	2890.0
ARG1	ARG1	EXACT_SOURCE_SYMBOL	2900.0
ARG2	ARG2	EXACT_SOURCE_SYMBOL	2901.0
ARL8B	ARL8B	EXACT_SOURCE_SYMBOL	3016.0
ASH1L	ASH1L	EXACT_SOURCE_SYMBOL	3123.0
ASMT	ASMT	EXACT_SOURCE_SYMBOL	3133.0
ASMTL	ASMTL	EXACT_SOURCE_SYMBOL	3134.0
ASNS	ASNS	EXACT_SOURCE_SYMBOL	3137.0
ASPA	ASPA	EXACT_SOURCE_SYMBOL	3139.0
ASRGL1	ASRGL1	EXACT_SOURCE_SYMBOL	3149.0
ATIC	ATIC	EXACT_SOURCE_SYMBOL	3202.0
ATP13A2	ATP13A2	EXACT_SOURCE_SYMBOL	3223.0
B3GALNT2	B3GALNT2	EXACT_SOURCE_SYMBOL	3363.0
B3GNT2	B3GNT2	EXACT_SOURCE_SYMBOL	3374.0
B3GNT3	B3GNT3	EXACT_SOURCE_SYMBOL	3375.0
B3GNT4	B3GNT4	EXACT_SOURCE_SYMBOL	3376.0
B4GALNT1	B4GALNT1	EXACT_SOURCE_SYMBOL	3383.0
B4GALT1	B4GALT1	EXACT_SOURCE_SYMBOL	3387.0
B4GALT2	B4GALT2	EXACT_SOURCE_SYMBOL	3389.0
B4GALT4	B4GALT4	EXACT_SOURCE_SYMBOL	3391.0
B4GALT5	B4GALT5	EXACT_SOURCE_SYMBOL	3393.0
B4GALT6	B4GALT6	EXACT_SOURCE_SYMBOL	3394.0
BAAT	BAAT	EXACT_SOURCE_SYMBOL	3402.0
BBOX1	BBOX1	EXACT_SOURCE_SYMBOL	3453.0
BCAT1	BCAT1	EXACT_SOURCE_SYMBOL	3475.0
BCAT2	BCAT2	EXACT_SOURCE_SYMBOL	3476.0
BCKDHA	BCKDHA	EXACT_SOURCE_SYMBOL	3481.0
BCKDHB	BCKDHB	EXACT_SOURCE_SYMBOL	3482.0
BDH1	BDH1	EXACT_SOURCE_SYMBOL	3514.0
BDH2	BDH2	EXACT_SOURCE_SYMBOL	3515.0
BEST1	BEST1	EXACT_SOURCE_SYMBOL	3532.0
BEST2	BEST2	EXACT_SOURCE_SYMBOL	3533.0
BHMT	BHMT	EXACT_SOURCE_SYMBOL	3557.0
BHMT2	BHMT2	EXACT_SOURCE_SYMBOL	3558.0
BPGM	BPGM	EXACT_SOURCE_SYMBOL	3648.0
CAD	CAD	EXACT_SOURCE_SYMBOL	4379.0
CAMKMT	CAMKMT	EXACT_SOURCE_SYMBOL	4428.0
CANT1	CANT1	EXACT_SOURCE_SYMBOL	4439.0
CARM1	CARM1	EXACT_SOURCE_SYMBOL	4485.0
CARNMT1	CARNMT1	EXACT_SOURCE_SYMBOL	4487.0
CARNS1	CARNS1	EXACT_SOURCE_SYMBOL	4488.0
CDA	CDA	EXACT_SOURCE_SYMBOL	4933.0
CDADC1	CDADC1	EXACT_SOURCE_SYMBOL	4934.0
CDIPT	CDIPT	EXACT_SOURCE_SYMBOL	5008.0
CDKAL1	CDKAL1	EXACT_SOURCE_SYMBOL	5038.0
CEPT1	CEPT1	EXACT_SOURCE_SYMBOL	5192.0
CHAC1	CHAC1	EXACT_SOURCE_SYMBOL	5344.0
CHAC2	CHAC2	EXACT_SOURCE_SYMBOL	5345.0
CHAT	CHAT	EXACT_SOURCE_SYMBOL	5351.0
CHPF	CHPF	EXACT_SOURCE_SYMBOL	5410.0
CHPF2	CHPF2	EXACT_SOURCE_SYMBOL	5411.0
CHPT1	CHPT1	EXACT_SOURCE_SYMBOL	5412.0
CHSY1	CHSY1	EXACT_SOURCE_SYMBOL	5456.0
CHSY3	CHSY3	EXACT_SOURCE_SYMBOL	5457.0
CISD1	CISD1	EXACT_SOURCE_SYMBOL	5483.0
CKB	CKB	EXACT_SOURCE_SYMBOL	5502.0
CKM	CKM	EXACT_SOURCE_SYMBOL	5505.0
CKMT1A	CKMT1A	EXACT_SOURCE_SYMBOL	5506.0
CKMT1B	CKMT1B	EXACT_SOURCE_SYMBOL	5507.0
CKMT2	CKMT2	EXACT_SOURCE_SYMBOL	5508.0
CLIC1	CLIC1	EXACT_SOURCE_SYMBOL	5590.0
CLIC2	CLIC2	EXACT_SOURCE_SYMBOL	5591.0
CMAS	CMAS	EXACT_SOURCE_SYMBOL	5649.0
CMPK1	CMPK1	EXACT_SOURCE_SYMBOL	5661.0
CMPK2	CMPK2	EXACT_SOURCE_SYMBOL	5662.0
CMTR1	CMTR1	EXACT_SOURCE_SYMBOL	5672.0
CMTR2	CMTR2	EXACT_SOURCE_SYMBOL	5673.0
CNDP1	CNDP1	EXACT_SOURCE_SYMBOL	5678.0
CNDP2	CNDP2	EXACT_SOURCE_SYMBOL	5679.0
CNPY3-GNMT	NA	SOURCE_GENE_NOT_FOUND	NA
COLGALT1	COLGALT1	EXACT_SOURCE_SYMBOL	5819.0
COLGALT2	COLGALT2	EXACT_SOURCE_SYMBOL	5820.0
COMT	COMT	EXACT_SOURCE_SYMBOL	5834.0
COQ3	COQ3	EXACT_SOURCE_SYMBOL	5856.0
COQ5	COQ5	EXACT_SOURCE_SYMBOL	5858.0
CRACR2A	CRACR2A	EXACT_SOURCE_SYMBOL	5964.0
CRLS1	CRLS1	EXACT_SOURCE_SYMBOL	6014.0
CS	CS	EXACT_SOURCE_SYMBOL	6053.0
CSAD	CSAD	EXACT_SOURCE_SYMBOL	6054.0
CTPS1	CTPS1	EXACT_SOURCE_SYMBOL	7509.0
CTPS2	CTPS2	EXACT_SOURCE_SYMBOL	7510.0
D2HGDH	D2HGDH	EXACT_SOURCE_SYMBOL	7709.0
DBT	DBT	EXACT_SOURCE_SYMBOL	7764.0
DDC	DDC	EXACT_SOURCE_SYMBOL	7835.0
DDO	DDO	EXACT_SOURCE_SYMBOL	7846.0
DGLUCY	NA	SOURCE_GENE_NOT_FOUND	NA
DIMT1	DIMT1	EXACT_SOURCE_SYMBOL	8063.0
DLD	DLD	EXACT_SOURCE_SYMBOL	8100.0
DNMT1	DNMT1	EXACT_SOURCE_SYMBOL	8256.0
DNMT3A	DNMT3A	EXACT_SOURCE_SYMBOL	8257.0
DNMT3B	DNMT3B	EXACT_SOURCE_SYMBOL	8258.0
DOT1L	DOT1L	EXACT_SOURCE_SYMBOL	8294.0
DPAGT1	DPAGT1	EXACT_SOURCE_SYMBOL	8295.0
DPH1	DPH1	EXACT_SOURCE_SYMBOL	8304.0
DPH5	DPH5	EXACT_SOURCE_SYMBOL	8307.0
DPM1	DPM1	EXACT_SOURCE_SYMBOL	8311.0
DPM2	DPM2	EXACT_SOURCE_SYMBOL	8312.0
DPM3	DPM3	EXACT_SOURCE_SYMBOL	8313.0
DPYD	DPYD	EXACT_SOURCE_SYMBOL	8336.0
EARS2	EARS2	EXACT_SOURCE_SYMBOL	8489.0
EHMT1	EHMT1	EXACT_SOURCE_SYMBOL	8621.0
EHMT2	EHMT2	EXACT_SOURCE_SYMBOL	8622.0
ENO1	ENO1	EXACT_SOURCE_SYMBOL	8780.0
ENO2	ENO2	EXACT_SOURCE_SYMBOL	8782.0
ENO3	ENO3	EXACT_SOURCE_SYMBOL	8783.0
ENO4	ENO4	EXACT_SOURCE_SYMBOL	8784.0
ENPP1	ENPP1	EXACT_SOURCE_SYMBOL	8792.0
ENPP3	ENPP3	EXACT_SOURCE_SYMBOL	8794.0
ENTPD1	ENTPD1	EXACT_SOURCE_SYMBOL	8802.0
ENTPD3	ENTPD3	EXACT_SOURCE_SYMBOL	8805.0
ENTPD4	ENTPD4	EXACT_SOURCE_SYMBOL	8807.0
ENTPD5	ENTPD5	EXACT_SOURCE_SYMBOL	8808.0
ENTPD6	ENTPD6	EXACT_SOURCE_SYMBOL	8809.0
ENTPD8	ENTPD8	EXACT_SOURCE_SYMBOL	8811.0
EOGT	EOGT	EXACT_SOURCE_SYMBOL	8813.0
EPRS1	NA	SOURCE_GENE_NOT_FOUND	NA
ESD	ESD	EXACT_SOURCE_SYMBOL	8949.0
ETHE1	ETHE1	EXACT_SOURCE_SYMBOL	8971.0
EZH1	EZH1	EXACT_SOURCE_SYMBOL	9044.0
EZH2	EZH2	EXACT_SOURCE_SYMBOL	9045.0
FAAH	FAAH	EXACT_SOURCE_SYMBOL	9070.0
FARS2	FARS2	EXACT_SOURCE_SYMBOL	9453.0
FARSA	FARSA	EXACT_SOURCE_SYMBOL	9454.0
FARSB	FARSB	EXACT_SOURCE_SYMBOL	9456.0
FBP1	FBP1	EXACT_SOURCE_SYMBOL	9485.0
FBP2	FBP2	EXACT_SOURCE_SYMBOL	9486.0
FGGY	FGGY	EXACT_SOURCE_SYMBOL	9667.0
FMO1	FMO1	EXACT_SOURCE_SYMBOL	9772.0
FMO2	FMO2	EXACT_SOURCE_SYMBOL	9773.0
FMO3	FMO3	EXACT_SOURCE_SYMBOL	9774.0
FMO4	FMO4	EXACT_SOURCE_SYMBOL	9775.0
FMO5	FMO5	EXACT_SOURCE_SYMBOL	9776.0
FOLH1	FOLH1	EXACT_SOURCE_SYMBOL	9802.0
FPGS	FPGS	EXACT_SOURCE_SYMBOL	9875.0
FTCD	FTCD	EXACT_SOURCE_SYMBOL	9937.0
FTO	FTO	EXACT_SOURCE_SYMBOL	9944.0
G6PC1	NA	SOURCE_GENE_NOT_FOUND	NA
G6PC2	G6PC2	EXACT_SOURCE_SYMBOL	10003.0
G6PC3	G6PC3	EXACT_SOURCE_SYMBOL	10004.0
GAA	GAA	EXACT_SOURCE_SYMBOL	10006.0
GAD1	GAD1	EXACT_SOURCE_SYMBOL	10043.0
GAD2	GAD2	EXACT_SOURCE_SYMBOL	10044.0
GADL1	GADL1	EXACT_SOURCE_SYMBOL	10049.0
GALE	GALE	EXACT_SOURCE_SYMBOL	10070.0
GALT	GALT	EXACT_SOURCE_SYMBOL	10098.0
GAMT	GAMT	EXACT_SOURCE_SYMBOL	10099.0
GANAB	GANAB	EXACT_SOURCE_SYMBOL	10101.0
GANC	GANC	EXACT_SOURCE_SYMBOL	10102.0
GATB	GATB	EXACT_SOURCE_SYMBOL	10141.0
GATC	GATC	EXACT_SOURCE_SYMBOL	10142.0
GATM	GATM	EXACT_SOURCE_SYMBOL	10143.0
GBA1	NA	SOURCE_GENE_NOT_FOUND	NA
GBA2	GBA2	EXACT_SOURCE_SYMBOL	10149.0
GBA3	NA	SOURCE_GENE_NOT_FOUND	NA
GCK	GCK	EXACT_SOURCE_SYMBOL	10175.0
GCLC	GCLC	EXACT_SOURCE_SYMBOL	10177.0
GCLM	GCLM	EXACT_SOURCE_SYMBOL	10178.0
GDA	GDA	EXACT_SOURCE_SYMBOL	10192.0
GDPD5	GDPD5	EXACT_SOURCE_SYMBOL	10216.0
GFPT1	GFPT1	EXACT_SOURCE_SYMBOL	10236.0
GFPT2	GFPT2	EXACT_SOURCE_SYMBOL	10237.0
GGCT	GGCT	EXACT_SOURCE_SYMBOL	10248.0
GGH	GGH	EXACT_SOURCE_SYMBOL	10250.0
GGT1	GGT1	EXACT_SOURCE_SYMBOL	10254.0
GGT5	GGT5	EXACT_SOURCE_SYMBOL	10256.0
GGT6	GGT6	EXACT_SOURCE_SYMBOL	10257.0
GGT7	GGT7	EXACT_SOURCE_SYMBOL	10258.0
GLA	GLA	EXACT_SOURCE_SYMBOL	10328.0
GLO1	GLO1	EXACT_SOURCE_SYMBOL	10355.0
GLS	GLS	EXACT_SOURCE_SYMBOL	10369.0
GLS2	GLS2	EXACT_SOURCE_SYMBOL	10370.0
GLUD1	GLUD1	EXACT_SOURCE_SYMBOL	10382.0
GLUD2	GLUD2	EXACT_SOURCE_SYMBOL	10383.0
GLUL	GLUL	EXACT_SOURCE_SYMBOL	10384.0
GLYCTK	GLYCTK	EXACT_SOURCE_SYMBOL	10390.0
GMPR	GMPR	EXACT_SOURCE_SYMBOL	10407.0
GMPR2	GMPR2	EXACT_SOURCE_SYMBOL	10408.0
GMPS	GMPS	EXACT_SOURCE_SYMBOL	10409.0
GNAI1	GNAI1	EXACT_SOURCE_SYMBOL	10416.0
GNE	GNE	EXACT_SOURCE_SYMBOL	10435.0
GNMT	GNMT	EXACT_SOURCE_SYMBOL	10454.0
GNPAT	GNPAT	EXACT_SOURCE_SYMBOL	10455.0
GNPNAT1	GNPNAT1	EXACT_SOURCE_SYMBOL	10458.0
GOT1	GOT1	EXACT_SOURCE_SYMBOL	10511.0
GOT1L1	GOT1L1	EXACT_SOURCE_SYMBOL	10512.0
GOT2	GOT2	EXACT_SOURCE_SYMBOL	10513.0
GPCPD1	GPCPD1	EXACT_SOURCE_SYMBOL	10548.0
GPD1	GPD1	EXACT_SOURCE_SYMBOL	10549.0
GPD1L	GPD1L	EXACT_SOURCE_SYMBOL	10550.0
GPD2	GPD2	EXACT_SOURCE_SYMBOL	10551.0
GPT	GPT	EXACT_SOURCE_SYMBOL	10662.0
GPT2	GPT2	EXACT_SOURCE_SYMBOL	10663.0
GPX1	GPX1	EXACT_SOURCE_SYMBOL	10664.0
GPX2	GPX2	EXACT_SOURCE_SYMBOL	10665.0
GPX3	GPX3	EXACT_SOURCE_SYMBOL	10666.0
GPX4	GPX4	EXACT_SOURCE_SYMBOL	10667.0
GPX5	GPX5	EXACT_SOURCE_SYMBOL	10668.0
GPX6	GPX6	EXACT_SOURCE_SYMBOL	10669.0
GPX7	GPX7	EXACT_SOURCE_SYMBOL	10670.0
GPX8	GPX8	EXACT_SOURCE_SYMBOL	10671.0
GSR	GSR	EXACT_SOURCE_SYMBOL	10807.0
GSS	GSS	EXACT_SOURCE_SYMBOL	10808.0
GSTA1	GSTA1	EXACT_SOURCE_SYMBOL	10809.0
GSTA2	GSTA2	EXACT_SOURCE_SYMBOL	10810.0
GSTA3	GSTA3	EXACT_SOURCE_SYMBOL	10811.0
GSTA4	GSTA4	EXACT_SOURCE_SYMBOL	10812.0
GSTA5	GSTA5	EXACT_SOURCE_SYMBOL	10813.0
GSTK1	GSTK1	EXACT_SOURCE_SYMBOL	10815.0
GSTM1	GSTM1	EXACT_SOURCE_SYMBOL	10816.0
GSTM2	GSTM2	EXACT_SOURCE_SYMBOL	10817.0
GSTM3	GSTM3	EXACT_SOURCE_SYMBOL	10818.0
GSTM4	GSTM4	EXACT_SOURCE_SYMBOL	10819.0
GSTM5	GSTM5	EXACT_SOURCE_SYMBOL	10820.0
GSTO1	GSTO1	EXACT_SOURCE_SYMBOL	10821.0
GSTO2	GSTO2	EXACT_SOURCE_SYMBOL	10822.0
GSTP1	GSTP1	EXACT_SOURCE_SYMBOL	10823.0
GSTT1	NA	SOURCE_GENE_NOT_FOUND	NA
GSTT2	NA	SOURCE_GENE_NOT_FOUND	NA
GSTT2B	GSTT2B	EXACT_SOURCE_SYMBOL	10824.0
GSTT4	NA	SOURCE_GENE_NOT_FOUND	NA
GUK1	GUK1	EXACT_SOURCE_SYMBOL	10880.0
GUSB	GUSB	EXACT_SOURCE_SYMBOL	10882.0
GYG1	GYG1	EXACT_SOURCE_SYMBOL	10887.0
GYG2	GYG2	EXACT_SOURCE_SYMBOL	10888.0
GYS1	GYS1	EXACT_SOURCE_SYMBOL	10895.0
GYS2	GYS2	EXACT_SOURCE_SYMBOL	10896.0
H6PD	H6PD	EXACT_SOURCE_SYMBOL	10923.0
HAGH	HAGH	EXACT_SOURCE_SYMBOL	10936.0
HDC	HDC	EXACT_SOURCE_SYMBOL	11033.0
HDDC3	HDDC3	EXACT_SOURCE_SYMBOL	11035.0
HEMK1	HEMK1	EXACT_SOURCE_SYMBOL	11066.0
HIF1AN	HIF1AN	EXACT_SOURCE_SYMBOL	11127.0
HK1	HK1	EXACT_SOURCE_SYMBOL	11223.0
HK2	HK2	EXACT_SOURCE_SYMBOL	11224.0
HK3	HK3	EXACT_SOURCE_SYMBOL	11225.0
HKDC1	HKDC1	EXACT_SOURCE_SYMBOL	11226.0
HNMT	HNMT	EXACT_SOURCE_SYMBOL	11302.0
HPGDS	HPGDS	EXACT_SOURCE_SYMBOL	11405.0
HPRT1	HPRT1	EXACT_SOURCE_SYMBOL	11409.0
HYKK	HYKK	EXACT_SOURCE_SYMBOL	11560.0
IARS1	NA	SOURCE_GENE_NOT_FOUND	NA
IARS2	IARS2	EXACT_SOURCE_SYMBOL	11568.0
ICMT	ICMT	EXACT_SOURCE_SYMBOL	11583.0
IDH1	IDH1	EXACT_SOURCE_SYMBOL	11593.0
IDH2	IDH2	EXACT_SOURCE_SYMBOL	11595.0
IDH3A	IDH3A	EXACT_SOURCE_SYMBOL	11596.0
IDH3B	IDH3B	EXACT_SOURCE_SYMBOL	11597.0
IDH3G	IDH3G	EXACT_SOURCE_SYMBOL	11598.0
IDNK	IDNK	EXACT_SOURCE_SYMBOL	11602.0
IDO1	IDO1	EXACT_SOURCE_SYMBOL	11603.0
