gene	human_gene_id	current_direct	current_conditional	current_unresolved	historical_retained	identity_status	RNA_effect	RNA_p_value	RNA_q_value	RNA_status	Lee_display_top	Uhlitz_display_top	Lee_shared_top	Uhlitz_shared_top	descriptive_stable_concordance	counterevidence_or_limit_cn
HK3	hsa:3101	True	False	False	True	DONE	-0.1462561041586557	0.40268867292395705	0.446949712404823	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA
HKDC1	hsa:80201	True	False	False	True	DONE	0.8220260389832306	0.014495085632306904	0.022350206888137894	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
HNMT	hsa:3176	True	False	False	True	DONE	-0.206949731794945	0.0619688648117963	0.08398411941598709	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA
HPGDS	hsa:27306	True	False	False	True	DONE	-1.5149582762494125	3.984917441650659e-06	1.4056386866096504e-05	DONE	Myeloids	Mast	Myeloid	Myeloid	True	NA
HPRT1	hsa:3251	True	False	True	True	DONE	0.9330324448824182	1.8617400145178286e-09	1.7354117342936226e-08	DONE	Epithelial cells	Endothelial	Epithelial	Stromal	False	NA
HYKK	hsa:123688	True	False	False	True	DONE	-0.07006897243554062	0.6344079899709022	0.6863867958718795	DONE	Epithelial cells	Fibroblast	Epithelial	Stromal	False	NA
IARS1	hsa:3376	True	False	False	True	DONE	1.559471754465185	3.932713498378958e-12	1.557959578203972e-10	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA
IARS2	hsa:55699	True	False	False	True	DONE	0.1354301957647758	0.09519328696291211	0.12317724318065261	DONE	Epithelial cells	Endothelial	Epithelial	Epithelial	True	NA
ICMT	hsa:23463	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Endothelial	Stromal	Stromal	True	ICMT敲低减弱某药杀伤，不可改写成敲低本身抑瘤
IDH1	hsa:3417	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
IDH2	hsa:3418	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Monocyte	Epithelial	Myeloid	False	NA
IDH3A	hsa:3419	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Fibroblast	Epithelial	Stromal	False	NA
IDH3B	hsa:3420	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Epithelial	Epithelial	Epithelial	False	NA
IDH3G	hsa:3421	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Monocyte	Epithelial	Myeloid	False	NA
IDNK	hsa:414328	True	False	False	True	DONE	-0.7606467816101496	1.2892424112828742e-06	4.992179261734437e-06	DONE	T cells	Mast	Tcells	Myeloid	False	NA
IDO1	hsa:3620	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Myeloids	Monocyte	Myeloid	Myeloid	True	NA
IDO2	hsa:169355	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Myeloids	Monocyte	Myeloid	Myeloid	True	NA
IL4I1	hsa:259307	True	False	True	True	DONE	0.7128096201458576	0.007665785655353219	0.012776309425588698	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA
IMPDH1	hsa:3614	True	False	False	True	DONE	1.809678044070506	2.2632374145425334e-13	3.885224228298016e-11	DONE	Stromal cells	Monocyte	Stromal	Myeloid	False	NA
IMPDH2	hsa:3615	True	False	False	True	DONE	1.113386821181797	1.0301636491844613e-07	5.390839978202006e-07	DONE	Epithelial cells	Pericytes	Epithelial	Epithelial	False	NA
INMT	hsa:11185	True	False	True	True	DONE	-0.2979997525106155	0.2621885156653364	0.30687973992647327	DONE	Stromal cells	暂不可定位	Stromal	暂不可定位	False	NA
ITPA	hsa:3704	True	False	False	True	DONE	0.6484394969437878	7.795009147796557e-06	2.524798560449828e-05	DONE	Epithelial cells	Pericytes	Epithelial	Stromal	False	NA
KCNK1	hsa:3775	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
KCNK2	hsa:3776	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA
KDM2A	hsa:22992	False	True	False	False	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	T cells	Endothelial	Tcells	Tcells	False	NA
KDM2B	hsa:84678	False	True	False	False	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	T cells	Monocyte	Tcells	Myeloid	False	NA
KL	hsa:9365	True	False	False	False	DONE	-0.04879149734784392	0.8803760595531742	0.8942675950096346	DONE	Stromal cells	Endothelial	Stromal	Stromal	True	NA
KMO	hsa:8564	True	False	False	True	DONE	-0.5035177493215748	0.001431922097483684	0.0029263487309686403	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA
KMT2A	hsa:4297	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Endothelial	Stromal	Tcells	False	NA
KMT2B	hsa:9757	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
KMT2C	hsa:58508	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Epithelial	Stromal	Epithelial	False	NA
KMT2D	hsa:8085	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Epithelial	Stromal	Epithelial	False	NA
KMT2E	hsa:55904	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	T cells	Tcells	Tcells	Tcells	True	NA
