gene	Lee_shared_top	Uhlitz_shared_top	Lee_status	Uhlitz_status	Lee_top_frequency	Uhlitz_top_frequency	common_category_n	both_evaluable	same_common_top	descriptive_stable_concordance	interpretation
G6PC2	暂不可定位	暂不可定位	NOT_EVALUABLE	NOT_EVALUABLE	0.6912000000000024	NA	5	False	False	False	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
G6PC3	Stromal	Stromal	DONE	DONE	1.0	0.977	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GAA	Myeloid	Myeloid	DONE	DONE	1.0	1.0	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GAD1	Epithelial	Epithelial	DONE	DONE	1.0	1.0	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GAD2	暂不可定位	暂不可定位	NOT_EVALUABLE	NOT_EVALUABLE	0.7458000000000005	NA	5	False	False	False	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GADL1	暂不可定位	暂不可定位	NOT_EVALUABLE	NOT_EVALUABLE	0.8890000000000005	0.882	5	False	False	False	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GALE	Epithelial	Epithelial	DONE	DONE	1.0	1.0	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GALT	Tcells	Stromal	DONE	DONE	0.815	0.999	5	True	False	False	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GAMT	Stromal	Stromal	DONE	DONE	1.0	1.0	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GANAB	Stromal	Stromal	DONE	DONE	1.0	1.0	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GANC	Stromal	Epithelial	DONE	DONE	0.631	0.998	5	True	False	False	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GATB	Stromal	Myeloid	DONE	DONE	0.857	0.52	5	True	False	False	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GATC	Epithelial	Epithelial	DONE	DONE	0.995	0.761	5	True	True	False	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GATM	Myeloid	Myeloid	DONE	DONE	1.0	1.0	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GBA1	暂不可定位	暂不可定位	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	5	False	False	False	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GBA2	Epithelial	Epithelial	DONE	DONE	1.0	1.0	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GBA3	暂不可定位	暂不可定位	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	5	False	False	False	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GCK	暂不可定位	Stromal	NOT_EVALUABLE	DONE	0.997	1.0	5	False	False	False	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GCLC	Epithelial	Myeloid	DONE	DONE	0.999	1.0	5	True	False	False	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GCLM	Epithelial	Stromal	DONE	DONE	0.539	0.998	5	True	False	False	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GDA	Epithelial	Epithelial	DONE	DONE	1.0	1.0	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GDPD5	Epithelial	Epithelial	DONE	DONE	0.563	0.604	5	True	True	False	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GFPT1	Epithelial	Epithelial	DONE	DONE	1.0	1.0	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GFPT2	Stromal	Stromal	DONE	DONE	1.0	0.999	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GGCT	Epithelial	Epithelial	DONE	DONE	1.0	0.985	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GGH	Epithelial	Epithelial	DONE	DONE	1.0	1.0	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GGT1	Epithelial	Epithelial	DONE	DONE	0.834	1.0	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GGT5	Stromal	Stromal	DONE	DONE	1.0	1.0	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GGT6	Epithelial	Epithelial	DONE	DONE	1.0	1.0	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GGT7	Epithelial	Epithelial	DONE	DONE	0.967	0.987	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GLA	Myeloid	Myeloid	DONE	DONE	1.0	1.0	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GLO1	Epithelial	Stromal	DONE	DONE	1.0	1.0	5	True	False	False	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GLS	Stromal	Tcells	DONE	DONE	0.966	1.0	5	True	False	False	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GLS2	Epithelial	Epithelial	DONE	DONE	1.0	0.999	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GLUD1	Stromal	Myeloid	DONE	DONE	1.0	0.616	5	True	False	False	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GLUD2	暂不可定位	暂不可定位	NOT_EVALUABLE	NOT_EVALUABLE	0.339	0.865	5	False	False	False	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GLUL	Myeloid	Myeloid	DONE	DONE	1.0	1.0	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GLYCTK	Epithelial	Epithelial	DONE	DONE	0.97	1.0	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GMPR	Epithelial	Epithelial	DONE	DONE	0.981	0.6	5	True	True	False	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GMPR2	Stromal	Stromal	DONE	DONE	0.892	0.987	5	True	True	True	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
GMPS	Epithelial	Stromal	DONE	DONE	0.978	0.995	5	True	False	False	BROAD_COMPARTMENT_ONLY;NOT_IDENTICAL_SUBTYPE_OR_MECHANISM
