cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	feature_id	n_pairs_total	chemical_key_collision	n_both_available	mask_semantics	n_pairs_used	n_nonzero	n_up	n_down	n_equal	up_fraction	down_fraction	mean_delta	median_delta	rank_biserial	seed	zero_method	tie_method	continuity_correction	B	bootstrap_valid	ci_estimand	ci_method	p_method	family_n_planned	evidence_label	majority_direction_fraction	direction_discordant
PRAD	CAMP_PRAD	04_ROBUSTNESS	20260922T142000Z_discovery_v1	prad_discovery_v1	METAB_PAIRED_PRIMARY	KEGG:C04006	inositol 1-phosphate (I1P)	NA	author_case	43	43	mean_paired_difference_author_log2_scale	-0.4917219566027081	-0.8154200427689188	-0.16471084881082632	0.006471129502493046	0.08652139816296259	METAB_PAIRED_PRIMARY	361.0	DONE	NA	CAMP_v0.3.4_PRAD	PRAD_FEATURE:890172fb1243fc69	43	False	42	finite author data values; unchanged observed values verified against data_imputed	43	43	13	30	0	0.3023255813953488	0.6976744186046512	-0.4917219566027081	-0.30640141800871695	-0.47780126849894294	122131291	wilcox	average_ranks	True	0	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	normal_tie_corrected_continuity_corrected	361.0	NOMINAL_EXPLORATORY	0.6976744186046512	False
PRAD	CAMP_PRAD	04_ROBUSTNESS	20260922T142000Z_discovery_v1	prad_discovery_v1	METAB_PAIRED_PRIMARY	KEGG:C00188	threonine	NA	author_case	43	43	mean_paired_difference_author_log2_scale	0.13634542293170776	0.00029524206202431014	0.27263597938207396	0.045672810387540445	0.24246889043973677	METAB_PAIRED_PRIMARY	361.0	DONE	NA	CAMP_v0.3.4_PRAD	PRAD_FEATURE:1e2126a6049b11ab	43	False	43	finite author data values; unchanged observed values verified against data_imputed	43	43	30	13	0	0.6976744186046512	0.3023255813953488	0.13634542293170776	0.10391304997888395	0.35095137420718814	2122153404	wilcox	average_ranks	True	0	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	normal_tie_corrected_continuity_corrected	361.0	NOMINAL_EXPLORATORY	0.6976744186046512	False
PRAD	CAMP_PRAD	04_ROBUSTNESS	20260922T142000Z_discovery_v1	prad_discovery_v1	METAB_PAIRED_PRIMARY	KEGG:C02862	butyrylcarnitine	NA	author_case	43	43	mean_paired_difference_author_log2_scale	0.234800634405802	-0.015176296181445594	0.4661988670714699	0.04699672970257494	0.24588144090767466	METAB_PAIRED_PRIMARY	361.0	DONE	NA	CAMP_v0.3.4_PRAD	PRAD_FEATURE:377408288831ab8b	43	False	43	finite author data values; unchanged observed values verified against data_imputed	43	43	30	13	0	0.6976744186046512	0.3023255813953488	0.234800634405802	0.24584883594742096	0.3488372093023256	4225814960	wilcox	average_ranks	True	0	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	normal_tie_corrected_continuity_corrected	361.0	NOMINAL_EXPLORATORY	0.6976744186046512	False
PRAD	CAMP_PRAD	04_ROBUSTNESS	20260922T142000Z_discovery_v1	prad_discovery_v1	METAB_PAIRED_PRIMARY	KEGG:C05283	gamma-glutamylglutamine	NA	author_case	43	43	mean_paired_difference_author_log2_scale	-0.5466707837345189	-0.886912109444146	-0.18583236134261114	0.005184331545372354	0.08137146469040955	METAB_PAIRED_PRIMARY	361.0	DONE	NA	CAMP_v0.3.4_PRAD	PRAD_FEATURE:f28abf1c0338bef2	43	False	43	finite author data values; unchanged observed values verified against data_imputed	43	43	14	29	0	0.32558139534883723	0.6744186046511628	-0.5466707837345189	-0.6020011583085481	-0.4904862579281184	4105585895	wilcox	average_ranks	True	0	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	normal_tie_corrected_continuity_corrected	361.0	NOMINAL_EXPLORATORY	0.6744186046511628	False
PRAD	CAMP_PRAD	04_ROBUSTNESS	20260922T142000Z_discovery_v1	prad_discovery_v1	METAB_PAIRED_PRIMARY	KEGG:C00187	cholesterol	NA	author_case	43	43	mean_paired_difference_author_log2_scale	-0.16597655619212584	-0.31657041651491186	0.0007590775001524658	0.006471129502493046	0.08652139816296259	METAB_PAIRED_PRIMARY	361.0	DONE	NA	CAMP_v0.3.4_PRAD	PRAD_FEATURE:366993077ce453b4	43	False	43	finite author data values; unchanged observed values verified against data_imputed	43	43	14	29	0	0.32558139534883723	0.6744186046511628	-0.16597655619212584	-0.215504628660128	-0.47780126849894294	1895630420	wilcox	average_ranks	True	0	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	normal_tie_corrected_continuity_corrected	361.0	NOMINAL_EXPLORATORY	0.6744186046511628	False
PRAD	CAMP_PRAD	04_ROBUSTNESS	20260922T142000Z_discovery_v1	prad_discovery_v1	METAB_PAIRED_PRIMARY	KEGG:C02180	phenol sulfate	NA	author_case	43	43	mean_paired_difference_author_log2_scale	-0.3407474752071532	-0.6739678257941691	0.03782354225168414	0.00833038881452362	0.08968442482107816	METAB_PAIRED_PRIMARY	361.0	DONE	NA	CAMP_v0.3.4_PRAD	PRAD_FEATURE:50f842a827075101	43	False	43	finite author data values; unchanged observed values verified against data_imputed	43	43	14	29	0	0.32558139534883723	0.6744186046511628	-0.3407474752071532	-0.47210611781323397	-0.4630021141649049	267570426	wilcox	average_ranks	True	0	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	normal_tie_corrected_continuity_corrected	361.0	NOMINAL_EXPLORATORY	0.6744186046511628	False
PRAD	CAMP_PRAD	04_ROBUSTNESS	20260922T142000Z_discovery_v1	prad_discovery_v1	METAB_PAIRED_PRIMARY	KEGG:C00008	adenosine 5'-diphosphate (ADP)	NA	author_case	43	43	mean_paired_difference_author_log2_scale	-0.7195904049488318	-1.253227361414764	-0.1839969057250297	0.008594568957861494	0.08968442482107816	METAB_PAIRED_PRIMARY	361.0	DONE	NA	CAMP_v0.3.4_PRAD	PRAD_FEATURE:6143f6080f1ad39b	43	False	33	finite author data values; unchanged observed values verified against data_imputed	43	40	11	29	3	0.2558139534883721	0.6744186046511628	-0.7195904049488318	-0.7369112551870557	-0.47804878048780486	329611801	wilcox	average_ranks	True	0	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	normal_tie_corrected_continuity_corrected	361.0	NOMINAL_EXPLORATORY	0.6744186046511628	False
PRAD	CAMP_PRAD	04_ROBUSTNESS	20260922T142000Z_discovery_v1	prad_discovery_v1	METAB_PAIRED_PRIMARY	NAME:C-glycosyltryptophan	C-glycosyltryptophan	NA	author_case	43	43	mean_paired_difference_author_log2_scale	-0.21325950408367603	-0.40247148740561733	-0.03543255621794239	0.03725766894641474	0.2097628787878788	METAB_PAIRED_PRIMARY	361.0	DONE	NA	CAMP_v0.3.4_PRAD	PRAD_FEATURE:51cfc3d7b6c21702	43	False	43	finite author data values; unchanged observed values verified against data_imputed	43	43	14	29	0	0.32558139534883723	0.6744186046511628	-0.21325950408367603	-0.23189494681697403	-0.3657505285412262	3055945868	wilcox	average_ranks	True	0	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	normal_tie_corrected_continuity_corrected	361.0	NOMINAL_EXPLORATORY	0.6744186046511628	False
PRAD	CAMP_PRAD	04_ROBUSTNESS	20260922T142000Z_discovery_v1	prad_discovery_v1	METAB_PAIRED_PRIMARY	KEGG:C00064	glutamine	NA	author_case	43	43	mean_paired_difference_author_log2_scale	-0.27478741553317193	-0.4704888429312461	-0.07327820129134763	0.008942954494922047	0.08968442482107816	METAB_PAIRED_PRIMARY	361.0	DONE	NA	CAMP_v0.3.4_PRAD	PRAD_FEATURE:f1308a1c5d4d63d9	43	False	43	finite author data values; unchanged observed values verified against data_imputed	43	43	15	28	0	0.3488372093023256	0.6511627906976745	-0.27478741553317193	-0.21152185232929	-0.4587737843551797	1894974266	wilcox	average_ranks	True	0	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	normal_tie_corrected_continuity_corrected	361.0	NOMINAL_EXPLORATORY	0.6511627906976745	False
PRAD	CAMP_PRAD	04_ROBUSTNESS	20260922T142000Z_discovery_v1	prad_discovery_v1	METAB_PAIRED_PRIMARY	KEGG:C00097	cysteine	NA	author_case	43	43	mean_paired_difference_author_log2_scale	0.7461547944785631	0.2615226446883758	1.2485208286452714	0.009264071518877348	0.08968442482107816	METAB_PAIRED_PRIMARY	361.0	DONE	NA	CAMP_v0.3.4_PRAD	PRAD_FEATURE:b1e19189fde23790	43	False	43	finite author data values; unchanged observed values verified against data_imputed	43	43	28	15	0	0.6511627906976745	0.3488372093023256	0.7461547944785631	0.504251516259702	0.45665961945031713	591732583	wilcox	average_ranks	True	0	4000	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	normal_tie_corrected_continuity_corrected	361.0	NOMINAL_EXPLORATORY	0.6511627906976745	False
