key	field	review_value	pinned_value	status
KEGG:C00025|BCAT1|ER_MonoEndoFib	ER_same_subset_rho	0.2099062996636585	0.2099062996636585	DONE
KEGG:C00025|BCAT1|ER_MonoEndoFib	ER_same_subset_q	0.3379978723404255	0.3379978723404255	DONE
KEGG:C00025|BCAT1|ER_MonoEndoFib	gene	BCAT1	BCAT1	DONE
KEGG:C00097|CDO1|ER_PC12	rho	-0.131706138107605	-0.131706138107605	DONE
KEGG:C00097|CDO1|ER_PC12	ci_lower	-0.3715389273961277	-0.3715389273961277	DONE
KEGG:C00097|CDO1|ER_PC12	ci_upper	0.1381904548216632	0.1381904548216632	DONE
KEGG:C00097|CDO1|ER_PC12	p	0.3254	0.3254	DONE
KEGG:C00097|CDO1|ER_PC12	q	0.6796758620689655	0.6796758620689655	DONE
KEGG:C00097|CDO1|ER_PC12	n_specimens	60	60.0	DONE
KEGG:C00097|CDO1|ER_PC12	ER_same_subset_rho	-0.2791075192709327	-0.2791075192709327	DONE
KEGG:C00097|CDO1|ER_PC12	ER_same_subset_q	0.2349666666666666	0.2349666666666666	DONE
KEGG:C00097|CDO1|ER_PC12	gene	CDO1	CDO1	DONE
KEGG:C00097|CDO1|ER_MonoEndoFib	rho	-0.204203336658093	-0.204203336658093	DONE
KEGG:C00097|CDO1|ER_MonoEndoFib	ci_lower	-0.4344237044763903	-0.4344237044763903	DONE
KEGG:C00097|CDO1|ER_MonoEndoFib	ci_upper	0.050669503336137	0.050669503336137	DONE
KEGG:C00097|CDO1|ER_MonoEndoFib	p	0.1272	0.1272	DONE
KEGG:C00097|CDO1|ER_MonoEndoFib	q	0.5859878048780489	0.5859878048780489	DONE
KEGG:C00097|CDO1|ER_MonoEndoFib	n_specimens	60	60.0	DONE
KEGG:C00097|CDO1|ER_MonoEndoFib	ER_same_subset_rho	-0.2791075192709327	-0.2791075192709327	DONE
KEGG:C00097|CDO1|ER_MonoEndoFib	ER_same_subset_q	0.2349666666666666	0.2349666666666666	DONE
KEGG:C00097|CDO1|ER_MonoEndoFib	gene	CDO1	CDO1	DONE
KEGG:C00037|SHMT2|ER_PC12	rho	0.0849204480930016	0.0849204480930016	DONE
KEGG:C00037|SHMT2|ER_PC12	ci_lower	-0.1799548394033785	-0.1799548394033785	DONE
KEGG:C00037|SHMT2|ER_PC12	ci_upper	0.3277782772726029	0.3277782772726029	DONE
KEGG:C00037|SHMT2|ER_PC12	p	0.5286	0.5286	DONE
KEGG:C00037|SHMT2|ER_PC12	q	0.8143297297297296	0.8143297297297296	DONE
KEGG:C00037|SHMT2|ER_PC12	n_specimens	61	61.0	DONE
KEGG:C00037|SHMT2|ER_PC12	ER_same_subset_rho	0.1671904953888215	0.1671904953888215	DONE
KEGG:C00037|SHMT2|ER_PC12	ER_same_subset_q	0.4804625	0.4804625	DONE
