gene	stable_gene_id	in_current_pool	history_only	RNA_effect	RNA_p	RNA_q	RNA_n	RNA_background	GSE263733__source_status	GSE263733__reason	GSE263733__display_top	GSE263733__mechanical_top	GSE263733__top_n	GSE263733__top_detection	GSE263733__bootstrap	GSE278688__source_status	GSE278688__reason	GSE278688__display_top	GSE278688__mechanical_top	GSE278688__top_n	GSE278688__top_detection	GSE278688__bootstrap	GSE242230__source_status	GSE242230__reason	GSE242230__display_top	GSE242230__mechanical_top	GSE242230__top_n	GSE242230__top_detection	GSE242230__bootstrap
PYROXD1	UniProtKB:Q8WU10	False	True	-0.2389740367416308	0.0563420424107538	0.1468890455310611	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.4438988076515133	1.0	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	13	0.0999891487258728	0.956	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.2203326221504632	0.546
QARS1	UniProtKB:P47897	False	True	0.0013455906154763	0.994025066437042	0.9963475549100256	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	4	0.4293141921690444	0.552	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	13	0.2678682149949222	0.843	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.4617478653835475	0.805
QDPR	UniProtKB:P09417	False	True	-0.2153185607380137	0.1040035540217639	0.2124644032158892	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.3605429143260063	0.731	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.1590443297873472	0.474	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.3982495931521418	0.956
RAD23A	UniProtKB:P54725	False	True	0.1974863084513046	0.0778165544573234	0.1756109461535955	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.7928031057726073	0.887	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.5809435178839445	0.837	DONE	Descriptive donor-equal ranking;not differential expression	Erythrocyte	Erythrocyte	3	0.7265223890297005	0.578
RAD23B	UniProtKB:P54727	False	True	0.2587332631954382	0.0869105354346756	0.1861907995460249	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.6116740584348835	0.522	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	13	0.4218465813729188	0.905	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.4822887167527347	0.505
RDH16	UniProtKB:O75452	False	True	-0.3650596525762801	0.0065854576112354	0.0584311321184284	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.010730183912539	0.6	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA
RDH5	UniProtKB:Q92781	False	True	-0.1512253764751455	0.2006735611343158	0.3230949314916236	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.1424336225532454	0.841	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.0766060182897109	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.2189505140592097	0.905
RIDA	UniProtKB:P52758	True	False	-0.0135897738225262	0.9262204017635391	0.9414668281300174	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.4441873082012664	0.942	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.1290603584663828	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.3367986946697591	0.963
RIOX1	UniProtKB:Q9H6W3	False	True	-0.0902936638792392	0.5005481029246873	0.6083148332994075	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	20	0.0674151435327597	0.719	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	13	0.0587278596368768	1.0	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	21	0.0572343090130109	0.902
RIOX2	UniProtKB:Q8IUF8	False	True	-0.1073611930708062	0.2177656617974696	0.3422031828245952	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	4	0.2688181900981746	0.782	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	13	0.1579763937208252	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	3	0.1051264261486278	0.356
RNLS	UniProtKB:Q5VYX0	False	True	-0.3266902075233444	0.0505100822438204	0.1425580610697301	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.1918722919557603	0.971	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.0811211803160808	0.696	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.1525082010276912	0.911
RNMT	UniProtKB:O43148	False	True	0.5323767395319309	0.0123591008323743	0.0702742022750811	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	B/Plasma	B/Plasma	17	0.4924957485980192	0.585	DONE	Descriptive donor-equal ranking;not differential expression	B/Plasma	B/Plasma	11	0.3025488033419977	0.887	DONE	Descriptive donor-equal ranking;not differential expression	Malignant (author)	Malignant (author)	23	0.3594026595533641	0.57
RSBN1	UniProtKB:Q5VWQ0	False	True	0.1126252166328052	0.2147565778749221	0.3399652099938804	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	20	0.3310088769424059	1.0	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	13	0.3424492453745579	1.0	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	21	0.2248349798347624	0.993
RTN4IP1	UniProtKB:Q8WWV3	False	True	0.1889365558375245	0.0201412364070825	0.0815150039494189	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	B/Plasma	B/Plasma	17	0.0390460011861565	0.592	DONE	Descriptive donor-equal ranking;not differential expression	B/Plasma	B/Plasma	11	0.0327784996595103	0.999	DONE	Descriptive donor-equal ranking;not differential expression	B/Plasma	B/Plasma	15	0.0281236692086906	0.831
SAMHD1	UniProtKB:Q9Y3Z3	True	False	0.1893410497104082	0.5507372185970303	0.6386483239129882	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.8249463705732121	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.5555136535708913	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.6853750755827053	1.0
SARM1	UniProtKB:Q6SZW1	False	True	-0.1598188561246573	0.2553923510009223	0.3838096292340059	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Acinar	Acinar	4	0.0919878764863117	0.563	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.0749055229741307	0.919	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.1611175715561023	0.924
SDR16C5	UniProtKB:Q8N3Y7	False	True	0.7910061470540698	0.0121193496742463	0.0702742022750811	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.4996064376306613	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.1282910003818508	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Malignant (author)	Malignant (author)	23	0.3036601368479545	1.0
SDR9C7	UniProtKB:Q8NEX9	False	True	-0.3648569939894683	0.011132967340137	0.0702742022750811	11	NOMINAL_EXPLORATORY	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA
SDS	UniProtKB:P20132	True	False	-0.4264472075363599	0.0769491469760221	0.1698890934456846	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.2054127666818889	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.1735184128604152	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.0863591849662971	1.0
SDSL	UniProtKB:Q96GA7	True	False	-0.2999230156434491	0.0032285481359398	0.0360085897666478	11	FDR_SUPPORTED	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.2555457141200823	0.993	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.2077003787985027	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.2576627284648274	0.655
SETD1A	UniProtKB:O15047	False	True	-0.1619924261512101	0.1125423728145425	0.2223363289688777	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.2483314654537224	0.9	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	13	0.100728106236577	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.1533838849805866	0.816
SETD1B	UniProtKB:Q9UPS6	False	True	-0.2263293457427893	0.0278908321124622	0.0997097248020526	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	20	0.1299871012721953	1.0	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	13	0.0694973188592662	0.852	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.1890650828431938	0.607
SETD2	UniProtKB:Q9BYW2	False	True	0.2775305229760492	0.1120955056188266	0.2223363289688777	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	4	0.3865881222196656	0.436	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	13	0.2999952326466999	0.466	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	3	0.2528188919724535	0.383
SETD3	UniProtKB:Q86TU7	False	True	0.0862562386351525	0.4807306693731247	0.5866166074357657	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.4961929611206215	0.544	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	13	0.2218913271516866	0.978	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.3230082074347442	0.533
SETD4	UniProtKB:Q9NVD3	False	True	0.2491423188767091	0.0035467131120639	0.0584311321184284	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.2778955841888477	0.925	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	13	0.0824187778364733	0.622	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	3	0.0809384314934731	0.363
SETD5	UniProtKB:Q9C0A6	False	True	0.3894247724519465	0.0632071463062325	0.1576503823568242	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.6809677253959224	0.755	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	13	0.4629954286350392	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.5051633371348514	0.602
SETD6	UniProtKB:Q8TBK2	False	True	-0.4770290008666135	0.0010426899539706	0.0548657216119157	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.2675617096447281	0.932	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.0642874233813164	0.746	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.1608992512290863	0.92
