gene	stable_gene_id	in_current_pool	history_only	RNA_effect	RNA_p	RNA_q	RNA_n	RNA_background	GSE263733__source_status	GSE263733__reason	GSE263733__display_top	GSE263733__mechanical_top	GSE263733__top_n	GSE263733__top_detection	GSE263733__bootstrap	GSE278688__source_status	GSE278688__reason	GSE278688__display_top	GSE278688__mechanical_top	GSE278688__top_n	GSE278688__top_detection	GSE278688__bootstrap	GSE242230__source_status	GSE242230__reason	GSE242230__display_top	GSE242230__mechanical_top	GSE242230__top_n	GSE242230__top_detection	GSE242230__bootstrap
BEST2	UniProtKB:Q8NFU1	False	True	-0.2923341837679263	0.0471890573891478	0.136784497432057	11	NOMINAL_EXPLORATORY	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA
BLVRA	UniProtKB:P53004	False	True	0.5220346834844436	0.0010452958858317	0.0548657216119157	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.545920144314447	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.3884761062524143	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.3624067682439031	1.0
BLVRB	UniProtKB:P30043	False	True	0.0617997084447473	0.5897860088206672	0.6970198286062431	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.749634280452529	0.936	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.4685696112905553	0.995	DONE	Descriptive donor-equal ranking;not differential expression	Erythrocyte	Erythrocyte	3	0.980269058295964	0.586
BST1	UniProtKB:Q10588	False	True	0.320179071579809	0.0143659033679964	0.0702742022750811	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.4342505603078595	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.1394816349174657	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.2347033495634377	0.999
BUD23	UniProtKB:O43709	False	True	0.0134458584070728	0.9073240578581347	0.9447621864590772	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.7550866142022428	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.3242880255692931	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.6195627613543655	0.955
CAD	UniProtKB:P27708	False	True	0.12841114841119	0.2538910302126611	0.383518492821238	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.180867806768059	0.669	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	13	0.0722462193800121	0.902	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	3	0.1245040600267242	0.609
CAMKMT	UniProtKB:Q7Z624	False	True	-0.2563580479779256	0.0024244001800095	0.0548657216119157	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.1882080932055554	0.757	DONE	Descriptive donor-equal ranking;not differential expression	B/Plasma	B/Plasma	11	0.1000501464341982	0.663	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.211837136987062	0.915
CARM1	UniProtKB:Q86X55	False	True	-0.0894361727103308	0.1840574280039429	0.3048673228327858	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.3380149834244808	0.367	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	13	0.1610805118430285	0.516	DONE	Descriptive donor-equal ranking;not differential expression	Malignant (author)	Malignant (author)	23	0.2295049280937667	0.854
CARNMT1	UniProtKB:Q8N4J0	True	False	-0.0486919821593645	0.6337558749431159	0.6988290228167394	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.2789878396246129	0.392	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	13	0.0873685958284684	0.997	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	21	0.0545274691190594	0.594
CARNS1	UniProtKB:A5YM72	True	False	-0.4825653530066571	0.0053252498956221	0.0435194445409835	11	FDR_SUPPORTED	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.1463598483555982	0.88	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.017649342295919	0.787	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	7	0.0540931825011115	0.609
CD38	UniProtKB:P28907	False	True	0.1103691759476744	0.4381105078553395	0.5571850327136357	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	B/Plasma	B/Plasma	17	0.2226658342038152	1.0	DONE	Descriptive donor-equal ranking;not differential expression	B/Plasma	B/Plasma	11	0.1923967120602271	0.999	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	21	0.0730950754328009	0.862
CDA	UniProtKB:P32320	True	False	0.8100761046656509	0.0049334800794939	0.0424626882744791	11	FDR_SUPPORTED	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.3250891789003611	0.407	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	13	0.1964645150557311	0.876	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.2892773178023693	0.939
CDK5RAP1	UniProtKB:Q96SZ6	False	True	0.1041663382566062	0.1767635633214284	0.2985494829326488	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	20	0.125792148947994	0.961	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	13	0.1214993177187396	0.979	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.2277156827569121	0.902
CDKAL1	UniProtKB:Q5VV42	False	True	0.2087387769733474	0.1290008676864082	0.2416653809496468	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	4	0.1621624050851357	0.816	DONE	Descriptive donor-equal ranking;not differential expression	B/Plasma	B/Plasma	11	0.123184859636477	0.741	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	3	0.1090117175454825	0.575
CEL	UniProtKB:P19835	False	True	-2.7020845795375954	0.0122220743263717	0.0702742022750811	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Acinar	Acinar	4	0.6573171065798994	0.817	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.0262048743583894	0.999	DONE	Descriptive donor-equal ranking;not differential expression	B/Plasma	B/Plasma	15	0.0259907960756964	0.984
CES1	UniProtKB:P23141	True	False	0.2712897178471562	0.246967126785051	0.352606244600622	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.1884412760938534	0.636	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.1005999353182744	0.872	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.6465380557584456	0.965
CES2	UniProtKB:O00748	True	False	0.2548891167082527	0.0975860256733807	0.1967681513324342	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.5005110217449508	0.999	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.1467383501692027	0.992	DONE	Descriptive donor-equal ranking;not differential expression	Malignant (author)	Malignant (author)	23	0.2942792839076832	0.941
CISD1	UniProtKB:Q9NZ45	True	False	0.7115917358711153	0.0031018248088966	0.0360085897666478	11	FDR_SUPPORTED	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.6005495176429473	0.91	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	13	0.3009951576251051	0.645	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	7	0.4244692076569047	0.722
CLYBL	UniProtKB:Q8N0X4	True	False	-0.0944325186321436	0.4274819367647351	0.5279401919044479	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	4	0.087251567533364	0.326	DONE	Descriptive donor-equal ranking;not differential expression	B/Plasma	B/Plasma	11	0.0352713481098412	0.743	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.1532600152914995	0.961
CMPK1	UniProtKB:P30085	False	True	0.2472263975663518	0.1577151912960099	0.2793943637702315	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.8633317968174163	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.4606320516950157	0.999	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.7579792368772879	0.961
CMPK2	UniProtKB:Q5EBM0	True	False	-0.0444087463374416	0.5913310874425858	0.669994397239994	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.1750152929525209	0.982	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.1385594560492564	0.972	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.177923324662455	0.608
CMTR1	UniProtKB:Q8N1G2	False	True	0.29750976745368	0.114212830852655	0.2227150201626773	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	4	0.1470641106764841	0.75	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	13	0.1051714394895058	0.809	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	21	0.0651227037090138	0.401
CMTR2	UniProtKB:Q8IYT2	False	True	0.1500192581096163	0.0482223682584942	0.1388415837778121	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.4314478806845393	0.979	DONE	Descriptive donor-equal ranking;not differential expression	B/Plasma	B/Plasma	11	0.0831856784243566	0.988	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.2527044170222581	0.936
CNDP1	UniProtKB:Q96KN2	True	False	-0.1206638381206763	0.2090945659462279	0.3190750354026485	11	NOT_SUPPORTED_THIS_TEST	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA
CNDP2	UniProtKB:Q96KP4	False	True	0.0282301928712337	0.9015332553564808	0.9445515705634976	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.5482211150647032	0.966	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.3786937792454925	0.999	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.7325703601190857	0.96
COMT	UniProtKB:P21964	True	False	0.2248385883221099	0.0985117673083247	0.1967681513324342	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.7843782895822639	0.554	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.5399652006610934	0.833	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.7976746669400342	0.956
COQ3	UniProtKB:Q9NZJ6	True	False	0.1027800884051427	0.2706771141815004	0.3756025123754528	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.161468166879812	0.862	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.032758193270631	0.966	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.1037094700512991	0.753
COQ5	UniProtKB:Q5HYK3	False	True	0.1083628691759643	0.0795824281760887	0.17598382313166	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.3134041234542578	0.765	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.1034101377512989	0.638	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.3085223413934058	0.951
COQ7	UniProtKB:Q99807	False	True	0.0923403057597881	0.3132067483774897	0.4391035786076571	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.4746042989420563	0.998	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.1090412161823745	0.88	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.1503880719503128	0.988
CRAT	UniProtKB:P43155	False	True	-0.5958693417934963	0.0140188106573747	0.0702742022750811	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Acinar	Acinar	4	0.3355802905940167	0.709	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.1713185469966568	0.924	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.4104859429259729	0.951
CRYL1	UniProtKB:Q9Y2S2	False	True	-0.2885457607936192	0.1180561813166986	0.2260986686824272	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.4027485203284414	0.568	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.2107905874575708	0.937	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	3	0.1625680953849316	0.392
CRYM	UniProtKB:Q14894	False	True	-0.1834553249791417	0.0365679944055594	0.1170721611939178	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.1058663551911272	0.997	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.0232255791274784	0.998	DONE	Descriptive donor-equal ranking;not differential expression	Malignant (author)	Malignant (author)	23	0.0521201977378249	0.938
CS	UniProtKB:O75390	False	True	-0.0346527948145334	0.8190442004914532	0.887297883865741	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.4757708651064909	0.924	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.272210033061475	0.931	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.4273655907089191	0.951
CSAD	UniProtKB:Q9Y600	False	True	0.0881825042141811	0.5748331455728428	0.6831119652375334	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.3759091328481215	0.893	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	13	0.1490287369505445	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	3	0.0615607976153767	0.287
CSKMT	UniProtKB:A8MUP2	False	True	NA	NA	NA	0	NOT_EVALUABLE	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	4	0.2050964009050468	0.689	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.19149074355643	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.218429246915004	0.517
CTH	UniProtKB:P32929	True	False	-0.8147027413394645	0.0139382386021382	0.0644720412952697	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Acinar	Acinar	4	0.093188555895148	0.558	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	13	0.0420297128086055	0.57	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	3	0.0167874396135265	0.364
CTPS1	UniProtKB:P17812	False	True	0.4886398527639617	0.0609247144699812	0.1528462134948653	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	20	0.0796684846527099	0.556	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	13	0.0959779080675289	0.596	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.168595509937339	0.754
CTPS2	UniProtKB:Q9NRF8	False	True	-0.0275733351821055	0.8311228506807679	0.8958585501056519	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.2379002133053238	0.923	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.0886568089527395	0.967	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.1420049056668247	0.806
CYB5R3	UniProtKB:P00387	False	True	0.2808473258623208	0.2010870552640175	0.3230949314916236	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	4	0.7538301503298053	0.782	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.7795857125437705	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	7	0.6445052872773334	0.815
CYP2E1	UniProtKB:P05181	True	False	-0.3139782505859417	0.0154804154126659	0.0682796894094371	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Acinar	Acinar	4	0.0914109174391468	0.777	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	DONE	Descriptive donor-equal ranking;not differential expression	Malignant (author)	Malignant (author)	23	0.0163037824527035	0.605
CYP4A11	UniProtKB:Q02928	True	False	0.0730052189781299	0.6716236068380995	0.7307974929031303	11	NOT_SUPPORTED_THIS_TEST	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.0185185185185185	0.6410535714285711
CYP4B1	UniProtKB:P13584	False	True	-0.1620224822594609	0.1164565057840021	0.2240351613512867	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.0420778196495298	0.889	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	DONE	Descriptive donor-equal ranking;not differential expression	Malignant (author)	Malignant (author)	23	0.029698992000035	0.894
CYP4F11	UniProtKB:Q9HBI6	True	False	0.1244513263203744	0.4951317087631748	0.5879689041562701	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.1662229333176267	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.0554671603754431	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.3155301622692927	0.967
CYP4V2	UniProtKB:Q6ZWL3	True	False	-0.2733040565585692	0.1038997452266604	0.2020727328424025	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.3158996811811456	0.94	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	13	0.1204873830060562	0.617	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.4567228138067719	0.951
CYP4Z1	UniProtKB:Q86W10	True	False	-0.0821301755511309	0.3303884493250508	0.4272562669282072	11	NOT_SUPPORTED_THIS_TEST	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA
D2HGDH	UniProtKB:Q8N465	True	False	-0.4154818521520218	0.000740797345074	0.0318967003557723	11	FDR_SUPPORTED	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.3714013687401038	0.62	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.1452576939299785	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.2933323936322436	0.687
DAGLA	UniProtKB:Q9Y4D2	True	False	-0.2725720269354245	0.0256967919685885	0.0961682972157784	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.044951128130611	0.675	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.0243740717329782	0.999	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.0655808313791822	0.962
DAGLB	UniProtKB:Q8NCG7	True	False	0.1554237514472628	0.2687654310479325	0.3750568444567193	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	4	0.1342134529835864	0.531	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.1678693228788286	0.986	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.124332279334813	0.997
DAO	UniProtKB:P14920	True	False	-0.2877778723798201	0.0928054610050087	0.1942622785443826	11	NOT_SUPPORTED_THIS_TEST	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA
DCK	UniProtKB:P27707	True	False	0.6234311831417128	0.0031292412516368	0.0360085897666478	11	FDR_SUPPORTED	DONE	Descriptive donor-equal ranking;not differential expression	B/Plasma	B/Plasma	17	0.3285045424068433	1.0	DONE	Descriptive donor-equal ranking;not differential expression	B/Plasma	B/Plasma	11	0.2979269116642877	1.0	DONE	Descriptive donor-equal ranking;not differential expression	B/Plasma	B/Plasma	15	0.2171434544753427	0.957
DCPH1	UniProtKB:Q9H993	True	False	0.52097443108783	0.021677309955277	0.0863596057895712	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.2270328668614244	0.827	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.1174115472487687	0.929	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.2064403695588103	0.696
DCTD	UniProtKB:P32321	True	False	0.2351309415270789	0.21264132781666	0.3202585851872867	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.4935290216979124	0.962	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.2893355893887122	0.963	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	7	0.3600816337180745	0.784
DCTPP1	UniProtKB:Q9H773	True	False	0.1175636266160781	0.3131901840317281	0.4181512186801991	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.610676150834061	0.934	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.2336081689049127	0.949	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.54755661699065	0.939
DDHD2	UniProtKB:O94830	False	True	0.2613726642784902	0.1375846890401535	0.2491781834025601	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.2646692235385102	0.476	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	13	0.1503873629700177	0.972	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	3	0.1293144208037825	0.317
DDO	UniProtKB:Q99489	True	False	-0.1646052531620335	0.1340403654373979	0.2365580307823621	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	4	0.0251841971544715	0.403	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.0235470600893359	0.562	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.17392724577882	0.964
DGAT1	UniProtKB:O75907	True	False	0.0484599731107636	0.517106301557235	0.6092347994889805	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.6208049224245955	0.915	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	13	0.3181248553404227	0.834	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	3	0.22224277931956	0.396
