cohort	gene	matrix_label	method
GSE263733	DGAT2	DGAT2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	DGAT2L6	DGAT2L6	EXACT_CANONICAL
GSE263733	DGKA	DGKA	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	DGKB	DGKB	EXACT_CANONICAL
GSE263733	DGUOK	DGUOK	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	DIMT1	DIMT1	EXACT_CANONICAL
GSE263733	DNMT1	DNMT1	EXACT_CANONICAL
GSE263733	DNMT3A	DNMT3A	EXACT_CANONICAL
GSE263733	DNMT3B	DNMT3B	EXACT_CANONICAL
GSE263733	DOT1L	DOT1L	EXACT_CANONICAL
GSE263733	DPEP1	DPEP1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	DPH5	DPH5	EXACT_CANONICAL
GSE263733	EEF1AKMT1	N6AMT2	UNIQUE_REVIEWED_ALIAS
GSE263733	EEF1AKMT2	METTL10	UNIQUE_REVIEWED_ALIAS
GSE263733	EEF1AKMT3	METTL21B	UNIQUE_REVIEWED_ALIAS
GSE263733	EEF1AKMT4	NA	MISSING_OR_AMBIGUOUS
GSE263733	EEF2KMT	EEF2KMT	EXACT_CANONICAL
GSE263733	EGLN1	EGLN1	EXACT_CANONICAL
GSE263733	EGLN2	EGLN2	EXACT_CANONICAL
GSE263733	EGLN3	EGLN3	EXACT_CANONICAL
GSE263733	EHMT1	EHMT1	EXACT_CANONICAL
GSE263733	EHMT2	EHMT2	EXACT_CANONICAL
GSE263733	EMG1	EMG1	EXACT_CANONICAL
GSE263733	ENPP6	ENPP6	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	EPHX1	EPHX1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	ETFBKMT	METTL20	UNIQUE_REVIEWED_ALIAS
GSE263733	EZH1	EZH1	EXACT_CANONICAL
GSE263733	EZH2	EZH2	EXACT_CANONICAL
GSE263733	FAAH	FAAH	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	FAHD1	FAHD1	EXACT_CANONICAL
GSE263733	FBL	FBL	EXACT_CANONICAL
GSE263733	FBLL1	FBLL1	EXACT_CANONICAL
GSE263733	FMO1	FMO1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	FMO3	FMO3	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	FTO	FTO	EXACT_CANONICAL
GSE263733	FTSJ1	FTSJ1	EXACT_CANONICAL
GSE263733	FTSJ3	FTSJ3	EXACT_CANONICAL
GSE263733	GAD1	GAD1	EXACT_CANONICAL
GSE263733	GAD2	GAD2	EXACT_CANONICAL
GSE263733	GADL1	GADL1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	GAMT	GAMT	EXACT_CANONICAL
GSE263733	GATM	GATM	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	GDPD2	GDPD2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	GDPD3	GDPD3	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	GDPD5	GDPD5	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	GGCT	GGCT	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	GGT1	GGT1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	GGT5	GGT5	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	GK	GK	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	GK2	GK2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	GK3	NA	MISSING_OR_AMBIGUOUS
GSE263733	GK5	GK5	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	GLUD1	GLUD1	EXACT_CANONICAL
GSE263733	GLUD2	GLUD2	EXACT_CANONICAL
GSE263733	GNMT	GNMT	EXACT_CANONICAL
GSE263733	GOT1	GOT1	EXACT_CANONICAL
GSE263733	GOT1L1	GOT1L1	EXACT_CANONICAL
GSE263733	GOT2	GOT2	EXACT_CANONICAL
GSE263733	GPCPD1	GPCPD1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	GPT	GPT	EXACT_CANONICAL
GSE263733	GPT2	GPT2	EXACT_CANONICAL
GSE263733	HAO1	HAO1	EXACT_CANONICAL
GSE263733	HAO2	HAO2	EXACT_CANONICAL
GSE263733	HDAC10	HDAC10	EXACT_CANONICAL
GSE263733	HEMK1	HEMK1	EXACT_CANONICAL
GSE263733	HEMK2	N6AMT1	UNIQUE_REVIEWED_ALIAS
GSE263733	HENMT1	HENMT1	EXACT_CANONICAL
GSE263733	HIF1AN	HIF1AN	EXACT_CANONICAL
GSE263733	HNMT	HNMT	EXACT_CANONICAL
GSE263733	HOGA1	HOGA1	EXACT_CANONICAL
GSE263733	HPD	HPD	EXACT_CANONICAL
GSE263733	HR	HR	EXACT_CANONICAL
GSE263733	ICMT	ICMT	EXACT_CANONICAL
GSE263733	IDH1	IDH1	EXACT_CANONICAL
GSE263733	IDH2	IDH2	EXACT_CANONICAL
GSE263733	IDH3A	IDH3A	EXACT_CANONICAL
GSE263733	IDO1	IDO1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	IDO2	IDO2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	IL4I1	IL4I1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	IMPA1	IMPA1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	IMPA2	IMPA2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	INMT	INMT	EXACT_CANONICAL
GSE263733	JMJD4	JMJD4	EXACT_CANONICAL
GSE263733	JMJD6	JMJD6	EXACT_CANONICAL
GSE263733	JMJD7	JMJD7	EXACT_CANONICAL
GSE263733	KDM1A	KDM1A	EXACT_CANONICAL
GSE263733	KDM2A	KDM2A	EXACT_CANONICAL
GSE263733	KDM2B	KDM2B	EXACT_CANONICAL
GSE263733	KDM3A	KDM3A	EXACT_CANONICAL
GSE263733	KDM3B	KDM3B	EXACT_CANONICAL
GSE263733	KDM4A	KDM4A	EXACT_CANONICAL
GSE263733	KDM4B	KDM4B	EXACT_CANONICAL
GSE263733	KDM4C	KDM4C	EXACT_CANONICAL
GSE263733	KDM4D	KDM4D	EXACT_CANONICAL
GSE263733	KDM4E	KDM4E	EXACT_CANONICAL
GSE263733	KDM4F	NA	MISSING_OR_AMBIGUOUS
GSE263733	KDM5A	KDM5A	EXACT_CANONICAL
GSE263733	KDM5B	KDM5B	EXACT_CANONICAL
GSE263733	KDM5C	KDM5C	EXACT_CANONICAL
GSE263733	KDM5D	KDM5D	EXACT_CANONICAL
GSE263733	KDM6A	KDM6A	EXACT_CANONICAL
GSE263733	KDM6B	KDM6B	EXACT_CANONICAL
GSE263733	KDM7A	KDM7A	EXACT_CANONICAL
GSE263733	KDM8	KDM8	EXACT_CANONICAL
GSE263733	KMT2A	KMT2A	EXACT_CANONICAL
GSE263733	KMT2B	KMT2B	EXACT_CANONICAL
GSE263733	KMT2C	KMT2C	EXACT_CANONICAL
GSE263733	KMT2D	KMT2D	EXACT_CANONICAL
GSE263733	KMT5A	KMT5A	EXACT_CANONICAL
GSE263733	KMT5B	KMT5B	EXACT_CANONICAL
GSE263733	KMT5C	KMT5C	EXACT_CANONICAL
GSE263733	KYAT1	CCBL1	UNIQUE_REVIEWED_ALIAS
GSE263733	KYAT3	CCBL2	UNIQUE_REVIEWED_ALIAS
GSE263733	L2HGDH	L2HGDH	EXACT_CANONICAL
