cohort	gene	top_celltype	second_celltype	mean_expression	detection_fraction	donor_count	bootstrap_top_frequency	bootstrap_valid_draws	eligible_categories	seed
GSE263733	ACSM2B	Endothelial	Epithelial/Ductal	0.6517529646395832	0.014236031216444225	4	0.963	1000	Endothelial;Epithelial/Ductal	1027977293
GSE263733	ACSM4	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	NA	0		1027977293
GSE263733	ACY3	Epithelial/Ductal	B/Plasma	1.7679435314651388	0.1583669458712247	18	0.971	1000	Acinar;B/Plasma;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ADA	T/NK	Endothelial	3.482938352621109	0.14454240420667555	20	1.0	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ADA2	Myeloid	B/Plasma	4.901864828476601	0.6706239272141884	20	1.0	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ADHFE1	Acinar	T/NK	1.7400493686900291	0.08961939753793016	4	0.86	1000	Acinar;B/Plasma;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	AGMAT	T/NK	Epithelial/Ductal	1.7448795611102401	0.025632362117236962	20	0.895	1000	B/Plasma;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	AGXT	Epithelial/Ductal	T/NK	0.09663393299985988	0.0031207377549776166	18	0.988	1000	Epithelial/Ductal;T/NK	1027977293
GSE263733	AGXT2	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	NA	0		1027977293
GSE263733	AHCY	Epithelial/Ductal	Fibroblast/CAF	4.0058936985579665	0.5820203506098428	18	0.985	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	AK4	Epithelial/Ductal	Fibroblast/CAF	3.5313663185297326	0.5008678608574467	18	0.987	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	AK9	Endothelial	B/Plasma	2.4746113342562954	0.14894263403129313	4	0.645	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	AKR1A1	Myeloid	Fibroblast/CAF	4.836103476340479	0.583164697432325	20	0.949	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	AKR1B1	Myeloid	Fibroblast/CAF	4.288431557664519	0.37022262168913556	20	0.989	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	AKR7A2	Fibroblast/CAF	Endothelial	4.569588815129557	0.631582533096947	11	1.0	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ALDH1A1	Acinar	Fibroblast/CAF	4.739676290368776	0.4153774766440092	4	0.826	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ALDH2	Myeloid	Fibroblast/CAF	5.223036899182137	0.6709493169319306	20	0.999	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ALDH3A2	Epithelial/Ductal	Myeloid	3.5265288031608373	0.5042463056812191	18	0.942	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ALDH9A1	Endothelial	Fibroblast/CAF	4.011951980970564	0.36863279452369996	4	0.9	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ALKBH1	T/NK	Fibroblast/CAF	1.7325981328333575	0.026630020227715944	20	0.376	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ALKBH2	Fibroblast/CAF	Epithelial/Ductal	2.848911792964127	0.27403360254822773	11	0.973	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ALKBH3	Fibroblast/CAF	T/NK	2.5873267089178005	0.23514552064279703	11	0.432	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ALKBH4	Fibroblast/CAF	T/NK	2.84877112552693	0.28278987494520746	11	0.976	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ALKBH5	T/NK	B/Plasma	4.152109223396552	0.285931639157007	20	0.966	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ALKBH7	Fibroblast/CAF	Endothelial	4.852232947835197	0.6629708689652485	11	0.994	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ALKBH8	Fibroblast/CAF	T/NK	1.87029455869299	0.11129993165507242	11	0.308	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ANTKMT	Epithelial/Ductal	T/NK	4.286987929841196	0.6573996367916225	18	1.0	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	AOC1	Epithelial/Ductal	T/NK	2.985306385461637	0.34832721179743736	18	1.0	1000	B/Plasma;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	AQP1	Endothelial	Fibroblast/CAF	6.64423903113357	0.7264444556296978	4	0.989	1000	Acinar;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	AQP10	T/NK	Fibroblast/CAF	0.27660250637811074	0.0014643043456306199	20	0.654	1000	Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	AQP11	Epithelial/Ductal	Acinar	1.261452589586485	0.08868802366433849	18	0.915	1000	Acinar;B/Plasma;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	AQP2	Epithelial/Ductal	NOT_EVALUABLE	0.18928708373720918	0.008423474730041973	18	1.0	1000	Epithelial/Ductal	1027977293
GSE263733	AQP3	T/NK	B/Plasma	4.316062719807259	0.22956822682144887	20	0.91	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	AQP7	Endothelial	Epithelial/Ductal	2.24976663914809	0.09969056795520782	4	0.989	1000	Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	AQP7B	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	NA	0		1027977293
GSE263733	AQP9	Myeloid	Fibroblast/CAF	4.639688678690591	0.5101004394000218	20	1.0	1000	B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ARG1	Myeloid	T/NK	0.26528360538596074	0.0020608487828952305	20	0.887	1000	Epithelial/Ductal;Myeloid;T/NK	1027977293
GSE263733	ARG2	Epithelial/Ductal	Fibroblast/CAF	2.070768989471256	0.17721633432751313	18	0.958	1000	Acinar;B/Plasma;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	AS3MT	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	NA	0		1027977293
GSE263733	ASAH1	Myeloid	Fibroblast/CAF	6.161901368172008	0.8705787803324265	20	1.0	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ASAH2	Epithelial/Ductal	Fibroblast/CAF	0.5813033667074201	0.032638888651662895	18	0.981	1000	B/Plasma;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ASH1L	Epithelial/Ductal	T/NK	4.485321383373664	0.7772446720773506	18	0.744	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ASMT	T/NK	Epithelial/Ductal	0.18169290193145501	0.00110846054229167	20	0.999	1000	Epithelial/Ductal;Myeloid;T/NK	1027977293
GSE263733	ASPG	Epithelial/Ductal	Fibroblast/CAF	0.6597553266796763	0.02725532606521265	18	0.995	1000	Epithelial/Ductal;Fibroblast/CAF;Myeloid	1027977293
GSE263733	ASPH	Epithelial/Ductal	Fibroblast/CAF	5.356162286902342	0.8317051981754413	18	1.0	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ATP13A3	Myeloid	Epithelial/Ductal	4.811730969821131	0.606491161538871	20	1.0	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ATP13A4	Epithelial/Ductal	T/NK	0.9724726215471272	0.07160047813767155	18	1.0	1000	B/Plasma;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ATPSCKMT	Epithelial/Ductal	Fibroblast/CAF	2.106372542881775	0.22406772070919384	18	0.869	1000	B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
