cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	feature_id	normal_label_conflict	original_cohort_q	statistics_reused	family_n_planned	historical_status	current_status	current_reason
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	HMDB:HMDB10627	PG(18:1/22:5)	NA	author_case	74.0	6.0	Hedges_g_preserved	1.50390486325982	0.639911626258379	2.36789810026127	0.001960187136067	0.0042966479397701	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:c113d8b70198fa42	True	0.0042966479397702	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	HMDB:HMDB10629	PG(18:1/22:6)	NA	author_case	74.0	6.0	Hedges_g_preserved	2.18976329906322	1.29125918101177	3.08826741711468	0.0002164700313183	0.0007983048244912	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:cc923e100c4b9549	True	0.0007983048244913	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	NAME:PG(18:2/0:0)	PG(18:2/0:0)	NA	author_case	74.0	6.0	Hedges_g_preserved	0.958748762658252	0.113615546691888	1.80388197862462	0.0333326432756892	0.050287559227609	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:0617697357593197	True	0.050287559227609	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	HMDB:HMDB10650	PG(18:2/18:2)	NA	author_case	74.0	6.0	Hedges_g_preserved	1.17825000458223	0.326479720602995	2.03002028856146	0.0198598257387144	0.0315314317537219	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:673d32703f3dec09	True	0.0315314317537219	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	NAME:PG(18:2/19:1)	PG(18:2/19:1)	NA	author_case	74.0	6.0	Hedges_g_preserved	-0.356887009300315	-1.19069651629896	0.476922497698334	0.197594919949061	0.2424712309938301	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:4efbc1a72c2eb7d6	True	0.242471230993831	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	HMDB:HMDB10653	PG(18:2/20:3)	NA	author_case	74.0	6.0	Hedges_g_preserved	2.03993639889973	1.14993978887099	2.92993300892846	0.0004686458132951	0.0013279318718391	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:ceacc00f722ec628	True	0.0013279318718393	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	HMDB:HMDB10655	PG(18:2/20:4)	NA	author_case	74.0	6.0	Hedges_g_preserved	1.80564151540041	0.927882451440202	2.68340057936062	0.0009768418329116	0.0023806250263614	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:f2804b455e9dd004	True	0.0023806250263616	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	HMDB:HMDB10656	PG(18:2/22:4)	NA	author_case	74.0	6.0	Hedges_g_preserved	2.16744584343224	1.27024192345858	3.0646497634059	0.000129797192587	0.0006326478547771	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:ddf8b5e9fe129bea	True	0.0006326478547776	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	HMDB:HMDB10659	PG(18:2/22:6)	NA	author_case	74.0	6.0	Hedges_g_preserved	2.15323171946188	1.25684993230125	3.0496135066225	0.0003554697422856	0.0010914643628769	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:8fca4efc9ec6e4d8	True	0.001091464362877	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	NAME:PG(20:3/22:6)	PG(20:3/22:6)	NA	author_case	74.0	6.0	Hedges_g_preserved	2.17472406289482	1.27709737633672	3.07235074945293	0.0002879445243383	0.0009378380068401	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:a49be250640a9f96	True	0.0009378380068402	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	NAME:PG(20:4/0:0)	PG(20:4/0:0)	NA	author_case	74.0	6.0	Hedges_g_preserved	-0.910338663783872	-1.75418560661872	-0.066491720949022	0.0193803688532232	0.0309110230908388	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:2f6db34865447c2f	True	0.0309110230908388	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	HMDB:HMDB0116613	PG(20:4/22:6)	NA	author_case	74.0	6.0	Hedges_g_preserved	0.892898705429667	0.0494992821331168	1.73629812872622	0.0843042538216311	0.114109524705742	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:607fa40d25ebd7e0	True	0.114109524705742	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	NAME:PG(22:4/22:6)	PG(22:4/22:6)	NA	author_case	74.0	6.0	Hedges_g_preserved	1.73001693318907	0.855922478393155	2.60411138798499	0.0006148471647606	0.0016171640522193	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:11ba172741515264	True	0.0016171640522195	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
