cohort	contrast	direction	pathway	universe_n	selected_n	term_n	overlap_n	p_value	genes	q_contrast	q_joint4
Wu2021	high_vs_zero	up	Prion disease	14558	1305	222	29	0.02531289856	ATP5MC2;ATP5PO;COX6A1;COX6C;COX7C;CSNK2B;EGR1;HSPA2;NDUFA11;NDUFA13;NDUFA2;NDUFA5;NDUFA7;NDUFA8;NDUFA9;NDUFB8;NDUFC2;NDUFS4;PSMA1;PSMA2;PSMB1;PSMB7;PSMC5;PSMD3;TUBA3D;TUBA3E;UQCR11;VDAC1;VDAC3	0.3016884236	0.2285055434
Wu2021	high_vs_zero	up	Progesterone-mediated oocyte maturation	14558	1305	77	6	0.699065514	ADCY1;ANAPC11;CPEB4;IGF1R;MAD2L1;PGR	0.9644788105	0.9770072244
Wu2021	high_vs_zero	up	Prolactin signaling pathway	14558	1305	58	8	0.1448346776	CCND1;CGA;CISH;ESR1;GRB2;IRF1;SOCS2;SOCS3	0.6295791642	0.5481508189
Wu2021	high_vs_zero	up	Propanoate metabolism	14558	1305	31	3	0.5344710322	ALDH6A1;SUCLA2;SUCLG2	0.9403870407	0.8983608367
Wu2021	high_vs_zero	up	Prostate cancer	14558	1305	88	7	0.6847036355	CCND1;CDKN1B;ERBB2;GRB2;IGF1R;NKX3-1;PLAT	0.9644788105	0.9702265805
Wu2021	high_vs_zero	up	Proteasome	14558	1305	43	7	0.08595488709	PSMA1;PSMA2;PSMB1;PSMB7;PSMC5;PSMD3;PSME1	0.5279799751	0.4316349308
Wu2021	high_vs_zero	up	Protein digestion and absorption	14558	1305	45	4	0.5828571799	ATP1A4;COL2A1;COL9A2;SLC38A2	0.9403870407	0.9217645926
Wu2021	high_vs_zero	up	Protein export	14558	1305	23	3	0.3406368793	IMMP2L;SPCS1;SRP19	0.866341892	0.7677743938
Wu2021	high_vs_zero	up	Protein processing in endoplasmic reticulum	14558	1305	160	13	0.685969504	ATF6;BAG1;DNAJA1;DNAJB1;DNAJC1;HSPA2;HSPH1;MAN1A1;SAR1B;SKP1;TRAM1;UBE2D3;XBP1	0.9644788105	0.9703958836
Wu2021	high_vs_zero	up	Proteoglycans in cancer	14558	1305	169	17	0.345699045	ACTG1;CCND1;CD63;CTSL;DDX5;ERBB2;ERBB3;ESR1;GRB2;HBEGF;IGF1R;MYC;PPP1CC;SDC4;THBS1;TIMP3;VAV3	0.8738635151	0.7726606785
Wu2021	high_vs_zero	up	Purine metabolism	14558	1305	99	14	0.05798084922	ADCY1;AK3;AK6;CANT1;DCK;ENPP1;GUCY1A2;IMPDH2;NME1;NME3;NT5C3B;NUDT2;PRPS2;RRM2B	0.4455370519	0.3625756609
Wu2021	high_vs_zero	up	Pyrimidine metabolism	14558	1305	48	9	0.02502024374	CANT1;CMPK1;DCK;ENPP1;NME1;NME3;NT5C3B;NUDT2;RRM2B	0.3016884236	0.2284422373
Wu2021	high_vs_zero	up	Pyruvate metabolism	14558	1305	34	1	0.9591140757	HAGH	1	1
Wu2021	high_vs_zero	up	RIG-I-like receptor signaling pathway	14558	1305	51	4	0.6822738562	CXCL8;DDX3X;ISG15;MAP3K1	0.9644788105	0.9700333566
Wu2021	high_vs_zero	up	RNA degradation	14558	1305	69	6	0.5927239284	BTG2;CNOT7;LSM1;PAN3;TOB1;ZCCHC7	0.9403870407	0.9278809135
Wu2021	high_vs_zero	up	RNA polymerase	14558	1305	31	3	0.5344710322	POLR1D;POLR2J;POLR3GL	0.9403870407	0.8983608367
Wu2021	high_vs_zero	up	RNA transport	14558	1305	153	16	0.2960107298	CASC3;EIF1;EIF1AX;EIF3E;EIF3H;EIF4A1;EIF4A2;EIF4A3;EIF4E;GLE1;KPNB1;NMD3;NUP85;NXT1;RPP25L;TARDBP	0.7966371713	0.729803287
Wu2021	high_vs_zero	up	Rap1 signaling pathway	14558	1305	166	16	0.4188747809	ACTG1;ADCY1;AFDN;CALML5;EFNA1;EVL;FGF10;GNAQ;IGF1R;INSR;PARD6B;RAC3;SIPA1L2;SKAP1;THBS1;VAV3	0.9030145552	0.8247703062
Wu2021	high_vs_zero	up	Ras signaling pathway	14558	1305	170	11	0.9047830202	AFDN;CALML5;EFNA1;FGF10;GRB2;IGF1R;INSR;PLA2G10;PLA2G12A;RAB5C;RAC3	1	1
Wu2021	high_vs_zero	up	Regulation of actin cytoskeleton	14558	1305	171	11	0.9085639997	ACTG1;ARPC1B;ARPC4;BAIAP2;BRK1;FGF10;PPP1CC;RAC3;SSH3;VAV3;WASL	1	1
Wu2021	high_vs_zero	up	Regulation of lipolysis in adipocytes	14558	1305	39	8	0.02039834927	ABHD5;ADCY1;CGA;INSR;IRS1;IRS2;MGLL;NPY1R	0.3002445198	0.2131719383
Wu2021	high_vs_zero	up	Relaxin signaling pathway	14558	1305	105	2	0.999426025	ADCY1;GRB2	1	1
Wu2021	high_vs_zero	up	Renal cell carcinoma	14558	1305	66	5	0.7165670329	EGLN2;ELOC;FLCN;GRB2;SLC2A1	0.9659058263	0.9807879152
Wu2021	high_vs_zero	up	Renin secretion	14558	1305	46	4	0.6006239147	AGTR1;CALML5;GNAQ;GUCY1A2	0.9403870407	0.9314488516
Wu2021	high_vs_zero	up	Retinol metabolism	14558	1305	21	3	0.289771557	CYP2S1;DHRS4L2;UGT2B11	0.7871004153	0.7224738485
Wu2021	high_vs_zero	up	Retrograde endocannabinoid signaling	14558	1305	99	14	0.05798084922	ADCY1;GNAQ;KCNJ3;MGLL;NDUFA11;NDUFA13;NDUFA2;NDUFA5;NDUFA7;NDUFA8;NDUFA9;NDUFB8;NDUFC2;NDUFS4	0.4455370519	0.3625756609
Wu2021	high_vs_zero	up	Rheumatoid arthritis	14558	1305	73	12	0.02817738015	ACP5;ATP6V0E1;ATP6V1A;ATP6V1B1;ATP6V1C1;ATP6V1E1;ATP6V1G1;ATP6V1H;CTSL;CXCL8;HLA-DRB1;ICAM1	0.3079398461	0.2466849884
Wu2021	high_vs_zero	up	Ribosome	14558	1305	127	33	1.426037355e-08	MRPL10;MRPL12;MRPL15;MRPL18;MRPL22;MRPL23;MRPL24;MRPS17;RPL13A;RPL19;RPL23;RPL23A;RPL26;RPL26L1;RPL27;RPL27A;RPL3;RPL31;RPL34;RPL38;RPL41;RPL7;RPL7A;RPL8;RPL9;RPS10;RPS11;RPS14;RPS17;RPS2;RPS20;RPS23;RPS4X	8.328058152e-06	3.308406663e-06
Wu2021	high_vs_zero	up	Ribosome biogenesis in eukaryotes	14558	1305	71	6	0.6211094668	AK6;CSNK2B;EMG1;NMD3;NXT1;RPP25L	0.9514369578	0.9412748835
Wu2021	high_vs_zero	up	SNARE interactions in vesicular transport	14558	1305	32	3	0.5564818269	GOSR1;GOSR2;VAMP2	0.9403870407	0.9130394896
Wu2021	high_vs_zero	up	Salivary secretion	14558	1305	52	10	0.01577960026	ADCY1;ATP1A4;ATP2B1;CALML5;CST3;GNAQ;GUCY1A2;MUC5B;SLC12A2;VAMP2	0.2613720979	0.1784867526
Wu2021	high_vs_zero	up	Salmonella infection	14558	1305	227	20	0.5668866046	ACBD3;ACTG1;ARPC1B;ARPC4;BIRC3;BRK1;CXCL8;DCTN6;DYNLRB2;DYNLT3;EXOC7;GSDMD;MYC;PYCARD;RAB5C;SKP1;SNX9;TUBA3D;TUBA3E;WASL	0.9403870407	0.9156392141
Wu2021	high_vs_zero	up	Selenocompound metabolism	14558	1305	16	0	1		1	1
Wu2021	high_vs_zero	up	Serotonergic synapse	14558	1305	60	5	0.6341492927	ALOX15B;GNAQ;KCNJ3;MAOA;MAOB	0.9631657967	0.947644017
Wu2021	high_vs_zero	up	Shigellosis	14558	1305	216	16	0.8220818893	ACTG1;ARPC1B;ARPC4;BECN1;CXCL8;GABARAPL2;H3-3B;H3-5;PYCARD;SKP1;TIFA;UBB;UBE2D3;UBE2V2;VDAC1;WASL	1	1
Wu2021	high_vs_zero	up	Signaling pathways regulating pluripotency of stem cells	14558	1305	101	8	0.6943964828	BMI1;BMPR1B;GRB2;IGF1R;IL6ST;KLF4;MYC;TBX3	0.9644788105	0.9770072244
Wu2021	high_vs_zero	up	Small cell lung cancer	14558	1305	81	7	0.5974171769	BIRC3;CCND1;CDKN1B;GADD45B;GADD45G;MYC;TRAF4	0.9403870407	0.9295827299
Wu2021	high_vs_zero	up	Sphingolipid metabolism	14558	1305	38	6	0.1202822573	ASAH1;CERS2;CERS5;CERS6;KDSR;UGCG	0.5664906312	0.5008178793
Wu2021	high_vs_zero	up	Sphingolipid signaling pathway	14558	1305	103	7	0.8272273689	ASAH1;CERS2;CERS5;CERS6;GNAQ;PPP2CA;RAC3	1	1
Wu2021	high_vs_zero	up	Spinocerebellar ataxia	14558	1305	115	14	0.1479915323	ATG101;BECN1;GNAQ;OMA1;PSMA1;PSMA2;PSMB1;PSMB7;PSMC5;PSMD3;RB1CC1;VDAC1;VDAC3;XBP1	0.6296309476	0.553946528
Wu2021	high_vs_zero	up	Spliceosome	14558	1305	130	10	0.7389968353	DDX5;EIF4A3;HNRNPA1;HSPA2;PCBP1;RBM22;SLU7;SRSF9;WBP11;ZMAT2	0.9742080176	0.9952070993
Wu2021	high_vs_zero	up	Staphylococcus aureus infection	14558	1305	46	7	0.1136803714	CFD;HLA-DRB1;ICAM1;KRT17;KRT18;KRT19;KRT23	0.5603511817	0.4893239938
Wu2021	high_vs_zero	up	Starch and sucrose metabolism	14558	1305	19	3	0.2395500414	ENPP1;G6PC3;GAA	0.7101381939	0.669585658
Wu2021	high_vs_zero	up	Steroid biosynthesis	14558	1305	18	1	0.8157638389	LIPA	1	1
Wu2021	high_vs_zero	up	Steroid hormone biosynthesis	14558	1305	21	4	0.1129824802	COMT;HSD17B8;SRD5A3;UGT2B11	0.5603511817	0.4881179777
Wu2021	high_vs_zero	up	Synaptic vesicle cycle	14558	1305	51	10	0.0138227219	ATP6V0E1;ATP6V1A;ATP6V1B1;ATP6V1C1;ATP6V1E1;ATP6V1G1;ATP6V1H;SLC1A2;SYT1;VAMP2	0.2571914317	0.1674374406
Wu2021	high_vs_zero	up	Systemic lupus erythematosus	14558	1305	77	6	0.699065514	H2AJ;H2BC21;H2BC5;H3-3B;H3-5;HLA-DRB1	0.9644788105	0.9770072244
Wu2021	high_vs_zero	up	T cell receptor signaling pathway	14558	1305	80	2	0.9952326819	GRB2;VAV3	1	1
Wu2021	high_vs_zero	up	TGF-beta signaling pathway	14558	1305	71	10	0.1006253249	BMP7;BMPR1B;MYC;NBL1;PPP2CA;SKP1;SMAD7;TGIF2;THBS1;THSD4	0.5551615581	0.4627091901
Wu2021	high_vs_zero	up	TNF signaling pathway	14558	1305	104	5	0.9621416789	BIRC3;CEBPB;ICAM1;IRF1;SOCS3	1	1
Wu2021	high_vs_zero	up	Taste transduction	14558	1305	22	0	1		1	1
Wu2021	high_vs_zero	up	Terpenoid backbone biosynthesis	14558	1305	21	0	1		1	1
Wu2021	high_vs_zero	up	Th1 and Th2 cell differentiation	14558	1305	70	2	0.9891115435	GATA3;HLA-DRB1	1	1
Wu2021	high_vs_zero	up	Th17 cell differentiation	14558	1305	81	4	0.9399576247	GATA3;HLA-DRB1;IL6ST;RARA	1	1
Wu2021	high_vs_zero	up	Thermogenesis	14558	1305	194	28	0.007972512378	ACSL3;ACTG1;ADCY1;ATP5MC2;ATP5PO;COA3;COX11;COX6A1;COX6C;COX7C;GRB2;MGLL;NDUFA11;NDUFA13;NDUFA2;NDUFA5;NDUFA7;NDUFA8;NDUFA9;NDUFAF2;NDUFAF8;NDUFB8;NDUFC2;NDUFS4;PRKAA2;RHEB;SMARCE1;UQCR11	0.1790748934	0.1248162799
Wu2021	high_vs_zero	up	Thyroid cancer	14558	1305	35	4	0.3848631993	CCND1;GADD45B;GADD45G;MYC	0.8932521632	0.8057810983
Wu2021	high_vs_zero	up	Thyroid hormone signaling pathway	14558	1305	101	13	0.1170596647	ACTG1;ATP1A4;CCND1;ESR1;KAT2A;MED1;MED13;MED13L;MED24;MYC;RHEB;SLC2A1;THRA	0.5603511817	0.4920166751
Wu2021	high_vs_zero	up	Thyroid hormone synthesis	14558	1305	50	5	0.4688995278	ADCY1;ATP1A4;CGA;GNAQ;GPX1	0.9403870407	0.8673197812
Wu2021	high_vs_zero	up	Tight junction	14558	1305	137	16	0.165534538	ACTG1;AFDN;ARPC1B;ARPC4;CCND1;CLDN10;ERBB2;MAP3K1;OCLN;PARD6B;PPP2CA;PRKAA2;RAB8A;TJP3;TUBA3D;TUBA3E	0.6482898106	0.5723399824
Wu2021	high_vs_zero	up	Toll-like receptor signaling pathway	14558	1305	76	2	0.9933549109	CXCL8;TICAM1	1	1
Wu2021	high_vs_zero	up	Toxoplasmosis	14558	1305	94	3	0.9924222819	BIRC3;HLA-DRB1;HSPA2	1	1
Wu2021	high_vs_zero	up	Transcriptional misregulation in cancer	14558	1305	140	18	0.07569000622	BIRC3;BMI1;CDKN1B;CEBPB;CXCL8;DDX5;FUT8;GADD45B;GADD45G;H3-3B;H3-5;IGF1R;MYC;PBX1;PLAT;RARA;SIX1;ZBTB16	0.5200348663	0.4093259078
Wu2021	high_vs_zero	up	Tryptophan metabolism	14558	1305	31	2	0.7798668983	MAOA;MAOB	0.9957296859	1
Wu2021	high_vs_zero	up	Tuberculosis	14558	1305	138	5	0.9957237218	ATP6V1H;CALML5;CEBPB;HLA-DRB1;RAB5C	1	1
Wu2021	high_vs_zero	up	Type I diabetes mellitus	14558	1305	27	2	0.7105026191	HLA-DRB1;PTPRN2	0.9659058263	0.9799939559
Wu2021	high_vs_zero	up	Type II diabetes mellitus	14558	1305	31	5	0.1396980969	INSR;IRS1;IRS2;SOCS2;SOCS3	0.6275668351	0.539027504
Wu2021	high_vs_zero	up	Tyrosine metabolism	14558	1305	17	3	0.1910609514	COMT;MAOA;MAOB	0.6549249189	0.5991807106
Wu2021	high_vs_zero	up	Ubiquitin mediated proteolysis	14558	1305	134	15	0.2194795596	ANAPC11;BIRC3;ELOC;MAP3K1;SKP1;SOCS3;UBB;UBE2B;UBE2D3;UBE2F;UBE2H;UBE2K;UBE2R2;UBE2W;WWP1	0.6818030845	0.6364907229
