pathway	direction	p_value_Wu	q_contrast_Wu	overlap_n_Wu	genes_Wu	p_value_Pal	q_contrast_Pal	overlap_n_Pal	genes_Pal
Amoebiasis	down	0.0001636762647	0.004551758981	18	ACTN4;COL1A1;COL1A2;COL3A1;COL4A1;CXCL1;CXCL2;CXCL3;FN1;GNAS;LAMA4;LAMB1;LAMB3;LAMC1;PIK3R1;PRKACB;SERPINB4;TGFB1	0.006091664562	0.1031999643	10	ACTN1;COL4A1;COL4A2;CXCL2;CXCL3;IL1R2;LAMB1;LAMB3;PIK3R1;PRDX1
Amphetamine addiction	down	0.1683807855	0.585323683	7	CALM1;CAMK2G;CREB5;GNAS;HDAC2;PPP3CA;PRKACB	0.1609779864	0.5328926447	5	CALML3;CALML5;CREB3L2;CREB5;HDAC2
Amyotrophic lateral sclerosis	down	0.6509454396	0.9585670356	29	ATP5F1A;ATP5F1C;BID;CASP1;CHCHD10;COX4I1;COX5A;GPX7;GPX8;HNRNPA3;MAP3K5;NDUFA4L2;NDUFS5;NEFL;NRBF2;NUP93;PFN2;PPP3CA;PSMA7;PSMB2;PSMD7;SDHD;SIGMAR1;TOMM40;TUBA4A;TUBB;TUBB6;UQCRH;WIPI2	0.1989159208	0.5936558051	23	ATP5F1B;ATP5F1C;ATP5MC3;ATP5PO;GPX3;GPX7;HNRNPA1;NDUFA4L2;NDUFB5;NEFH;PSMB1;PSMB2;PSMB3;SDHD;SEC13;TANK;TUBA1B;TUBA1C;TUBA4A;TUBB;TUBB6;UQCRH;UQCRHL
Antigen processing and presentation	down	5.04870293e-08	5.896885022e-06	21	B2M;CALR;CD74;HLA-A;HLA-B;HLA-C;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;HLA-E;HLA-F;LGMN;PDIA3;TAP1;TAP2	0.8501829345	0.9913064176	2	HLA-DQA1;HLA-DRB1
Apelin signaling pathway	down	0.01699415646	0.1575331329	18	ACTA2;CALM1;GNB2;GNG11;GNG12;GNG4;MRAS;MYLK;NOTCH3;PRKACB;RPS6;RPS6KB2;RRAS;RRAS2;SERPINE1;SPHK1;SPP1;TFAM	0.1649856037	0.5430383298	9	CALML3;CALML5;CCN2;JAG1;MRAS;MYLK;NOTCH3;RPS6;SPHK1
Apoptosis	down	0.3937929296	0.7822281322	14	ATM;BID;BIRC3;BIRC5;CFLAR;CTSC;CTSK;CTSZ;FAS;GADD45A;MAP3K5;PARP1;PIK3R1;TUBA4A	0.09634234433	0.4083031235	12	BCL2A1;BIRC3;BIRC5;CTSC;CTSV;GADD45A;HRK;PIK3R1;SEPTIN4;TUBA1B;TUBA1C;TUBA4A
Arachidonic acid metabolism	down	0.5055781455	0.8866595705	4	CBR3;GPX7;GPX8;PTGDS	0.008617144553	0.1344080438	6	AKR1C3;CBR1;CBR3;GPX3;GPX7;PLA2G2A
Arginine and proline metabolism	down	0.7574892647	0.9971376994	3	CKB;ODC1;SRM	0.1961471641	0.5884414923	4	AMD1;ODC1;P4HA1;SMOX
Arginine biosynthesis	down	0.2181072444	0.6368731537	3	ASS1;CPS1;GLS	NA	NA	NA	NA
Arrhythmogenic right ventricular cardiomyopathy	down	0.01138558982	0.1208942628	10	CACNA2D1;CACNB4;DMD;DSC2;ITGA2;ITGA5;ITGB1;ITGB8;TCF7L1;TCF7L2	0.01443738359	0.1732486031	7	CDH2;DMD;DSC2;ITGA6;ITGB8;SGCB;TCF7L1
Asthma	down	3.227247006e-06	0.0001256474834	9	HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5	NA	NA	NA	NA
Autoimmune thyroid disease	down	1.033758428e-10	6.037149221e-08	15	FAS;HLA-A;HLA-B;HLA-C;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;HLA-E;HLA-F	0.3340408329	0.7299643635	2	HLA-DQA1;HLA-DRB1
Autophagy	down	0.5575260727	0.9225043149	13	ATG4B;ATG5;CFLAR;EIF2AK4;IRS2;MRAS;NRBF2;PIK3R1;PRKACB;RPS6KB2;RRAS;RRAS2;WIPI2	0.9269730982	1	5	DAPK1;MRAS;PIK3R1;RRAGD;TANK
Axon guidance	down	0.4489066816	0.835915197	16	BOC;CAMK2G;CFL2;DPYSL2;EPHB2;EPHB6;ITGB1;MET;MYL9;NRP1;PARD3;PIK3R1;PPP3CA;ROCK1;RRAS;UNC5B	0.7868499977	0.978211236	7	BOC;CXCR4;EFNA3;EFNA5;EPHB3;PIK3R1;RGMA
B cell receptor signaling pathway	down	0.9475280367	1	3	LYN;PIK3R1;PPP3CA	0.9765361509	1	1	PIK3R1
Bacterial invasion of epithelial cells	down	0.002023631353	0.03845815654	16	ACTR3B;ARHGAP10;ARPC1B;ARPC2;CAV1;CAV2;CLTB;DNM2;FN1;ITGA5;ITGB1;MAD2L2;MET;PIK3R1;SEPTIN11;WASF2	0.6850134219	0.9296075034	4	ACTR3B;CLTA;PIK3R1;SHC4
Basal cell carcinoma	down	0.34336212	0.7345182348	6	BMP4;FZD1;FZD7;GADD45A;TCF7L1;TCF7L2	0.4952916368	0.8270326387	3	FZD7;GADD45A;TCF7L1
Basal transcription factors	down	0.9245930828	1	2	GTF2F2;TAF3	0.9299849511	1	1	GTF2E2
Base excision repair	down	0.6665068872	0.9640846464	3	PARP1;POLD2;POLD3	0.6319106947	0.9021861507	2	FEN1;PCNA
Bile secretion	down	0.1003593281	0.447977073	6	AQP1;ATP1B3;EPHX1;GNAS;PRKACB;SLC5A1	0.6487264601	0.9103757006	2	AQP1;ATP1B3
Biosynthesis of unsaturated fatty acids	down	0.1034915735	0.447977073	5	ELOVL1;FADS1;HACD1;HACD2;HSD17B12	0.4750019792	0.8210472376	2	ELOVL4;FADS2
Bladder cancer	down	0.611276681	0.9507938619	4	CDK4;EGFR;MMP2;VEGFA	0.0126066302	0.1578569347	7	CDK4;CDKN2A;DAPK1;E2F3;EGFR;ERBB2;MYC
Breast cancer	down	0.2682267694	0.687588575	14	CDK4;CDK6;EGFR;FGF5;FZD1;FZD7;GADD45A;LRP5;LRP6;NOTCH3;PIK3R1;RPS6KB2;TCF7L1;TCF7L2	0.0001063367322	0.006729940974	18	CDK4;CDK6;DLL3;E2F3;EGFR;ERBB2;FZD7;GADD45A;HEY1;HEY2;JAG1;KIT;LRP6;MYC;NOTCH3;PIK3R1;SHC4;TCF7L1
Butanoate metabolism	down	0.1204553348	0.4989072022	4	ACAT1;ACAT2;HMGCS2;OXCT1	0.3827511001	0.763283479	2	ACAT2;OXCT1
C-type lectin receptor signaling pathway	down	0.5452221265	0.9181432061	9	CALM1;CASP1;CLEC7A;LSP1;MRAS;PIK3R1;PPP3CA;RRAS;RRAS2	0.4557921123	0.8158984262	6	CALML3;CALML5;CLEC7A;EGR2;MRAS;PIK3R1
Calcium signaling pathway	down	0.1555424262	0.5677298558	18	CALM1;CAMK2G;CHRM3;EGFR;FGF5;FGFR4;GNAS;HGF;MET;MYLK;NTRK2;ORAI2;PDGFA;PDGFRB;PPP3CA;PRKACB;SPHK1;VEGFA	0.03661953323	0.2875684951	13	CACNA1A;CALML3;CALML5;CHRM3;CXCR4;EGFR;ERBB2;FGFR2;MYLK;NTRK2;SLC25A5;SPHK1;VDAC2
Carbohydrate digestion and absorption	down	0.2231473531	0.6470921065	4	ATP1B3;LCT;PIK3R1;SLC5A1	0.4298658755	0.79871853	2	ATP1B3;PIK3R1
Cardiac muscle contraction	down	0.2117324407	0.6290454612	7	ATP1B3;CACNA2D1;CACNB4;COX4I1;COX5A;TPM2;UQCRH	0.1398683437	0.4973096665	5	ATP1B3;TPM2;TPM4;UQCRH;UQCRHL
Cell adhesion molecules	down	5.787809797e-07	3.380080921e-05	26	CDH3;CLDN1;CNTNAP2;GLG1;HLA-A;HLA-B;HLA-C;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;HLA-E;HLA-F;ITGB1;ITGB8;MPZ;NCAM1;PVR;SDC1;SDC2;VCAN	0.01731184669	0.1955220332	10	CADM1;CDH2;CLDN8;HLA-DQA1;HLA-DRB1;ICAM1;ITGA6;ITGB8;NECTIN1;VCAN
Cell cycle	down	0.009294861799	0.1063979632	21	ATM;CCNB2;CDC20;CDC25B;CDK4;CDK6;CDKN2C;CDKN2D;CHEK1;DBF4;E2F4;GADD45A;HDAC2;MAD2L2;MCM7;ORC6;PKMYT1;PLK1;SFN;SMC3;TGFB1	1.225359601e-08	2.352690434e-06	27	CCNA2;CCNB1;CCNB2;CDC20;CDC45;CDK1;CDK4;CDK6;CDKN2A;CDKN2B;CDKN2C;CHEK1;CHEK2;E2F3;GADD45A;HDAC2;MAD2L1;MCM3;MCM5;MCM6;MCM7;MYC;PCNA;PLK1;PTTG1;SFN;SMC1B
Cellular senescence	down	0.005379471981	0.07662467407	25	ATM;CALM1;CCNB2;CDK4;CDK6;CHEK1;E2F4;FOXM1;GADD45A;HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;IGFBP3;MRAS;MYBL2;PIK3R1;PPP3CA;RRAS;RRAS2;SERPINE1;TGFB1;TGFBR2;ZFP36L2	0.000116839253	0.006729940974	22	CALML3;CALML5;CCNA2;CCNB1;CCNB2;CDK1;CDK4;CDK6;CDKN2A;CDKN2B;CHEK1;CHEK2;E2F3;FOXM1;GADD45A;IGFBP3;MRAS;MYBL2;MYC;PIK3R1;SLC25A5;VDAC2
Central carbon metabolism in cancer	down	0.01842614686	0.1655518426	11	EGFR;G6PD;GLS;IDH2;LDHB;MET;PDGFRB;PFKP;PIK3R1;PKM;SLC7A5	0.002448105896	0.0647534187	10	EGFR;ERBB2;FGFR2;GLS;KIT;LDHB;MYC;PDK1;PFKP;PIK3R1
Chagas disease	down	0.2321574144	0.6523916404	11	C3;CALR;CCL2;CFLAR;FAS;GNAS;IRAK1;PIK3R1;SERPINE1;TGFB1;TGFBR2	0.9643860747	1	2	C3;PIK3R1
Chemical carcinogenesis	down	0.7161543514	0.9777120583	13	BIRC5;CREB5;CYP1B1;EGFR;EPHX1;FGF5;GNAS;HSP90B1;KLF5;PIK3R1;PRKACB;RPS6KB2;VEGFA	0.03783376892	0.2880297586	15	BIRC5;CACNA1A;CBR1;CREB3L2;CREB5;CYP1B1;DLL3;EGFR;EPHX3;GSTP1;JAG1;KLF5;KPNA2;MYC;PIK3R1
Chemokine signaling pathway	down	0.1035563439	0.447977073	18	CCL2;CCL20;CCL28;CX3CL1;CXCL1;CXCL10;CXCL14;CXCL2;CXCL3;GNB2;GNG11;GNG12;GNG4;LYN;PARD3;PIK3R1;PRKACB;ROCK1	0.6746589704	0.9186845555	7	CCL28;CXCL10;CXCL2;CXCL3;CXCR4;PIK3R1;SHC4
Cholesterol metabolism	down	0.08879525113	0.4285655096	6	ABCA1;ANGPTL4;APOE;LRP1;PLTP;TSPO	0.614472623	0.8892870121	2	PLTP;VDAC2
Choline metabolism in cancer	down	0.7295967895	0.986306771	7	EGFR;PDGFA;PDGFRB;PIK3R1;PLPP3;RPS6KB2;WASF2	0.8734318392	0.9948362619	3	EGFR;PIK3R1;PLD1
Cholinergic synapse	down	0.3232455	0.7316759429	9	CAMK2G;CHRM3;CREB5;GNB2;GNG11;GNG12;GNG4;PIK3R1;PRKACB	0.4271775212	0.7962920784	5	CACNA1A;CHRM3;CREB3L2;CREB5;PIK3R1
Chronic myeloid leukemia	down	0.6516286183	0.9585670356	7	CDK4;CDK6;GADD45A;HDAC2;PIK3R1;TGFB1;TGFBR2	0.0493729512	0.3067401843	9	CDK4;CDK6;CDKN2A;E2F3;GADD45A;HDAC2;MYC;PIK3R1;SHC4
Circadian entrainment	down	0.1870599654	0.6048798307	9	CALM1;CAMK2G;GNAS;GNB2;GNG11;GNG12;GNG4;GUCY1A1;PRKACB	0.5221245269	0.8303053169	4	CALML3;CALML5;GUCY1A1;GUCY1A2
Circadian rhythm	down	0.9449464101	1	1	BHLHE41	1	1	0	NA
Citrate cycle (TCA cycle)	down	0.2928351651	0.7111929172	4	DLAT;IDH2;MDH1;SDHD	0.5384548166	0.8303053169	2	MDH1;SDHD
Cocaine addiction	down	0.6237628762	0.9532298678	3	CREB5;GNAS;PRKACB	0.5777156025	0.8564105784	2	CREB3L2;CREB5
Collecting duct acid secretion	down	1	1	0	NA	1	1	0	NA
Colorectal cancer	down	0.4725234653	0.8536049162	9	BIRC5;EGFR;GADD45A;PIK3R1;RPS6KB2;TCF7L1;TCF7L2;TGFB1;TGFBR2	0.1706465056	0.5498186882	8	BIRC5;EGFR;GADD45A;MSH6;MYC;PIK3R1;TCF7L1;TGFA
Complement and coagulation cascades	down	0.009655979533	0.1063979632	10	C1R;C1S;C3;FGA;FGB;FGG;PLAU;PLAUR;PROS1;SERPINE1	0.04413277686	0.3067401843	5	A2M;C1R;C1S;C3;PLAUR
Coronavirus disease	down	0.002389264544	0.04228274223	31	C1R;C1S;C3;CASP1;CCL2;CXCL10;EGFR;FGA;FGB;FGG;IFNAR2;IRAK1;MMP3;NRP1;PIK3R1;RPL13;RPL13A;RPL18A;RPL22L1;RPL4;RPS11;RPS16;RPS17;RPS19;RPS20;RPS27A;RPS29;RPS3;RPS6;RPS7;UBA52	1.113574233e-11	6.414187582e-09	38	C1R;C1S;C3;CXCL10;EGFR;IFNAR2;MX1;MX2;PIK3R1;RPL13;RPL13A;RPL18A;RPL22L1;RPL23;RPL24;RPL27;RPL28;RPL35A;RPL38;RPL4;RPL5;RPL6;RPL7A;RPLP0;RPS11;RPS12;RPS16;RPS19;RPS23;RPS24;RPS25;RPS27A;RPS3;RPS5;RPS6;RPS7;RPSA;UBA52
Cortisol synthesis and secretion	down	0.8499920716	1	3	CREB5;GNAS;PRKACB	0.7736039809	0.9746078538	2	CREB3L2;CREB5
Cushing syndrome	down	0.5455405694	0.9181432061	12	CAMK2G;CDK4;CDK6;CDKN2C;CREB5;EGFR;FZD1;FZD7;GNAS;PRKACB;TCF7L1;TCF7L2	0.1080818222	0.4384164056	11	CDK4;CDK6;CDKN2A;CDKN2B;CDKN2C;CREB3L2;CREB5;E2F3;EGFR;FZD7;TCF7L1
Cysteine and methionine metabolism	down	0.1844664605	0.601834709	6	DNMT1;LDHB;MDH1;PHGDH;PSAT1;SRM	0.02854938518	0.2529914748	6	ADI1;AMD1;LDHB;MDH1;PHGDH;PSAT1
Cytokine-cytokine receptor interaction	down	0.0003884549777	0.009452404456	26	BMP4;CCL2;CCL20;CCL28;CD70;CSF1;CX3CL1;CXCL1;CXCL10;CXCL14;CXCL17;CXCL2;CXCL3;FAS;IFNAR2;IL15RA;IL18;IL20RB;IL27RA;IL32;IL34;LTBR;TGFB1;TGFBR2;TNFRSF11B;TNFRSF19	0.01615859287	0.189945908	13	CCL28;CXCL10;CXCL17;CXCL2;CXCL3;CXCR4;IFNAR2;IL1R2;IL27RA;IL32;IL34;INHBA;LIF
Cytosolic DNA-sensing pathway	down	0.8603310409	1	3	CASP1;CXCL10;IL18	0.5120501964	0.8270326387	3	CXCL10;POLR2F;POLR2H
DNA replication	down	0.139446872	0.5253998275	6	MCM7;POLD2;POLD3;RFC2;RNASEH1;RNASEH2A	0.001628434391	0.04818664224	8	FEN1;MCM3;MCM5;MCM6;MCM7;PCNA;PRIM1;RFC4
Diabetic cardiomyopathy	down	0.1302508125	0.5080372561	22	ATP5F1A;ATP5F1C;CAMK2G;COL1A1;COL1A2;COL3A1;COX4I1;COX5A;CYBA;G6PD;GAPDH;MMP2;NDUFA4L2;NDUFS5;PARP1;PDK3;PIK3R1;SDHD;TBC1D4;TGFB1;TGFBR2;UQCRH	0.2762629232	0.7103903739	13	ATP5F1B;ATP5F1C;ATP5MC3;ATP5PO;GAPDH;NDUFA4L2;NDUFB5;PIK3R1;SDHD;SLC25A5;UQCRH;UQCRHL;VDAC2
Dilated cardiomyopathy	down	0.01842614686	0.1655518426	11	CACNA2D1;CACNB4;DMD;GNAS;ITGA2;ITGA5;ITGB1;ITGB8;PRKACB;TGFB1;TPM2	0.0862294524	0.3896049497	6	DMD;ITGA6;ITGB8;SGCB;TPM2;TPM4
Dopaminergic synapse	down	0.4904123088	0.8652591792	10	CALM1;CAMK2G;CREB5;GNAS;GNB2;GNG11;GNG12;GNG4;PPP3CA;PRKACB	0.5475296895	0.8321295544	6	CACNA1A;CALML3;CALML5;CREB3L2;CREB5;PPP2R3A
Drug metabolism	down	0.701393161	0.9777120583	5	RRM2;TK1;UCK2;UPP1;XDH	0.6743192308	0.9186845555	3	GMPS;GSTP1;HPRT1
ECM-receptor interaction	down	6.390214206e-08	6.219808494e-06	20	COL1A1;COL1A2;COL4A1;COL6A1;COL6A2;COL6A3;COL9A3;FN1;HSPG2;ITGA2;ITGA5;ITGB1;ITGB8;LAMA4;LAMB1;LAMB3;LAMC1;SDC1;SPP1;TNC	0.003643707436	0.07495626726	9	COL2A1;COL4A1;COL4A2;COL6A1;COL6A2;ITGA6;ITGB8;LAMB1;LAMB3
Endocrine and other factor-regulated calcium reabsorption	down	0.1257122368	0.5025622839	6	AP2M1;ATP1B3;CLTB;DNM2;GNAS;PRKACB	0.3529015468	0.7446339612	3	AP2M1;ATP1B3;CLTA
Endocytosis	down	0.3680850824	0.7622754898	25	ACTR3B;AP2M1;ARPC1B;ARPC2;BIN1;CAV1;CAV2;CLTB;DNM2;EGFR;FGFR4;FOLR1;HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;PARD3;PML;SH3GL1;SH3KBP1;SMAP1;TGFBR2;VPS36;VPS4A	0.9618893681	1	9	ACTR3B;AP2M1;CLTA;CXCR4;EGFR;FGFR2;FOLR1;PLD1;SPART
Endometrial cancer	down	0.6544518793	0.96030125	5	EGFR;GADD45A;PIK3R1;TCF7L1;TCF7L2	0.1335086645	0.4867151313	6	EGFR;ERBB2;GADD45A;MYC;PIK3R1;TCF7L1
Epithelial cell signaling in Helicobacter pylori infection	down	0.3245240507	0.7316759429	8	CXCL1;CXCL2;CXCL3;EGFR;LYN;MET;PTPRZ1;TJP1	0.774612016	0.9746078538	3	CXCL2;CXCL3;EGFR
Epstein-Barr virus infection	down	0.0002793062206	0.007414310583	33	B2M;BID;CALR;CDK4;CDK6;CXCL10;FAS;GADD45A;HDAC2;HLA-A;HLA-B;HLA-C;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;HLA-E;HLA-F;IFNAR2;IRAK1;LYN;PDIA3;PIK3R1;PSMD7;SAP30;TAP1;TAP2;VIM	0.2101801083	0.601513566	14	CCNA2;CDK4;CDK6;CXCL10;E2F3;GADD45A;HDAC2;HLA-DQA1;HLA-DRB1;ICAM1;IFNAR2;MYC;PIK3R1;VIM
ErbB signaling pathway	down	0.9577250337	1	4	CAMK2G;EGFR;PIK3R1;RPS6KB2	0.3483728409	0.7431953939	6	EGFR;ERBB2;MYC;PIK3R1;SHC4;TGFA
Estrogen signaling pathway	down	0.4665514512	0.8505667883	11	CALM1;CREB5;EGFR;GNAS;HSP90B1;KRT14;KRT15;KRT16;MMP2;PIK3R1;PRKACB	0.004770790927	0.08587423669	14	CALML3;CALML5;CREB3L2;CREB5;EGFR;KRT10;KRT14;KRT15;KRT16;KRT17;KRT23;PIK3R1;SHC4;TGFA
Ether lipid metabolism	down	0.6665068872	0.9640846464	3	LPCAT2;PLA2G7;PLPP3	0.2792153775	0.7107531368	3	PLA2G2A;PLD1;UGT8
Fanconi anemia pathway	down	0.9031486911	1	3	FANCI;FANCL;USP1	0.6202910903	0.8905847324	3	FANCL;UBE2T;USP1
Fat digestion and absorption	down	0.04587529647	0.3079445188	5	ABCA1;ACAT1;ACAT2;DGAT2;PLPP3	0.1255781632	0.4738969073	3	ACAT2;DGAT2;PLA2G2A
Fatty acid biosynthesis	down	0.1906951462	0.605249812	3	ACSL1;ACSL5;MECR	NA	NA	NA	NA
Fatty acid degradation	down	0.260862536	0.687588575	5	ACAA2;ACAT1;ACAT2;ACSL1;ACSL5	0.8791174606	0.9948362619	1	ACAT2
Fatty acid elongation	down	0.03581462378	0.251996871	6	ACAA2;ELOVL1;HACD1;HACD2;HSD17B12;MECR	0.8051201269	0.9804422687	1	ELOVL4
Fc epsilon RI signaling pathway	down	0.9784807048	1	2	LYN;PIK3R1	0.9646396674	1	1	PIK3R1
Fc gamma R-mediated phagocytosis	down	0.004796089682	0.07181836857	17	ACTR3B;ARPC1B;ARPC2;BIN1;CFL2;DNM2;GSN;LYN;MARCKS;MARCKSL1;MYO10;PIK3R1;PLPP3;RPS6KB2;SPHK1;VASP;WASF2	0.4082200522	0.7709336068	6	ACTR3B;GSN;MYO10;PIK3R1;PLD1;SPHK1
Ferroptosis	down	0.008481608596	0.1031929046	9	ACSL1;ACSL5;ATG5;CP;FTL;HMOX1;PRNP;SLC7A11;STEAP3	0.4076602339	0.7709336068	3	HMOX1;TF;VDAC2
Fluid shear stress and atherosclerosis	down	0.05234552359	0.3219919188	18	ASS1;BMP4;CALM1;CAV1;CAV2;CCL2;CYBA;EDN1;HMOX1;HSP90B1;MAP3K5;MMP2;NQO1;PDGFA;PIK3R1;SDC1;SDC2;VEGFA	0.4785422837	0.8210472376	8	CALML3;CALML5;EDN1;GSTP1;HMOX1;ICAM1;IL1R2;PIK3R1
Focal adhesion	down	2.783961182e-07	2.032291663e-05	38	ACTN4;BIRC3;CAV1;CAV2;COL1A1;COL1A2;COL4A1;COL6A1;COL6A2;COL6A3;COL9A3;EGFR;FLNA;FLNC;FN1;HGF;ITGA2;ITGA5;ITGB1;ITGB8;LAMA4;LAMB1;LAMB3;LAMC1;MET;MYL9;MYLK;PDGFA;PDGFRB;PIK3R1;RASGRF1;ROCK1;SPP1;TLN1;TLN2;TNC;VASP;VEGFA	0.0306464353	0.258525293	16	ACTN1;BIRC3;COL2A1;COL4A1;COL4A2;COL6A1;COL6A2;EGFR;ERBB2;ITGA6;ITGB8;LAMB1;LAMB3;MYLK;PIK3R1;SHC4
Folate biosynthesis	down	0.5596051865	0.9225043149	2	AKR1B1;PTS	0.0001304988213	0.006833392823	7	AKR1B1;AKR1C3;ALPL;CBR1;DHFR;GGH;PTS
FoxO signaling pathway	down	0.3149600723	0.7316759429	13	ATM;CCNB2;CDKN2D;EGFR;GADD45A;HOMER3;IRS2;PIK3R1;PLK1;SGK1;SOD2;TGFB1;TGFBR2	0.1729137651	0.5498186882	10	CCNB1;CCNB2;CDKN2B;EGFR;FBXO32;GADD45A;PIK3R1;PLK1;SGK1;SOD2
Fructose and mannose metabolism	down	0.3407431175	0.7345182348	4	AKR1B1;GMDS;PFKP;TPI1	0.2609570027	0.6991220166	3	AKR1B1;GMDS;PFKP
GABAergic synapse	down	0.1422155753	0.5323967691	8	GABRE;GABRP;GLS;GNB2;GNG11;GNG12;GNG4;PRKACB	0.5604719828	0.8435150821	3	CACNA1A;GABRP;GLS
Galactose metabolism	down	0.0196061742	0.1734849354	6	AKR1B1;GALE;LCT;PFKP;PGM1;UGP2	0.03876219656	0.2899613664	4	AKR1B1;PFKP;PGM1;UGP2
Gap junction	down	0.1494378719	0.5523526406	10	EGFR;GNAS;GUCY1A1;PDGFA;PDGFRB;PRKACB;TJP1;TUBA4A;TUBB;TUBB6	0.02352162291	0.2158826678	9	CDK1;EGFR;GUCY1A1;GUCY1A2;TUBA1B;TUBA1C;TUBA4A;TUBB;TUBB6
Gastric acid secretion	down	0.1823774844	0.601834709	7	ATP1B3;CALM1;CAMK2G;CHRM3;GNAS;MYLK;PRKACB	0.1609779864	0.5328926447	5	ATP1B3;CALML3;CALML5;CHRM3;MYLK
Gastric cancer	down	0.1638119623	0.5738846267	15	EGFR;FGF5;FZD1;FZD7;GADD45A;HGF;LRP5;LRP6;MET;PIK3R1;RPS6KB2;TCF7L1;TCF7L2;TGFB1;TGFBR2	0.03099812484	0.258525293	12	CDKN2B;E2F3;EGFR;ERBB2;FGFR2;FZD7;GADD45A;LRP6;MYC;PIK3R1;SHC4;TCF7L1
Glioma	down	0.2251762438	0.6470921065	9	CALM1;CAMK2G;CDK4;CDK6;EGFR;GADD45A;PDGFA;PDGFRB;PIK3R1	0.002473220853	0.0647534187	11	CALML3;CALML5;CDK4;CDK6;CDKN2A;E2F3;EGFR;GADD45A;PIK3R1;SHC4;TGFA
Glucagon signaling pathway	down	0.442710911	0.8313285274	9	CALM1;CAMK2G;CREB5;GNAS;LDHB;PFKP;PKM;PPP3CA;PRKACB	0.3962489769	0.7660394114	6	CALML3;CALML5;CREB3L2;CREB5;LDHB;PFKP
Glutamatergic synapse	down	0.1706378878	0.5861913321	10	GLS;GNAS;GNB2;GNG11;GNG12;GNG4;HOMER3;PPP3CA;PRKACB;SLC1A3	0.5632834297	0.8449251445	4	CACNA1A;DLGAP1;GLS;PLD1
Glutathione metabolism	down	0.0349802023	0.2491272944	9	CHAC2;G6PD;GPX7;GPX8;IDH2;ODC1;PGD;RRM2;SRM	0.2830165486	0.7107531368	4	GPX3;GPX7;GSTP1;ODC1
Glycerolipid metabolism	down	0.3246570127	0.7316759429	6	AKR1A1;AKR1B1;DGAT2;LPIN1;PLPP3;PNPLA3	0.7736039809	0.9746078538	2	AKR1B1;DGAT2
Glycerophospholipid metabolism	down	0.9350579333	1	4	LPCAT2;LPIN1;PCYT2;PLPP3	0.9298635925	1	2	PLA2G2A;PLD1
Glycine, serine and threonine metabolism	down	0.7578490151	0.9971376994	2	PHGDH;PSAT1	0.4967426888	0.8270326387	2	PHGDH;PSAT1
Glycolysis / Gluconeogenesis	down	0.009655979533	0.1063979632	10	AKR1A1;DLAT;ENO1;GAPDH;GPI;LDHB;PFKP;PGM1;PKM;TPI1	0.1398683437	0.4973096665	5	ENO1;GAPDH;LDHB;PFKP;PGM1
Glycosaminoglycan biosynthesis	down	0.8148922464	1	3	CHPF;CHST3;EXT1	0.7736039809	0.9746078538	2	CHST3;HS3ST1
Glycosaminoglycan degradation	down	0.4602381778	0.8472023857	2	GALNS;HEXA	NA	NA	NA	NA
Glycosphingolipid biosynthesis	down	0.364239731	0.760059286	5	B3GNT3;B3GNT5;HEXA;ST3GAL4;ST8SIA1	0.5964081289	0.8741248912	2	B3GNT5;ST3GAL6
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	down	1	1	0	NA	0.8051201269	0.9804422687	1	PIGZ
Glyoxylate and dicarboxylate metabolism	down	0.2692062614	0.687588575	4	ACAT1;ACAT2;MDH1;PGP	0.517899423	0.8286390768	2	ACAT2;MDH1
GnRH secretion	down	0.7877974759	1	3	KCNN4;PIK3R1;SPP1	0.9250371527	1	1	PIK3R1
GnRH signaling pathway	down	0.6516286183	0.9585670356	7	CALM1;CAMK2G;EGFR;GNAS;MMP14;MMP2;PRKACB	0.7264341117	0.9486155154	4	CALML3;CALML5;EGFR;PLD1
Graft-versus-host disease	down	6.501946653e-10	9.492842114e-08	15	FAS;HLA-A;HLA-B;HLA-C;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;HLA-E;HLA-F	0.3340408329	0.7299643635	2	HLA-DQA1;HLA-DRB1
Growth hormone synthesis, secretion and action	down	0.9345562549	1	6	CREB5;GNAS;IGFBP3;IRS2;PIK3R1;PRKACB	0.7494246455	0.9635459728	5	CREB3L2;CREB5;IGFBP3;PIK3R1;SHC4
