pathway	direction	p_value_Wu	q_contrast_Wu	overlap_n_Wu	genes_Wu	p_value_Pal	q_contrast_Pal	overlap_n_Pal	genes_Pal
Longevity regulating pathway	up	0.2054970782	0.6256798016	11	ADCY1;CREB3L4;EIF4E;HSPA1A;HSPA1B;HSPA2;HSPA6;IGF1R;INSR;IRS1;RPS6KB1	0.02120720455	0.2158826678	14	ADCY1;ADCY9;CREB3L1;CREB3L4;EIF4E;EIF4EBP1;HRAS;HSPA1A;HSPA1B;HSPA2;HSPA6;IRS1;RB1CC1;TSC2
Lysine degradation	up	0.9958912941	1	1	ALDH3A2	0.9646347734	1	2	ALDH2;NSD3
Lysosome	up	0.02520741929	0.2073398995	18	ACP5;AGA;AP1G2;AP3S1;ARSA;ARSG;ASAH1;ATP6AP1;ATP6V1H;CD164;CLTC;CTSO;GAA;GNPTG;GNS;NEU1;SUMF1;TPP1	0.04656158611	0.3067401843	16	ABCA2;ACP2;AP1G1;ASAH1;ATP6AP1;ATP6V1H;CD164;CLN3;CLTCL1;CTSA;CTSD;GNPTG;GNS;LAPTM5;NEU1;TCIRG1
MAPK signaling pathway	up	0.00300472546	0.04874332412	35	BRAF;CACNG4;DUSP1;DUSP16;DUSP4;DUSP5;EFNA1;EGF;ERBB3;ERBB4;FGF10;FGF2;FGFR3;FLNB;GADD45B;GADD45G;GRB2;HSPA1A;HSPA1B;HSPA2;HSPA6;HSPB1;IGF1R;IKBKB;INSR;JUND;KITLG;LAMTOR3;MAP3K1;MAPKAPK3;MAPT;NF1;PLA2G4C;PPM1A;RAC3	0.002605478375	0.06525024105	32	AREG;ARRB1;CACNA1D;CACNG4;CDC42;DUSP1;DUSP4;DUSP5;ERBB4;EREG;FGFR1;FGFR3;FLNB;FOS;GADD45B;GADD45G;HRAS;HSPA1A;HSPA1B;HSPA2;HSPA6;HSPB1;IKBKB;JUN;KITLG;MAP3K1;MAPK3;MAPT;NFATC3;PTPN7;RAC2;TGFB1
Malaria	up	0.9471762128	1	1	THBS1	0.3442840317	0.7399537397	3	SDC1;TGFB1;THBS1
Mannose type O-glycan biosynthesis	up	0.3114005163	0.7316759429	3	B4GALT1;FUT9;RXYLT1	0.7997200511	0.9804422687	1	B4GALT1
Measles	up	0.5338816056	0.9181432061	10	BCL2;CD46;CDKN1B;HSPA1A;HSPA1B;HSPA2;HSPA6;IKBKB;OAS1;TBK1	0.402712047	0.7680865533	10	BCL2L1;CD3D;FOS;HSPA1A;HSPA1B;HSPA2;HSPA6;IKBKB;IRF7;JUN
Melanogenesis	up	0.9283736255	1	4	ADCY1;CREB3L4;CTNNB1;KITLG	0.04792203422	0.3067401843	11	ADCY1;ADCY9;CAMK2B;CREB3L1;CREB3L4;GNAI1;HRAS;KITLG;MAPK3;PLCB1;WNT7B
Melanoma	up	0.08012026182	0.3999165205	9	BRAF;EGF;FGF10;FGF2;GADD45B;GADD45G;IGF1R;MDM2;POLK	0.3106255477	0.7207172061	6	FGFR1;GADD45B;GADD45G;HRAS;MAPK3;RB1
Metabolism of xenobiotics by cytochrome P450	up	0.2835007112	0.698584031	4	AKR7A3;GSTM2;GSTM3;GSTT2B	0.6506742649	0.9103757006	2	AKR7A3;GSTM3
MicroRNAs in cancer	up	0.2495924755	0.6748241003	16	BCL2;BMI1;CCNG1;CDKN1B;EFNA1;ERBB3;EZR;FGFR3;FOXP1;GRB2;IKBKB;IRS1;MDM2;MDM4;RHOA;THBS1	0.7788964347	0.9753137966	10	EZR;FGFR3;HRAS;IKBKB;IRS1;MAPK3;MDM4;PDCD4;THBS1;TIMP3
Mineral absorption	up	0.2783723673	0.696642241	5	ATOX1;ATP1A4;CYBRD1;SLC40A1;STEAP2	0.4927471301	0.8270326387	4	ATP7B;CYBRD1;MT1A;SLC40A1
Mismatch repair	up	0.8842078646	1	1	POLD4	0.8752452699	0.9948362619	1	POLD4
Mitophagy	up	0.1588357205	0.5680292627	9	BECN1;FIS1;GABARAP;NBR1;RHOT1;TBC1D15;TBK1;UBB;UBC	0.3401267383	0.7337565591	7	BCL2L1;CITED2;HRAS;JUN;PINK1;RHOT2;UBC
Morphine addiction	up	0.9579075674	1	2	ADCY1;KCNJ3	0.1875809389	0.5728516522	6	ADCY1;ADCY9;ARRB1;GNAI1;GRK2;KCNJ3
Mucin type O-glycan biosynthesis	up	0.3379399369	0.7345182348	3	GALNT7;ST3GAL1;ST6GALNAC2	0.8178085791	0.9844090862	1	GALNT6
N-Glycan biosynthesis	up	0.93162915	1	2	B4GALT1;FUT8	0.9284537732	1	2	ALG5;B4GALT1
NF-kappa B signaling pathway	up	0.816327333	1	6	BCL10;BCL2;GADD45B;GADD45G;IKBKB;TRAF5	0.3925783348	0.7660394114	8	BCL2L1;CCL4;CCL4L2;EDARADD;GADD45B;GADD45G;IKBKB;TRAF5
NOD-like receptor signaling pathway	up	0.2150577028	0.6311241126	16	BCL2;CARD18;ERBIN;GABARAP;GBP3;GSDMD;IKBKB;OAS1;PRKCD;PYCARD;PYDC1;RHOA;TBK1;TRAF5;TXNIP;VDAC1	0.3023550259	0.7207172061	14	BCL2L1;CAMP;CYBA;GSDMD;IKBKB;IRF7;JUN;MAPK3;NAIP;PLCB1;PYCARD;RBCK1;SHARPIN;TRAF5
Natural killer cell mediated cytotoxicity	up	0.7578983014	0.9971376994	6	BRAF;FCER1G;GRB2;RAC3;SHC2;VAV3	0.9517201941	1	3	HRAS;MAPK3;RAC2
Necroptosis	up	0.433247263	0.8241576599	12	BCL2;CHMP5;GLUD1;GLUL;H2AC15;H2AC20;H2AC6;H2AJ;PLA2G4C;PYCARD;TRAF5;VDAC1	0.335868236	0.7299643635	11	CAMK2B;CHMP2A;CHMP4B;CHMP6;GLUL;H2AC19;H2AJ;PYCARD;RBCK1;SHARPIN;TRAF5
Neuroactive ligand-receptor interaction	up	0.2264045609	0.6470921065	11	AGTR1;CGA;CYSLTR1;KISS1R;NPW;NPY1R;PRLR;PTGER3;S1PR3;TRH;VIPR2	0.03632544729	0.2875684951	11	ADRA2A;AGTR1;CGA;GRIA2;GZMA;NPW;NPY1R;P2RX4;P2RY2;PTGER3;TRH
Neurotrophin signaling pathway	up	0.294706654	0.7111929172	12	ARHGDIB;BCL2;BRAF;FRS2;GRB2;IKBKB;IRAK3;IRS1;MAP3K1;PRKCD;RHOA;SHC2	0.3014281113	0.7207172061	11	ARHGDIB;CAMK2B;CDC42;FRS2;HRAS;IKBKB;IRS1;JUN;MAP3K1;MAPK3;PSEN2
