cohort	contrast	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	library	p_resolution_note
Pal2021_reprocessed	high_vs_low_detected	prerank	cAMP signaling pathway	-0.3411285366372065	-0.9942742767590249	0.5230460921843687	0.8798345423601773	1.0	53/123	36.39%	SOX9;CREB3L2;CALML3;ATP1A1;ATP1B3;CALM2;CALML5;PDE4B;PIK3R1;PPP1CC;RHOA;PLD1;NFATC1;CREB5;GNAI3;ATP2B4;RAP1A;EDN1;RAF1;GNAS;PPP1R1B;AFDN;RAC3;ACOX1;FXYD1;PPP1CA;CNGA1;PPP1CB;GHRL;CREB3;ORAI1;GNAI2;CAMK2D;PRKACA;PPARA;PAK1;ABCC4;TIAM1;MAP2K1;NFKBIA;PTCH1;PIK3CA;ADCY4;MAP2K2;NFKB1;MYL9;AKT2;CALM1;MAPK1;CAMK2G;RELA;PDE4D;PPP1R12A	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Relaxin signaling pathway	-0.3458220505197611	-0.9934503433756969	0.524	0.8780978173893824	1.0	49/95	43.85%	CREB3L2;ATF4;COL4A2;GNG5;COL4A1;PIK3R1;SHC4;GNB2;GNG12;EGFR;CREB5;GNAI3;EDN1;RAF1;GNAS;VEGFA;CREB3;GNA15;KRAS;GNAI2;PRKACA;GNB4;MAP2K1;NFKBIA;MAPK12;SMAD2;GNB5;PIK3CA;TGFBR2;PRKCA;ADCY4;MAPK13;MAP2K2;TGFBR1;NFKB1;SHC1;AKT2;MAPK1;RELA;MAP2K7;MAPK14;ACTA2;SOS2;GNB1;CREB1;ATF2;PIK3R3;GNG7;ADCY3	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Longevity regulating pathway	-0.3438257730353912	-0.9920188041873449	0.5145145145145145	0.8786750142029782	1.0	34/86	34.16%	CRYAB;HDAC2;SOD1;RHEB;CREB3L2;ATF4;SOD2;PIK3R1;SESN3;HDAC1;ATG101;CREB5;ADIPOR1;EIF4E2;BAX;FOXO3;PRKAA1;IRS2;APPL1;EIF4EBP2;ATG5;CREB3;KRAS;PRKACA;HSPA8;PIK3CA;ADCY4;PRKAA2;CAT;PRKAB2;NFKB1;AKT1S1;PRKAG2;AKT2	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Adipocytokine signaling pathway	-0.35779244434604973	-0.9881409962731585	0.5331325301204819	0.8885224167439804	1.0	22/48	37.76%	STAT3;TNFRSF1A;ADIPOR1;ACSL4;PRKAA1;IRS2;ACSL3;ACSL1;PPARA;SLC2A1;NFKBIA;PRKAA2;PTPN11;PRKAB2;NFKB1;PCK2;PRKAG2;AKT2;NFKBIE;RELA;NFKBIB;IKBKG	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Human cytomegalovirus infection	-0.3345894193014253	-0.9870029908300968	0.567	0.887838319284296	1.0	77/177	38.69%	CDKN2A;CDK4;CALR;RHEB;CREB3L2;CALML3;ATF4;MYC;CALM2;CALML5;CYCS;CDK6;GNG5;PIK3R1;CCND1;STAT3;CXCR4;E2F3;RHOA;GNB2;GNG12;EGFR;PDIA3;NFATC1;TNFRSF1A;CREB5;AKAP13;GNAI3;BAX;ITPR2;RAF1;ITGAV;TAP1;GNAS;BID;CDKN1A;HLA-F;PDGFRA;VEGFA;RAC3;TAP2;CREB3;KRAS;GNAI2;ITPR3;PRKACA;E2F2;GNB4;ELK1;MAP2K1;NFKBIA;MAPK12;CGAS;FAS;GNB5;PIK3CA;PRKCA;ADCY4;PPP3CA;MAPK13;MAP2K2;GSK3B;NFKB1;ARHGEF1;GNAQ;AKT2;CRK;CALM1;MAPK1;RELA;CTNNB1;RPS6KB2;ARHGEF12;MAPK14;IKBKG;HLA-E;SOS2	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Vibrio cholerae infection	-0.3590747038008161	-0.9860797110132292	0.5261044176706827	0.8862159128892179	1.0	17/44	30.32%	SEC61B;SEC61G;ARF1;KDELR2;ERO1A;KDELR3;KDELR1;PDIA4;GNAS;ATP6V1G1;ATP6V1A;PRKACA;ATP6V1B2;SEC61A1;ACTG1;ATP6V1E2;PRKCA	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Oxytocin signaling pathway	-0.341307391119542	-0.9847978438697229	0.556	0.886197225833631	1.0	46/100	36.39%	CALML3;EEF2;GUCY1A1;CALM2;CALML5;RCAN1;MYL6B;CCND1;PPP1CC;RHOA;EGFR;NFATC1;GUCY1A2;GNAI3;ITPR2;PRKAA1;RAF1;MYLK;GNAS;CDKN1A;GUCY1B1;PPP1CA;PPP1CB;RYR1;KRAS;GNAI2;ITPR3;CAMK2D;PRKACA;ELK1;MAP2K1;ACTG1;PRKCA;ADCY4;PPP3CA;PRKAA2;MAP2K2;PRKAB2;MEF2C;MYL9;GNAQ;PRKAG2;CALM1;MAPK1;CAMK2G;PPP1R12A	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Lysine degradation	-0.35566004037563	-0.9847899614332666	0.5562248995983936	0.8811445799122091	1.0	32/55	43.01%	ACAT2;PLOD1;ACAT1;SUV39H2;ALDH7A1;EZH2;KMT2A;HADHA;PLOD2;COLGALT1;HADH;BBOX1;KMT2E;SETMAR;ALDH9A1;SETD7;ASH1L;CAMKMT;ALDH1B1;SMYD2;DHTKD1;GCDH;NSD2;SETD2;PLOD3;ECHS1;PRDM2;TMLHE;KMT5C;EHMT2;KMT2C;AADAT	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Primary immunodeficiency	-0.40309198343607794	-0.9846057816348839	0.5461293743372216	0.8768257786892429	1.0	6/17	22.94%	RFXANK;TAP1;DCLRE1C;UNG;TAP2;ORAI1	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Olfactory transduction	-0.39325425307788	-0.9841114881330525	0.5239583333333333	0.8736431582129855	1.0	12/21	43.85%	CALML3;CALM2;CALML5;CAMK2D;PRKACA;CALM1;CAMK2G;RGS2;GNB1;NCALD;GNG7;ADCY3	KEGG_2021_Human	zero means below permutation resolution, not exact zero
