cohort	contrast	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	library	p_resolution_note
Wu2021	high_vs_low_detected	prerank	Spliceosome	-0.5437341483322699	-1.7047044154174529	0.0	0.005091348919122621	0.063	65/130	19.80%	RBM17;SRSF4;HNRNPA3;SF3B5;CWC15;PRPF40A;SF3A3;SRSF7;PRPF38A;TXNL4A;SNRPD1;PRPF38B;SNRPG;SNU13;SNRPC;PHF5A;MAGOH;SF3A2;SRSF10;RBM25;RP9;SF3B2;LSM4;SNRNP70;CDC5L;SRSF8;RBM8A;LSM2;PPIE;PPIH;HNRNPU;BUD31;THOC3;SNRPA1;SNW1;TRA2B;DHX38;SNRNP40;U2SURP;SNRPA;LSM7;TCERG1;SRSF9;SNRPD2;ACIN1;PRPF18;DDX46;ALYREF;SNRPB;PPIL1;PCBP1;SNRPB2;HNRNPC;SNRPF;LSM6;PRPF31;SMNDC1;SF3B3;USP39;CDC40;PRPF6;SYF2;PQBP1;U2AF2;SNRPD3	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Pyruvate metabolism	-0.6032967706999863	-1.684974919019878	0.0	0.006492067448045558	0.085	17/34	21.11%	LDHB;PKM;MDH2;MDH1;ACYP2;AKR1A1;ME1;ACAT1;LDHA;PDHA1;DLAT;ACAT2;FH;ME2;GRHPR;ADH5;ALDH7A1	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Terpenoid backbone biosynthesis	-0.6356081979193328	-1.6231436524231584	0.004357298474945534	0.01600010179689063	0.207	14/21	29.43%	PDSS2;FDPS;MVD;ACAT1;ACAT2;IDI1;DHDDS;ICMT;PDSS1;NUS1;HMGCS1;FNTA;MVK;HMGCS2	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Cell adhesion molecules	-0.5266356844697572	-1.6172493837257627	0.0	0.01618095646541373	0.221	32/90	18.08%	HLA-A;HLA-E;HLA-B;ITGB1;GLG1;HLA-DMA;VCAN;HLA-DPB1;HLA-F;CDH3;HLA-DQA2;HLA-C;HLA-DPA1;HLA-DRA;HLA-DQB1;PTPRF;MPZL1;SDC1;HLA-DQA1;HLA-DRB5;ITGB8;HLA-DMB;PVR;CD276;CLDN1;NCAM1;CD58;HLA-DOB;ITGA6;CNTNAP2;CD99;SDC2	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Coronavirus disease	-0.501927399601208	-1.5890526414462884	0.0	0.023815402064565748	0.314	65/180	18.35%	RPL18A;RPL4;RPS19;RPS3;RPS16;UBA52;RPS27A;EGFR;RPS7;C1S;RPL13;RPL28;RPS8;RPL18;RPS21;RPL11;RPS11;RPS5;RPL37;RPS29;RPS25;RPS2;RPSA;RPS6;RPLP0;RPS9;RPL37A;C1R;RPS28;RPL10A;RPL22;C3;RPL13A;RPL21;RPLP2;PIK3R1;RPLP1;RPL5;RPS17;RPL30;IRAK1;RPL17;IFNAR2;IRF3;RPS10;RPS18;STAT1;JAK1;RPL27A;RPL10;RPL6;CASP1;IFNAR1;TNFRSF1A;NRP1;RPL15;RPS20;RPS12;RPL36A;RPL22L1;CCL2;TMPRSS2;NFKBIB;MAPK13;FAU	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Protein export	-0.6050035093700018	-1.5804071426798831	0.008556149732620321	0.02610212685296668	0.353	11/23	10.43%	SRPRA;SEC11A;SEC61B;SPCS2;SEC61A1;SEC61G;SEC63;SEC11C;SRPRB;SPCS3;OXA1L	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Phagosome	-0.5066846537730898	-1.5753049571350621	0.0	0.026604090830908343	0.369	37/118	11.53%	CALR;HLA-A;DYNC1H1;HLA-E;CYBA;HLA-B;TAP1;ITGB1;TUBB;HLA-DMA;HLA-DPB1;HLA-F;DYNC1LI2;HLA-DQA2;HLA-C;C1R;HLA-DPA1;SEC61B;C3;HLA-DRA;TUBB6;HLA-DQB1;SEC61A1;RAC1;TUBA1C;HLA-DQA1;HLA-DRB5;MRC2;SEC61G;HLA-DMB;TUBA4A;ATP6V0B;LAMP1;TAP2;ITGA2;TUBA1B;TUBB4B	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Bacterial invasion of epithelial cells	-0.5165913727772198	-1.569046601716302	0.0010080645161290322	0.02777534011277223	0.396	30/72	23.00%	WASF2;CAV2;ARPC2;CAV1;ITGB1;ACTR3B;ARPC5L;CLTB;MAD2L2;MET;ARHGAP10;PIK3R1;ARPC1B;CLTA;RAC1;DNM2;ACTR3;ACTR2;FN1;ARPC1A;SEPTIN11;BCAR1;VCL;DNM1;SEPTIN6;CDC42;CBL;ITGA5;SEPTIN3;HCLS1	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Central carbon metabolism in cancer	-0.530100855206397	-1.5636712294962336	0.0010183299389002036	0.028748846009386375	0.418	23/54	24.43%	EGFR;LDHB;PKM;IDH2;PFKP;LDHA;MET;G6PD;PFKL;PIK3R1;PGAM1;PDHA1;GLS;SLC7A5;HIF1A;AKT1;MAP2K2;SLC1A5;MTOR;TIGAR;MAP2K1;HK1;AKT3	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Epstein-Barr virus infection	-0.49080783293119673	-1.5577716091156613	0.0	0.02976864634401885	0.445	80/173	27.61%	CALR;HLA-A;VIM;CDK6;HLA-E;HLA-B;TAP1;PDIA3;PSMD7;HLA-DMA;HLA-DPB1;BID;HLA-F;B2M;PSMD8;HLA-DQA2;HLA-C;HDAC2;HLA-DPA1;CDK4;HLA-DRA;CYCS;HLA-DQB1;PIK3R1;GADD45A;ADRM1;RAC1;HLA-DQA1;HLA-DRB5;IRAK1;IFNAR2;PSMD2;PSMD1;PSMC3;PSMC1;HLA-DMB;SEM1;IRF3;BAX;PSMC4;FAS;TAP2;SNW1;STAT1;TRADD;NFKB2;JAK1;LYN;IFNAR1;AKT1;BAK1;CASP8;SAP30;CD58;HLA-DOB;HDAC1;SKP2;NFKBIB;MAPK13;CCND3;MAP2K7;MAP2K3;APAF1;EIF2AK2;RELB;MAVS;E2F3;RUNX3;MAPK12;CCNA2;TAPBP;AKT3;E2F2;BCL2L11;PSMD14;FADD;CCND2;MAP2K6;PSMD13;PSMD6	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Citrate cycle (TCA cycle)	-0.5632674682849227	-1.5372865447552202	0.011578947368421053	0.03856756563851807	0.551	11/27	15.78%	MDH2;IDH2;SDHB;MDH1;SDHD;PDHA1;DLAT;SDHA;SUCLG1;ACO2;FH	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	p53 signaling pathway	-0.5092875476439367	-1.5302540841949273	0.0	0.04075947500886335	0.585	25/69	14.94%	CD82;CDK6;SESN3;SIVA1;BID;EI24;SFN;CDK4;STEAP3;CHEK1;CYCS;GADD45A;PERP;TP53I3;SERPINB5;ATM;CCNB2;BAX;FAS;AIFM2;ZMAT3;CDKN2A;GTSE1;RRM2;CASP8	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Protein processing in endoplasmic reticulum	-0.4831348793131689	-1.5216070223898546	0.0	0.04471340665049617	0.626	58/160	15.40%	RRBP1;DDOST;CALR;P4HB;CKAP4;PDIA6;EIF2AK4;CRYAB;HSP90B1;DNAJC3;PDIA3;RAD23A;FBXO2;SSR3;SEC61B;LMAN1;PRKCSH;ERO1A;MAN1A2;SSR2;SEC61A1;RPN1;UBE2J2;UFD1;BAG2;PREB;DNAJB11;GANAB;UBXN1;SEC61G;NFE2L2;SEC63;TUSC3;CAPN1;BAX;STT3A;MAP3K5;DAD1;NSFL1C;STUB1;SAR1A;HSPBP1;HERPUD1;MOGS;ERLEC1;RPN2;LMAN2;SELENOS;SSR4;UBE2G2;DNAJC5;HYOU1;UBXN2A;PDIA4;BAK1;SEC13;SSR1;UBE2J1	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Leishmaniasis	-0.5121877809551927	-1.5175991842982028	0.0	0.045288305565403725	0.642	25/59	24.52%	CYBA;ITGB1;HLA-DMA;HLA-DPB1;HLA-DQA2;HLA-DPA1;C3;HLA-DRA;HLA-DQB1;HLA-DQA1;HLA-DRB5;IRAK1;HLA-DMB;MARCKSL1;STAT1;JAK1;HLA-DOB;NFKBIB;MAPK13;TGFB2;IFNGR2;EEF1A1;ITGB2;MAPK12;TGFB1	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Ferroptosis	-0.5320556709506289	-1.4944201999202893	0.009365244536940686	0.059877131654470256	0.77	14/36	17.06%	FTL;PRNP;ATG5;STEAP3;VDAC2;LPCAT3;SLC3A2;ACSL5;GCLM;MAP1LC3B;ACSL1;HMOX1;SLC7A11;PCBP1	KEGG_2021_Human	zero means below permutation resolution, not exact zero
