dataset	cancer	feature_name	metabolite_standard_name	kegg_id	hmdb_id	metabolite_key	identity_confidence	super_pathway	sub_pathway	n_tumor	n_normal	missing_rate_tumor_raw	missing_rate_normal_raw	missing_rate_tumor_processed	missing_rate_normal_processed	tumor_mean_processed	normal_mean_processed	tumor_sd_processed	normal_sd_processed	author_log2_fc_tumor_vs_normal	wilcoxon_p	rank_biserial_tumor_vs_normal	hedges_g	hedges_g_variance	hedges_g_se	hedges_g_ci_lower	hedges_g_ci_upper	analysis_design	wilcoxon_fdr	duplicate_metabolite_key_within_dataset	meta_eligible	high_missing_flag
PRAD	PRAD	glycerol 3-phosphate (G3P)	glycerol 3-phosphate (G3P)	C00093	HMDB00126	KEGG:C00093	HIGH_ID	Lipid	Glycerolipid Metabolism	91	46	0.0	0.0	0	0	0.0177409060808987	-0.147636085553313	0.633422718397405	0.751603069074492	0.0974583102569161	0.0714519775151911	0.189202102245581	0.243596031746294	0.0329447072146058	0.181506769060015	-0.112157235611336	0.599349299103925	Unpaired; author supplied processed values; no new transformation	0.26575242903971	No	Yes	No
PRAD	PRAD	glycerophosphoethanolamine	glycerophosphoethanolamine	C01233	HMDB00114	KEGG:C01233	HIGH_ID	Lipid	Glycerolipid Metabolism	91	46	0.021978021978022	0.0217391304347826	0	0	0.0756993995493724	-0.490402870569772	1.07207536890557	1.08030473105682	0.637191428174823	0.0073127831636303	0.281414237935977	0.523759858291012	0.0337293253258265	0.183655452752774	0.163795170895575	0.88372454568645	Unpaired; author supplied processed values; no new transformation	0.0613933656295477	No	Yes	No
PRAD	PRAD	glycerophosphorylcholine (GPC)	glycerophosphorylcholine (GPC)	C00670	HMDB00086	KEGG:C00670	HIGH_ID	Lipid	Glycerolipid Metabolism	91	46	0.0	0.0	0	0	0.0351507259137797	-0.150793273320219	0.733529889262024	0.45151684812678	0.323724453465987	0.10226787619574	0.171524128045867	0.283082576038661	0.0330206076458983	0.181715733072011	-0.07308026078248	0.639245412859803	Unpaired; author supplied processed values; no new transformation	0.315544472706514	No	Yes	No
PRAD	PRAD	glycine	glycine	C00037	HMDB00123	KEGG:C00037	HIGH_ID	Amino acid	Glycine, Serine and Threonine Metabolism	91	46	0.0	0.0	0	0	-0.00161468162464	-0.23378248031901	0.456614761095685	0.37364821548512	0.260864823668973	0.0055474388717105	0.290969899665552	0.535998437536417	0.0337766608582516	0.183784278049706	0.175781252558994	0.89621562251384	Unpaired; author supplied processed values; no new transformation	0.0556284842413197	No	Yes	No
PRAD	PRAD	glycylisoleucine	glycylisoleucine	NA	HMDB0028844	HMDB:HMDB0028844	HIGH_ID	Peptide	Dipeptide	91	46	0.494505494505495	0.630434782608696	0	0	-1.10568256068494	-1.22251828366686	0.931133833757906	0.977798646747129	0.0712980162232538	0.381651104646643	0.084089823220258	0.122694891029426	0.032783083162059	0.181060992933484	-0.232184655120202	0.477574437179054	Unpaired; author supplied processed values; no new transformation	0.640818831522968	No	Yes	Yes
PRAD	PRAD	glycylleucine	glycylleucine	C02155	HMDB00759	KEGG:C02155	HIGH_ID	Peptide	Dipeptide	91	46	0.043956043956044	0.0869565217391304	0	0	-0.282518596350957	-0.316378036673494	0.790786921446135	0.898876016031465	-0.0300501954568852	0.796754599342525	0.0272336359292882	0.0406464600053652	0.0327341711125198	0.180925871871658	-0.313968248863085	0.395261168873816	Unpaired; author supplied processed values; no new transformation	0.929024886999219	No	Yes	No
PRAD	PRAD	glycylproline	glycylproline	NA	HMDB00721	HMDB:HMDB00721	HIGH_ID	Peptide	Dipeptide	91	46	0.032967032967033	0.0434782608695652	0	0	-0.20913116608248	-0.0990865616089296	0.759751132159877	0.866018251916994	-0.172105741785816	0.413278940640842	-0.0860009555661729	-0.137347896099829	0.032796989761615	0.181099391941594	-0.492302704305353	0.217606912105694	Unpaired; author supplied processed values; no new transformation	0.669030033952216	No	Yes	No
PRAD	PRAD	glycyltyrosine	glycyltyrosine	NA	HMDB28853	HMDB:HMDB28853	HIGH_ID	Peptide	Dipeptide	91	46	0.307692307692308	0.521739130434783	0	0	-0.907294301877693	-1.20061892722182	1.02922479565198	1.10387789458378	0.258367121228678	0.119077807757905	0.15910176779742	0.276564424514006	0.0330072942738183	0.181679096964451	-0.0795266055363171	0.63265545456433	Unpaired; author supplied processed values; no new transformation	0.341167369846062	No	Yes	Yes
PRAD	PRAD	guanine	guanine	C00242	HMDB00132	KEGG:C00242	HIGH_ID	Nucleotide	Purine Metabolism, Guanine containing	91	46	0.0	0.0	0	0	-0.115140444511037	-0.0066559142055312	0.674450157056776	0.430372201760812	-0.0211749205293201	0.291369770680388	-0.110845676063067	-0.178566249457551	0.0328445133414773	0.181230553002184	-0.533778133341831	0.176645634426729	Unpaired; author supplied processed values; no new transformation	0.58112976362221	No	Yes	No
PRAD	PRAD	guanosine	guanosine	C00387	HMDB00133	KEGG:C00387	HIGH_ID	Nucleotide	Purine Metabolism, Guanine containing	91	46	0.0	0.0	0	0	-0.20313545839567	0.0115328596612854	0.348763756854134	0.380341106646279	-0.222498915422476	0.0010575526550013	-0.343526039178213	-0.593644204695471	0.0340143218682043	0.184429720674853	-0.955126457218183	-0.23216195217276	Unpaired; author supplied processed values; no new transformation	0.0190888254227747	No	Yes	No
