dataset	cancer	feature_name	metabolite_standard_name	kegg_id	hmdb_id	metabolite_key	identity_confidence	super_pathway	sub_pathway	hedges_g	hedges_g_variance	hedges_g_se	effect_fdr	max_input_raw_missing_rate	source_type	source_effects
PRAD	PRAD	3-phosphoglycerate	3-phosphoglycerate	C00597	HMDB00807	KEGG:C00597	HIGH_ID	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	-0.64839105109134	0.0342624879753824	0.185101291122948	0.0102244993315713	0.021978021978022	single_dataset	PRAD
PRAD	PRAD	4-androsten-3beta,17beta-diol disulfate (1)	4-androsten-3beta,17beta-diol disulfate (1)	C04295	HMDB03818	KEGG:C04295	HIGH_ID	Lipid	Sterol/Steroid	-0.156803273125763	0.0328178759729285	0.181157047814675	0.684774956594867	0.391304347826087	single_dataset	PRAD
PRAD	PRAD	4-guanidinobutanoate	4-guanidinobutanoate	C01035	HMDB03464	KEGG:C01035	HIGH_ID	Amino Acid	Guanidino and Acetamido Metabolism	-0.0579425989867524	0.0327403945069226	0.180943069795233	0.959067418622861	0.58695652173913	single_dataset	PRAD
PRAD	PRAD	4-hydroxy-2-oxoglutaric acid	4-hydroxy-2-oxoglutaric acid	C01127	HMDB02070	KEGG:C01127	HIGH_ID	Lipid	Fatty Acid, Dicarboxylate	-0.255870673477623	0.032967082305348	0.181568395667715	0.639247204942103	0.791208791208791	single_dataset	PRAD
PRAD	PRAD	4-hydroxybutyrate (GHB)	4-hydroxybutyrate (GHB)	C00989	HMDB00710	KEGG:C00989	HIGH_ID	Lipid	Fatty Acid, Monohydroxy	0.382794935144248	0.0332629296076333	0.182381275375608	0.180329040681746	0.0652173913043478	single_dataset	PRAD
PRAD	PRAD	4-vinylphenol sulfate	4-vinylphenol sulfate	C05627	HMDB04072	KEGG:C05627	HIGH_ID	Xenobiotics	Benzoate Metabolism	-0.191942891252489	0.032862601546065	0.181280449983072	0.799419888569866	0.802197802197802	single_dataset	PRAD
PRAD	PRAD	5,6-dihydrouracil	5,6-dihydrouracil	C00429	HMDB00076	KEGG:C00429	HIGH_ID	Nucleotide	Pyrimidine Metabolism, Uracil containing	0.269587885462699	0.032993388241269	0.181640822067257	0.506907199958061	0.152173913043478	single_dataset	PRAD
PRAD	PRAD	5-methylthioadenosine (MTA)	5-methylthioadenosine (MTA)	C00170	HMDB01173	KEGG:C00170	HIGH_ID	Amino acid	Polyamine metabolism	0.408934608969037	0.0333384608194602	0.182588227494163	0.148928416145788	0.0	single_dataset	PRAD
PRAD	PRAD	5-oxoproline	5-oxoproline	C01879	HMDB00267	KEGG:C01879	HIGH_ID	Amino acid	Glutathione Metabolism	0.414112361324293	0.0333540138610256	0.182630813010909	0.208333677845045	0.0	single_dataset	PRAD
PRAD	PRAD	6'-sialyllactose	6'-sialyllactose	G00265	HMDB06569	KEGG:G00265	HIGH_ID	Carbohydrate	Fructose, mannose, galactose, starch, and sucrose metabolism	-0.0165346968784156	0.0327291392201471	0.18091196538689	0.94581444602517	0.659340659340659	single_dataset	PRAD
PRAD	PRAD	6-sialyl-N-acetyllactosamine	6-sialyl-N-acetyllactosamine	NA	HMDB06584	HMDB:HMDB06584	HIGH_ID	Carbohydrate	Aminosugar Metabolism	-0.110921876661244	0.0327730453023412	0.181033271257913	0.696410949386568	0.21978021978022	single_dataset	PRAD
PRAD	PRAD	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	C17337	HMDB12458	KEGG:C17337	HIGH_ID	Lipid	Sterol/Steroid	-0.0634087039444681	0.0327428153790342	0.180949759267688	0.929024886999219	0.41304347826087	single_dataset	PRAD
PRAD	PRAD	acetylcarnitine	acetylcarnitine	C02571	HMDB00201	KEGG:C02571	HIGH_ID	Lipid	Carnitine Metabolism	-0.0433674533414291	0.0327350054238276	0.180928177528619	0.998181718342194	0.0	single_dataset	PRAD
PRAD	PRAD	acetylcholine	acetylcholine	C01996	HMDB00895	KEGG:C01996	HIGH_ID	Lipid	Neurotransmitter	-0.23796000270308	0.0329348018722843	0.181479480581922	0.63455112977131	0.021978021978022	single_dataset	PRAD
PRAD	PRAD	adenine	adenine	C00147	HMDB00034	KEGG:C00147	HIGH_ID	Nucleotide	Purine Metabolism, Adenine containing	0.3524876035895	0.0331815994919844	0.182158171631097	0.352840405259095	0.0	single_dataset	PRAD
PRAD	PRAD	adenosine	adenosine	C00212	HMDB00050	KEGG:C00212	HIGH_ID	Nucleotide	Purine Metabolism, Adenine containing	-0.148968333821728	0.0328091325350404	0.181132914002509	0.775873965784734	0.0	single_dataset	PRAD
PRAD	PRAD	adenosine 5'-diphosphate (ADP)	adenosine 5'-diphosphate (ADP)	C00008	HMDB01341	KEGG:C00008	HIGH_ID	Nucleotide	Purine Metabolism, Adenine containing	-0.2777545902405	0.0330097020529895	0.181685723305353	0.276633437459545	0.131868131868132	single_dataset	PRAD
PRAD	PRAD	adenosine 5'-monophosphate (AMP)	adenosine 5'-monophosphate (AMP)	C00020	HMDB00045	KEGG:C00020	HIGH_ID	Nucleotide	Purine Metabolism, Adenine containing	-0.126315331256956	0.032786373405219	0.18107007871324	0.569124882874316	0.0	single_dataset	PRAD
PRAD	PRAD	adenosine 5'-triphosphate (ATP)	adenosine 5'-triphosphate (ATP)	C00002	HMDB00538	KEGG:C00002	HIGH_ID	Nucleotide	Purine Metabolism, Adenine containing	-0.109655470971272	0.0327720258118007	0.181030455481393	0.808475677628386	0.239130434782609	single_dataset	PRAD
PRAD	PRAD	adenosine 5'diphosphoribose	adenosine 5'diphosphoribose	C00301	HMDB01178	KEGG:C00301	HIGH_ID	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	-0.380707574771234	0.0332571131664512	0.182365328849678	0.240069407561494	0.142857142857143	single_dataset	PRAD
PRAD	PRAD	adrenate (22:4n6)	adrenate (22:4n6)	C16527	HMDB02226	KEGG:C16527	HIGH_ID	Lipid	Long Chain Fatty Acid	-0.116425992617393	0.0327776122696219	0.181045884431604	0.643102645803011	0.282608695652174	single_dataset	PRAD
PRAD	PRAD	agmatine	agmatine	C00179	HMDB01432	KEGG:C00179	HIGH_ID	Amino acid	Polyamine metabolism	0.198383449691951	0.0328717764351501	0.181305754004527	0.720841063327253	0.130434782608696	single_dataset	PRAD
PRAD	PRAD	alanine	alanine	C00041	HMDB00161	KEGG:C00041	HIGH_ID	Amino acid	Alanine and Aspartate Metabolism	0.388193339412331	0.0332781197769472	0.182422914615865	0.233524004251455	0.0	single_dataset	PRAD
PRAD	PRAD	alanylleucine	alanylleucine	NA	HMDB28691	HMDB:HMDB28691	HIGH_ID	Peptide	Dipeptide	0.152787253483974	0.0328133383027249	0.181144523247944	0.63455112977131	0.434782608695652	single_dataset	PRAD
PRAD	PRAD	alanylphenylalanine	alanylphenylalanine	NA	NA	NAME:alanylphenylalanine	MODERATE_NAME_ONLY	Peptide	Dipeptide	-0.0802362995054751	0.0327516372769262	0.180974134275941	0.815605024724815	0.505494505494505	single_dataset	PRAD
PRAD	PRAD	alanylvaline	alanylvaline	NA	NA	NAME:alanylvaline	MODERATE_NAME_ONLY	Peptide	Dipeptide	0.318957693552779	0.033099433432102	0.181932496910536	0.159251374944644	0.739130434782609	single_dataset	PRAD
PRAD	PRAD	alpha-hydroxyisovalerate	alpha-hydroxyisovalerate	NA	HMDB00407	HMDB:HMDB00407	HIGH_ID	Amino acid	Valine, leucine and isoleucine metabolism	-0.377011171666854	0.0332468911448214	0.182337300475853	0.159251374944644	0.131868131868132	single_dataset	PRAD
PRAD	PRAD	alpha-ketoglutarate	alpha-ketoglutarate	C00026	HMDB00208	KEGG:C00026	HIGH_ID	Energy	TCA Cycle	-0.0117719300161879	0.0327286471841451	0.180910605504888	0.98027091819487	0.456521739130435	single_dataset	PRAD
PRAD	PRAD	alpha-tocopherol	alpha-tocopherol	C02477	HMDB01893	KEGG:C02477	HIGH_ID	Cofactors and Vitamins	Tocopherol Metabolism	0.0578443641337205	0.0327403529948229	0.180942955084808	0.870417150153197	0.0	single_dataset	PRAD
PRAD	PRAD	androsterone sulfate	androsterone sulfate	C00523	HMDB02759	KEGG:C00523	HIGH_ID	Lipid	Sterol/Steroid	-0.30127493168815	0.0330594063305954	0.181822458267936	0.425875154321911	0.285714285714286	single_dataset	PRAD
PRAD	PRAD	anserine	anserine	C01262	HMDB00194	KEGG:C01262	HIGH_ID	Amino Acid	Histidine Metabolism	-0.107594292231404	0.0327703915395629	0.181025941620429	0.929024886999219	0.478260869565217	single_dataset	PRAD
PRAD	PRAD	arabonate	arabonate	NA	HMDB00539	HMDB:HMDB00539	HIGH_ID	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	-0.109524075876054	0.0327719207055327	0.1810301651812	0.729354869085928	0.263736263736264	single_dataset	PRAD
PRAD	PRAD	arachidate (20:0)	arachidate (20:0)	C06425	HMDB02212	KEGG:C06425	HIGH_ID	Lipid	Long Chain Saturated Fatty Acid	-0.126865338260615	0.0327868816210636	0.181071482075626	0.735202478113519	0.32967032967033	single_dataset	PRAD
PRAD	PRAD	arachidonate (20:4n6)	arachidonate (20:4n6)	C00219	HMDB01043	KEGG:C00219	HIGH_ID	Lipid	Long Chain Fatty Acid	0.180712693410077	0.0328473278382444	0.181238317797988	0.508496604641267	0.0	single_dataset	PRAD
PRAD	PRAD	arginine	arginine	C00062	HMDB00517	KEGG:C00062	HIGH_ID	Amino acid	Urea cycle; Arginine and Proline Metabolism	-0.0316249687261141	0.0327317915648408	0.180919295722819	0.954587278047821	0.0434782608695652	single_dataset	PRAD
PRAD	PRAD	ascorbate (Vitamin C)	ascorbate (Vitamin C)	C00072	HMDB00044	KEGG:C00072	HIGH_ID	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	-0.114987642069669	0.0327763974742635	0.18104252946273	0.643312715046811	0.0	single_dataset	PRAD
PRAD	PRAD	asparagine	asparagine	C00152	HMDB00168	KEGG:C00152	HIGH_ID	Amino acid	Alanine and Aspartate Metabolism	0.063794818073661	0.0327429946311405	0.180950254576059	0.991879285943422	0.021978021978022	single_dataset	PRAD
PRAD	PRAD	aspartate	aspartate	C00049	HMDB00191	KEGG:C00049	HIGH_ID	Amino acid	Alanine and Aspartate Metabolism	0.0481792219429064	0.0327366130932353	0.180932620312743	0.970320396618138	0.0	single_dataset	PRAD
PRAD	PRAD	aspartylleucine	aspartylleucine	NA	NA	NAME:aspartylleucine	MODERATE_NAME_ONLY	Peptide	Dipeptide	0.339064549218255	0.0331477208710074	0.182065155565274	0.307677712366336	0.58695652173913	single_dataset	PRAD
