cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	relation_id	statistics_reused	previous_p	previous_q	previous_effect	previous_run	bootstrap_mean_lower	bootstrap_mean_upper	positive_pairs	negative_pairs	equal_pairs	positive_pair_fraction	median_paired_difference	seed
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	FDFT1	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	-0.154500783477878	-0.3455025302535807	0.0365009632978245	0.1101928558751807	0.17166887020554467	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|FDFT1	True	0.1101928558751807	0.1725373302957438	-0.154500783477878	20260921T103911Z_camp_pair_sensitivity_v1	-0.3406589777503739	0.0260299689182825	19.0	26.0	0.0	0.4222222222222222	-0.07934059269287097	NA
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	FH	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	0.0645381101793973	-0.0477956464894266	0.1768718668482213	0.2531632616494577	0.3406196611283613	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|FH	True	0.2531632616494577	0.3454933923686716	0.0645381101793973	20260921T103911Z_camp_pair_sensitivity_v1	-0.0405492071936747	0.1730307925297624	24.0	21.0	0.0	0.5333333333333333	0.013184294250610407	NA
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	FOLH1	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	-0.0262395548919822	-0.2548961008409007	0.2024169910569363	0.8181739668122198	0.8587925325404859	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|FOLH1	True	0.8181739668122198	0.8550286500019594	-0.0262395548919822	20260921T103911Z_camp_pair_sensitivity_v1	-0.2554365077548371	0.1902090999520602	20.0	25.0	0.0	0.4444444444444444	-0.052223720341440405	NA
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	GAMT	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	-0.1145303935167266	-0.2125403196423801	-0.016520467391073	0.0230433737263909	0.044291159889686404	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|GAMT	True	0.0230433737263909	0.0460867474527818	-0.1145303935167266	20260921T103911Z_camp_pair_sensitivity_v1	-0.2089000903524904	-0.0238176824945903	16.0	29.0	0.0	0.35555555555555557	-0.08811826367356002	NA
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	GCLC	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	-0.1721708309428213	-0.3827925237267543	0.0384508618411116	0.1065910311403523	0.16782417668906535	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|GCLC	True	0.1065910311403523	0.1693775289353543	-0.1721708309428213	20260921T103911Z_camp_pair_sensitivity_v1	-0.3715544024144872	0.030152565204763	18.0	27.0	0.0	0.4	-0.1548820762371399	NA
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	GDA	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	0.0092240768580315	-0.0554695054732307	0.0739176591892938	0.7751909503663917	0.8313642076393186	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|GDA	True	0.7751909503663917	0.8326125022453837	0.0092240768580315	20260921T103911Z_camp_pair_sensitivity_v1	-0.0532774464318836	0.0732539797347403	22.0	23.0	0.0	0.4888888888888889	-0.012093113954160017	NA
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	GDPD5	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	-0.6664069819931608	-0.8859027230041403	-0.4469112409821814	2.2570472374547634e-07	1.670214955716525e-06	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|GDPD5	True	2.2570472374547634e-07	2.181812329539604e-06	-0.6664069819931608	20260921T103911Z_camp_pair_sensitivity_v1	-0.8788708745533028	-0.4590777942651454	11.0	34.0	0.0	0.24444444444444444	-0.5180630925180996	NA
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	GLS	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	0.0628567074973772	-0.0826857341623826	0.2083991491571372	0.3888087314571496	0.4755677045922161	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|GLS	True	0.3888087314571496	0.4849657295594555	0.0628567074973772	20260921T103911Z_camp_pair_sensitivity_v1	-0.0696452877130681	0.2115522822268196	25.0	20.0	0.0	0.5555555555555556	0.08562438506105963	NA
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	GLS2	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	0.0486802233707668	-0.0281594236917342	0.1255198704332679	0.2083717448875996	0.2937049356510928	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|GLS2	True	0.2083717448875996	0.2947697854507508	0.0486802233707668	20260921T103911Z_camp_pair_sensitivity_v1	-0.0281592526456319	0.1215440475970415	25.0	20.0	0.0	0.5555555555555556	0.03948264950419933	NA
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	GLUL	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	0.0436434198780477	-0.1042351933972385	0.191522033153334	0.5550267945631138	0.6318766584256987	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|GLUL	True	0.5550267945631138	0.643831081693212	0.0436434198780477	20260921T103911Z_camp_pair_sensitivity_v1	-0.095857236041432	0.1855707227794041	22.0	23.0	0.0	0.4888888888888889	-0.034155471419799355	NA
