gene	exact_symbol_in_CAMP	status	reason
CPT2	True	DONE	exact_symbol_only_no_alias_expansion
CRAT	True	DONE	exact_symbol_only_no_alias_expansion
CTNS	True	DONE	exact_symbol_only_no_alias_expansion
CYP4F2	True	DONE	exact_symbol_only_no_alias_expansion
DPYD	True	DONE	exact_symbol_only_no_alias_expansion
DPYS	True	DONE	exact_symbol_only_no_alias_expansion
ENPP2	True	DONE	exact_symbol_only_no_alias_expansion
ETNK1	True	DONE	exact_symbol_only_no_alias_expansion
ETNK2	True	DONE	exact_symbol_only_no_alias_expansion
FDFT1	True	DONE	exact_symbol_only_no_alias_expansion
FH	True	DONE	exact_symbol_only_no_alias_expansion
FOLH1	True	DONE	exact_symbol_only_no_alias_expansion
GAMT	True	DONE	exact_symbol_only_no_alias_expansion
GCLC	True	DONE	exact_symbol_only_no_alias_expansion
GDA	True	DONE	exact_symbol_only_no_alias_expansion
GDPD5	True	DONE	exact_symbol_only_no_alias_expansion
GLS	True	DONE	exact_symbol_only_no_alias_expansion
GLS2	True	DONE	exact_symbol_only_no_alias_expansion
GLUL	True	DONE	exact_symbol_only_no_alias_expansion
GNPNAT1	True	DONE	exact_symbol_only_no_alias_expansion
GOT1	True	DONE	exact_symbol_only_no_alias_expansion
GOT2	True	DONE	exact_symbol_only_no_alias_expansion
GPCPD1	True	DONE	exact_symbol_only_no_alias_expansion
GPI	True	DONE	exact_symbol_only_no_alias_expansion
GSR	True	DONE	exact_symbol_only_no_alias_expansion
GSS	True	DONE	exact_symbol_only_no_alias_expansion
HAL	True	DONE	exact_symbol_only_no_alias_expansion
HPD	True	DONE	exact_symbol_only_no_alias_expansion
HPRT1	True	DONE	exact_symbol_only_no_alias_expansion
IDNK	True	DONE	exact_symbol_only_no_alias_expansion
IMPA1	True	DONE	exact_symbol_only_no_alias_expansion
IMPA2	True	DONE	exact_symbol_only_no_alias_expansion
KHK	True	DONE	exact_symbol_only_no_alias_expansion
KMO	True	DONE	exact_symbol_only_no_alias_expansion
KYNU	True	DONE	exact_symbol_only_no_alias_expansion
LDHA	True	DONE	exact_symbol_only_no_alias_expansion
LDHB	True	DONE	exact_symbol_only_no_alias_expansion
LPCAT1	True	DONE	exact_symbol_only_no_alias_expansion
LPCAT2	True	DONE	exact_symbol_only_no_alias_expansion
LPCAT3	True	DONE	exact_symbol_only_no_alias_expansion
LPCAT4	True	NEEDS_REVIEW	historical_LPCAT4_symbol_ambiguous_Q643R3_vs_Q6ZWT7;stable_probe_identity_required
LYPLA1	True	DONE	exact_symbol_only_no_alias_expansion
LYPLA2	True	DONE	exact_symbol_only_no_alias_expansion
MDH1	True	DONE	exact_symbol_only_no_alias_expansion
MDH2	True	DONE	exact_symbol_only_no_alias_expansion
MGAM	True	DONE	exact_symbol_only_no_alias_expansion
MGLL	True	DONE	exact_symbol_only_no_alias_expansion
MPI	True	DONE	exact_symbol_only_no_alias_expansion
NAGK	True	DONE	exact_symbol_only_no_alias_expansion
NAMPT	True	DONE	exact_symbol_only_no_alias_expansion
NNMT	True	DONE	exact_symbol_only_no_alias_expansion
NPL	True	DONE	exact_symbol_only_no_alias_expansion
NT5C2	True	DONE	exact_symbol_only_no_alias_expansion
OAT	True	DONE	exact_symbol_only_no_alias_expansion
ODC1	True	DONE	exact_symbol_only_no_alias_expansion
OTC	True	DONE	exact_symbol_only_no_alias_expansion
PANK1	True	DONE	exact_symbol_only_no_alias_expansion
PANK2	True	DONE	exact_symbol_only_no_alias_expansion
PANK3	True	DONE	exact_symbol_only_no_alias_expansion
PCYT1A	True	DONE	exact_symbol_only_no_alias_expansion
PCYT1B	True	DONE	exact_symbol_only_no_alias_expansion
PCYT2	True	DONE	exact_symbol_only_no_alias_expansion
PEPD	True	DONE	exact_symbol_only_no_alias_expansion
PFKL	True	DONE	exact_symbol_only_no_alias_expansion
PFKM	True	DONE	exact_symbol_only_no_alias_expansion
PFKP	True	DONE	exact_symbol_only_no_alias_expansion
PGD	True	DONE	exact_symbol_only_no_alias_expansion
PGM3	True	DONE	exact_symbol_only_no_alias_expansion
PMM1	True	DONE	exact_symbol_only_no_alias_expansion
PMM2	True	DONE	exact_symbol_only_no_alias_expansion
