cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	partition	celltype	n_source_labels_total	n_cells_total	n_cells_eligible	median_donor_mean	donor_mean_q25	donor_mean_q75	mean_detection_fraction	median_detection_fraction	annotation_origin	row_scaled
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	MPI	publisher_donor_label	24	NA	equal_donor_mean_log1p_counts_per_10k	0.03825218541563399	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Endothelial	26	7605	7587	0.033404757672551855	0.01930395115086301	0.05106514353436264	0.045311948490520115	0.027935597298047562	Wu2021_author_celltype_major_via_CELLxGENE	0.48527633845217105
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	NAGK	publisher_donor_label	24	NA	equal_donor_mean_log1p_counts_per_10k	0.1695544807947514	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Endothelial	26	7605	7587	0.1710885580214866	0.11450460753254602	0.2124128071837557	0.16456015029911042	0.14748910562357337	Wu2021_author_celltype_major_via_CELLxGENE	0.32034965867761467
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	NAMPT	publisher_donor_label	24	NA	equal_donor_mean_log1p_counts_per_10k	0.6789613312181227	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Endothelial	26	7605	7587	0.6918890412375029	0.49674817025037843	0.8402735540638946	0.4631041250624348	0.4721861032100772	Wu2021_author_celltype_major_via_CELLxGENE	0.5302332010057191
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	NNMT	publisher_donor_label	24	NA	equal_donor_mean_log1p_counts_per_10k	1.022196452175437	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Endothelial	26	7605	7587	0.9818422512926526	0.7666657153693358	1.3120962738849662	0.5434718533211954	0.5582232832182039	Wu2021_author_celltype_major_via_CELLxGENE	0.6000702406148554
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	NPL	publisher_donor_label	24	NA	equal_donor_mean_log1p_counts_per_10k	0.011452800732907055	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Endothelial	26	7605	7587	0.011978436491061875	0.005228226871332532	0.01556930032207403	0.01440569429447411	0.012251779692768828	Wu2021_author_celltype_major_via_CELLxGENE	0.03329851689444236
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	OAT	publisher_donor_label	24	NA	equal_donor_mean_log1p_counts_per_10k	0.18100706859681479	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Endothelial	26	7605	7587	0.19660257788870011	0.11382996661868779	0.23475063524798384	0.1871288843516211	0.19314791133844844	Wu2021_author_celltype_major_via_CELLxGENE	0.24473449420254734
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	ODC1	publisher_donor_label	24	NA	equal_donor_mean_log1p_counts_per_10k	0.29820340784760413	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Endothelial	26	7605	7587	0.2989416819174723	0.15065996595381428	0.41570133510742047	0.24306756835360277	0.2222032231864233	Wu2021_author_celltype_major_via_CELLxGENE	0.6873373595060492
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	OTC	publisher_donor_label	24	NA	equal_donor_mean_log1p_counts_per_10k	0.003581501352588007	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Endothelial	26	7605	7587	0.0	0.0	0.0039829205760774115	0.003938575616220473	0.0	Wu2021_author_celltype_major_via_CELLxGENE	1.0
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	PAH	publisher_donor_label	24	NA	equal_donor_mean_log1p_counts_per_10k	9.820975994490677e-05	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Endothelial	26	7605	7587	0.0	0.0	0.0	0.00022644927536231884	0.0	Wu2021_author_celltype_major_via_CELLxGENE	0.02783231365863073
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	PANK1	publisher_donor_label	24	NA	equal_donor_mean_log1p_counts_per_10k	0.004951964615408997	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Endothelial	26	7605	7587	0.0013937521982166502	0.0	0.007276646946143328	0.007440635503103116	0.00228310502283105	Wu2021_author_celltype_major_via_CELLxGENE	0.2928907479695203
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	PANK2	publisher_donor_label	24	NA	equal_donor_mean_log1p_counts_per_10k	0.13834803551207972	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Endothelial	26	7605	7587	0.1303253666797486	0.07412038023913678	0.17810249443102424	0.15216006471813284	0.1416347479699709	Wu2021_author_celltype_major_via_CELLxGENE	0.9965247465633976
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	PANK3	publisher_donor_label	24	NA	equal_donor_mean_log1p_counts_per_10k	0.10174784995683378	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Endothelial	26	7605	7587	0.08381556712096591	0.05467209931247491	0.13490407729879023	0.10977083348355983	0.07989443087543652	Wu2021_author_celltype_major_via_CELLxGENE	0.6560529391048683
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	PCYT1A	publisher_donor_label	24	NA	equal_donor_mean_log1p_counts_per_10k	0.11408508628876733	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Endothelial	26	7605	7587	0.10383177993723929	0.06580994888484003	0.13820134278318244	0.12231150316964283	0.08761021186998288	Wu2021_author_celltype_major_via_CELLxGENE	1.0
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	PCYT1B	publisher_donor_label	24	NA	equal_donor_mean_log1p_counts_per_10k	0.0	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Endothelial	26	7605	7587	0.0	0.0	0.0	0.0	0.0	Wu2021_author_celltype_major_via_CELLxGENE	0.0
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	PCYT2	publisher_donor_label	24	NA	equal_donor_mean_log1p_counts_per_10k	0.03145620215313741	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Endothelial	26	7605	7587	0.02877803929952904	0.020282749875600387	0.040166646419752816	0.03986220901000732	0.030173564753004006	Wu2021_author_celltype_major_via_CELLxGENE	0.18992906691074446
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	MAT1A	publisher_donor_label	23	NA	equal_donor_mean_log1p_counts_per_10k	0.0	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Fibroblasts	26	6573	6537	0.0	0.0	0.0	0.0	0.0	Wu2021_author_celltype_major_via_CELLxGENE	0.0
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	MAT2A	publisher_donor_label	23	NA	equal_donor_mean_log1p_counts_per_10k	0.37166437524935053	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Fibroblasts	26	6573	6537	0.361178533846917	0.2660291671496118	0.5081044292824695	0.31798746012591367	0.29642857142857143	Wu2021_author_celltype_major_via_CELLxGENE	0.6188561297557562
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	MDH1	publisher_donor_label	23	NA	equal_donor_mean_log1p_counts_per_10k	0.4823002295551477	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Fibroblasts	26	6573	6537	0.48449951013889125	0.3561306847896425	0.5786319919370712	0.39635869636528775	0.3867924528301887	Wu2021_author_celltype_major_via_CELLxGENE	0.6958194673088283
