cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	partition	celltype	median	q25	q75	resampling_lower	resampling_upper	n_bootstrap_evaluable	mean_detection
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ADA	source_donor_label	20	NA	mean_log1p_counts_per10k	0.054034996462748	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Malignant_epithelial	0.0330752637721231	0.018346397519085	0.0758843167001117	0.0339235703182638	0.0773797812740664	1000	0.0969323791759717
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ADA	source_donor_label	26	NA	mean_log1p_counts_per10k	0.0819508060178138	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Myeloid	0.0788665785104747	0.0543372812653663	0.1130759001690467	0.0664097732667797	0.0987105115043806	1000	0.0917513183398928
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ADA	source_donor_label	10	NA	mean_log1p_counts_per10k	0.0173947117673754	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Nonmalignant_epithelial	0.0116598442641888	0.0089113829318028	0.0170462970277115	0.0087590243901924	0.0302377687061948	999	0.0301852087333087
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ADA	source_donor_label	24	NA	mean_log1p_counts_per10k	0.1068860525053166	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Perivascular	0.0670766517980152	0.046454045169246	0.1433472011452917	0.0679048138716446	0.1533763465648747	1000	0.1026076524074162
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ADA	source_donor_label	14	NA	mean_log1p_counts_per10k	0.0728071106953983	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Plasma_cells	0.0735882144738629	0.0583685326243701	0.0907710901108568	0.0591728434851065	0.0856138671446386	1000	0.0981484019805619
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ADA	source_donor_label	26	NA	mean_log1p_counts_per10k	0.1170237496290478	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	T_NK_cells	0.1001430830525316	0.0724534846682825	0.1305654880341688	0.0910749617931409	0.1478500566755257	1000	0.0731265072605758
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ADA2	source_donor_label	20	NA	mean_log1p_counts_per10k	0.0888114973234867	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	B_cells	0.0606581540610306	0.0318390521168347	0.0875654963795153	0.0425614704938837	0.1705397009989336	1000	0.0584694743695896
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ADA2	source_donor_label	24	NA	mean_log1p_counts_per10k	0.0287519826398617	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Endothelial	0.032982406215657	0.0048568482760404	0.0423200813041108	0.0195812271761795	0.0373559465260616	1000	0.0341244678781524
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ADA2	source_donor_label	23	NA	mean_log1p_counts_per10k	0.0135189930972495	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Fibroblasts	0.0077224918885764	0.0	0.0208209382707798	0.0067290835878664	0.0220733282758684	1000	0.0176410110251534
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ADA2	source_donor_label	20	NA	mean_log1p_counts_per10k	0.0130670652496189	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Malignant_epithelial	0.0052817732722588	0.0	0.0082238405800079	0.0034409935541771	0.0316219070311658	1000	0.0174511645909461
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ADA2	source_donor_label	26	NA	mean_log1p_counts_per10k	0.5136229580776686	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Myeloid	0.5359815473605556	0.368758990596456	0.6824099457863368	0.4129572612144752	0.6035546855024833	1000	0.4099783887594342
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ADA2	source_donor_label	10	NA	mean_log1p_counts_per10k	0.0261069261652856	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Nonmalignant_epithelial	0.0218789838815352	0.007290834154796	0.0348268911212602	0.0104871616532309	0.0442656267097558	999	0.0442986444985026
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ADA2	source_donor_label	24	NA	mean_log1p_counts_per10k	0.0187946068423904	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Perivascular	0.0098968205304796	0.0	0.0240845555285877	0.0097973669979786	0.0286085413405366	1000	0.0184884112673943
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ADA2	source_donor_label	14	NA	mean_log1p_counts_per10k	0.1778645563175147	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Plasma_cells	0.1876596020325186	0.1675588835868368	0.2278266353869313	0.1367717803171991	0.2133491505678355	1000	0.2362713663394611
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ADA2	source_donor_label	26	NA	mean_log1p_counts_per10k	0.0648052669389585	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	T_NK_cells	0.0615602218412514	0.0486607288594506	0.0876602046566902	0.0508730424875688	0.0791853882217521	1000	0.0405704577062697
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AFMID	source_donor_label	20	NA	mean_log1p_counts_per10k	0.0385959883743604	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	B_cells	0.0357760163836047	0.0248736243657043	0.0538500825714087	0.0286818425897008	0.0484820173250282	1000	0.027118083860645
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AFMID	source_donor_label	24	NA	mean_log1p_counts_per10k	0.0883494259270339	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Endothelial	0.0781159800344641	0.0568925259510593	0.1080817514796017	0.068246634336486	0.112919614579901	1000	0.0803354868903346
