gene	stable_gene_id	study1_top	study2_top	study1_bootstrap	study2_bootstrap	same_top_all_categories	same_top_shared_categories	same_top_both_bootstrap_ge080	status	n_shared_categories
SLC13A5	hsa:284111	Neoplastic	Neoplastic	0.9443585780525502	0.979	True	True	True	DONE	2
SLC25A1	hsa:6576	OPC	Neoplastic	1.0	1.0	False	True	False	DONE	2
SLC25A14	hsa:9016	Neoplastic	Neoplastic	0.714064914992272	0.995	True	True	False	DONE	2
SLC25A21	hsa:89874	OPC	NA	1.0	NA	NA	NA	NA	NOT_EVALUABLE	2
CYP27A1	HGNC:2605	OPC	Oligodendrocyte	0.9350850077279753	0.886	False	True	False	DONE	2
SOAT1	UniProt:P35610	Myeloid	Myeloid	1.0	1.0	True	True	True	DONE	2
SOAT2	UniProt:O75908	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	2
AOC1	hsa:26	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	0
ATP13A3	UniProt:Q9H7F0	Myeloid	Myeloid	1.0	1.0	True	True	True	DONE	2
HDAC10	UniProt:Q969S8	Myeloid	Myeloid	1.0	0.957	True	True	True	DONE	2
ODC1	UniProt:P11926	Neoplastic	Neoplastic	1.0	1.0	True	True	True	DONE	2
PAOX	hsa:196743	OPC	Oligodendrocyte	0.7727975270479135	0.835	False	True	False	DONE	2
SLC22A1	hsa:6580	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	2
SLC22A2	hsa:6582	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	2
SLC45A4	hsa:57210	Myeloid	Myeloid	1.0	1.0	True	True	True	DONE	2
SRM	hsa:6723	OPC	Neoplastic	0.6367851622874807	0.99	False	True	False	DONE	2
SHMT1	hsa:6470	Myeloid	Oligodendrocyte	1.0	0.49	False	True	False	DONE	2
SHMT2	UniProt:P34897	Neoplastic	Neoplastic	1.0	1.0	True	True	True	DONE	2
MGAM	hsa:8972	Myeloid	Neoplastic	0.8068006182380216	0.74	False	False	False	DONE	2
ADPGK	hsa:83440	Myeloid	Myeloid	1.0	1.0	True	True	True	DONE	2
B4GALT1	hsa:2683	Myeloid	Myeloid	1.0	1.0	True	True	True	DONE	2
B4GALT2	hsa:8704	Neoplastic	Neoplastic	0.7727975270479135	0.877	True	True	False	DONE	2
G6PC1	hsa:2538	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	0
G6PC2	hsa:57818	OPC	Neoplastic	1.0	1.0	False	NA	False	DONE	2
G6PC3	hsa:92579	OPC	Neoplastic	0.8438948995363215	0.988	False	True	False	DONE	2
GBA1	hsa:2629	Neoplastic	Oligodendrocyte	0.652241112828439	0.874	False	True	False	DONE	2
GBA2	hsa:57704	OPC	Neoplastic	0.7017001545595054	0.647	False	True	False	DONE	2
GBA3	hsa:57733	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	0
GCK	hsa:2645	Neoplastic	Neoplastic	0.5595054095826894	0.979	True	True	False	DONE	2
H6PD	hsa:9563	Neoplastic	Oligodendrocyte	0.5672333848531684	0.562	False	False	False	DONE	2
HK1	hsa:3098	Myeloid	Myeloid	1.0	0.77	True	True	False	DONE	2
HK2	hsa:3099	Myeloid	Myeloid	1.0	1.0	True	True	True	DONE	2
HK3	hsa:3101	Myeloid	Myeloid	1.0	1.0	True	True	True	DONE	2
HKDC1	hsa:80201	NA	Lymphoid	NA	0.459	NA	NA	NA	NOT_EVALUABLE	2
IMPA1	UniProt:P29218	Neoplastic	Oligodendrocyte	1.0	0.482	False	True	False	DONE	2
IMPA2	UniProt:O14732	Myeloid	Myeloid	1.0	1.0	True	True	True	DONE	2
LCT	hsa:3938	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	2
SI	hsa:6476	Neoplastic	NA	0.7836166924265843	NA	NA	NA	NA	NOT_EVALUABLE	2
SLC2A1	hsa:6513	Neoplastic	Neoplastic	0.652241112828439	0.586	True	True	False	DONE	2
SLC2A10	hsa:81031	Neoplastic	Neoplastic	1.0	1.0	True	True	True	DONE	2
SLC2A11	hsa:66035	Neoplastic	Oligodendrocyte	1.0	0.8	False	True	False	DONE	2
SLC2A12	hsa:154091	OPC	Oligodendrocyte	1.0	0.861	False	True	False	DONE	2
SLC2A14	hsa:144195	Myeloid	Myeloid	0.6460587326120556	0.939	True	True	False	DONE	2
SLC2A2	hsa:6514	NA	Oligodendrocyte	NA	0.772	NA	NA	NA	NOT_EVALUABLE	2
SLC2A3	hsa:6515	Myeloid	Lymphoid	1.0	0.637	False	True	False	DONE	2
SLC2A4	hsa:6517	Myeloid	Neoplastic	0.8778979907264297	0.884	False	False	False	DONE	2
SLC2A7	hsa:155184	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	2
SLC2A8	hsa:29988	OPC	Myeloid	1.0	0.79	False	True	False	DONE	2
SLC45A1	hsa:50651	OPC	Oligodendrocyte	1.0	0.741	False	True	False	DONE	2
