cancer	stable_gene_id	gene	in_current_pool	in_history_pool	history_only	mapping_version	relation_ids	source_id	status	reason	in_prior_42_pool	in_paired51_any_relation	in_conditional_pool	n_direct_relations	n_conditional_relations
PDAC	UniProtKB:Q8WXB1	METTL21A	False	True	True	PDAC_paired51_mapping_v2	20db4f581594ad83	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q5VZV1	METTL21C	False	True	True	PDAC_paired51_mapping_v2	15e3ff375841b4e2	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q9BUU2	METTL22	False	True	True	PDAC_paired51_mapping_v2	c6b6a922dd12fa16	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q86XA0	METTL23	False	True	True	PDAC_paired51_mapping_v2	b4033bb6b716dd33	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q96IZ6	METTL2A	False	True	True	PDAC_paired51_mapping_v2	c15752a815f6e9a6	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q6P1Q9	METTL2B	False	True	True	PDAC_paired51_mapping_v2	ac4eae2b70f7f673	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q86U44	METTL3	False	True	True	PDAC_paired51_mapping_v2	bfc2951d933f9b81	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q8N3J2	METTL4	False	True	True	PDAC_paired51_mapping_v2	85f01bc9e026b480	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q9NRN9	METTL5	False	True	True	PDAC_paired51_mapping_v2	fa61311c0bf4be29	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q8TCB7	METTL6	False	True	True	PDAC_paired51_mapping_v2	1b6b0927d27c8802	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
