dataset	cancer	feature_name	metabolite_standard_name	kegg_id	hmdb_id	metabolite_key	identity_confidence	super_pathway	sub_pathway	hedges_g	hedges_g_variance	hedges_g_se	effect_fdr	max_input_raw_missing_rate	source_type	source_effects	paired_p	paired_q	paired_n	paired_effect	paired_median_delta	paired_evidence	database_names	standard_names	aliases_used	chemical_identity_note	identity_status	mapping_status	direct_genes	n_direct_relations	n_conditional_relations
PDAC	PDAC	deoxycarnitine	deoxycarnitine	C01181	HMDB01161	KEGG:C01181	HIGH_ID	Lipid	Carnitine Metabolism	-0.511617588530343	0.123726172381827	0.351747313254596	0.359613797134324	0.0	single_dataset	PDAC	0.0419921875	0.25783203125	11	-0.5276111548874095	-0.4521995113667998	NOMINAL_EXPLORATORY	4-Trimethylammoniobutanoate;; Butyro-betaine;; gamma-Butyrobetaine	4-(trimethylamino)butanoate	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ALDH9A1;BBOX1	2	0
PDAC	PDAC	gamma-aminobutyrate (GABA)	gamma-aminobutyrate (GABA)	C00334	HMDB00112	KEGG:C00334	HIGH_ID	Amino acid	Glutamate Metabolism	-0.653899800003817	0.125852228683768	0.354756576660346	0.140080133589972	0.259259259259259	single_dataset	PDAC	0.0322265625	0.25783203125	11	-1.3158585285507451	-1.3994431405170005	NOMINAL_EXPLORATORY	4-Aminobutanoate;; 4-Aminobutanoic acid;; 4-Aminobutyrate;; 4-Aminobutyric acid;; gamma-Aminobutyric acid;; GABA	4-aminobutanoate	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ABAT;AGMAT;ALDH9A1;CARNS1;CNDP1;GAD1;GATM;PM20D2;SLC6A1;SLC6A11;SLC6A12;SLC6A13;SLC6A6	13	8
PDAC	PDAC	gamma-glutamyltyrosine	gamma-glutamyltyrosine	NA	HMDB11741	HMDB:HMDB11741	HIGH_ID	Peptide	Gamma-glutamyl Amino Acid	0.998255985859508	0.133146203874272	0.364892044136717	0.0393227498525208	0.5	single_dataset	PDAC	0.0078125	0.1844951923076923	11	0.6321279690404089	0.5367968404561996	NOMINAL_EXPLORATORY	NA	NA	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	NO_EXACT_ID_BRIDGE	CONDITIONAL_ONLY	NA	0	3
PDAC	PDAC	glycerol	glycerol	C00116	HMDB00131	KEGG:C00116	HIGH_ID	Lipid	Glycerolipid Metabolism	-1.1101312740916	0.136170260700066	0.369012548160717	0.0494122097019537	0.0	single_dataset	PDAC	0.0419921875	0.25783203125	11	-1.2643868591440273	-1.4206401134026976	NOMINAL_EXPLORATORY	Glycerol;; Glycerin;; 1,2,3-Trihydroxypropane;; 1,2,3-Propanetriol	glycerol	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ABHD12;ABHD16A;ABHD16B;ABHD2;ABHD6;AKR1A1;AKR1B1;AQP10;AQP11;AQP3;AQP7;AQP9;CES1;CES2;ENPP6;EPHX1;FAAH;GK;IMPA1;IMPA2;LYPLA2;MGLL;PGP;PLA2G4A;PLD3;PLD4;PNLIPRP2;PNPLA2;PNPLA3;PNPLA4;PNPLA6	31	11
PDAC	PDAC	glycerophosphorylcholine (GPC)	glycerophosphorylcholine (GPC)	C00670	HMDB00086	KEGG:C00670	HIGH_ID	Lipid	Glycerolipid Metabolism	-1.00315352416648	0.133271870281238	0.365064200218588	0.0429368517077875	0.0	single_dataset	PDAC	0.0322265625	0.25783203125	11	-1.229242397986627	-1.0212933500888006	NOMINAL_EXPLORATORY	sn-Glycero-3-phosphocholine;; Glycerophosphocholine	sn-glycerol 3-phosphocholine	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ENPP6;GDPD3;LYPLA1;LYPLA2;PLA2G15;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G6;PNPLA6;PNPLA8;TMEM86A;TMEM86B	13	10
PDAC	PDAC	glycylisoleucine	glycylisoleucine	NA	HMDB0028844	HMDB:HMDB0028844	HIGH_ID	Peptide	Dipeptide	-1.0016614631075	0.133233520199533	0.365011671319607	0.0696770012219702	0.444444444444444	single_dataset	PDAC	0.048828125	0.2939261642156863	11	-1.419311214537491	-0.9067492324545016	NOMINAL_EXPLORATORY	NA	NA	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	NO_EXACT_ID_BRIDGE	CONDITIONAL_ONLY	NA	0	4
PDAC	PDAC	glycylleucine	glycylleucine	C02155	HMDB00759	KEGG:C02155	HIGH_ID	Peptide	Dipeptide	-1.14274787438444	0.137112328119218	0.370286818721945	0.0429368517077875	0.0	single_dataset	PDAC	0.0322265625	0.25783203125	11	-1.254131652073191	-1.0467026606795002	NOMINAL_EXPLORATORY	Glycyl-leucine;; Glycyl-L-leucine	glycyl-L-leucine	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	CONDITIONAL_ONLY	NA	0	4
PDAC	PDAC	glycylproline	glycylproline	NA	HMDB00721	HMDB:HMDB00721	HIGH_ID	Peptide	Dipeptide	-1.43332799349651	0.146709205459354	0.383026376975991	0.0204595468994069	0.259259259259259	single_dataset	PDAC	0.001953125	0.1748860677083333	11	-1.070213407399663	-0.8488065368678974	NOMINAL_EXPLORATORY	NA	glycyl-L-proline	glycyl-L-proline	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	PEPD;SLC15A1	2	2
PDAC	PDAC	glycylvaline	glycylvaline	NA	HMDB28854	HMDB:HMDB28854	HIGH_ID	Peptide	Dipeptide	-1.23426244476747	0.139901188095542	0.374033672408704	0.038488432104132	0.222222222222222	single_dataset	PDAC	0.0185546875	0.247664741847826	11	-1.6308525107491272	-1.922199620001802	NOMINAL_EXPLORATORY	NA	NA	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	NO_EXACT_ID_BRIDGE	CONDITIONAL_ONLY	NA	0	4
PDAC	PDAC	inosine	inosine	C00294	HMDB00195	KEGG:C00294	HIGH_ID	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	-0.569584878926078	0.124529690040899	0.352887645066952	0.236926883237561	0.0	single_dataset	PDAC	0.0068359375	0.1748860677083333	11	-0.7825499727596911	-0.8017574949330992	NOMINAL_EXPLORATORY	Inosine	inosine	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ADA;ADA2;LACC1;NT5C1A;NT5C2;NT5E;PNP;SLC28A2;SLC28A3;SLC29A1;SLC29A2;SLC29A3	12	1
