gene	subtype	scope	status	reason	top	second	effect	gap	n	detection
ACSL5	ER+	shared_celltypes	DONE		Endothelial	Myeloid	0.1684448813405113	0.07408904908972651	11	0.1627757411193096
ACSL5	HER2+	all_evaluable_celltypes	DONE		Endothelial	Myeloid	0.1677369866207716	0.07887554902819481	4	0.1790477891257699
ACSL5	HER2+	shared_celltypes	DONE		Endothelial	Myeloid	0.1677369866207716	0.07887554902819481	4	0.1790477891257699
ACSL5	TNBC	all_evaluable_celltypes	DONE		Endothelial	Myeloid	0.1536808733386475	0.06404897750452519	9	0.154378552863172
ACSL5	TNBC	shared_celltypes	DONE		Endothelial	Myeloid	0.1536808733386475	0.06404897750452519	9	0.154378552863172
ACSL6	ER+	all_evaluable_celltypes	DONE		T_NK_cells	Perivascular	0.0183825107855105	0.0108743916438046	11	0.0116371922575957
ACSL6	ER+	shared_celltypes	DONE		T_NK_cells	Perivascular	0.0183825107855105	0.0108743916438046	11	0.0116371922575957
ACSL6	HER2+	all_evaluable_celltypes	DONE		T_NK_cells	Malignant_epithelial	0.0250581033265668	0.0222111837230703	5	0.0166870723707197
ACSL6	HER2+	shared_celltypes	DONE		T_NK_cells	Malignant_epithelial	0.0250581033265668	0.0222111837230703	5	0.0166870723707197
ACSL6	TNBC	all_evaluable_celltypes	DONE		T_NK_cells	Plasma_cells	0.0256292682574627	0.013699202732118701	10	0.0158331570755409
ACSL6	TNBC	shared_celltypes	DONE		T_NK_cells	Malignant_epithelial	0.0256292682574627	0.0220979569259751	10	0.0158331570755409
ACSM1	ER+	all_evaluable_celltypes	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.0397883275838557	0.0094729588082757	4	0.0748001097906781
ACSM1	ER+	shared_celltypes	DONE		Malignant_epithelial	Myeloid	0.03031536877558	0.024629359430029998	9	0.0521904664194488
ACSM1	HER2+	all_evaluable_celltypes	DONE		Malignant_epithelial	Myeloid	0.004481611126639	0.0035781641744083003	3	0.0126816093131226
ACSM1	HER2+	shared_celltypes	DONE		Malignant_epithelial	Myeloid	0.004481611126639	0.0035781641744083003	3	0.0126816093131226
ACSM1	TNBC	all_evaluable_celltypes	DONE		Nonmalignant_epithelial	B_cells	0.0544580235851051	0.0507819756235157	4	0.0499103670165637
ACSM1	TNBC	shared_celltypes	NOT_EVALUABLE	low_detection	NA	NA	0.0036760479615894	0.0017027477592508	7	0.0023316302086352
ADA	ER+	all_evaluable_celltypes	DONE		Endothelial	T_NK_cells	0.121653516112504	0.04012105023610009	11	0.1260385680536374
ADA	ER+	shared_celltypes	DONE		Endothelial	T_NK_cells	0.121653516112504	0.04012105023610009	11	0.1260385680536374
ADA	HER2+	all_evaluable_celltypes	DONE		Endothelial	Perivascular	0.1412718283821204	0.035492276625411406	4	0.1577810603719883
ADA	HER2+	shared_celltypes	DONE		Endothelial	Perivascular	0.1412718283821204	0.035492276625411406	4	0.1577810603719883
ADA	TNBC	all_evaluable_celltypes	DONE		Perivascular	T_NK_cells	0.1670439885256212	0.005124286362314184	9	0.1462739700776554
ADA	TNBC	shared_celltypes	DONE		Perivascular	T_NK_cells	0.1670439885256212	0.005124286362314184	9	0.1462739700776554
ADA2	ER+	all_evaluable_celltypes	DONE		Myeloid	Plasma_cells	0.4869731475218085	0.3018181687593013	11	0.36874557871448
ADA2	ER+	shared_celltypes	DONE		Myeloid	T_NK_cells	0.4869731475218085	0.42432197493345186	11	0.36874557871448
ADA2	HER2+	all_evaluable_celltypes	DONE		Myeloid	T_NK_cells	0.6016186082187043	0.5383186675729817	5	0.5398749609789281
ADA2	HER2+	shared_celltypes	DONE		Myeloid	T_NK_cells	0.6016186082187043	0.5383186675729817	5	0.5398749609789281
ADA2	TNBC	all_evaluable_celltypes	DONE		Myeloid	Plasma_cells	0.498939924618597	0.3279798758238095	10	0.390386193699137
ADA2	TNBC	shared_celltypes	DONE		Myeloid	B_cells	0.498939924618597	0.3364362434068433	10	0.390386193699137
AFMID	ER+	all_evaluable_celltypes	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.2139588850036147	0.020646371189417007	9	0.2606214130097049
AFMID	ER+	shared_celltypes	DONE		Malignant_epithelial	Myeloid	0.2139588850036147	0.1100488938952832	9	0.2606214130097049
AFMID	HER2+	all_evaluable_celltypes	DONE		Malignant_epithelial	Perivascular	0.2173330516442388	0.1067452941689647	3	0.3403589396464296
AFMID	HER2+	shared_celltypes	DONE		Malignant_epithelial	Perivascular	0.2173330516442388	0.1067452941689647	3	0.3403589396464296
AFMID	TNBC	all_evaluable_celltypes	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.2419593532911231	0.05229607377424361	8	0.304087577123169
AFMID	TNBC	shared_celltypes	DONE		Malignant_epithelial	Endothelial	0.2419593532911231	0.14263743707291193	8	0.304087577123169
AHCY	ER+	all_evaluable_celltypes	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.4830274672784189	0.011409060462823195	4	0.5875712480263721
AHCY	ER+	shared_celltypes	DONE		Malignant_epithelial	Myeloid	0.4716184068155957	0.273969794172769	9	0.4759994008150115
AHCY	HER2+	all_evaluable_celltypes	DONE		Malignant_epithelial	Myeloid	0.5581727325910968	0.2623542103631681	3	0.6605256203632061
AHCY	HER2+	shared_celltypes	DONE		Malignant_epithelial	Myeloid	0.5581727325910968	0.2623542103631681	3	0.6605256203632061
AHCY	TNBC	all_evaluable_celltypes	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.5795939284686691	0.02068341311421318	8	0.5617927060827225
AHCY	TNBC	shared_celltypes	DONE		Malignant_epithelial	Perivascular	0.5795939284686691	0.3462731898316956	8	0.5617927060827225
ALOX15	ER+	all_evaluable_celltypes	DONE		Myeloid	Malignant_epithelial	0.009117683499219	0.00038545602748919945	11	0.0055931631884532
ALOX15	ER+	shared_celltypes	NOT_EVALUABLE	low_detection	NA	NA	0.009117683499219	0.00038545602748919945	11	0.0055931631884532
ALOX15	HER2+	all_evaluable_celltypes	DONE		Malignant_epithelial	Myeloid	0.0087555446068293	0.005765538255910099	3	0.0234968265569163
ALOX15	HER2+	shared_celltypes	DONE		Malignant_epithelial	Myeloid	0.0087555446068293	0.005765538255910099	3	0.0234968265569163
ALOX15	TNBC	all_evaluable_celltypes	DONE		Nonmalignant_epithelial	Myeloid	0.0059132424447243	0.0013547607372646998	4	0.0110969387755102
ALOX15	TNBC	shared_celltypes	NOT_EVALUABLE	low_detection	NA	NA	0.0045584817074596	0.0024076531340551	10	0.0036110252216481
ALOX5	ER+	all_evaluable_celltypes	DONE		Myeloid	B_cells	0.3779040850696756	0.2426278820784408	11	0.300971334979194
ALOX5	ER+	shared_celltypes	DONE		Myeloid	B_cells	0.3779040850696756	0.2426278820784408	11	0.300971334979194
ALOX5	HER2+	all_evaluable_celltypes	DONE		Myeloid	B_cells	0.4576474324562952	0.2712804585302566	5	0.4658313353374913
ALOX5	HER2+	shared_celltypes	DONE		Myeloid	B_cells	0.4576474324562952	0.2712804585302566	5	0.4658313353374913
ALOX5	TNBC	all_evaluable_celltypes	DONE		Myeloid	B_cells	0.3902222026966774	0.177875758407516	10	0.3287586104233807
ALOX5	TNBC	shared_celltypes	DONE		Myeloid	B_cells	0.3902222026966774	0.177875758407516	10	0.3287586104233807
AMDHD2	ER+	all_evaluable_celltypes	DONE		Malignant_epithelial	Myeloid	0.1371363318328202	0.016895398845384907	9	0.1892988411520939
AMDHD2	ER+	shared_celltypes	DONE		Malignant_epithelial	Myeloid	0.1371363318328202	0.016895398845384907	9	0.1892988411520939
AMDHD2	HER2+	all_evaluable_celltypes	DONE		Malignant_epithelial	Myeloid	0.153287801188657	0.03308893116752011	3	0.3290775981649641
AMDHD2	HER2+	shared_celltypes	DONE		Malignant_epithelial	Myeloid	0.153287801188657	0.03308893116752011	3	0.3290775981649641
AMDHD2	TNBC	all_evaluable_celltypes	DONE		Myeloid	Fibroblasts	0.1332236006142615	0.0614364207238159	10	0.1347766765800915
AMDHD2	TNBC	shared_celltypes	DONE		Myeloid	Fibroblasts	0.1332236006142615	0.0614364207238159	10	0.1347766765800915
AOX1	ER+	all_evaluable_celltypes	DONE		Fibroblasts	Malignant_epithelial	0.067006126242311	0.028941671089502602	9	0.0613843545861588
AOX1	ER+	shared_celltypes	DONE		Fibroblasts	Malignant_epithelial	0.067006126242311	0.028941671089502602	9	0.0613843545861588
AOX1	HER2+	all_evaluable_celltypes	DONE		Fibroblasts	Perivascular	0.0528579997815681	0.049291525927620095	5	0.0651723135564898
AOX1	HER2+	shared_celltypes	DONE		Fibroblasts	Perivascular	0.0528579997815681	0.049291525927620095	5	0.0651723135564898
AOX1	TNBC	all_evaluable_celltypes	DONE		Fibroblasts	Malignant_epithelial	0.0688778863631875	0.06287628343866869	9	0.0730771541609315
AOX1	TNBC	shared_celltypes	DONE		Fibroblasts	Malignant_epithelial	0.0688778863631875	0.06287628343866869	9	0.0730771541609315
ARG1	ER+	all_evaluable_celltypes	NOT_EVALUABLE	low_detection	NA	NA	0.0015292235081081	0.0014992473813089933	11	0.0008829210096898
ARG1	ER+	shared_celltypes	NOT_EVALUABLE	low_detection	NA	NA	0.0015292235081081	0.0014992473813089933	11	0.0008829210096898
ARG1	HER2+	all_evaluable_celltypes	NOT_EVALUABLE	low_detection	NA	NA	0.0007883577335881	0.0006289898581264001	5	0.0004456190542028
ARG1	HER2+	shared_celltypes	NOT_EVALUABLE	low_detection	NA	NA	0.0007883577335881	0.0006289898581264001	5	0.0004456190542028
ARG1	TNBC	all_evaluable_celltypes	NOT_EVALUABLE	low_detection	NA	NA	0.0013162349087768	0.0006056880661186	10	0.0005633802816901
ARG1	TNBC	shared_celltypes	NOT_EVALUABLE	low_detection	NA	NA	0.0013162349087768	0.0006056880661186	10	0.0005633802816901
ARG2	ER+	all_evaluable_celltypes	DONE		Nonmalignant_epithelial	B_cells	0.0791330454241994	0.0081794636141478	4	0.1432640771815025
ARG2	ER+	shared_celltypes	DONE		B_cells	T_NK_cells	0.0709535818100516	0.014705280985761099	8	0.0394081104645755
ARG2	HER2+	all_evaluable_celltypes	DONE		Perivascular	T_NK_cells	0.1362432586164815	0.0639446891749643	4	0.1535186859553948
ARG2	HER2+	shared_celltypes	DONE		Perivascular	T_NK_cells	0.1362432586164815	0.0639446891749643	4	0.1535186859553948
ARG2	TNBC	all_evaluable_celltypes	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.1226577971978288	0.0637763269559232	4	0.1359703263203736
ARG2	TNBC	shared_celltypes	DONE		Malignant_epithelial	Fibroblasts	0.0588814702419056	0.0089115831616575	8	0.0943883838643606
ASNS	ER+	all_evaluable_celltypes	DONE		Plasma_cells	Nonmalignant_epithelial	0.0599631987192039	0.005606213831158301	7	0.0972912774818019
ASNS	ER+	shared_celltypes	DONE		Malignant_epithelial	Perivascular	0.0442785095617606	0.0009671969379351983	9	0.0639805088234495
ASNS	HER2+	all_evaluable_celltypes	DONE		Malignant_epithelial	Perivascular	0.127703325278349	0.0789132840899901	3	0.2504492595554652
ASNS	HER2+	shared_celltypes	DONE		Malignant_epithelial	Perivascular	0.127703325278349	0.0789132840899901	3	0.2504492595554652
ASNS	TNBC	all_evaluable_celltypes	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.1538436666405636	0.08193666705120609	8	0.2113061763133907
ASNS	TNBC	shared_celltypes	DONE		Malignant_epithelial	Perivascular	0.1538436666405636	0.10588645442765479	8	0.2113061763133907
ASS1	ER+	all_evaluable_celltypes	DONE		Endothelial	Malignant_epithelial	0.4253412805006586	0.12169258986035919	11	0.2983011695148664
