cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	same_cohort_postselection	stable_gene_id	expression_scale	model_formula	ci_method	ci_estimand	p_method	seed	bootstrap_valid	n_pairs_total	n_up	n_down	n_equal	up_fraction	mean_delta	median_delta	t_statistic	degrees_freedom	bootstrap_mean_lower	bootstrap_mean_upper	family_n_planned	evidence_label
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CAPT	NA	NA	SLC2A3	author_case	36	36	mean_paired_RNA_difference_author_scale	-0.14574545951153894	-0.5055282271567509	0.21403730813367305	0.416427014513134	0.6185165950856844	RNA_PAIRED_CAPT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:11007	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	2195380366	4000	36	13	23	0	0.3611111111111111	-0.14574545951153894	-0.29213530733256476	-0.8223823914563798	35	-0.4670046995912978	0.22227879619209445	101.0	NOT_SUPPORTED_THIS_TEST
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CURRENT	NA	NA	BCAT1	author_case	43	43	mean_paired_RNA_difference_author_scale	-0.07742953788541836	-0.17432456469029267	0.01946548891945596	0.11430743328639947	0.2509793643897032	RNA_PAIRED_CURRENT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:976	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	3580872341	4000	43	13	30	0	0.3023255813953488	-0.07742953788541836	-0.10293272877952031	-1.612664120892676	42	-0.1709682224553484	0.01812390443096866	101.0	NOT_SUPPORTED_THIS_TEST
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CAPT	NA	NA	BCAT1	author_case	36	36	mean_paired_RNA_difference_author_scale	-0.06908704895031163	-0.18369805022634028	0.045523952325717015	0.22922464964719255	0.4533930839952302	RNA_PAIRED_CAPT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:976	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	51740559	4000	36	12	24	0	0.3333333333333333	-0.06908704895031163	-0.08545979899199496	-1.2237408647679433	35	-0.1759173859775752	0.04336580700812753	101.0	NOT_SUPPORTED_THIS_TEST
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CURRENT	NA	NA	BCAT2	author_case	43	43	mean_paired_RNA_difference_author_scale	0.2534352051840198	0.10307701791248161	0.403793392455558	0.0014815251228338844	0.009975602493748155	RNA_PAIRED_CURRENT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:977	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	2258283193	4000	43	34	9	0	0.7906976744186046	0.2534352051840198	0.22608840867030988	3.401563681118043	42	0.11265317923918917	0.3971071899101821	101.0	FDR_SUPPORTED
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CAPT	NA	NA	BCAT2	author_case	36	36	mean_paired_RNA_difference_author_scale	0.2812781354836675	0.1094675791463402	0.45308869182099476	0.0020916348542899146	0.014094712090203113	RNA_PAIRED_CAPT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:977	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	2806872604	4000	36	30	6	0	0.8333333333333334	0.2812781354836675	0.24067658461158015	3.3235732719922946	35	0.12027315562074291	0.45009470655274336	101.0	FDR_SUPPORTED
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CURRENT	NA	NA	AADAT	author_case	43	43	mean_paired_RNA_difference_author_scale	0.26677451580989053	0.022430677936436716	0.5111183536833444	0.03310814540814102	0.1089072485238525	RNA_PAIRED_CURRENT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:17929	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	1462559803	4000	43	27	16	0	0.627906976744186	0.26677451580989053	0.04623461181633992	2.203340883457762	42	0.03553651635215861	0.5030161835750543	101.0	NOMINAL_EXPLORATORY
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CAPT	NA	NA	AADAT	author_case	36	36	mean_paired_RNA_difference_author_scale	0.2701950087244259	-0.012991580356250532	0.5533815978051024	0.060853600450372296	0.16618448710415668	RNA_PAIRED_CAPT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:17929	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	3849526949	4000	36	22	14	0	0.6111111111111112	0.2701950087244259	0.04952373828710499	1.9369738911924934	35	0.009002408444096655	0.5356949313563969	101.0	NOT_SUPPORTED_THIS_TEST
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CURRENT	NA	NA	CDO1	author_case	43	43	mean_paired_RNA_difference_author_scale	0.008129865733024561	-0.24702448338314195	0.26328421484919107	0.949035466287677	0.9881709494335607	RNA_PAIRED_CURRENT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:1795	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	1926263584	4000	43	17	26	0	0.3953488372093023	0.008129865733024561	-0.10928288309404977	0.06430120941498907	42	-0.23268069605126784	0.26206323658598885	101.0	NOT_SUPPORTED_THIS_TEST
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CAPT	NA	NA	CDO1	author_case	36	36	mean_paired_RNA_difference_author_scale	-0.07937936875982787	-0.32038766633354737	0.16162892881389163	0.508109096014985	0.6842535826335131	RNA_PAIRED_CAPT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:1795	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	3294490734	4000	36	13	23	0	0.3611111111111111	-0.07937936875982787	-0.12889026615021493	-0.6686437250549103	35	-0.30215845523093987	0.14949592122127942	101.0	NOT_SUPPORTED_THIS_TEST
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CURRENT	NA	NA	SLC6A6	author_case	43	43	mean_paired_RNA_difference_author_scale	-0.23596474937002004	-0.37153540210784053	-0.10039409663219956	0.0010760335090457627	0.008359952647201694	RNA_PAIRED_CURRENT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:11052	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	1770822426	4000	43	11	32	0	0.2558139534883721	-0.23596474937002004	-0.24431357283657018	-3.512531158084545	42	-0.3734570151334673	-0.11010601882538909	101.0	FDR_SUPPORTED
