代谢物	来源英文名	配对数	升高对数	降低对数	相等对数	升高百分比	降低百分比	本轮配对P	本轮配对q	原CAMPq	中位配对差	差值尺度	填补前双侧完整对数	子集升高	子集降低	子集相等	子集P	子集q	子集状态
哌啶	piperidine	33	8	18	7	24.242424242424242	54.54545454545454	0.0012026870288842505	0.0032411396202134887	0.152967058675906	-1.273574391224733	median_paired_T_minus_N_author_normalized_log_scale	13	1	12	0	0.0018714329102470324	0.005313532727308538	DONE
尿囊素	allantoin	33	3	29	1	9.090909090909092	87.87878787878788	0.0006659979173404972	0.0019609938677247972	2.75917060479647e-06	-1.1976804140063901	median_paired_T_minus_N_author_normalized_log_scale	26	1	25	0	0.0001464592067024292	0.0006293787531266552	DONE
肌苷单磷酸（IMP）	inosine 5'-monophosphate (IMP)	33	5	28	0	15.151515151515152	84.84848484848484	6.511611887852214e-05	0.00031374130005106123	0.00103594092695614	-1.3326921856656293	median_paired_T_minus_N_author_normalized_log_scale	33	5	28	0	6.511611887852214e-05	0.0003339826742479039	DONE
壬酸（9:0）	pelargonate (9:0)	33	3	18	12	9.090909090909092	54.54545454545454	0.0020976124386958965	0.005211255902385118	0.0796319838549086	-0.6027197284130101	median_paired_T_minus_N_author_normalized_log_scale	20	3	17	0	0.0031851432686599455	0.00779135045718356	DONE
还原型辅酶Ⅰ（NADH）	nicotinamide adenine dinucleotide reduced (NADH)	33	14	17	2	42.42424242424242	51.515151515151516	0.3778608888963606	0.45172843108662664	0.25129524384303	-0.14920901801595932	median_paired_T_minus_N_author_normalized_log_scale	23	11	12	0	0.7842886020465609	0.8258403160622727	DONE
3PG（沿用来源缩写）	3PG	33	3	30	0	9.090909090909092	90.9090909090909	1.7560560082939785e-06	2.147791579374943e-05	2.50033886118489e-07	-0.8251556367430499	median_paired_T_minus_N_author_normalized_log_scale	33	3	30	0	1.7560560082939785e-06	3.1023656146526954e-05	DONE
柠檬酸	citrate	33	4	29	0	12.121212121212121	87.87878787878788	2.7894715873627007e-05	0.00018480249266277892	4.64513926849744e-06	-1.2373097635052197	median_paired_T_minus_N_author_normalized_log_scale	33	4	29	0	2.7894715873627007e-05	0.00017741039295626776	DONE
辛酸	Octanoate	33	12	14	7	36.36363636363637	42.42424242424242	0.26924105504943696	0.33708132088866516	0.629150324537427	0.0	median_paired_T_minus_N_author_normalized_log_scale	14	5	9	0	0.025842854459788903	0.04324769627735569	DONE
磷酸二羟丙酮（DHAP）	dihydroxyacetone phosphate (DHAP)	33	9	24	0	27.27272727272727	72.72727272727273	0.0013399868070180538	0.003492752496981484	0.00208970754081866	-0.9728633629552403	median_paired_T_minus_N_author_normalized_log_scale	33	9	24	0	0.0013399868070180538	0.003945516709553158	DONE
N-乙酰天冬氨酸（NAA）	N-acetylaspartate (NAA)	33	3	30	0	9.090909090909092	90.9090909090909	3.859027284068544e-06	3.8349083635431156e-05	4.01049322955914e-08	-1.15624170557341	median_paired_T_minus_N_author_normalized_log_scale	33	3	30	0	3.859027284068544e-06	4.71988721666845e-05	DONE
