cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	original_effect	original_q	family_n_planned	up_pairs	down_pairs	equal_pairs	up_percent	down_percent	both_observed_pairs	tumor_only_missing_pairs	normal_only_missing_pairs	both_missing_pairs	n_nonzero_differences	bootstrap_valid	random_seed
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00035	guanosine 5'- diphosphate (GDP)	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.3092443213189302	0.0	0.7595858611561899	0.049498046027749744	0.07792266651893276	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.333738755268872	0.0903180799619314	159	21	9	3	63.63636363636363	27.27272727272727	22	2	6	3	30	4000	1489828177
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00498	ADP-glucose	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.44856757894817	0.05920734269130978	0.7371185892704597	0.06414149904296203	0.09621224856444305	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.388646001175217	0.0652838691197924	159	22	10	1	66.66666666666666	30.303030303030305	25	3	4	1	32	4000	2955349207
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00407	isoleucine	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.21918150882621035	0.009805818346019457	0.4754354333301105	0.0027637524655597713	0.006580946070312909	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.567578731556765	0.0446064691375585	159	23	10	0	69.6969696969697	30.303030303030305	33	0	0	0	33	4000	3851570898
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00864	pantothenate	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.15744055057911988	0.0	0.5313984735576298	0.001730676179816164	0.004438346977270485	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.326974894895062	0.166569309698962	159	19	3	11	57.57575757575758	9.090909090909092	21	0	1	11	22	4000	1876543688
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C01159	2,3-diphosphoglycerate	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.0	0.0	2.024138014216073	0.5699338801555559	0.6289230118871498	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.245487877804297	0.341075036067847	159	14	8	11	42.42424242424242	24.242424242424242	6	6	10	11	22	4000	421299867
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00123	leucine	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.20097577296692926	0.045561649685620154	0.6408987141987899	0.004625048279580867	0.010339052808736149	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.50839089312706	0.0398980189569739	159	23	10	0	69.6969696969697	30.303030303030305	33	0	0	0	33	4000	2076843308
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00082	tyrosine	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.2651118486746702	-0.11308957709764034	0.4943482442865097	0.01034635631729135	0.0203095142524608	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.543601589293918	0.0398980189569739	159	21	12	0	63.63636363636363	36.36363636363637	33	0	0	0	33	4000	92609158
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00152	asparagine	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.2496891447567302	0.14321053609659984	0.4991122910399399	0.00031776764072712137	0.0010983707581654848	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.690613414767693	0.0163500248519711	159	26	7	0	78.78787878787878	21.21212121212121	33	0	0	0	33	4000	2815286594
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00144	guanosine 5'- monophosphate (5'-GMP)	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.21728089194429057	0.06884036146393946	0.41985703072224023	0.05705048839754517	0.08806822966222991	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.177439150440661	0.0925657730292134	159	23	10	0	69.6969696969697	30.303030303030305	32	1	0	0	33	4000	3677600562
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00188	threonine	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.19718525244456053	0.008894856546818986	0.32201898137095064	0.003105214771290092	0.0072607227740459504	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.480107439619451	0.0684250522915698	159	23	10	0	69.6969696969697	30.303030303030305	33	0	0	0	33	4000	4228325598
